year,migback,sex,pgpsbil,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Direct migration background,male,"Dropout, No School Degree",0.07397,165,1202,0.05917,0.08877
1996,Direct migration background,male,No School Attended,0.01586,33,1202,0.00879,0.02292
1996,Direct migration background,female,Secondary School Degree,0.29833,287,1183,0.27225,0.32442
1996,Direct migration background,female,Intermediate School Degree,0.10991,105,1183,0.09208,0.12774
1996,Direct migration background,female,Upper Secondary Degree,0.08448,68,1183,0.06862,0.10033
1996,Direct migration background,female,Other Degree,0.26178,453,1183,0.23672,0.28684
1996,Direct migration background,female,"Dropout, No School Degree",0.08727,210,1183,0.07118,0.10336
1996,Direct migration background,female,No School Attended,0.02252,60,1183,0.01407,0.03098
1996,Indirect migration background,male,Secondary School Degree,0.11645,106,160,0.06659,0.16631
1996,Indirect migration background,male,Intermediate School Degree,0.06599,54,160,0.02740,0.10457
1996,Indirect migration background,female,Secondary School Degree,0.11171,93,166,0.06365,0.15978
1996,Indirect migration background,female,Intermediate School Degree,0.10976,73,166,0.06207,0.15746
1997,No migration background,male,Secondary School Degree,0.40067,2051,4551,0.38644,0.41491
1997,No migration background,male,Intermediate School Degree,0.20615,1401,4551,0.19440,0.21791
1997,No migration background,male,Technical School Degree,0.04207,187,4551,0.03624,0.04790
1997,No migration background,male,Upper Secondary Degree,0.13424,776,4551,0.12433,0.14414
1997,No migration background,male,Other Degree,0.00460,32,4551,0.00263,0.00656
1997,No migration background,male,No School Degree Yet,0.01393,104,4551,0.01052,0.01733
1997,No migration background,female,Secondary School Degree,0.43595,2289,4985,0.42218,0.44971
1997,No migration background,female,Intermediate School Degree,0.25058,1829,4985,0.23855,0.26261
1997,No migration background,female,Technical School Degree,0.01728,90,4985,0.01366,0.02090
1997,No migration background,female,Upper Secondary Degree,0.09880,629,4985,0.09052,0.10709
1997,No migration background,female,Other Degree,0.00537,32,4985,0.00334,0.00740
1997,No migration background,female,No School Degree Yet,0.01513,116,4985,0.01174,0.01852
1997,Direct migration background,male,Secondary School Degree,0.27540,315,1151,0.24958,0.30122
1997,Direct migration background,male,Intermediate School Degree,0.09231,77,1151,0.07558,0.10904
1997,Direct migration background,male,Technical School Degree,0.02555,31,1151,0.01643,0.03467
1997,Direct migration background,male,Upper Secondary Degree,0.10014,67,1151,0.08279,0.11749
1997,Direct migration background,male,Other Degree,0.30913,507,1151,0.28242,0.33584
1997,Direct migration background,male,"Dropout, No School Degree",0.07397,154,1151,0.05885,0.08910
1997,Direct migration background,female,Secondary School Degree,0.30491,271,1116,0.27788,0.33193
1997,Direct migration background,female,Intermediate School Degree,0.10694,99,1116,0.08880,0.12507
1997,Direct migration background,female,Upper Secondary Degree,0.07440,63,1116,0.05900,0.08981
1997,Direct migration background,female,Other Degree,0.27116,431,1116,0.24507,0.29726
1997,Direct migration background,female,"Dropout, No School Degree",0.09055,193,1116,0.07371,0.10739
1997,Direct migration background,female,No School Attended,0.02494,59,1116,0.01579,0.03410
1997,Indirect migration background,male,Secondary School Degree,0.13346,117,237,0.09007,0.17684
1997,Indirect migration background,male,Intermediate School Degree,0.05942,53,237,0.02926,0.08959
1997,Indirect migration background,male,Upper Secondary Degree,0.04776,31,237,0.02055,0.07497
1997,Indirect migration background,male,No School Degree Yet,0.04346,36,237,0.01745,0.06948
1997,Indirect migration background,female,Secondary School Degree,0.12081,92,168,0.07138,0.17024
1997,Indirect migration background,female,Intermediate School Degree,0.12557,76,168,0.07531,0.17582
1998,No migration background,male,Secondary School Degree,0.37777,2287,5083,0.36444,0.39110
1998,No migration background,male,Intermediate School Degree,0.20942,1563,5083,0.19823,0.22061
1998,No migration background,male,Technical School Degree,0.03933,207,5083,0.03399,0.04467
1998,No migration background,male,Upper Secondary Degree,0.13237,875,5083,0.12305,0.14169
1998,No migration background,male,Other Degree,0.00609,44,5083,0.00395,0.00823
1998,No migration background,male,No School Degree Yet,0.01316,107,5083,0.01003,0.01630
1998,No migration background,female,Secondary School Degree,0.41224,2532,5608,0.39935,0.42512
1998,No migration background,female,Intermediate School Degree,0.24632,2006,5608,0.23504,0.25760
1998,No migration background,female,Technical School Degree,0.02128,128,5608,0.01751,0.02506
1998,No migration background,female,Upper Secondary Degree,0.10051,733,5608,0.09264,0.10838
1998,No migration background,female,Other Degree,0.00674,45,5608,0.00460,0.00888
1998,No migration background,female,"Dropout, No School Degree",0.00572,36,5608,0.00375,0.00769
1998,No migration background,female,No School Degree Yet,0.01511,128,5608,0.01192,0.01831
1998,Direct migration background,male,Secondary School Degree,0.27269,308,1070,0.24599,0.29939
1998,Direct migration background,male,Intermediate School Degree,0.08227,74,1070,0.06580,0.09874
1998,Direct migration background,male,Upper Secondary Degree,0.08537,69,1070,0.06861,0.10212
1998,Direct migration background,male,Other Degree,0.31631,479,1070,0.28844,0.34419
1998,Direct migration background,male,"Dropout, No School Degree",0.07483,140,1070,0.05905,0.09060
1998,Direct migration background,female,Secondary School Degree,0.27625,269,1071,0.24946,0.30304
1998,Direct migration background,female,Intermediate School Degree,0.09572,95,1071,0.07809,0.11335
1998,Direct migration background,female,Upper Secondary Degree,0.08256,69,1071,0.06607,0.09905
1998,Direct migration background,female,Other Degree,0.26530,406,1071,0.23884,0.29175
1998,Direct migration background,female,"Dropout, No School Degree",0.09534,177,1071,0.07774,0.11293
1998,Direct migration background,female,No School Attended,0.02565,55,1071,0.01618,0.03512
1998,Indirect migration background,male,Secondary School Degree,0.14075,120,250,0.09755,0.18395
1998,Indirect migration background,male,Intermediate School Degree,0.07762,58,250,0.04439,0.11086
1998,Indirect migration background,male,Upper Secondary Degree,0.05495,33,250,0.02665,0.08326
1998,Indirect migration background,male,No School Degree Yet,0.04882,39,250,0.02205,0.07558
1998,Indirect migration background,female,Secondary School Degree,0.11300,90,204,0.06945,0.15655
1998,Indirect migration background,female,Intermediate School Degree,0.11915,82,204,0.07458,0.16371
1998,Indirect migration background,female,Upper Secondary Degree,0.04226,32,204,0.01459,0.06994
1999,No migration background,male,Secondary School Degree,0.39370,2255,5087,0.38027,0.40713
1999,No migration background,male,Intermediate School Degree,0.21451,1549,5087,0.20323,0.22579
1999,No migration background,male,Technical School Degree,0.03844,199,5087,0.03315,0.04372
1999,No migration background,male,Upper Secondary Degree,0.14049,892,5087,0.13094,0.15004
1999,No migration background,male,Other Degree,0.00672,46,5087,0.00447,0.00896
1999,No migration background,male,"Dropout, No School Degree",0.00609,32,5087,0.00395,0.00822
1999,No migration background,male,No School Degree Yet,0.01390,114,5087,0.01068,0.01712
1999,No migration background,female,Secondary School Degree,0.42146,2464,5542,0.40846,0.43446
1999,No migration background,female,Intermediate School Degree,0.25631,2009,5542,0.24482,0.26781
1999,No migration background,female,Technical School Degree,0.02219,127,5542,0.01831,0.02607
1999,No migration background,female,Upper Secondary Degree,0.10466,744,5542,0.09660,0.11272
1999,No migration background,female,Other Degree,0.00717,45,5542,0.00495,0.00940
1999,No migration background,female,"Dropout, No School Degree",0.00601,37,5542,0.00398,0.00805
1999,No migration background,female,No School Degree Yet,0.01497,116,5542,0.01178,0.01817
1999,Direct migration background,male,Secondary School Degree,0.27601,293,997,0.24824,0.30377
1999,Direct migration background,male,Intermediate School Degree,0.08214,69,997,0.06509,0.09920
1999,Direct migration background,male,Upper Secondary Degree,0.08690,59,997,0.06941,0.10440
1999,Direct migration background,male,Other Degree,0.33491,443,997,0.30560,0.36422
1999,Direct migration background,male,"Dropout, No School Degree",0.08105,133,997,0.06410,0.09800
1999,Direct migration background,female,Secondary School Degree,0.28155,255,1002,0.25369,0.30941
1999,Direct migration background,female,Intermediate School Degree,0.08968,87,1002,0.07198,0.10738
1999,Direct migration background,female,Upper Secondary Degree,0.08868,65,1002,0.07107,0.10629
1999,Direct migration background,female,Other Degree,0.27089,373,1002,0.24336,0.29842
1999,Direct migration background,female,"Dropout, No School Degree",0.10620,172,1002,0.08711,0.12528
1999,Direct migration background,female,No School Attended,0.02798,50,1002,0.01776,0.03819
1999,Indirect migration background,male,Secondary School Degree,0.14135,123,249,0.09799,0.18471
1999,Indirect migration background,male,Intermediate School Degree,0.08102,56,249,0.04706,0.11498
1999,Indirect migration background,male,Upper Secondary Degree,0.05092,35,249,0.02356,0.07827
1999,Indirect migration background,male,No School Degree Yet,0.06039,35,249,0.03075,0.09004
1999,Indirect migration background,female,Secondary School Degree,0.12550,95,211,0.08070,0.17031
1999,Indirect migration background,female,Intermediate School Degree,0.11490,79,211,0.07177,0.15803
1999,Indirect migration background,female,Upper Secondary Degree,0.05554,37,211,0.02456,0.08652
2000,No migration background,male,Secondary School Degree,0.38170,4168,9543,0.37195,0.39145
2000,No migration background,male,Intermediate School Degree,0.22192,2776,9543,0.21358,0.23025
2000,No migration background,male,Technical School Degree,0.05265,548,9543,0.04817,0.05713
2000,No migration background,male,Upper Secondary Degree,0.15218,1768,9543,0.14497,0.15938
2000,No migration background,male,Other Degree,0.00592,65,9543,0.00438,0.00745
2000,No migration background,male,"Dropout, No School Degree",0.00491,46,9543,0.00351,0.00631
2000,No migration background,male,No School Degree Yet,0.01273,172,9543,0.01048,0.01498
2000,No migration background,female,Secondary School Degree,0.40917,4559,10411,0.39972,0.41861
2000,No migration background,female,Intermediate School Degree,0.27110,3652,10411,0.26256,0.27964
2000,No migration background,female,Technical School Degree,0.03028,359,10411,0.02699,0.03357
2000,No migration background,female,Upper Secondary Degree,0.11955,1530,10411,0.11332,0.12578
2000,No migration background,female,Other Degree,0.00517,67,10411,0.00379,0.00654
2000,No migration background,female,"Dropout, No School Degree",0.00405,45,10411,0.00283,0.00527
2000,No migration background,female,No School Degree Yet,0.01311,199,10411,0.01092,0.01529
2000,Direct migration background,male,Secondary School Degree,0.24951,456,1614,0.22839,0.27063
2000,Direct migration background,male,Intermediate School Degree,0.08983,138,1614,0.07588,0.10379
2000,Direct migration background,male,Technical School Degree,0.02623,40,1614,0.01843,0.03402
2000,Direct migration background,male,Upper Secondary Degree,0.08522,115,1614,0.07160,0.09885
2000,Direct migration background,male,Other Degree,0.36998,697,1614,0.34642,0.39355
2000,Direct migration background,male,"Dropout, No School Degree",0.07181,131,1614,0.05921,0.08441
2000,Direct migration background,male,No School Degree Yet,0.02032,37,1614,0.01344,0.02721
2000,Direct migration background,female,Secondary School Degree,0.23313,423,1631,0.21260,0.25365
2000,Direct migration background,female,Intermediate School Degree,0.10554,177,1631,0.09062,0.12045
2000,Direct migration background,female,Technical School Degree,0.02362,37,1631,0.01625,0.03100
2000,Direct migration background,female,Upper Secondary Degree,0.09269,138,1631,0.07861,0.10677
2000,Direct migration background,female,Other Degree,0.34849,676,1631,0.32535,0.37162
2000,Direct migration background,female,"Dropout, No School Degree",0.09105,180,1631,0.07709,0.10502
2000,Indirect migration background,male,Secondary School Degree,0.15272,170,342,0.11454,0.19090
2000,Indirect migration background,male,Intermediate School Degree,0.11654,108,342,0.08249,0.15060
2000,Indirect migration background,male,Upper Secondary Degree,0.05217,64,342,0.02857,0.07577
2000,Indirect migration background,female,Secondary School Degree,0.14617,154,387,0.11093,0.18141
2000,Indirect migration background,female,Intermediate School Degree,0.12289,130,387,0.09014,0.15564
2000,Indirect migration background,female,Upper Secondary Degree,0.07116,64,387,0.04551,0.09681
2000,Indirect migration background,female,No School Degree Yet,0.03600,39,387,0.01741,0.05458
2001,No migration background,male,Secondary School Degree,0.37369,3685,8673,0.36351,0.38387
2001,No migration background,male,Intermediate School Degree,0.22353,2548,8673,0.21477,0.23230
2001,No migration background,male,Technical School Degree,0.05263,501,8673,0.04793,0.05733
2001,No migration background,male,Upper Secondary Degree,0.15666,1649,8673,0.14901,0.16431
2001,No migration background,male,Other Degree,0.00508,48,8673,0.00358,0.00657
2001,No migration background,male,"Dropout, No School Degree",0.00497,42,8673,0.00349,0.00645
2001,No migration background,male,No School Degree Yet,0.01591,200,8673,0.01327,0.01854
2001,No migration background,female,Secondary School Degree,0.39702,3964,9474,0.38716,0.40687
2001,No migration background,female,Intermediate School Degree,0.27361,3376,9474,0.26463,0.28259
2001,No migration background,female,Technical School Degree,0.03242,352,9474,0.02885,0.03599
2001,No migration background,female,Upper Secondary Degree,0.12655,1456,9474,0.11985,0.13324
2001,No migration background,female,Other Degree,0.00540,55,9474,0.00393,0.00688
2001,No migration background,female,"Dropout, No School Degree",0.00444,43,9474,0.00310,0.00578
2001,No migration background,female,No School Degree Yet,0.01404,228,9474,0.01167,0.01641
2001,Direct migration background,male,Secondary School Degree,0.24836,402,1388,0.22562,0.27110
2001,Direct migration background,male,Intermediate School Degree,0.09928,131,1388,0.08355,0.11502
2001,Direct migration background,male,Technical School Degree,0.03020,41,1388,0.02119,0.03920
2001,Direct migration background,male,Upper Secondary Degree,0.09123,107,1388,0.07607,0.10638
2001,Direct migration background,male,Other Degree,0.38380,614,1388,0.35820,0.40939
2001,Direct migration background,male,"Dropout, No School Degree",0.05698,93,1388,0.04478,0.06918
2001,Direct migration background,female,Secondary School Degree,0.24001,383,1439,0.21794,0.26208
2001,Direct migration background,female,Intermediate School Degree,0.09954,154,1439,0.08407,0.11502
2001,Direct migration background,female,Technical School Degree,0.02414,31,1439,0.01621,0.03207
2001,Direct migration background,female,Upper Secondary Degree,0.08774,120,1439,0.07311,0.10236
2001,Direct migration background,female,Other Degree,0.38558,625,1439,0.36042,0.41074
2001,Direct migration background,female,"Dropout, No School Degree",0.06720,126,1439,0.05426,0.08014
2001,Indirect migration background,male,Secondary School Degree,0.14857,150,309,0.10885,0.18829
2001,Indirect migration background,male,Intermediate School Degree,0.09971,95,309,0.06625,0.13318
2001,Indirect migration background,male,Upper Secondary Degree,0.05862,64,309,0.03239,0.08486
2001,Indirect migration background,female,Secondary School Degree,0.13047,142,355,0.09538,0.16555
2001,Indirect migration background,female,Intermediate School Degree,0.11341,114,355,0.08038,0.14645
2001,Indirect migration background,female,Upper Secondary Degree,0.06813,61,355,0.04188,0.09438
2001,Indirect migration background,female,No School Degree Yet,0.03626,38,355,0.01678,0.05573
2002,No migration background,male,Secondary School Degree,0.37476,3537,9317,0.36493,0.38458
2002,No migration background,male,Intermediate School Degree,0.22757,2666,9317,0.21906,0.23608
2002,No migration background,male,Technical School Degree,0.05065,587,9317,0.04620,0.05510
2002,No migration background,male,Upper Secondary Degree,0.15281,2201,9317,0.14550,0.16011
2002,No migration background,male,Other Degree,0.00472,46,9317,0.00333,0.00611
2002,No migration background,male,"Dropout, No School Degree",0.00487,41,9317,0.00346,0.00628
2002,No migration background,male,No School Degree Yet,0.01618,239,9317,0.01362,0.01874
2002,No migration background,female,Secondary School Degree,0.39602,3811,9989,0.38643,0.40561
2002,No migration background,female,Intermediate School Degree,0.27626,3527,9989,0.26749,0.28503
2002,No migration background,female,Technical School Degree,0.03216,399,9989,0.02870,0.03562
2002,No migration background,female,Upper Secondary Degree,0.12425,1906,9989,0.11778,0.13071
2002,No migration background,female,Other Degree,0.00568,62,9989,0.00420,0.00715
2002,No migration background,female,"Dropout, No School Degree",0.00439,39,9989,0.00309,0.00569
2002,No migration background,female,No School Degree Yet,0.01355,245,9989,0.01128,0.01581
2002,Direct migration background,male,Secondary School Degree,0.24909,370,1314,0.22569,0.27248
2002,Direct migration background,male,Intermediate School Degree,0.09537,125,1314,0.07948,0.11126
2002,Direct migration background,male,Technical School Degree,0.03095,40,1314,0.02158,0.04032
2002,Direct migration background,male,Upper Secondary Degree,0.08048,110,1314,0.06577,0.09520
2002,Direct migration background,male,Other Degree,0.39656,587,1314,0.37010,0.42302
2002,Direct migration background,male,"Dropout, No School Degree",0.05566,82,1314,0.04326,0.06806
2002,Direct migration background,female,Secondary School Degree,0.23519,351,1352,0.21258,0.25781
2002,Direct migration background,female,Intermediate School Degree,0.10409,154,1352,0.08780,0.12037
2002,Direct migration background,female,Upper Secondary Degree,0.08690,124,1352,0.07188,0.10192
2002,Direct migration background,female,Other Degree,0.38724,605,1352,0.36127,0.41322
2002,Direct migration background,female,"Dropout, No School Degree",0.07081,118,1352,0.05714,0.08449
2002,Indirect migration background,male,Secondary School Degree,0.13848,133,324,0.10081,0.17615
2002,Indirect migration background,male,Intermediate School Degree,0.09754,88,324,0.06518,0.12989
2002,Indirect migration background,male,Upper Secondary Degree,0.05590,72,324,0.03084,0.08095
2002,Indirect migration background,male,No School Degree Yet,0.03634,31,324,0.01593,0.05675
2002,Indirect migration background,female,Secondary School Degree,0.12743,122,365,0.09317,0.16169
2002,Indirect migration background,female,Intermediate School Degree,0.11973,124,365,0.08638,0.15308
2002,Indirect migration background,female,Upper Secondary Degree,0.05702,73,365,0.03320,0.08084
2002,Indirect migration background,female,No School Degree Yet,0.04349,46,365,0.02253,0.06444
2003,No migration background,male,Secondary School Degree,0.36587,3363,8942,0.35588,0.37585
2003,No migration background,male,Intermediate School Degree,0.23200,2577,8942,0.22325,0.24075
2003,No migration background,male,Technical School Degree,0.05098,561,8942,0.04642,0.05554
2003,No migration background,male,Upper Secondary Degree,0.15577,2103,8942,0.14825,0.16329
2003,No migration background,male,Other Degree,0.00528,50,8942,0.00378,0.00679
2003,No migration background,male,"Dropout, No School Degree",0.00580,46,8942,0.00422,0.00737
2003,No migration background,male,No School Degree Yet,0.01641,242,8942,0.01378,0.01905
2003,No migration background,female,Secondary School Degree,0.38471,3597,9626,0.37499,0.39443
2003,No migration background,female,Intermediate School Degree,0.27520,3401,9626,0.26628,0.28412
2003,No migration background,female,Technical School Degree,0.03423,392,9626,0.03060,0.03786
2003,No migration background,female,Upper Secondary Degree,0.13048,1878,9626,0.12375,0.13721
2003,No migration background,female,Other Degree,0.00577,60,9626,0.00426,0.00729
2003,No migration background,female,"Dropout, No School Degree",0.00496,43,9626,0.00356,0.00637
2003,No migration background,female,No School Degree Yet,0.01444,255,9626,0.01205,0.01682
2003,Direct migration background,male,Secondary School Degree,0.25035,353,1217,0.22600,0.27470
2003,Direct migration background,male,Intermediate School Degree,0.09056,115,1217,0.07443,0.10669
2003,Direct migration background,male,Technical School Degree,0.03521,39,1217,0.02485,0.04557
2003,Direct migration background,male,Upper Secondary Degree,0.08501,101,1217,0.06934,0.10069
2003,Direct migration background,male,Other Degree,0.39802,541,1217,0.37051,0.42553
2003,Direct migration background,male,"Dropout, No School Degree",0.05149,68,1217,0.03907,0.06391
2003,Direct migration background,female,Secondary School Degree,0.23119,331,1274,0.20803,0.25435
2003,Direct migration background,female,Intermediate School Degree,0.10129,143,1274,0.08471,0.11786
2003,Direct migration background,female,Upper Secondary Degree,0.09013,119,1274,0.07440,0.10586
2003,Direct migration background,female,Other Degree,0.38840,570,1274,0.36163,0.41517
2003,Direct migration background,female,"Dropout, No School Degree",0.07440,111,1274,0.05998,0.08882
2003,Indirect migration background,male,Secondary School Degree,0.14352,131,317,0.10487,0.18218
2003,Indirect migration background,male,Intermediate School Degree,0.10379,84,317,0.07016,0.13741
2003,Indirect migration background,male,Upper Secondary Degree,0.05673,70,317,0.03123,0.08224
2003,Indirect migration background,male,No School Degree Yet,0.03273,32,317,0.01311,0.05234
2003,Indirect migration background,female,Secondary School Degree,0.13971,118,358,0.10375,0.17568
2003,Indirect migration background,female,Intermediate School Degree,0.12422,124,358,0.09000,0.15843
2003,Indirect migration background,female,Upper Secondary Degree,0.05612,78,358,0.03224,0.07999
2003,Indirect migration background,female,No School Degree Yet,0.03664,38,358,0.01715,0.05613
2004,No migration background,male,Secondary School Degree,0.36326,3206,8655,0.35312,0.37339
2004,No migration background,male,Intermediate School Degree,0.23179,2492,8655,0.22290,0.24068
2004,No migration background,male,Technical School Degree,0.05029,550,8655,0.04569,0.05489
2004,No migration background,male,Upper Secondary Degree,0.15833,2071,8655,0.15063,0.16602
2004,No migration background,male,Other Degree,0.00634,52,8655,0.00467,0.00802
2004,No migration background,male,"Dropout, No School Degree",0.00578,40,8655,0.00419,0.00738
2004,No migration background,male,No School Degree Yet,0.01710,244,8655,0.01437,0.01984
2004,No migration background,female,Secondary School Degree,0.38263,3426,9382,0.37280,0.39247
2004,No migration background,female,Intermediate School Degree,0.27531,3334,9382,0.26627,0.28435
2004,No migration background,female,Technical School Degree,0.03515,398,9382,0.03142,0.03888
2004,No migration background,female,Upper Secondary Degree,0.13036,1866,9382,0.12355,0.13717
2004,No migration background,female,Other Degree,0.00591,60,9382,0.00435,0.00746
2004,No migration background,female,"Dropout, No School Degree",0.00539,44,9382,0.00391,0.00687
2004,No migration background,female,No School Degree Yet,0.01482,254,9382,0.01238,0.01727
2004,Direct migration background,male,Secondary School Degree,0.24949,336,1166,0.22464,0.27434
2004,Direct migration background,male,Intermediate School Degree,0.09055,108,1166,0.07407,0.10703
2004,Direct migration background,male,Technical School Degree,0.03472,38,1166,0.02420,0.04523
2004,Direct migration background,male,Upper Secondary Degree,0.08281,101,1166,0.06699,0.09864
2004,Direct migration background,male,Other Degree,0.40374,516,1166,0.37557,0.43192
2004,Direct migration background,male,"Dropout, No School Degree",0.05455,67,1166,0.04151,0.06759
2004,Direct migration background,female,Secondary School Degree,0.22791,322,1264,0.20477,0.25104
2004,Direct migration background,female,Intermediate School Degree,0.10613,143,1264,0.08915,0.12312
2004,Direct migration background,female,Upper Secondary Degree,0.07937,115,1264,0.06446,0.09427
2004,Direct migration background,female,Other Degree,0.40296,545,1264,0.37591,0.43001
2004,Direct migration background,female,"Dropout, No School Degree",0.07538,105,1264,0.06082,0.08995
2004,Direct migration background,female,No School Degree Yet,0.01955,34,1264,0.01192,0.02719
2004,Indirect migration background,male,Secondary School Degree,0.14671,129,325,0.10818,0.18524
2004,Indirect migration background,male,Intermediate School Degree,0.10278,85,325,0.06972,0.13585
2004,Indirect migration background,male,Upper Secondary Degree,0.06134,73,325,0.03521,0.08747
2004,Indirect migration background,male,No School Degree Yet,0.04651,38,325,0.02358,0.06945
2004,Indirect migration background,female,Secondary School Degree,0.13752,118,360,0.10190,0.17315
2004,Indirect migration background,female,Intermediate School Degree,0.12336,120,360,0.08934,0.15738
2004,Indirect migration background,female,Upper Secondary Degree,0.06680,79,360,0.04097,0.09262
2004,Indirect migration background,female,No School Degree Yet,0.04534,43,360,0.02382,0.06686
2005,No migration background,male,Secondary School Degree,0.35231,3020,8233,0.34200,0.36263
2005,No migration background,male,Intermediate School Degree,0.23740,2393,8233,0.22821,0.24660
2005,No migration background,male,Technical School Degree,0.04923,522,8233,0.04456,0.05391
2005,No migration background,male,Upper Secondary Degree,0.16027,1964,8233,0.15234,0.16819
2005,No migration background,male,Other Degree,0.00724,52,8233,0.00541,0.00907
2005,No migration background,male,"Dropout, No School Degree",0.00702,40,8233,0.00522,0.00882
2005,No migration background,male,No School Degree Yet,0.01885,242,8233,0.01591,0.02179
2005,No migration background,female,Secondary School Degree,0.36892,3206,8985,0.35895,0.37890
2005,No migration background,female,Intermediate School Degree,0.27711,3184,8985,0.26786,0.28637
2005,No migration background,female,Technical School Degree,0.03713,395,8985,0.03322,0.04104
2005,No migration background,female,Upper Secondary Degree,0.13768,1834,8985,0.13056,0.14481
2005,No migration background,female,Other Degree,0.00560,61,8985,0.00405,0.00714
2005,No migration background,female,"Dropout, No School Degree",0.00501,40,8985,0.00355,0.00647
2005,No migration background,female,No School Degree Yet,0.01907,265,8985,0.01624,0.02189
2005,Direct migration background,male,Secondary School Degree,0.24527,300,1068,0.21945,0.27108
2005,Direct migration background,male,Intermediate School Degree,0.09127,99,1068,0.07399,0.10855
2005,Direct migration background,male,Technical School Degree,0.03308,36,1068,0.02234,0.04381
2005,Direct migration background,male,Upper Secondary Degree,0.08195,94,1068,0.06549,0.09840
2005,Direct migration background,male,Other Degree,0.40940,477,1068,0.37989,0.43890
2005,Direct migration background,male,"Dropout, No School Degree",0.05686,62,1068,0.04296,0.07075
2005,Direct migration background,female,Secondary School Degree,0.21390,296,1194,0.19063,0.23717
2005,Direct migration background,female,Intermediate School Degree,0.11553,142,1194,0.09739,0.13367
2005,Direct migration background,female,Upper Secondary Degree,0.07611,111,1194,0.06106,0.09116
2005,Direct migration background,female,Other Degree,0.41526,515,1194,0.38730,0.44322
2005,Direct migration background,female,"Dropout, No School Degree",0.07816,99,1194,0.06293,0.09339
2005,Direct migration background,female,No School Degree Yet,0.02073,31,1194,0.01265,0.02882
2005,Indirect migration background,male,Secondary School Degree,0.14771,133,336,0.10971,0.18570
2005,Indirect migration background,male,Intermediate School Degree,0.12079,82,336,0.08589,0.15569
2005,Indirect migration background,male,Upper Secondary Degree,0.06447,74,336,0.03817,0.09077
2005,Indirect migration background,male,No School Degree Yet,0.05348,47,336,0.02939,0.07757
2005,Indirect migration background,female,Secondary School Degree,0.14706,116,362,0.11052,0.18359
2005,Indirect migration background,female,Intermediate School Degree,0.13545,121,362,0.10015,0.17075
2005,Indirect migration background,female,Upper Secondary Degree,0.06893,80,362,0.04280,0.09506
2005,Indirect migration background,female,No School Degree Yet,0.04822,45,362,0.02612,0.07032
2006,No migration background,male,Secondary School Degree,0.34289,3308,8945,0.33305,0.35272
2006,No migration background,male,Intermediate School Degree,0.23855,2565,8945,0.22972,0.24738
2006,No migration background,male,Technical School Degree,0.05092,574,8945,0.04636,0.05547
2006,No migration background,male,Upper Secondary Degree,0.16744,2110,8945,0.15970,0.17517
2006,No migration background,male,Other Degree,0.00812,67,8945,0.00626,0.00998
2006,No migration background,male,"Dropout, No School Degree",0.00694,45,8945,0.00522,0.00866
2006,No migration background,male,No School Degree Yet,0.01891,276,8945,0.01609,0.02174
2006,No migration background,female,Secondary School Degree,0.35800,3483,9756,0.34849,0.36752
2006,No migration background,female,Intermediate School Degree,0.28367,3467,9756,0.27472,0.29261
2006,No migration background,female,Technical School Degree,0.03693,433,9756,0.03319,0.04067
2006,No migration background,female,Upper Secondary Degree,0.14531,2000,9756,0.13831,0.15230
2006,No migration background,female,Other Degree,0.00738,82,9756,0.00568,0.00907
2006,No migration background,female,"Dropout, No School Degree",0.00462,42,9756,0.00327,0.00596
2006,No migration background,female,No School Degree Yet,0.01586,249,9756,0.01338,0.01834
2006,Direct migration background,male,Secondary School Degree,0.24291,285,1060,0.21708,0.26874
2006,Direct migration background,male,Intermediate School Degree,0.08078,103,1060,0.06436,0.09719
2006,Direct migration background,male,Technical School Degree,0.03339,36,1060,0.02257,0.04421
2006,Direct migration background,male,Upper Secondary Degree,0.08387,100,1060,0.06718,0.10057
2006,Direct migration background,male,Other Degree,0.42281,485,1060,0.39305,0.45256
2006,Direct migration background,male,"Dropout, No School Degree",0.04811,51,1060,0.03522,0.06100
2006,Direct migration background,female,Secondary School Degree,0.20857,291,1192,0.18549,0.23164
2006,Direct migration background,female,Intermediate School Degree,0.10976,143,1192,0.09200,0.12751
2006,Direct migration background,female,Upper Secondary Degree,0.07913,117,1192,0.06380,0.09446
2006,Direct migration background,female,Other Degree,0.42388,546,1192,0.39582,0.45195
2006,Direct migration background,female,"Dropout, No School Degree",0.07703,95,1192,0.06189,0.09218
2006,Indirect migration background,male,Secondary School Degree,0.15070,127,335,0.11233,0.18907
2006,Indirect migration background,male,Intermediate School Degree,0.11719,92,335,0.08269,0.15168
2006,Indirect migration background,male,Upper Secondary Degree,0.06955,76,335,0.04227,0.09683
2006,Indirect migration background,male,No School Degree Yet,0.06147,40,335,0.03571,0.08723
2006,Indirect migration background,female,Secondary School Degree,0.15491,123,375,0.11824,0.19158
2006,Indirect migration background,female,Intermediate School Degree,0.13009,122,375,0.09600,0.16419
2006,Indirect migration background,female,Upper Secondary Degree,0.07203,83,375,0.04583,0.09823
2006,Indirect migration background,female,No School Degree Yet,0.03749,47,375,0.01824,0.05674
2007,No migration background,male,Secondary School Degree,0.33477,3039,8388,0.32467,0.34487
2007,No migration background,male,Intermediate School Degree,0.23863,2413,8388,0.22951,0.24775
2007,No migration background,male,Technical School Degree,0.05425,546,8388,0.04940,0.05910
