year,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2022,West,Sub-Saharan Africa,0.00522,324,22305,0.00427,0.00616
2022,West,Latin America and the Caribbean,0.00439,418,22305,0.00352,0.00526
2022,East,Germany,0.77842,4896,5804,0.76774,0.78911
2022,East,Northern Africa,0.00138,40,5804,0.00043,0.00234
2022,East,Southern Asia,0.00434,137,5804,0.00265,0.00603
2022,East,South-Eastern Asia,0.00262,38,5804,0.00130,0.00393
2022,East,Southern Europe,0.00353,68,5804,0.00200,0.00505
2022,East,Western Asia,0.01303,309,5804,0.01012,0.01595
2022,East,Eastern Europe,0.02472,223,5804,0.02072,0.02871
2022,East,Sub-Saharan Africa,0.00169,32,5804,0.00063,0.00274
2022,East,Latin America and the Caribbean,0.00252,61,5804,0.00123,0.00382
