year,migback,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2022,Direct migration background,West,Northern America,0.01728,138,7158,0.01426,0.02030
2022,Direct migration background,West,Eastern Asia,0.00881,236,7158,0.00665,0.01098
2022,Direct migration background,West,Southern Asia,0.05321,780,7158,0.04801,0.05841
2022,Direct migration background,West,South-Eastern Asia,0.01544,206,7158,0.01258,0.01829
2022,Direct migration background,West,Southern Europe,0.18012,849,7158,0.17121,0.18902
2022,Direct migration background,West,Central Asia,0.09724,310,7158,0.09037,0.10410
2022,Direct migration background,West,Western Asia,0.17250,2058,7158,0.16375,0.18125
2022,Direct migration background,West,Eastern Europe,0.26787,1321,7158,0.25761,0.27813
2022,Direct migration background,West,Northern Europe,0.02077,107,7158,0.01746,0.02407
2022,Direct migration background,West,Western Europe,0.08436,221,7158,0.07792,0.09080
2022,Direct migration background,West,Sub-Saharan Africa,0.03260,324,7158,0.02848,0.03671
2022,Direct migration background,West,Latin America and the Caribbean,0.02743,418,7158,0.02364,0.03121
2022,Direct migration background,East,Northern Africa,0.02009,40,908,0.01096,0.02922
2022,Direct migration background,East,Southern Asia,0.06301,137,908,0.04720,0.07882
2022,Direct migration background,East,South-Eastern Asia,0.03796,38,908,0.02552,0.05039
2022,Direct migration background,East,Southern Europe,0.05118,68,908,0.03684,0.06552
2022,Direct migration background,East,Western Asia,0.18917,309,908,0.16368,0.21466
2022,Direct migration background,East,Eastern Europe,0.35877,223,908,0.32755,0.38998
2022,Direct migration background,East,Sub-Saharan Africa,0.02451,32,908,0.01445,0.03457
2022,Direct migration background,East,Latin America and the Caribbean,0.03664,61,908,0.02441,0.04886
