year,hhtyp,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2018,Multi-generational household,West,658.766051201874,621.0438320571286,696.4882703466194,450.41453125425943,600.0,800.0,200.0,1324.3782031186108,600.0,400.0,702.5,52.0
2018,Multi-generational household,East,,,,,,,,,,,,
2018,Other Combinations,West,454.2800902132407,437.64173553668206,470.9184448897994,300.0,500.0,600.0,60.0,1050.0,500.0,500.0,600.0,147.0
2018,Other Combinations,East,,,,,,,,,,,,
2019,Single-person household,West,,,,,,,,,,,,
2019,Single-person household,East,,,,,,,,,,,,
2019,Couple without children,West,,,,,,,,,,,,
2019,Couple without children,East,,,,,,,,,,,,
2019,Single parent,West,,,,,,,,,,,,
2019,Single parent,East,,,,,,,,,,,,
2019,Couple with children,West,,,,,,,,,,,,
2019,Couple with children,East,,,,,,,,,,,,
2019,Multi-generational household,West,,,,,,,,,,,,
2019,Multi-generational household,East,,,,,,,,,,,,
2019,Other Combinations,West,,,,,,,,,,,,
2019,Other Combinations,East,,,,,,,,,,,,
2020,Single-person household,West,294.5319786519665,290.6996629265254,298.3642943774076,200.0,250.0,400.0,10.0,700.0,250.0,219.79999999999995,250.0,1561.0
2020,Single-person household,East,271.6295884227352,264.3012908978346,278.9578859476358,160.112295774006,250.0,350.0,40.0,634.831556338991,250.0,250.0,300.0,368.0
2020,Couple without children,West,487.60767149342297,482.4518040163213,492.7635389705246,350.0,450.0,600.0,10.0,975.0,450.0,400.0,500.0,1729.0
2020,Couple without children,East,465.1253560514355,454.3491115032761,475.90160059959493,300.0,400.0,500.0,100.0,800.0,400.0,300.0,400.0,420.0
2020,Single parent,West,415.9142760164391,407.5167017679175,424.3118502649607,300.0,400.0,500.0,60.0,800.0,400.0,400.0,420.75,415.0
2020,Single parent,East,430.5145297631968,410.49632821911933,450.5327313072742,300.0,500.0,500.0,60.0,800.0,500.0,500.0,680.0,88.0
2020,Couple with children,West,592.5227911552349,587.0143864934141,598.0311958170557,400.0,500.0,700.0,150.0,1150.0,500.0,400.0,500.0,1986.0
2020,Couple with children,East,576.8219081611927,557.5198215279647,596.1239947944207,400.0,500.0,700.0,100.0,1150.0,500.0,450.0,600.0,307.0
2020,Multi-generational household,West,516.2167643033812,477.9143688955168,554.5191597112455,292.8953086776701,485.229257591252,600.0,150.0,1060.657036983495,500.0,400.0,700.0,48.0
2020,Multi-generational household,East,,,,,,,,,,,,
2020,Other Combinations,West,434.402502675517,413.345613299716,455.459392051318,250.0,400.0,513.1102750235011,100.0,907.7756875587528,400.0,400.0,500.625,135.0
2020,Other Combinations,East,,,,,,,,,,,,
2021,Single-person household,West,,,,,,,,,,,,
2021,Single-person household,East,,,,,,,,,,,,
2021,Couple without children,West,,,,,,,,,,,,
2021,Couple without children,East,,,,,,,,,,,,
2021,Single parent,West,,,,,,,,,,,,
2021,Single parent,East,,,,,,,,,,,,
2021,Couple with children,West,,,,,,,,,,,,
2021,Couple with children,East,,,,,,,,,,,,
2021,Multi-generational household,West,,,,,,,,,,,,
2021,Multi-generational household,East,,,,,,,,,,,,
2021,Other Combinations,West,,,,,,,,,,,,
2021,Other Combinations,East,,,,,,,,,,,,
