"e11102","year","sampreg","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"nicht erwerbstätig","2017","Ostdeutschland","maennlich","1201","0.32647060183108","0.309529046514667","0.343412157147492"
"nicht erwerbstätig","2017","Ostdeutschland","weiblich","1448","0.432092155165324","0.415257117464278","0.448927192866369"
"erwerbstätig","2017","Westdeutschland","maennlich","7127","0.677748169796923","0.669344800180544","0.686151539413303"
"erwerbstätig","2017","Westdeutschland","weiblich","7464","0.5962930557643","0.587857645195021","0.60472846633358"
"erwerbstätig","2017","Ostdeutschland","maennlich","1742","0.67352939816892","0.656587842852507","0.690470953485333"
"erwerbstätig","2017","Ostdeutschland","weiblich","1878","0.567907844834676","0.551072807133631","0.584742882535722"
"nicht erwerbstätig","2018","Westdeutschland","maennlich","4315","0.311326820349051","0.302789457847688","0.319864182850414"
"nicht erwerbstätig","2018","Westdeutschland","weiblich","5072","0.392409922759004","0.38379959627544","0.401020249242568"
"nicht erwerbstätig","2018","Ostdeutschland","maennlich","1146","0.320408041121873","0.303380536711144","0.337435545532602"
"nicht erwerbstätig","2018","Ostdeutschland","weiblich","1403","0.413230503365008","0.396277817051412","0.430183189678605"
"erwerbstätig","2018","Westdeutschland","maennlich","6985","0.688673179650949","0.680135817149586","0.697210542152312"
"erwerbstätig","2018","Westdeutschland","weiblich","7282","0.607590077240996","0.598979750757432","0.61620040372456"
"erwerbstätig","2018","Ostdeutschland","maennlich","1739","0.679591958878127","0.662564454467398","0.696619463288856"
"erwerbstätig","2018","Ostdeutschland","weiblich","1838","0.586769496634991","0.569816810321395","0.603722182948588"
"nicht erwerbstätig","2019","Westdeutschland","maennlich","3968","0.3125503417676","0.304096090667665","0.321004592867535"
"nicht erwerbstätig","2019","Westdeutschland","weiblich","4791","0.390766347173958","0.382009430674931","0.399523263672985"
"nicht erwerbstätig","2019","Ostdeutschland","maennlich","1081","0.355873862767422","0.338614316142919","0.373133409391925"
"nicht erwerbstätig","2019","Ostdeutschland","weiblich","1324","0.428748261557053","0.411490350298082","0.446006172816024"
"erwerbstätig","2019","Westdeutschland","maennlich","7580","0.6874496582324","0.678995407132465","0.695903909332335"
"erwerbstätig","2019","Westdeutschland","weiblich","7135","0.609233652826042","0.600476736327015","0.617990569325069"
"erwerbstätig","2019","Ostdeutschland","maennlich","1875","0.644126137232578","0.626866590608075","0.661385683857081"
"erwerbstätig","2019","Ostdeutschland","weiblich","1835","0.571251738442947","0.553993827183976","0.588509649701918"
"nicht erwerbstätig","2020","Westdeutschland","maennlich","4003","0.313548093932991","0.305247741874947","0.321848445991035"
"nicht erwerbstätig","2020","Westdeutschland","weiblich","4764","0.401816046247322","0.393063195016269","0.410568897478375"
"nicht erwerbstätig","2020","Ostdeutschland","maennlich","1091","0.345887420206085","0.328599429346244","0.363175411065926"
"nicht erwerbstätig","2020","Ostdeutschland","weiblich","1287","0.429653432199975","0.412070836032482","0.447236028367468"
"erwerbstätig","2020","Westdeutschland","maennlich","7998","0.686451906067009","0.678151554008965","0.694752258125053"
"erwerbstätig","2020","Westdeutschland","weiblich","7288","0.598183953752678","0.589431102521624","0.606936804983731"
"erwerbstätig","2020","Ostdeutschland","maennlich","1817","0.654112579793915","0.636824588934073","0.671400570653756"
"erwerbstätig","2020","Ostdeutschland","weiblich","1758","0.570346567800025","0.552763971632532","0.587929163967518"
