,Unnamed: 0,year,bula_h,pgisced97,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
252,252,2019,Hamburg,Second Stage of Tertiary Education,Rather not,0.29773,53,22113,0.19463,0.40469
253,253,2019,Hamburg,Second Stage of Tertiary Education,Never,0.26392,60,22113,0.18084,0.36691
254,254,2019,Lower Saxony,Primary Level,Never,1.0,34,22113,0.72289,1.32726
255,255,2019,Lower Saxony,Lower Secondary Level,"Yes, depending on situation",0.2086,63,22113,0.14969,0.28792
256,256,2019,Lower Saxony,Lower Secondary Level,Rather not,0.27267,81,22113,0.21291,0.33374
257,257,2019,Lower Saxony,Lower Secondary Level,Never,0.51872,154,22113,0.43883,0.61211
258,258,2019,Lower Saxony,Upper Secondary Level,"Yes, happily",0.06358,47,22113,0.04446,0.08556
259,259,2019,Lower Saxony,Upper Secondary Level,"Yes, depending on situation",0.24611,265,22113,0.21404,0.27616
260,260,2019,Lower Saxony,Upper Secondary Level,Rather not,0.29383,293,22113,0.25134,0.33742
261,261,2019,Lower Saxony,Upper Secondary Level,Never,0.39649,451,22113,0.36368,0.43291
262,262,2019,Lower Saxony,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.28807,68,22113,0.21636,0.37132
263,263,2019,Lower Saxony,Post-secondary Non-tertiary Level,Rather not,0.33532,65,22113,0.25204,0.40991
264,264,2019,Lower Saxony,Post-secondary Non-tertiary Level,Never,0.37662,67,22113,0.2693,0.53702
265,265,2019,Lower Saxony,First Stage of Tertiary Education,"Yes, depending on situation",0.39164,41,22113,0.23234,0.60192
266,266,2019,Lower Saxony,First Stage of Tertiary Education,Rather not,0.29089,43,22113,0.18848,0.41078
267,267,2019,Lower Saxony,First Stage of Tertiary Education,Never,0.31747,42,22113,0.21311,0.43348
268,268,2019,Lower Saxony,Second Stage of Tertiary Education,"Yes, happily",0.05105,36,22113,0.03312,0.07169
269,269,2019,Lower Saxony,Second Stage of Tertiary Education,"Yes, depending on situation",0.36105,224,22113,0.30037,0.41735
270,270,2019,Lower Saxony,Second Stage of Tertiary Education,Rather not,0.32441,163,22113,0.27205,0.37918
271,271,2019,Lower Saxony,Second Stage of Tertiary Education,Never,0.2635,136,22113,0.20951,0.31778
272,272,2019,North Rhine-Westphalia,Pre-primary Level,"Yes, depending on situation",0.63011,39,22113,0.38711,0.91358
273,273,2019,North Rhine-Westphalia,Pre-primary Level,Rather not,0.36989,31,22113,0.19383,0.65393
274,274,2019,North Rhine-Westphalia,Primary Level,Never,1.0,79,22113,0.76089,1.24531
275,275,2019,North Rhine-Westphalia,Lower Secondary Level,"Yes, depending on situation",0.19427,102,22113,0.14357,0.24655
276,276,2019,North Rhine-Westphalia,Lower Secondary Level,Rather not,0.28356,148,22113,0.23483,0.33802
277,277,2019,North Rhine-Westphalia,Lower Secondary Level,Never,0.52217,277,22113,0.44687,0.59273
278,278,2019,North Rhine-Westphalia,Upper Secondary Level,"Yes, happily",0.04621,97,22113,0.03592,0.06047
279,279,2019,North Rhine-Westphalia,Upper Secondary Level,"Yes, depending on situation",0.22203,524,22113,0.20041,0.24701
280,280,2019,North Rhine-Westphalia,Upper Secondary Level,Rather not,0.27975,606,22113,0.25352,0.30032
281,281,2019,North Rhine-Westphalia,Upper Secondary Level,Never,0.452,974,22113,0.42486,0.48326
282,282,2019,North Rhine-Westphalia,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.31842,175,22113,0.25424,0.39353
283,283,2019,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Rather not,0.28676,187,22113,0.23211,0.33923
284,284,2019,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.39482,225,22113,0.33046,0.46455
285,285,2019,North Rhine-Westphalia,First Stage of Tertiary Education,"Yes, depending on situation",0.33376,91,22113,0.25036,0.41055
286,286,2019,North Rhine-Westphalia,First Stage of Tertiary Education,Rather not,0.31408,91,22113,0.23904,0.37522
287,287,2019,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.35216,92,22113,0.26866,0.44556
288,288,2019,North Rhine-Westphalia,Second Stage of Tertiary Education,"Yes, happily",0.08689,86,22113,0.05937,0.1223
289,289,2019,North Rhine-Westphalia,Second Stage of Tertiary Education,"Yes, depending on situation",0.34172,439,22113,0.29061,0.40355
290,290,2019,North Rhine-Westphalia,Second Stage of Tertiary Education,Rather not,0.30151,397,22113,0.26123,0.3376
291,291,2019,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.26988,368,22113,0.23982,0.30224
292,292,2019,Hesse,Lower Secondary Level,Rather not,0.2445,38,22113,0.142,0.35988
293,293,2019,Hesse,Lower Secondary Level,Never,0.7555,78,22113,0.59596,0.99585
294,294,2019,Hesse,Upper Secondary Level,"Yes, depending on situation",0.26507,199,22113,0.22699,0.30495
295,295,2019,Hesse,Upper Secondary Level,Rather not,0.3094,203,22113,0.26694,0.35181
296,296,2019,Hesse,Upper Secondary Level,Never,0.42554,253,22113,0.35828,0.49248
297,297,2019,Hesse,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.27338,43,22113,0.18153,0.4016
298,298,2019,Hesse,Post-secondary Non-tertiary Level,Rather not,0.44461,50,22113,0.31441,0.5753
299,299,2019,Hesse,Post-secondary Non-tertiary Level,Never,0.28201,46,22113,0.19376,0.40007
300,300,2019,Hesse,First Stage of Tertiary Education,"Yes, depending on situation",1.0,33,22113,0.55545,1.58331
301,301,2019,Hesse,Second Stage of Tertiary Education,"Yes, happily",0.0531,31,22113,0.02696,0.08447
302,302,2019,Hesse,Second Stage of Tertiary Education,"Yes, depending on situation",0.44197,222,22113,0.3652,0.50968
303,303,2019,Hesse,Second Stage of Tertiary Education,Rather not,0.28385,150,22113,0.22879,0.35789
304,304,2019,Hesse,Second Stage of Tertiary Education,Never,0.22109,113,22113,0.16414,0.28361
305,305,2019,"Rhineland-Palatinate, Saarland",Lower Secondary Level,"Yes, depending on situation",0.16444,34,22113,0.10798,0.23765
306,306,2019,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Rather not,0.25535,48,22113,0.17653,0.32263
307,307,2019,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.58021,100,22113,0.4555,0.69921
308,308,2019,"Rhineland-Palatinate, Saarland",Upper Secondary Level,"Yes, depending on situation",0.22105,145,22113,0.18529,0.25453
309,309,2019,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Rather not,0.30802,174,22113,0.25434,0.35662
310,310,2019,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.47093,277,22113,0.41937,0.51756
311,311,2019,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,"Yes, depending on situation",0.41553,34,22113,0.28232,0.60566
312,312,2019,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Rather not,0.25878,38,22113,0.19034,0.3262
313,313,2019,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Never,0.32569,36,22113,0.20515,0.4745
314,314,2019,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Never,1.0,35,22113,0.68764,1.37803
315,315,2019,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,"Yes, depending on situation",0.3793,101,22113,0.29765,0.46031
316,316,2019,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Rather not,0.33609,80,22113,0.22771,0.44395
317,317,2019,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Never,0.28461,73,22113,0.23165,0.34855
318,318,2019,Baden-Wuerttemberg,Lower Secondary Level,"Yes, depending on situation",0.13292,37,22113,0.09472,0.18524
319,319,2019,Baden-Wuerttemberg,Lower Secondary Level,Rather not,0.28276,53,22113,0.21884,0.36023
320,320,2019,Baden-Wuerttemberg,Lower Secondary Level,Never,0.58432,135,22113,0.48392,0.68261
321,321,2019,Baden-Wuerttemberg,Upper Secondary Level,"Yes, happily",0.03479,46,22113,0.02512,0.04495
322,322,2019,Baden-Wuerttemberg,Upper Secondary Level,"Yes, depending on situation",0.20183,249,22113,0.17328,0.23216
323,323,2019,Baden-Wuerttemberg,Upper Secondary Level,Rather not,0.33123,355,22113,0.29093,0.36621
324,324,2019,Baden-Wuerttemberg,Upper Secondary Level,Never,0.43215,475,22113,0.3881,0.46723
325,325,2019,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.25702,61,22113,0.19126,0.32412
326,326,2019,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Rather not,0.34797,77,22113,0.26884,0.44724
327,327,2019,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.39501,77,22113,0.29281,0.49915
328,328,2019,Baden-Wuerttemberg,First Stage of Tertiary Education,"Yes, depending on situation",0.21318,48,22113,0.13451,0.31351
329,329,2019,Baden-Wuerttemberg,First Stage of Tertiary Education,Rather not,0.32608,54,22113,0.23745,0.44491
330,330,2019,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.46074,80,22113,0.32827,0.5948
331,331,2019,Baden-Wuerttemberg,Second Stage of Tertiary Education,"Yes, happily",0.08044,65,22113,0.05719,0.11621
332,332,2019,Baden-Wuerttemberg,Second Stage of Tertiary Education,"Yes, depending on situation",0.3101,277,22113,0.26528,0.35602
333,333,2019,Baden-Wuerttemberg,Second Stage of Tertiary Education,Rather not,0.36456,299,22113,0.30392,0.41562
334,334,2019,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.2449,205,22113,0.21296,0.28533
335,335,2019,Bavaria,Lower Secondary Level,"Yes, depending on situation",0.17748,70,22113,0.12875,0.23344
336,336,2019,Bavaria,Lower Secondary Level,Rather not,0.22708,82,22113,0.17894,0.28739
337,337,2019,Bavaria,Lower Secondary Level,Never,0.59544,172,22113,0.49951,0.69518
338,338,2019,Bavaria,Upper Secondary Level,"Yes, happily",0.0315,57,22113,0.0213,0.03965
339,339,2019,Bavaria,Upper Secondary Level,"Yes, depending on situation",0.17083,326,22113,0.15348,0.1872
340,340,2019,Bavaria,Upper Secondary Level,Rather not,0.25674,479,22113,0.23343,0.28643
341,341,2019,Bavaria,Upper Secondary Level,Never,0.54093,893,22113,0.49945,0.58503
342,342,2019,Bavaria,Post-secondary Non-tertiary Level,"Yes, depending on situation",0.29531,79,22113,0.21173,0.41001
343,343,2019,Bavaria,Post-secondary Non-tertiary Level,Rather not,0.32857,88,22113,0.24606,0.40301
344,344,2019,Bavaria,Post-secondary Non-tertiary Level,Never,0.37612,106,22113,0.2944,0.47474
345,345,2019,Bavaria,First Stage of Tertiary Education,"Yes, depending on situation",0.19939,61,22113,0.14206,0.25025
346,346,2019,Bavaria,First Stage of Tertiary Education,Rather not,0.34873,94,22113,0.25334,0.47926
347,347,2019,Bavaria,First Stage of Tertiary Education,Never,0.45187,124,22113,0.34696,0.60032
348,348,2019,Bavaria,Second Stage of Tertiary Education,"Yes, happily",0.06712,65,22113,0.05016,0.0892
349,349,2019,Bavaria,Second Stage of Tertiary Education,"Yes, depending on situation",0.25161,325,22113,0.21592,0.28955
350,350,2019,Bavaria,Second Stage of Tertiary Education,Rather not,0.35428,333,22113,0.29896,0.41065
351,351,2019,Bavaria,Second Stage of Tertiary Education,Never,0.32698,320,22113,0.27028,0.37394
352,352,2019,Berlin,Upper Secondary Level,"Yes, happily",0.14272,57,22113,0.10646,0.18694
353,353,2019,Berlin,Upper Secondary Level,"Yes, depending on situation",0.28535,118,22113,0.24136,0.34081
354,354,2019,Berlin,Upper Secondary Level,Rather not,0.31006,84,22113,0.24521,0.3858
355,355,2019,Berlin,Upper Secondary Level,Never,0.26187,78,22113,0.20912,0.32208
356,356,2019,Berlin,Post-secondary Non-tertiary Level,"Yes, depending on situation",1.0,37,22113,0.75315,1.25845
357,357,2019,Berlin,Second Stage of Tertiary Education,"Yes, happily",0.21023,89,22113,0.17496,0.2538
358,358,2019,Berlin,Second Stage of Tertiary Education,"Yes, depending on situation",0.47737,217,22113,0.39286,0.55096
359,359,2019,Berlin,Second Stage of Tertiary Education,Rather not,0.21072,99,22113,0.16473,0.26498
360,360,2019,Berlin,Second Stage of Tertiary Education,Never,0.10168,49,22113,0.07159,0.13473
361,361,2019,Brandenburg,Lower Secondary Level,Never,1.0,45,22113,0.73907,1.36414
362,362,2019,Brandenburg,Upper Secondary Level,"Yes, happily",0.04457,33,22113,0.03088,0.05976
363,363,2019,Brandenburg,Upper Secondary Level,"Yes, depending on situation",0.22075,120,22113,0.17263,0.27159
364,364,2019,Brandenburg,Upper Secondary Level,Rather not,0.24999,125,22113,0.20489,0.30232
365,365,2019,Brandenburg,Upper Secondary Level,Never,0.4847,244,22113,0.42408,0.57118
366,366,2019,Brandenburg,First Stage of Tertiary Education,Never,1.0,37,22113,0.66712,1.34076
367,367,2019,Brandenburg,Second Stage of Tertiary Education,"Yes, depending on situation",0.37338,107,22113,0.28622,0.46355
368,368,2019,Brandenburg,Second Stage of Tertiary Education,Rather not,0.36025,84,22113,0.24749,0.47076
369,369,2019,Brandenburg,Second Stage of Tertiary Education,Never,0.26637,67,22113,0.17984,0.36423
370,370,2019,Mecklenburg-Western Pomerania,Upper Secondary Level,"Yes, depending on situation",0.31466,75,22113,0.22382,0.43961
371,371,2019,Mecklenburg-Western Pomerania,Upper Secondary Level,Rather not,0.30318,74,22113,0.21914,0.40758
372,372,2019,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.38216,115,22113,0.31596,0.44374
373,373,2019,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,"Yes, depending on situation",0.42338,61,22113,0.31807,0.55432
374,374,2019,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Rather not,0.31157,46,22113,0.21654,0.41652
375,375,2019,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Never,0.26505,44,22113,0.20121,0.32328
376,376,2019,Saxony,Lower Secondary Level,Never,1.0,44,22113,0.74675,1.34298
377,377,2019,Saxony,Upper Secondary Level,"Yes, happily",0.069,35,22113,0.04516,0.09169
378,378,2019,Saxony,Upper Secondary Level,"Yes, depending on situation",0.20999,162,22113,0.17151,0.25909
379,379,2019,Saxony,Upper Secondary Level,Rather not,0.29564,216,22113,0.25036,0.34636
380,380,2019,Saxony,Upper Secondary Level,Never,0.42537,332,22113,0.37439,0.47824
381,381,2019,Saxony,Post-secondary Non-tertiary Level,Rather not,1.0,31,22113,0.64341,1.50615
382,382,2019,Saxony,First Stage of Tertiary Education,Rather not,0.36887,33,22113,0.21445,0.5512
383,383,2019,Saxony,First Stage of Tertiary Education,Never,0.63113,74,22113,0.44983,0.84101
384,384,2019,Saxony,Second Stage of Tertiary Education,"Yes, depending on situation",0.28289,143,22113,0.23756,0.33666
385,385,2019,Saxony,Second Stage of Tertiary Education,Rather not,0.34698,154,22113,0.28548,0.41005
386,386,2019,Saxony,Second Stage of Tertiary Education,Never,0.37014,160,22113,0.29332,0.47771
387,387,2019,Saxony-Anhalt,Upper Secondary Level,"Yes, depending on situation",0.30423,125,22113,0.2478,0.36996
388,388,2019,Saxony-Anhalt,Upper Secondary Level,Rather not,0.20347,86,22113,0.16292,0.24439
389,389,2019,Saxony-Anhalt,Upper Secondary Level,Never,0.4923,185,22113,0.4232,0.57283
390,390,2019,Saxony-Anhalt,Second Stage of Tertiary Education,"Yes, depending on situation",0.43724,85,22113,0.29361,0.61527
391,391,2019,Saxony-Anhalt,Second Stage of Tertiary Education,Rather not,0.32176,73,22113,0.24914,0.38689
392,392,2019,Saxony-Anhalt,Second Stage of Tertiary Education,Never,0.241,61,22113,0.18584,0.30703
393,393,2019,Thuringa,Upper Secondary Level,"Yes, depending on situation",0.22981,108,22113,0.17862,0.29882
394,394,2019,Thuringa,Upper Secondary Level,Rather not,0.25791,124,22113,0.20875,0.30952
395,395,2019,Thuringa,Upper Secondary Level,Never,0.51227,228,22113,0.43232,0.5888
396,396,2019,Thuringa,First Stage of Tertiary Education,Never,1.0,35,22113,0.62192,1.59847
397,397,2019,Thuringa,Second Stage of Tertiary Education,"Yes, happily",0.12746,32,22113,0.07003,0.2116
398,398,2019,Thuringa,Second Stage of Tertiary Education,"Yes, depending on situation",0.3859,80,22113,0.27744,0.52266
399,399,2019,Thuringa,Second Stage of Tertiary Education,Rather not,0.28648,70,22113,0.2011,0.38414
400,400,2019,Thuringa,Second Stage of Tertiary Education,Never,0.20016,51,22113,0.14478,0.26575
