"plh0188","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar nicht","2011","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2011","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2012","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2012","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2012","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2012","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2012","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2012","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2012","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2012","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2012","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2012","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2012","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2012","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2012","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2012","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2012","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2012","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2013","Staedtischer Raum","maennlich","1000","","",""
"Stimmt ganz u.gar","2013","Staedtischer Raum","weiblich","1039","","",""
"Stimmt ganz u.gar","2013","Laendlicher Raum","maennlich","494","0.157292136974241","0.144728715228497","0.169855558719985"
"Stimmt ganz u.gar","2013","Laendlicher Raum","weiblich","470","0.119823034904365","0.109190930136579","0.130455139672151"
"Stimmt eher","2013","Staedtischer Raum","maennlich","3273","0.573635669420807","0.560660871983726","0.586610466857888"
"Stimmt eher","2013","Staedtischer Raum","weiblich","3679","0.561542353976633","0.549382874089002","0.573701833864265"
"Stimmt eher","2013","Laendlicher Raum","maennlich","1896","","",""
"Stimmt eher","2013","Laendlicher Raum","weiblich","2088","","",""
"Stimmt eher nicht","2013","Staedtischer Raum","maennlich","1150","","",""
"Stimmt eher nicht","2013","Staedtischer Raum","weiblich","1459","","",""
"Stimmt eher nicht","2013","Laendlicher Raum","maennlich","723","0.243871450282395","0.229053292726247","0.258689607838544"
"Stimmt eher nicht","2013","Laendlicher Raum","weiblich","896","0.26310201551928","0.248686510475759","0.277517520562801"
"Stimmt ganz u.gar nicht","2013","Staedtischer Raum","maennlich","158","","",""
"Stimmt ganz u.gar nicht","2013","Staedtischer Raum","weiblich","220","","",""
"Stimmt ganz u.gar nicht","2013","Laendlicher Raum","maennlich","113","","",""
"Stimmt ganz u.gar nicht","2013","Laendlicher Raum","weiblich","130","","",""
"Stimmt ganz u.gar","2014","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2014","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2014","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2014","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2014","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2014","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2014","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2014","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2014","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2014","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2014","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2014","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2014","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2014","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2014","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2014","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2015","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2015","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2015","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2015","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2015","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2015","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2015","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2015","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2015","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2015","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2015","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2015","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2015","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2015","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2015","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2015","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2016","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2016","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2016","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2016","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2016","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2016","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2016","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2016","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2016","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2016","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2016","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2016","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2016","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2016","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2016","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2016","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2017","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar","2017","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar","2017","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar","2017","Laendlicher Raum","weiblich","","","",""
"Stimmt eher","2017","Staedtischer Raum","maennlich","","","",""
"Stimmt eher","2017","Staedtischer Raum","weiblich","","","",""
"Stimmt eher","2017","Laendlicher Raum","maennlich","","","",""
"Stimmt eher","2017","Laendlicher Raum","weiblich","","","",""
"Stimmt eher nicht","2017","Staedtischer Raum","maennlich","","","",""
"Stimmt eher nicht","2017","Staedtischer Raum","weiblich","","","",""
"Stimmt eher nicht","2017","Laendlicher Raum","maennlich","","","",""
"Stimmt eher nicht","2017","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2017","Staedtischer Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2017","Staedtischer Raum","weiblich","","","",""
"Stimmt ganz u.gar nicht","2017","Laendlicher Raum","maennlich","","","",""
"Stimmt ganz u.gar nicht","2017","Laendlicher Raum","weiblich","","","",""
"Stimmt ganz u.gar","2018","Staedtischer Raum","maennlich","1366","","",""
"Stimmt ganz u.gar","2018","Staedtischer Raum","weiblich","1575","","",""
"Stimmt ganz u.gar","2018","Laendlicher Raum","maennlich","605","0.128748213575985","0.118570648865047","0.138925778286922"
"Stimmt ganz u.gar","2018","Laendlicher Raum","weiblich","764","0.150198922110295","0.140080385221711","0.160317458998879"
"Stimmt eher","2018","Staedtischer Raum","maennlich","4100","0.535013567798602","0.523771116619952","0.546256018977252"
"Stimmt eher","2018","Staedtischer Raum","weiblich","4770","0.517708127473428","0.507354737644977","0.528061517301878"
"Stimmt eher","2018","Laendlicher Raum","maennlich","2214","","",""
"Stimmt eher","2018","Laendlicher Raum","weiblich","2467","","",""
"Stimmt eher nicht","2018","Staedtischer Raum","maennlich","1753","","",""
"Stimmt eher nicht","2018","Staedtischer Raum","weiblich","2188","","",""
"Stimmt eher nicht","2018","Laendlicher Raum","maennlich","1113","","",""
"Stimmt eher nicht","2018","Laendlicher Raum","weiblich","1322","","",""
"Stimmt ganz u.gar nicht","2018","Staedtischer Raum","maennlich","342","0.0479950682269428","0.0431769619230965","0.0528131745307891"
"Stimmt ganz u.gar nicht","2018","Staedtischer Raum","weiblich","415","0.0470272551761545","0.0426409367235031","0.0514135736288058"
"Stimmt ganz u.gar nicht","2018","Laendlicher Raum","maennlich","228","","",""
"Stimmt ganz u.gar nicht","2018","Laendlicher Raum","weiblich","236","","",""
