year,regtyp,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Rural regions,East,Much Too Small,0.01014,47,2406,0.00613,0.01414
2011,Rural regions,East,A Bit Too Small,0.11663,343,2406,0.10381,0.12946
2011,Rural regions,East,Just Right,0.73254,1740,2406,0.71485,0.75023
2011,Rural regions,East,A Bit Too Large,0.12471,243,2406,0.11151,0.13791
2011,Rural regions,East,Much Too Large,0.01598,33,2406,0.01097,0.02099
2012,Urban regions,West,Much Too Small,0.01557,217,9143,0.01304,0.01811
2012,Urban regions,West,A Bit Too Small,0.12964,1471,9143,0.12275,0.13652
2012,Urban regions,West,Just Right,0.70421,6272,9143,0.69485,0.71357
2012,Urban regions,West,A Bit Too Large,0.12888,1022,9143,0.12201,0.13575
2012,Urban regions,West,Much Too Large,0.02170,161,9143,0.01871,0.02468
2012,Urban regions,East,Much Too Small,0.01444,35,1295,0.00794,0.02094
2012,Urban regions,East,A Bit Too Small,0.14496,232,1295,0.12577,0.16414
2012,Urban regions,East,Just Right,0.74257,914,1295,0.71875,0.76639
2012,Urban regions,East,A Bit Too Large,0.09663,114,1295,0.08053,0.11273
2012,Rural regions,West,Much Too Small,0.01579,65,3442,0.01163,0.01996
2012,Rural regions,West,A Bit Too Small,0.09283,448,3442,0.08314,0.10253
2012,Rural regions,West,Just Right,0.69041,2369,3442,0.67497,0.70586
2012,Rural regions,West,A Bit Too Large,0.17023,477,3442,0.15767,0.18279
2012,Rural regions,West,Much Too Large,0.03073,83,3442,0.02496,0.03650
2012,Rural regions,East,Much Too Small,0.01296,44,2407,0.00844,0.01748
2012,Rural regions,East,A Bit Too Small,0.11786,303,2407,0.10497,0.13074
2012,Rural regions,East,Just Right,0.73188,1764,2407,0.71418,0.74958
2012,Rural regions,East,A Bit Too Large,0.12210,261,2407,0.10902,0.13519
2012,Rural regions,East,Much Too Large,0.01520,35,2407,0.01031,0.02009
2013,Urban regions,West,Much Too Small,0.01798,336,10531,0.01544,0.02052
2013,Urban regions,West,A Bit Too Small,0.12923,1830,10531,0.12282,0.13564
2013,Urban regions,West,Just Right,0.70416,7164,10531,0.69545,0.71288
2013,Urban regions,West,A Bit Too Large,0.12866,1056,10531,0.12227,0.13506
2013,Urban regions,West,Much Too Large,0.01996,145,10531,0.01729,0.02263
2013,Urban regions,East,A Bit Too Small,0.15795,249,1280,0.13797,0.17794
2013,Urban regions,East,Just Right,0.73882,922,1280,0.71475,0.76290
2013,Urban regions,East,A Bit Too Large,0.08147,109,1280,0.06648,0.09646
2013,Rural regions,West,Much Too Small,0.01251,79,3674,0.00892,0.01611
2013,Rural regions,West,A Bit Too Small,0.09379,476,3674,0.08436,0.10322
2013,Rural regions,West,Just Right,0.68373,2542,3674,0.66869,0.69877
2013,Rural regions,West,A Bit Too Large,0.17357,496,3674,0.16133,0.18582
2013,Rural regions,West,Much Too Large,0.03639,81,3674,0.03034,0.04245
2013,Rural regions,East,Much Too Small,0.01000,40,2341,0.00597,0.01404
2013,Rural regions,East,A Bit Too Small,0.11045,296,2341,0.09775,0.12315
2013,Rural regions,East,Just Right,0.74711,1736,2341,0.72949,0.76472
2013,Rural regions,East,A Bit Too Large,0.11722,237,2341,0.10419,0.13026
2013,Rural regions,East,Much Too Large,0.01521,32,2341,0.01026,0.02017
2014,Urban regions,West,Much Too Small,0.01821,268,9170,0.01548,0.02095
2014,Urban regions,West,A Bit Too Small,0.13188,1524,9170,0.12495,0.13880
2014,Urban regions,West,Just Right,0.68906,6211,9170,0.67958,0.69853
2014,Urban regions,West,A Bit Too Large,0.13832,1025,9170,0.13126,0.14539
2014,Urban regions,West,Much Too Large,0.02253,142,9170,0.01949,0.02556
2014,Urban regions,East,Much Too Small,0.01450,32,1207,0.00775,0.02124
2014,Urban regions,East,A Bit Too Small,0.17891,237,1207,0.15728,0.20054
2014,Urban regions,East,Just Right,0.72523,826,1207,0.70004,0.75043
2014,Urban regions,East,A Bit Too Large,0.08042,112,1207,0.06508,0.09577
2014,Rural regions,West,Much Too Small,0.01216,70,3261,0.00840,0.01592
2014,Rural regions,West,A Bit Too Small,0.09032,414,3261,0.08048,0.10016
2014,Rural regions,West,Just Right,0.67830,2220,3261,0.66227,0.69434
2014,Rural regions,West,A Bit Too Large,0.18418,477,3261,0.17087,0.19748
2014,Rural regions,West,Much Too Large,0.03505,80,3261,0.02873,0.04136
2014,Rural regions,East,Much Too Small,0.02019,46,2134,0.01423,0.02616
2014,Rural regions,East,A Bit Too Small,0.11243,265,2134,0.09902,0.12584
2014,Rural regions,East,Just Right,0.73143,1589,2134,0.71262,0.75024
2014,Rural regions,East,A Bit Too Large,0.12454,234,2134,0.11053,0.13855
2015,Urban regions,West,Much Too Small,0.01990,295,9170,0.01704,0.02276
2015,Urban regions,West,A Bit Too Small,0.12315,1506,9170,0.11642,0.12988
2015,Urban regions,West,Just Right,0.69549,6213,9170,0.68607,0.70491
2015,Urban regions,West,A Bit Too Large,0.13899,1009,9170,0.13191,0.14607
2015,Urban regions,West,Much Too Large,0.02246,147,9170,0.01943,0.02549
2015,Urban regions,East,Much Too Small,0.01909,38,1200,0.01134,0.02683
2015,Urban regions,East,A Bit Too Small,0.15688,218,1200,0.13629,0.17746
2015,Urban regions,East,Just Right,0.75293,859,1200,0.72852,0.77735
2015,Urban regions,East,A Bit Too Large,0.06918,85,1200,0.05482,0.08354
2015,Rural regions,West,Much Too Small,0.00804,63,3303,0.00500,0.01109
2015,Rural regions,West,A Bit Too Small,0.08298,395,3303,0.07357,0.09239
2015,Rural regions,West,Just Right,0.69065,2327,3303,0.67489,0.70642
2015,Rural regions,West,A Bit Too Large,0.17863,439,3303,0.16556,0.19169
2015,Rural regions,West,Much Too Large,0.03970,79,3303,0.03304,0.04636
2015,Rural regions,East,Much Too Small,0.01821,44,2046,0.01242,0.02401
2015,Rural regions,East,A Bit Too Small,0.10297,244,2046,0.08979,0.11614
2015,Rural regions,East,Just Right,0.74306,1526,2046,0.72412,0.76200
2015,Rural regions,East,A Bit Too Large,0.12481,232,2046,0.11049,0.13914
2016,Urban regions,West,Much Too Small,0.01773,453,9555,0.01508,0.02037
2016,Urban regions,West,A Bit Too Small,0.12295,1557,9555,0.11637,0.12954
2016,Urban regions,West,Just Right,0.70440,6488,9555,0.69525,0.71355
2016,Urban regions,West,A Bit Too Large,0.13324,926,9555,0.12643,0.14006
2016,Urban regions,West,Much Too Large,0.02168,131,9555,0.01876,0.02460
2016,Urban regions,East,Much Too Small,0.01649,58,1259,0.00945,0.02353
2016,Urban regions,East,A Bit Too Small,0.17842,257,1259,0.15727,0.19958
2016,Urban regions,East,Just Right,0.70680,836,1259,0.68164,0.73196
2016,Urban regions,East,A Bit Too Large,0.09385,108,1259,0.07773,0.10996
2016,Rural regions,West,Much Too Small,0.00671,94,3373,0.00395,0.00947
2016,Rural regions,West,A Bit Too Small,0.08710,445,3373,0.07758,0.09662
2016,Rural regions,West,Just Right,0.67475,2322,3373,0.65893,0.69056
2016,Rural regions,West,A Bit Too Large,0.19351,431,3373,0.18017,0.20684
2016,Rural regions,West,Much Too Large,0.03794,81,3373,0.03149,0.04439
2016,Rural regions,East,Much Too Small,0.01393,80,2166,0.00899,0.01887
2016,Rural regions,East,A Bit Too Small,0.11617,296,2166,0.10267,0.12967
2016,Rural regions,East,Just Right,0.73781,1573,2166,0.71928,0.75634
2016,Rural regions,East,A Bit Too Large,0.12113,217,2166,0.10739,0.13488
2017,Urban regions,West,Much Too Small,0.02049,509,10611,0.01779,0.02318
2017,Urban regions,West,A Bit Too Small,0.11437,1701,10611,0.10832,0.12043
2017,Urban regions,West,Just Right,0.71097,7189,10611,0.70234,0.71959
2017,Urban regions,West,A Bit Too Large,0.12958,1058,10611,0.12319,0.13597
2017,Urban regions,West,Much Too Large,0.02459,154,10611,0.02164,0.02754
2017,Urban regions,East,Much Too Small,0.01868,51,1393,0.01156,0.02579
2017,Urban regions,East,A Bit Too Small,0.16961,274,1393,0.14990,0.18933
2017,Urban regions,East,Just Right,0.73749,957,1393,0.71438,0.76061
2017,Urban regions,East,A Bit Too Large,0.06837,111,1393,0.05511,0.08162
2017,Rural regions,West,Much Too Small,0.01112,133,3847,0.00781,0.01443
2017,Rural regions,West,A Bit Too Small,0.08251,470,3847,0.07382,0.09121
2017,Rural regions,West,Just Right,0.67601,2655,3847,0.66122,0.69080
2017,Rural regions,West,A Bit Too Large,0.19021,503,3847,0.17781,0.20261
2017,Rural regions,West,Much Too Large,0.04015,86,3847,0.03394,0.04635
2017,Rural regions,East,Much Too Small,0.01849,80,2359,0.01305,0.02392
2017,Rural regions,East,A Bit Too Small,0.10132,297,2359,0.08914,0.11350
2017,Rural regions,East,Just Right,0.74362,1740,2359,0.72600,0.76124
2017,Rural regions,East,A Bit Too Large,0.12473,242,2359,0.11140,0.13807
2018,Urban regions,West,Much Too Small,0.01895,495,10503,0.01634,0.02155
2018,Urban regions,West,A Bit Too Small,0.11528,1707,10503,0.10917,0.12139
2018,Urban regions,West,Just Right,0.71140,7083,10503,0.70274,0.72007
2018,Urban regions,West,A Bit Too Large,0.13405,1077,10503,0.12753,0.14056
2018,Urban regions,West,Much Too Large,0.02032,141,10503,0.01762,0.02302
2018,Urban regions,East,Much Too Small,0.01676,50,1408,0.01005,0.02347
2018,Urban regions,East,A Bit Too Small,0.15752,254,1408,0.13849,0.17656
2018,Urban regions,East,Just Right,0.75475,1010,1408,0.73227,0.77723
2018,Urban regions,East,A Bit Too Large,0.06490,94,1408,0.05203,0.07777
2018,Rural regions,West,Much Too Small,0.01256,107,3568,0.00891,0.01622
2018,Rural regions,West,A Bit Too Small,0.09136,444,3568,0.08191,0.10082
2018,Rural regions,West,Just Right,0.65944,2430,3568,0.64389,0.67500
2018,Rural regions,West,A Bit Too Large,0.20286,515,3568,0.18967,0.21606
2018,Rural regions,West,Much Too Large,0.03376,72,3568,0.02784,0.03969
2018,Rural regions,East,Much Too Small,0.01470,61,2337,0.00982,0.01958
2018,Rural regions,East,A Bit Too Small,0.09372,290,2337,0.08190,0.10554
2018,Rural regions,East,Just Right,0.75681,1751,2337,0.73941,0.77421
2018,Rural regions,East,A Bit Too Large,0.12927,235,2337,0.11567,0.14288
2019,No answer / don't know,Does not apply,Just Right,0.61415,40,40,0.46137,0.76693
2019,No answer / don't know,West,A Bit Too Small,0.10242,48,321,0.06920,0.13565
2019,No answer / don't know,West,Just Right,0.69000,228,321,0.63933,0.74068
2019,No answer / don't know,West,A Bit Too Large,0.14579,45,321,0.10713,0.18446
2019,No answer / don't know,East,Just Right,0.69381,41,41,0.55097,0.83665
2019,Urban regions,West,Much Too Small,0.01774,462,10543,0.01522,0.02026
2019,Urban regions,West,A Bit Too Small,0.11381,1511,10543,0.10775,0.11987
2019,Urban regions,West,Just Right,0.70941,7165,10543,0.70075,0.71808
2019,Urban regions,West,A Bit Too Large,0.13402,1203,10543,0.12751,0.14052
2019,Urban regions,West,Much Too Large,0.02502,202,10543,0.02204,0.02801
2019,Urban regions,East,Much Too Small,0.01654,41,1414,0.00989,0.02319
2019,Urban regions,East,A Bit Too Small,0.16413,232,1414,0.14482,0.18345
2019,Urban regions,East,Just Right,0.73432,1000,1414,0.71129,0.75735
2019,Urban regions,East,A Bit Too Large,0.08183,141,1414,0.06754,0.09612
2019,Rural regions,West,Much Too Small,0.00783,76,3566,0.00494,0.01072
2019,Rural regions,West,A Bit Too Small,0.08699,402,3566,0.07774,0.09624
2019,Rural regions,West,Just Right,0.67902,2485,3566,0.66369,0.69434
2019,Rural regions,West,A Bit Too Large,0.19270,513,3566,0.17976,0.20565
2019,Rural regions,West,Much Too Large,0.03346,90,3566,0.02756,0.03937
2019,Rural regions,East,Much Too Small,0.01083,47,2388,0.00668,0.01498
2019,Rural regions,East,A Bit Too Small,0.09089,286,2388,0.07936,0.10242
2019,Rural regions,East,Just Right,0.75697,1767,2388,0.73977,0.77418
2019,Rural regions,East,A Bit Too Large,0.13649,288,2388,0.12272,0.15026
2020,Urban regions,West,Much Too Small,0.01581,566,11822,0.01356,0.01806
2020,Urban regions,West,A Bit Too Small,0.12233,1933,11822,0.11642,0.12824
2020,Urban regions,West,Just Right,0.70402,7955,11822,0.69580,0.71225
2020,Urban regions,West,A Bit Too Large,0.13221,1177,11822,0.12610,0.13832
2020,Urban regions,West,Much Too Large,0.02563,191,11822,0.02278,0.02848
2020,Urban regions,East,Much Too Small,0.01650,56,1515,0.01009,0.02292
2020,Urban regions,East,A Bit Too Small,0.15840,263,1515,0.14001,0.17679
2020,Urban regions,East,Just Right,0.74480,1075,1515,0.72284,0.76676
2020,Urban regions,East,A Bit Too Large,0.07623,121,1515,0.06286,0.08959
2020,Rural regions,West,Much Too Small,0.00738,118,3605,0.00459,0.01018
2020,Rural regions,West,A Bit Too Small,0.09627,437,3605,0.08664,0.10590
2020,Rural regions,West,Just Right,0.65539,2439,3605,0.63987,0.67090
2020,Rural regions,West,A Bit Too Large,0.19864,521,3605,0.18561,0.21167
2020,Rural regions,West,Much Too Large,0.04232,90,3605,0.03574,0.04889
2020,Rural regions,East,Much Too Small,0.00702,51,2305,0.00361,0.01043
2020,Rural regions,East,A Bit Too Small,0.09509,252,2305,0.08311,0.10707
2020,Rural regions,East,Just Right,0.75572,1702,2305,0.73817,0.77326
2020,Rural regions,East,A Bit Too Large,0.12716,264,2305,0.11356,0.14077
2020,Rural regions,East,Much Too Large,0.01500,36,2305,0.01004,0.01997
2021,Urban regions,West,Much Too Small,0.01458,295,7584,0.01189,0.01728
2021,Urban regions,West,A Bit Too Small,0.11185,1141,7584,0.10475,0.11894
2021,Urban regions,West,Just Right,0.69995,5082,7584,0.68963,0.71026
2021,Urban regions,West,A Bit Too Large,0.14633,907,7584,0.13838,0.15429
2021,Urban regions,West,Much Too Large,0.02729,159,7584,0.02362,0.03096
2021,Urban regions,East,Much Too Small,0.02869,48,1023,0.01846,0.03893
2021,Urban regions,East,A Bit Too Small,0.15103,177,1023,0.12908,0.17298
2021,Urban regions,East,Just Right,0.73684,702,1023,0.70984,0.76384
2021,Urban regions,East,A Bit Too Large,0.07988,96,1023,0.06326,0.09650
2021,Rural regions,West,Much Too Small,0.00792,53,2384,0.00436,0.01147
2021,Rural regions,West,A Bit Too Small,0.09264,276,2384,0.08100,0.10428
2021,Rural regions,West,Just Right,0.66816,1589,2384,0.64926,0.68707
2021,Rural regions,West,A Bit Too Large,0.19104,395,2384,0.17525,0.20682
2021,Rural regions,West,Much Too Large,0.04024,71,2384,0.03235,0.04813
2021,Rural regions,East,Much Too Small,0.00939,32,1557,0.00460,0.01419
2021,Rural regions,East,A Bit Too Small,0.07262,145,1557,0.05972,0.08551
2021,Rural regions,East,Just Right,0.74233,1129,1557,0.72060,0.76406
2021,Rural regions,East,A Bit Too Large,0.15489,220,1557,0.13691,0.17286
2021,Rural regions,East,Much Too Large,0.02078,31,1557,0.01369,0.02786
2022,Urban regions,West,Much Too Small,0.02100,449,12366,0.01847,0.02353
2022,Urban regions,West,A Bit Too Small,0.14045,2211,12366,0.13433,0.14658
2022,Urban regions,West,Just Right,0.65695,7988,12366,0.64858,0.66531
2022,Urban regions,West,A Bit Too Large,0.15509,1501,12366,0.14871,0.16147
2022,Urban regions,West,Much Too Large,0.02651,217,12366,0.02368,0.02934
2022,Urban regions,East,Much Too Small,0.01941,61,1734,0.01292,0.02591
2022,Urban regions,East,A Bit Too Small,0.17019,371,1734,0.15249,0.18788
2022,Urban regions,East,Just Right,0.71466,1166,1734,0.69340,0.73592
2022,Urban regions,East,A Bit Too Large,0.08390,136,1734,0.07084,0.09695
2022,Rural regions,West,Much Too Small,0.01559,88,3678,0.01159,0.01960
2022,Rural regions,West,A Bit Too Small,0.09329,470,3678,0.08389,0.10269
2022,Rural regions,West,Just Right,0.65314,2423,3678,0.63775,0.66852
2022,Rural regions,West,A Bit Too Large,0.19386,594,3678,0.18108,0.20663
2022,Rural regions,West,Much Too Large,0.04413,103,3678,0.03749,0.05077
2022,Rural regions,East,Much Too Small,0.01381,63,2639,0.00936,0.01826
2022,Rural regions,East,A Bit Too Small,0.09831,355,2639,0.08695,0.10968
2022,Rural regions,East,Just Right,0.71512,1859,2639,0.69790,0.73235
2022,Rural regions,East,A Bit Too Large,0.14697,317,2639,0.13346,0.16048
2022,Rural regions,East,Much Too Large,0.02579,45,2639,0.01974,0.03183
