"pgcasmin","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"(1b) general elementary school","2002","35-65 Jahre alt","997","0.0862289428289665","0.0814585826157401","0.0909993030421929"
"(1b) general elementary school","2002","66 und älter","766","0.229890652117719","0.216199143457233","0.243582160778206"
"(1c) basic vocational qualification","2002","16-34 Jahre alt","817","0.148331271396662","0.139363239416038","0.157299303377286"
"(1c) basic vocational qualification","2002","35-65 Jahre alt","4195","0.375312479491814","0.367083729607509","0.383541229376119"
"(1c) basic vocational qualification","2002","66 und älter","1661","0.454023389772521","0.437822435949846","0.470224343595195"
"(2b) intermediate general qualification","2002","16-34 Jahre alt","527","0.0807829586222637","0.0739072993135011","0.0876586179310263"
"(2b) intermediate general qualification","2002","35-65 Jahre alt","95","0.00777084246530601","0.00627857734107184","0.00926310758954017"
"(2b) intermediate general qualification","2002","66 und älter","39","0.0129734157491264","0.00929122701670227","0.0166556044815505"
"(2a) intermediate vocational","2002","16-34 Jahre alt","1552","0.256667064851851","0.245646034509893","0.267688095193808"
"(2a) intermediate vocational","2002","35-65 Jahre alt","3400","0.247432837361738","0.240099405785839","0.254766268937638"
"(2a) intermediate vocational","2002","66 und älter","397","0.121273650455855","0.110651205195863","0.131896095715847"
"(2c_gen) general maturity certificate","2002","16-34 Jahre alt","748","0.110873318421752","0.102951209984807","0.118795426858696"
"(2c_gen) general maturity certificate","2002","35-65 Jahre alt","133","0.00985197934282052","0.00817349323006571","0.0115304654555753"
"(2c_gen) general maturity certificate","2002","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2002","16-34 Jahre alt","555","0.104025077720383","0.0963220335232392","0.111728121917526"
"(2c_voc) vocational maturity certificate","2002","35-65 Jahre alt","906","0.069498905397242","0.0651772177901316","0.0738205930043525"
"(2c_voc) vocational maturity certificate","2002","66 und älter","137","0.0401378970052377","0.0337509078081642","0.0465248862023112"
"(3a) lower tertiary education","2002","16-34 Jahre alt","260","0.0448632721284287","0.0396402281371243","0.0500863161197331"
"(3a) lower tertiary education","2002","35-65 Jahre alt","1303","0.0806825976528182","0.0760542217793859","0.0853109735262505"
"(3a) lower tertiary education","2002","66 und älter","242","0.0584012049065212","0.0507706116824717","0.0660317981305706"
"(3b) higher tertiary education","2002","16-34 Jahre alt","369","0.0635570893453698","0.057401521941486","0.0697126567492536"
"(3b) higher tertiary education","2002","35-65 Jahre alt","2095","0.108951763891844","0.103656669765897","0.114246858017791"
"(3b) higher tertiary education","2002","66 und älter","305","0.0602836746996143","0.0525388303057888","0.0680285190934399"
"(0) in school","2003","16-34 Jahre alt","619","0.0863784075082569","0.0790630777483585","0.0936937372681554"
"(0) in school","2003","35-65 Jahre alt","","","",""
"(0) in school","2003","66 und älter","","","",""
"(1a) inadequately completed","2003","16-34 Jahre alt","51","0.0115395388260549","0.00875840420583361","0.0143206734462763"
"(1a) inadequately completed","2003","35-65 Jahre alt","165","0.0149227438557201","0.0128116762875632","0.0170338114238771"
"(1a) inadequately completed","2003","66 und älter","65","0.0184726497180414","0.0141309811235805","0.0228143183125023"
"(1b) general elementary school","2003","16-34 Jahre alt","502","0.0995896567403704","0.091791795743642","0.107387517737099"
"(1b) general elementary school","2003","35-65 Jahre alt","904","0.0828978451506578","0.0780969400284666","0.0876987502728491"
"(1b) general elementary school","2003","66 und älter","764","0.225408365504871","0.211935428295947","0.238881302713795"
"(1c) basic vocational qualification","2003","16-34 Jahre alt","762","0.142463373291521","0.133361598510192","0.15156514807285"
"(1c) basic vocational qualification","2003","35-65 Jahre alt","3883","0.361913415762668","0.353546126298784","0.370280705226552"
"(1c) basic vocational qualification","2003","66 und älter","1702","0.452989298358275","0.436939013220354","0.469039583496195"
"(2b) intermediate general qualification","2003","16-34 Jahre alt","504","0.0830192850441764","0.0758344346510457","0.0902041354373072"
"(2b) intermediate general qualification","2003","35-65 Jahre alt","96","0.00836393111959989","0.00677822016351057","0.00994964207568921"
"(2b) intermediate general qualification","2003","66 und älter","35","0.0109923236392252","0.00763041850703347","0.014354228771417"
"(2a) intermediate vocational","2003","16-34 Jahre alt","1391","0.249539331929509","0.238270429833522","0.260808234025497"
"(2a) intermediate vocational","2003","35-65 Jahre alt","3381","0.255438620832138","0.247845222569507","0.263032019094769"
"(2a) intermediate vocational","2003","66 und älter","395","0.116624000214692","0.106274779850087","0.126973220579297"
"(2c_gen) general maturity certificate","2003","16-34 Jahre alt","729","0.112756592052933","0.104520133919278","0.120993050186589"
"(2c_gen) general maturity certificate","2003","35-65 Jahre alt","125","0.00941079694459386","0.00772966174307151","0.0110919321461162"
"(2c_gen) general maturity certificate","2003","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2003","16-34 Jahre alt","541","0.101930592567253","0.094051878133408","0.109809307001097"
"(2c_voc) vocational maturity certificate","2003","35-65 Jahre alt","893","0.0736282860136481","0.0690809438503373","0.0781756281769589"
"(2c_voc) vocational maturity certificate","2003","66 und älter","142","0.0447922986308915","0.0381228266515402","0.0514617706102428"
"(3a) lower tertiary education","2003","16-34 Jahre alt","231","0.0454175266379794","0.039995438139049","0.0508396151369098"
"(3a) lower tertiary education","2003","35-65 Jahre alt","1240","0.0812649599997041","0.0765073433128814","0.0860225766865268"
"(3a) lower tertiary education","2003","66 und älter","254","0.0609326593784534","0.0532198196913277","0.0686454990655792"
"(3b) higher tertiary education","2003","16-34 Jahre alt","335","0.0673656954019458","0.0608385509301404","0.0738928398737512"
"(3b) higher tertiary education","2003","35-65 Jahre alt","1984","0.11215940032127","0.106664902756108","0.117653897886432"
"(3b) higher tertiary education","2003","66 und älter","325","0.0651309858142226","0.0571747054535617","0.0730872661748834"
"(0) in school","2004","16-34 Jahre alt","642","0.0950936650478279","0.0872485715811537","0.102938758514502"
"(0) in school","2004","35-65 Jahre alt","","","",""
"(0) in school","2004","66 und älter","","","",""
"(1a) inadequately completed","2004","16-34 Jahre alt","44","0.0104086601747275","0.00769443500984998","0.0131228853396049"
"(1a) inadequately completed","2004","35-65 Jahre alt","157","0.0152104758702766","0.0130420043546256","0.0173789473859276"
"(1a) inadequately completed","2004","66 und älter","67","0.0201083907827153","0.015650008554395","0.0245667730110356"
"(1b) general elementary school","2004","16-34 Jahre alt","459","0.109341127720565","0.100995327423339","0.117686928017791"
"(1b) general elementary school","2004","35-65 Jahre alt","825","0.0817804629956022","0.0769252458516087","0.0866356801395957"
"(1b) general elementary school","2004","66 und älter","746","0.215397620483558","0.202340576042954","0.228454664924162"
"(1c) basic vocational qualification","2004","16-34 Jahre alt","686","0.139102559802699","0.129847829140818","0.148357290464579"
"(1c) basic vocational qualification","2004","35-65 Jahre alt","3661","0.354128864603568","0.345655337704147","0.36260239150299"
"(1c) basic vocational qualification","2004","66 und älter","1757","0.454795140638431","0.438979478164016","0.470610803112846"
"(2b) intermediate general qualification","2004","16-34 Jahre alt","476","0.083175993508368","0.0757907894168512","0.0905611975998848"
"(2b) intermediate general qualification","2004","35-65 Jahre alt","99","0.00880837461063261","0.00715284363408252","0.0104639055871827"
"(2b) intermediate general qualification","2004","66 und älter","37","0.0108673717647413","0.00757439135324569","0.0141603521762369"
"(2a) intermediate vocational","2004","16-34 Jahre alt","1269","0.239560336964749","0.228145746015041","0.250974927914457"
"(2a) intermediate vocational","2004","35-65 Jahre alt","3347","0.261667068843014","0.25387933204233","0.269454805643699"
"(2a) intermediate vocational","2004","66 und älter","411","0.115324694736131","0.105179678876213","0.125469710596048"
"(2c_gen) general maturity certificate","2004","16-34 Jahre alt","711","0.11018166934694","0.10180780612412","0.11855553256976"
"(2c_gen) general maturity certificate","2004","35-65 Jahre alt","126","0.0100352832878034","0.00826930529382514","0.0118012612817817"
"(2c_gen) general maturity certificate","2004","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2004","16-34 Jahre alt","539","0.103549200808294","0.0954010863709782","0.111697315245611"
"(2c_voc) vocational maturity certificate","2004","35-65 Jahre alt","885","0.0752297252467546","0.0705564401133384","0.0799030103801708"
"(2c_voc) vocational maturity certificate","2004","66 und älter","147","0.0448062843998943","0.038235536347664","0.0513770324521246"
"(3a) lower tertiary education","2004","16-34 Jahre alt","218","0.0434161056640283","0.0379659679035083","0.0488662434245483"
"(3a) lower tertiary education","2004","35-65 Jahre alt","1213","0.0815416119616619","0.0766928596495783","0.0863903642737456"
"(3a) lower tertiary education","2004","66 und älter","280","0.0667779840702204","0.0588491603721378","0.0747068077683031"
"(3b) higher tertiary education","2004","16-34 Jahre alt","327","0.0661706809618015","0.0595227412943442","0.0728186206292587"
"(3b) higher tertiary education","2004","35-65 Jahre alt","1924","0.111598132580686","0.106019293865444","0.117176971295928"
"(3b) higher tertiary education","2004","66 und älter","349","0.0672241035940494","0.0592707408864844","0.0751774663016144"
"(0) in school","2005","16-34 Jahre alt","656","0.104119267928265","0.0956672583964812","0.112571277460048"
"(0) in school","2005","35-65 Jahre alt","","","",""
"(0) in school","2005","66 und älter","","","",""
"(1a) inadequately completed","2005","16-34 Jahre alt","41","0.011635506483155","0.00866780276404909","0.0146032102022608"
"(1a) inadequately completed","2005","35-65 Jahre alt","145","0.0165001711483004","0.0141829720545667","0.0188173702420341"
"(1a) inadequately completed","2005","66 und älter","65","0.0201735328454996","0.0157086695342602","0.024638396156739"
"(1b) general elementary school","2005","16-34 Jahre alt","422","0.107088082610707","0.0985306358057738","0.115645529415639"
"(1b) general elementary school","2005","35-65 Jahre alt","742","0.0764247612408447","0.0715921131995423","0.0812574092821471"
"(1b) general elementary school","2005","66 und älter","712","0.205385722250242","0.192556335081152","0.218215109419331"
"(1c) basic vocational qualification","2005","16-34 Jahre alt","614","0.139083246353769","0.12950717625986","0.148659316447678"
"(1c) basic vocational qualification","2005","35-65 Jahre alt","3387","0.340681073304774","0.332060150504443","0.349301996105105"
"(1c) basic vocational qualification","2005","66 und älter","1752","0.458388530963201","0.442564999960631","0.474212061965771"
"(2b) intermediate general qualification","2005","16-34 Jahre alt","444","0.0889155397001238","0.0810389634573778","0.0967921159428698"
"(2b) intermediate general qualification","2005","35-65 Jahre alt","101","0.00909271804215389","0.00736610366361733","0.0108193324206904"
"(2b) intermediate general qualification","2005","66 und älter","36","0.0111068919785441","0.00777866027045407","0.0144351236866341"
"(2a) intermediate vocational","2005","16-34 Jahre alt","1153","0.227050810829885","0.215457530733175","0.238644090926596"
"(2a) intermediate vocational","2005","35-65 Jahre alt","3256","0.273125456546892","0.265020647242315","0.281230265851469"
"(2a) intermediate vocational","2005","66 und älter","409","0.113522553350324","0.103448191969488","0.12359691473116"
"(2c_gen) general maturity certificate","2005","16-34 Jahre alt","658","0.110000007362326","0.101341148002349","0.118658866722304"
"(2c_gen) general maturity certificate","2005","35-65 Jahre alt","125","0.0104255502040265","0.00857795974914646","0.0122731406589065"
"(2c_gen) general maturity certificate","2005","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2005","16-34 Jahre alt","505","0.10413975841972","0.0956870139252446","0.112592502914195"
"(2c_voc) vocational maturity certificate","2005","35-65 Jahre alt","866","0.0781214257918863","0.0732399187249515","0.0830029328588211"
"(2c_voc) vocational maturity certificate","2005","66 und älter","150","0.0453229322795461","0.0387170649091643","0.0519287996499279"
"(3a) lower tertiary education","2005","16-34 Jahre alt","198","0.0405205639265582","0.0350639289418678","0.0459771989112486"
"(3a) lower tertiary education","2005","35-65 Jahre alt","1159","0.0802256342910303","0.0752844709390589","0.0851667976430017"
"(3a) lower tertiary education","2005","66 und älter","296","0.0677268920355102","0.0597470415116993","0.0757067425593212"
"(3b) higher tertiary education","2005","16-34 Jahre alt","325","0.0674472163854912","0.0605067596103525","0.0743876731606299"
"(3b) higher tertiary education","2005","35-65 Jahre alt","1829","0.115403209430092","0.109591370036905","0.121215048823279"
"(3b) higher tertiary education","2005","66 und älter","373","0.0730839293807099","0.0648183413559252","0.0813495174054945"
"(0) in school","2006","16-34 Jahre alt","635","0.097216216948369","0.0890703984960462","0.105362035400692"
"(0) in school","2006","35-65 Jahre alt","","","",""
"(0) in school","2006","66 und älter","","","",""
"(1a) inadequately completed","2006","16-34 Jahre alt","38","0.0117324274277305","0.00877165720357719","0.0146931976518837"
"(1a) inadequately completed","2006","35-65 Jahre alt","131","0.0156906007127764","0.0135027865620847","0.0178784148634681"
"(1a) inadequately completed","2006","66 und älter","76","0.0200202538589478","0.0159154540451505","0.0241250536727451"
"(1b) general elementary school","2006","16-34 Jahre alt","422","0.107419966573388","0.0989058501627423","0.115934082984033"
"(1b) general elementary school","2006","35-65 Jahre alt","763","0.0731341771420687","0.0685507171029009","0.0777176371812364"
"(1b) general elementary school","2006","66 und älter","810","0.203358003661671","0.191562652483983","0.21515335483936"
"(1c) basic vocational qualification","2006","16-34 Jahre alt","612","0.139092167125096","0.129577290529468","0.148607043720725"
"(1c) basic vocational qualification","2006","35-65 Jahre alt","3539","0.321570009887648","0.313347297235468","0.329792722539829"
"(1c) basic vocational qualification","2006","66 und älter","2044","0.450069526722141","0.435490036490138","0.464649016954144"
"(2b) intermediate general qualification","2006","16-34 Jahre alt","460","0.0907605876966417","0.0828617849311683","0.098659390462115"
"(2b) intermediate general qualification","2006","35-65 Jahre alt","115","0.00980211256677448","0.0080677269391538","0.0115364981943952"
"(2b) intermediate general qualification","2006","66 und älter","36","0.00957468948204488","0.00672090050462421","0.0124284784594656"
"(2a) intermediate vocational","2006","16-34 Jahre alt","1140","0.220527135346887","0.209127131128505","0.23192713956527"
"(2a) intermediate vocational","2006","35-65 Jahre alt","3547","0.279315980574775","0.271417470737222","0.287214490412328"
"(2a) intermediate vocational","2006","66 und älter","503","0.120415908137318","0.110878524382404","0.129953291892231"
"(2c_gen) general maturity certificate","2006","16-34 Jahre alt","684","0.117566114387528","0.108709746177948","0.126422482597108"
"(2c_gen) general maturity certificate","2006","35-65 Jahre alt","129","0.0112367790009673","0.00938114681392815","0.0130924111880064"
"(2c_gen) general maturity certificate","2006","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2006","16-34 Jahre alt","516","0.103355773854706","0.0949852826733691","0.111726265036043"
"(2c_voc) vocational maturity certificate","2006","35-65 Jahre alt","953","0.0802333762933189","0.0754510282163865","0.0850157243702514"
"(2c_voc) vocational maturity certificate","2006","66 und älter","169","0.0419208849156454","0.0360478234052226","0.0477939464260683"
"(3a) lower tertiary education","2006","16-34 Jahre alt","211","0.0388143109390744","0.0335033503104374","0.0441252715677113"
"(3a) lower tertiary education","2006","35-65 Jahre alt","1235","0.0815552048121991","0.0767370894364644","0.0863733201879338"
"(3a) lower tertiary education","2006","66 und älter","362","0.0697620071207794","0.0622965713723531","0.0772274428692057"
"(3b) higher tertiary education","2006","16-34 Jahre alt","363","0.0735152997005796","0.0663393153066757","0.0806912840944834"
"(3b) higher tertiary education","2006","35-65 Jahre alt","1975","0.126714092873945","0.120857898126244","0.132570287621645"
"(3b) higher tertiary education","2006","66 und älter","444","0.0778900823864428","0.0700362600986799","0.0857439046742057"
"(0) in school","2007","16-34 Jahre alt","629","0.111639246615943","0.102599316215136","0.12067917701675"
"(0) in school","2007","35-65 Jahre alt","","","",""
"(0) in school","2007","66 und älter","","","",""
"(1a) inadequately completed","2007","16-34 Jahre alt","35","0.0105951886130857","0.00765616340139688","0.0135342138247746"
"(1a) inadequately completed","2007","35-65 Jahre alt","115","0.0152961336811619","0.0130478769289154","0.0175443904334083"
"(1a) inadequately completed","2007","66 und älter","67","0.0180890794945165","0.014146684727968","0.0220314742610651"
"(1b) general elementary school","2007","16-34 Jahre alt","355","0.0920452160094109","0.0837468100325623","0.100343621986259"
"(1b) general elementary school","2007","35-65 Jahre alt","665","0.0733826364925764","0.0686057037993495","0.0781595691858034"
"(1b) general elementary school","2007","66 und älter","746","0.193678440995731","0.181988546080281","0.20536833591118"
"(1c) basic vocational qualification","2007","16-34 Jahre alt","514","0.129231352620151","0.11960199550695","0.138860709733352"
"(1c) basic vocational qualification","2007","35-65 Jahre alt","3139","0.308430383766043","0.299969830208971","0.316890937323115"
"(1c) basic vocational qualification","2007","66 und älter","2001","0.457498021578496","0.442760953009272","0.47223509014772"
"(2b) intermediate general qualification","2007","16-34 Jahre alt","417","0.0914463244428188","0.0831722318163055","0.099720417069332"
"(2b) intermediate general qualification","2007","35-65 Jahre alt","101","0.0102450350414516","0.00840034748497154","0.0120897225979317"
"(2b) intermediate general qualification","2007","66 und älter","38","0.01025749570678","0.00727693745879605","0.013238053954764"
"(2a) intermediate vocational","2007","16-34 Jahre alt","1004","0.216882146721298","0.205052073829647","0.22871221961295"
"(2a) intermediate vocational","2007","35-65 Jahre alt","3372","0.28491780129355","0.276649048178447","0.293186554408653"
"(2a) intermediate vocational","2007","66 und älter","518","0.118962454706287","0.109385708077338","0.128539201335237"
"(2c_gen) general maturity certificate","2007","16-34 Jahre alt","675","0.128857108578295","0.119239638452026","0.138474578704563"
"(2c_gen) general maturity certificate","2007","35-65 Jahre alt","125","0.0120601068537885","0.0100605070346655","0.0140597066729114"
"(2c_gen) general maturity certificate","2007","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2007","16-34 Jahre alt","476","0.0958315666063989","0.0873818737900269","0.104281259422771"
"(2c_voc) vocational maturity certificate","2007","35-65 Jahre alt","909","0.0837004441244934","0.0786272104224973","0.0887736778264895"
"(2c_voc) vocational maturity certificate","2007","66 und älter","178","0.0476924740239803","0.0413882829885028","0.0539966650594578"
"(3a) lower tertiary education","2007","16-34 Jahre alt","207","0.0441465205617594","0.0382498636580026","0.0500431774655162"
"(3a) lower tertiary education","2007","35-65 Jahre alt","1146","0.0821839535312281","0.07715273029411","0.0872151767683463"
"(3a) lower tertiary education","2007","66 und älter","361","0.0699874454680289","0.0624405157149383","0.0775343752211196"
"(3b) higher tertiary education","2007","16-34 Jahre alt","350","0.0793253292308394","0.0715678433171223","0.0870828151445565"
"(3b) higher tertiary education","2007","35-65 Jahre alt","1875","0.129783505215707","0.123627121867155","0.135939888564259"
"(3b) higher tertiary education","2007","66 und älter","463","0.0798224942040984","0.0718054498900358","0.0878395385181609"
"(0) in school","2008","16-34 Jahre alt","558","0.108038092393872","0.0986453597917938","0.11743082499595"
"(0) in school","2008","35-65 Jahre alt","","","",""
"(0) in school","2008","66 und älter","","","",""
"(1a) inadequately completed","2008","16-34 Jahre alt","33","0.0115985153594955","0.00835886421354218","0.0148381665054487"
"(1a) inadequately completed","2008","35-65 Jahre alt","101","0.0141702192880642","0.0119268661748527","0.0164135724012757"
"(1a) inadequately completed","2008","66 und älter","56","0.0146713637680441","0.0110975730352996","0.0182451545007887"
"(1b) general elementary school","2008","16-34 Jahre alt","321","0.0910606641132925","0.0823557757215882","0.0997655525049969"
"(1b) general elementary school","2008","35-65 Jahre alt","593","0.0735166428850259","0.0685630531922306","0.0784702325778212"
"(1b) general elementary school","2008","66 und älter","702","0.183157130599084","0.171660131429635","0.194654129768534"
"(1c) basic vocational qualification","2008","16-34 Jahre alt","433","0.12392839042489","0.113958610788786","0.133898170060994"
"(1c) basic vocational qualification","2008","35-65 Jahre alt","2878","0.302738109899657","0.294017639778557","0.311458580020756"
"(1c) basic vocational qualification","2008","66 und älter","1964","0.454265171211704","0.439465608639936","0.469064733783471"
"(2b) intermediate general qualification","2008","16-34 Jahre alt","380","0.088441448324897","0.0798503130167331","0.0970325836330609"
"(2b) intermediate general qualification","2008","35-65 Jahre alt","94","0.0102471942951903","0.00833569455810741","0.0121586940322731"
"(2b) intermediate general qualification","2008","66 und älter","39","0.011769833462606","0.00856417289011125","0.0149754940351008"
"(2a) intermediate vocational","2008","16-34 Jahre alt","923","0.220165985121784","0.207628612032682","0.232703358210886"
"(2a) intermediate vocational","2008","35-65 Jahre alt","3210","0.291164518758124","0.282541678592926","0.299787358923323"
"(2a) intermediate vocational","2008","66 und älter","522","0.122729221263032","0.112976088312514","0.132482354213549"
"(2c_gen) general maturity certificate","2008","16-34 Jahre alt","601","0.138214795426428","0.127772231664077","0.148657359188779"
"(2c_gen) general maturity certificate","2008","35-65 Jahre alt","121","0.0126657400109409","0.0105432005434216","0.0147882794784602"
"(2c_gen) general maturity certificate","2008","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2008","16-34 Jahre alt","416","0.0938615526028956","0.0850374307415446","0.102685674464247"
"(2c_voc) vocational maturity certificate","2008","35-65 Jahre alt","868","0.0848516950266815","0.0795625632501447","0.0901408268032182"
"(2c_voc) vocational maturity certificate","2008","66 und älter","167","0.0467333845284564","0.0404596789659176","0.0530070900909951"
"(3a) lower tertiary education","2008","16-34 Jahre alt","197","0.0448040889142446","0.0385446500244124","0.0510635278040768"
"(3a) lower tertiary education","2008","35-65 Jahre alt","1068","0.080307174246532","0.075148869951691","0.0854654785413731"
"(3a) lower tertiary education","2008","66 und älter","384","0.0765578192416985","0.0686546195687375","0.0844610189146595"
"(3b) higher tertiary education","2008","16-34 Jahre alt","334","0.0798864673182005","0.0716831848027094","0.0880897498336916"
"(3b) higher tertiary education","2008","35-65 Jahre alt","1730","0.130338705589784","0.123948421599787","0.136728989579781"
"(3b) higher tertiary education","2008","66 und älter","495","0.0857818717017156","0.077457988135338","0.0941057552680931"
"(0) in school","2009","16-34 Jahre alt","507","0.108441936856255","0.0985700068932256","0.118313866819285"
"(0) in school","2009","35-65 Jahre alt","","","",""
"(0) in school","2009","66 und älter","","","",""
"(1a) inadequately completed","2009","16-34 Jahre alt","","","",""
"(1a) inadequately completed","2009","35-65 Jahre alt","93","0.0143879214757363","0.0120382477266109","0.0167375952248616"
"(1a) inadequately completed","2009","66 und älter","56","0.0161504665320296","0.0123423037328365","0.0199586293312227"
"(1b) general elementary school","2009","16-34 Jahre alt","284","0.0854499628346719","0.0765745555499537","0.0943253701193901"
"(1b) general elementary school","2009","35-65 Jahre alt","514","0.0676052798748871","0.0626513969666995","0.0725591627830748"
"(1b) general elementary school","2009","66 und älter","636","0.172418764095688","0.161006910021803","0.183830618169573"
"(1c) basic vocational qualification","2009","16-34 Jahre alt","372","0.120184615619275","0.109860595744878","0.130508635493673"
"(1c) basic vocational qualification","2009","35-65 Jahre alt","2587","0.293241797454293","0.284259159575024","0.302224435333561"
"(1c) basic vocational qualification","2009","66 und älter","1889","0.447717244049968","0.432694776287441","0.462739711812495"
"(2b) intermediate general qualification","2009","16-34 Jahre alt","332","0.0825665041230262","0.0738283870060432","0.0913046212400093"
"(2b) intermediate general qualification","2009","35-65 Jahre alt","88","0.00996325450873451","0.00800358968950138","0.0119229193279676"
"(2b) intermediate general qualification","2009","66 und älter","34","0.00978309883921599","0.00680963941773492","0.0127565582606971"
"(2a) intermediate vocational","2009","16-34 Jahre alt","812","0.211482679512084","0.198517705889777","0.224447653134391"
"(2a) intermediate vocational","2009","35-65 Jahre alt","3049","0.296493576435765","0.287482073989745","0.305505078881785"
"(2a) intermediate vocational","2009","66 und älter","534","0.134892179303338","0.1245720026148","0.145212355991877"
"(2c_gen) general maturity certificate","2009","16-34 Jahre alt","567","0.141498543745537","0.130432939857286","0.152564147633789"
"(2c_gen) general maturity certificate","2009","35-65 Jahre alt","111","0.0139043178678821","0.0115939033794798","0.0162147323562844"
"(2c_gen) general maturity certificate","2009","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2009","16-34 Jahre alt","372","0.0970248271342852","0.0876274217832459","0.106422232485325"
"(2c_voc) vocational maturity certificate","2009","35-65 Jahre alt","806","0.0859690839384534","0.0804380398638837","0.0915001280130231"
"(2c_voc) vocational maturity certificate","2009","66 und älter","151","0.0443476795999325","0.0381283433444938","0.0505670158553713"
"(3a) lower tertiary education","2009","16-34 Jahre alt","184","0.0479811481461012","0.0411955723058584","0.054766723986344"
"(3a) lower tertiary education","2009","35-65 Jahre alt","1021","0.085700402741075","0.0801771969815128","0.0912236085006372"
"(3a) lower tertiary education","2009","66 und älter","381","0.0787583922569615","0.070620839419885","0.0868959450940381"
"(3b) higher tertiary education","2009","16-34 Jahre alt","356","0.0958240346542986","0.0864787545639231","0.105169314744674"
"(3b) higher tertiary education","2009","35-65 Jahre alt","1598","0.132734365703174","0.126039786482863","0.139428944923485"
"(3b) higher tertiary education","2009","66 und älter","509","0.0914049170344915","0.0826987178555316","0.100111116213451"
"(0) in school","2010","16-34 Jahre alt","710","0.10067805918775","0.093384313025684","0.107971805349817"
"(0) in school","2010","35-65 Jahre alt","","","",""
"(0) in school","2010","66 und älter","","","",""
"(1a) inadequately completed","2010","16-34 Jahre alt","135","0.0124006000153422","0.00971811446452981","0.0150830855661546"
"(1a) inadequately completed","2010","35-65 Jahre alt","174","0.013737778110799","0.0117638477849541","0.015711708436644"
"(1a) inadequately completed","2010","66 und älter","51","0.0152952411115816","0.0115225695513453","0.0190679126718179"
"(1b) general elementary school","2010","16-34 Jahre alt","607","0.0867338182865669","0.079911710861569","0.0935559257115647"
"(1b) general elementary school","2010","35-65 Jahre alt","735","0.0722721918835068","0.0678810924466413","0.0766632913203723"
"(1b) general elementary school","2010","66 und älter","587","0.169057942860038","0.157536125769448","0.180579759950629"
"(1c) basic vocational qualification","2010","16-34 Jahre alt","779","0.111371952125412","0.103746360261125","0.118997543989699"
"(1c) basic vocational qualification","2010","35-65 Jahre alt","3105","0.279187058004971","0.271579657160656","0.286794458849286"
"(1c) basic vocational qualification","2010","66 und älter","1763","0.44156161379638","0.426296462828495","0.456826764764266"
"(2b) intermediate general qualification","2010","16-34 Jahre alt","472","0.0932178353847167","0.0861704726668977","0.100265198102536"
"(2b) intermediate general qualification","2010","35-65 Jahre alt","155","0.00882673396305486","0.00724055502108141","0.0104129129050283"
"(2b) intermediate general qualification","2010","66 und älter","36","0.0102455554676242","0.00714992365701814","0.0133411872782303"
"(2a) intermediate vocational","2010","16-34 Jahre alt","1553","0.202443294053677","0.192703312911188","0.212183275196166"
"(2a) intermediate vocational","2010","35-65 Jahre alt","4077","0.294532456594717","0.286802403618904","0.302262509570529"
"(2a) intermediate vocational","2010","66 und älter","553","0.140162034079856","0.129490144562427","0.150833923597285"
"(2c_gen) general maturity certificate","2010","16-34 Jahre alt","679","0.143275163890916","0.13478273794687","0.151767589834961"
"(2c_gen) general maturity certificate","2010","35-65 Jahre alt","227","0.0171713830934462","0.0149683607248631","0.0193744054620294"
"(2c_gen) general maturity certificate","2010","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2010","16-34 Jahre alt","682","0.0987656802070167","0.0915338616178116","0.105997498796222"
"(2c_voc) vocational maturity certificate","2010","35-65 Jahre alt","1323","0.0921362924770449","0.0872316984455908","0.0970408865084991"
"(2c_voc) vocational maturity certificate","2010","66 und älter","153","0.0454193774853793","0.039018423401109","0.0518203315696495"
"(3a) lower tertiary education","2010","16-34 Jahre alt","292","0.0557948814286929","0.0502312802865761","0.0613584825708098"
"(3a) lower tertiary education","2010","35-65 Jahre alt","1267","0.0847225773097632","0.0800002800058392","0.0894448746136872"
"(3a) lower tertiary education","2010","66 und älter","388","0.0809389196779482","0.0725545830756163","0.0893232562802801"
"(3b) higher tertiary education","2010","16-34 Jahre alt","629","0.0953187154199089","0.088200640965971","0.102436789873847"
"(3b) higher tertiary education","2010","35-65 Jahre alt","2295","0.137413528562697","0.131575134039968","0.143251923085427"
"(3b) higher tertiary education","2010","66 und älter","515","0.0915933284127604","0.0827260591953012","0.10046059763022"
"(0) in school","2011","16-34 Jahre alt","897","0.102962328258681","0.0957315393759453","0.110193117141417"
"(0) in school","2011","35-65 Jahre alt","","","",""
"(0) in school","2011","66 und älter","","","",""
"(1a) inadequately completed","2011","16-34 Jahre alt","127","0.0140525664771051","0.0112520001159085","0.0168531328383016"
"(1a) inadequately completed","2011","35-65 Jahre alt","225","0.0156180984978874","0.0137127391367592","0.0175234578590156"
"(1a) inadequately completed","2011","66 und älter","76","0.0185363485715977","0.0148639603096999","0.0222087368334955"
