year,migback,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.45041,75,146,0.36942,0.53139
1994,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31997,39,146,0.24404,0.39590
1994,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.22308,32,146,0.15532,0.29084
1995,No migration background,Pre-primary Level,(0) No qualification (yet),0.94013,175,175,0.90488,0.97539
1995,No migration background,Primary Level,(1a) Inadequately completed,0.68429,41,41,0.54025,0.82833
1995,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81708,1177,1545,0.79780,0.83637
1995,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18292,368,1545,0.16363,0.20220
1995,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.61268,3064,5492,0.59979,0.62556
1995,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.33561,2148,5492,0.32312,0.34810
1995,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04814,280,5492,0.04248,0.05380
1995,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.41058,250,682,0.37363,0.44753
1995,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.40031,324,682,0.36351,0.43711
1995,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.18665,108,682,0.15738,0.21591
1995,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46632,810,1549,0.44147,0.49118
1995,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53368,739,1549,0.50882,0.55853
1995,Direct migration background,Pre-primary Level,(0) No qualification (yet),0.97735,37,37,0.92874,1.02595
1995,Direct migration background,Primary Level,(1a) Inadequately completed,0.97052,457,457,0.95499,0.98604
1995,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.91735,739,780,0.89801,0.93668
1995,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.08265,41,780,0.06332,0.10199
1995,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03384,58,965,0.02243,0.04525
1995,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.66409,658,965,0.63427,0.69390
1995,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.15425,105,965,0.13145,0.17705
1995,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.14782,144,965,0.12542,0.17023
1995,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.24059,47,192,0.17997,0.30121
1995,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.75941,145,192,0.69879,0.82003
1995,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.59196,101,167,0.51720,0.66673
1995,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.40804,66,167,0.33327,0.48280
1995,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.39468,84,172,0.32142,0.46794
1995,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.33475,46,172,0.26402,0.40548
1995,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.26577,42,172,0.19956,0.33198
1996,No migration background,Pre-primary Level,(0) No qualification (yet),0.98673,204,204,0.97099,1.00247
1996,No migration background,Primary Level,(1a) Inadequately completed,0.70380,39,39,0.55863,0.84897
1996,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81142,1125,1488,0.79154,0.83130
1996,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18858,363,1488,0.16870,0.20846
1996,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.61096,3006,5410,0.59797,0.62395
1996,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.34050,2149,5410,0.32787,0.35313
1996,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04427,255,5410,0.03879,0.04975
1996,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.40483,242,678,0.36786,0.44181
1996,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.39698,329,678,0.36013,0.43384
1996,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19092,107,678,0.16131,0.22053
1996,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.47017,816,1563,0.44542,0.49492
1996,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.52983,747,1563,0.50508,0.55458
1996,Direct migration background,Primary Level,(1a) Inadequately completed,0.97432,417,417,0.95912,0.98952
1996,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.90801,684,725,0.88696,0.92906
1996,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.09199,41,725,0.07094,0.11304
1996,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03329,53,910,0.02163,0.04495
1996,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67051,633,910,0.63995,0.70106
1996,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.15135,93,910,0.12805,0.17465
1996,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.14486,131,910,0.12198,0.16774
1996,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.25514,47,185,0.19215,0.31813
1996,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.74486,138,185,0.68187,0.80785
1996,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.60714,106,172,0.53394,0.68034
1996,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.39286,66,172,0.31966,0.46606
1996,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.38046,90,191,0.31143,0.44950
1996,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.33912,54,191,0.27180,0.40644
1996,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.27603,47,191,0.21247,0.33960
1997,No migration background,Pre-primary Level,(0) No qualification (yet),0.99106,220,220,0.97859,1.00353
1997,No migration background,Primary Level,(1a) Inadequately completed,0.70791,38,38,0.56139,0.85443
1997,No migration background,Lower Secondary Level,(1b) General Elementary School,0.80984,1087,1441,0.78957,0.83011
1997,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.19016,354,1441,0.16989,0.21043
1997,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.60741,2932,5321,0.59429,0.62053
1997,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.34156,2122,5321,0.32881,0.35430
1997,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04736,267,5321,0.04165,0.05307
1997,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.38259,235,678,0.34597,0.41920
1997,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.39591,323,678,0.35907,0.43275
1997,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.21414,120,678,0.18324,0.24505
1997,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.47763,812,1568,0.45290,0.50237
1997,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.52237,756,1568,0.49763,0.54710
1997,Direct migration background,Primary Level,(1a) Inadequately completed,0.95199,389,389,0.93072,0.97326
1997,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89511,644,691,0.87225,0.91797
1997,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10489,47,691,0.08203,0.12775
1997,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03383,51,874,0.02184,0.04583
1997,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67782,609,874,0.64682,0.70882
1997,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.15415,93,874,0.13020,0.17810
1997,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.13420,121,874,0.11158,0.15681
1997,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.27407,50,181,0.20891,0.33923
1997,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.72593,131,181,0.66077,0.79109
1997,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.62496,121,197,0.55718,0.69273
1997,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.37504,76,197,0.30727,0.44282
1997,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.35161,87,176,0.28086,0.42235
1997,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35510,47,176,0.28420,0.42600
1997,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.27562,42,176,0.20942,0.34182
1998,No migration background,Pre-primary Level,(0) No qualification (yet),0.99170,233,233,0.98003,1.00337
1998,No migration background,Primary Level,(1a) Inadequately completed,0.67907,44,44,0.53953,0.81860
1998,No migration background,Lower Secondary Level,(1b) General Elementary School,0.80001,1264,1686,0.78091,0.81911
1998,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.19999,422,1686,0.18089,0.21909
1998,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.58853,3213,5886,0.57596,0.60111
1998,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35342,2350,5886,0.34120,0.36563
1998,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05342,323,5886,0.04768,0.05917
1998,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.37366,253,739,0.33876,0.40857
1998,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.40085,343,739,0.36550,0.43621
1998,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.21880,143,739,0.18898,0.24863
1998,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.48381,900,1755,0.46042,0.50720
1998,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.51619,855,1755,0.49280,0.53958
1998,Direct migration background,Primary Level,(1a) Inadequately completed,0.96261,358,358,0.94293,0.98229
1998,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.90266,617,658,0.87999,0.92533
1998,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.09734,41,658,0.07467,0.12001
1998,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03285,45,825,0.02068,0.04502
1998,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.68945,577,825,0.65785,0.72104
1998,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.14343,91,825,0.11950,0.16737
1998,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.13427,112,825,0.11099,0.15755
1998,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.27358,53,190,0.21002,0.33713
1998,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.72642,137,190,0.66287,0.78998
1998,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.64963,120,195,0.58250,0.71677
1998,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.35037,75,195,0.28323,0.41750
1998,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.32800,87,189,0.26089,0.39511
1998,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.37147,56,189,0.30240,0.44054
1998,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.29459,46,189,0.22943,0.35975
1999,No migration background,Pre-primary Level,(0) No qualification (yet),0.99749,230,230,0.99100,1.00397
1999,No migration background,Primary Level,(1a) Inadequately completed,0.71173,47,47,0.58083,0.84263
1999,No migration background,Lower Secondary Level,(1b) General Elementary School,0.79069,1217,1636,0.77097,0.81041
1999,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.20931,419,1636,0.18959,0.22903
1999,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.59195,3171,5844,0.57935,0.60456
1999,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35187,2350,5844,0.33963,0.36412
1999,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05194,323,5844,0.04625,0.05763
1999,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.37204,245,737,0.33712,0.40696
1999,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.39794,346,737,0.36258,0.43331
1999,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22334,146,737,0.19325,0.25343
1999,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.47329,887,1754,0.44992,0.49666
1999,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.52671,867,1754,0.50334,0.55008
1999,Direct migration background,Primary Level,(1a) Inadequately completed,0.96689,337,337,0.94776,0.98602
1999,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89826,568,611,0.87427,0.92225
1999,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10174,43,611,0.07775,0.12573
1999,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03797,46,769,0.02445,0.05149
1999,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69447,543,769,0.66189,0.72704
1999,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.13023,81,769,0.10643,0.15403
1999,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.13733,99,769,0.11299,0.16168
1999,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.27599,52,179,0.21032,0.34166
1999,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.72401,127,179,0.65834,0.78968
1999,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.64429,121,192,0.57639,0.71218
1999,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.35571,71,192,0.28782,0.42361
1999,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.37376,94,198,0.30620,0.44132
1999,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35782,55,198,0.29088,0.42476
1999,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.25518,49,198,0.19430,0.31606
2000,No migration background,Primary Level,(1a) Inadequately completed,0.74826,68,104,0.66444,0.83208
2000,No migration background,Primary Level,(1b) General Elementary School,0.25174,36,104,0.16792,0.33556
2000,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81413,1881,2443,0.79870,0.82956
2000,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18587,562,2443,0.17044,0.20130
2000,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.57970,6137,11202,0.57056,0.58884
2000,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.37011,4480,11202,0.36117,0.37905
2000,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04845,585,11202,0.04448,0.05243
2000,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.34595,543,1644,0.32294,0.36895
2000,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.42626,761,1644,0.40235,0.45018
2000,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22242,340,1644,0.20231,0.24253
2000,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.45966,1591,3365,0.44282,0.47651
2000,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.54034,1774,3365,0.52349,0.55718
2000,Direct migration background,Primary Level,(1a) Inadequately completed,0.98827,282,282,0.97568,1.00086
2000,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89029,779,851,0.86928,0.91130
2000,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10971,72,851,0.08870,0.13072
2000,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03595,38,1224,0.02552,0.04639
2000,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.71204,899,1224,0.68666,0.73741
2000,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.12947,145,1224,0.11066,0.14829
2000,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.12172,142,1224,0.10339,0.14004
2000,Direct migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.33127,67,188,0.26381,0.39873
2000,Direct migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.21706,38,188,0.15797,0.27615
2000,Direct migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.43038,83,188,0.35941,0.50134
2000,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.23535,90,398,0.19362,0.27708
2000,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.76465,308,398,0.72292,0.80638
2000,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.59736,159,259,0.53751,0.65720
2000,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.40264,100,259,0.34280,0.46249
2000,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.44021,152,342,0.38752,0.49289
2000,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35568,118,342,0.30487,0.40649
2000,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.19977,72,342,0.15734,0.24221
2000,Indirect migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.60854,35,35,0.44448,0.77260
2001,No migration background,Primary Level,(1a) Inadequately completed,0.72681,59,90,0.63423,0.81938
2001,No migration background,Primary Level,(1b) General Elementary School,0.27319,31,90,0.18062,0.36577
2001,No migration background,Lower Secondary Level,(1b) General Elementary School,0.80916,1578,2077,0.79226,0.82607
2001,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.19084,499,2077,0.17393,0.20774
2001,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.57193,5445,10152,0.56230,0.58155
2001,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.37559,4150,10152,0.36616,0.38501
2001,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05011,557,10152,0.04587,0.05436
2001,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.33905,473,1467,0.31482,0.36328
2001,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.42933,686,1467,0.40400,0.45467
2001,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22500,308,1467,0.20362,0.24637
2001,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46098,1489,3133,0.44352,0.47844
2001,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53902,1644,3133,0.52156,0.55648
2001,Direct migration background,Primary Level,(1a) Inadequately completed,0.99298,207,207,0.98157,1.00438
2001,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89010,705,772,0.86803,0.91218
2001,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10990,67,772,0.08782,0.13197
2001,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.71270,795,1061,0.68546,0.73994
2001,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.12972,128,1061,0.10949,0.14995
2001,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.13698,138,1061,0.11628,0.15768
2001,Direct migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.35770,61,162,0.28366,0.43174
2001,Direct migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.22671,34,162,0.16204,0.29139
2001,Direct migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.40996,67,162,0.33398,0.48593
2001,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.23372,85,361,0.19000,0.27744
2001,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.76628,276,361,0.72256,0.81000
2001,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.59917,147,233,0.53611,0.66223
2001,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.40083,86,233,0.33777,0.46389
2001,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.44510,133,309,0.38960,0.50060
2001,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.32984,105,309,0.27733,0.38234
2001,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.22037,71,309,0.17407,0.26666
2001,Indirect migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.65275,37,37,0.49723,0.80828
2002,No migration background,Primary Level,(1a) Inadequately completed,0.68519,54,87,0.58703,0.78335
2002,No migration background,Primary Level,(1b) General Elementary School,0.31481,33,87,0.21665,0.41297
2002,No migration background,Lower Secondary Level,(1b) General Elementary School,0.80537,1471,1983,0.78794,0.82280
2002,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.19463,512,1983,0.17720,0.21206
2002,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.56717,5238,10211,0.55756,0.57678
2002,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.37975,4319,10211,0.37034,0.38916
2002,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05086,654,10211,0.04660,0.05512
2002,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.34615,476,1535,0.32235,0.36996
2002,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.43413,717,1535,0.40932,0.45893
2002,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.21380,342,1535,0.19328,0.23431
2002,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46331,1690,4100,0.44804,0.47857
2002,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53669,2410,4100,0.52143,0.55196
2002,Direct migration background,Primary Level,(1a) Inadequately completed,0.98826,186,186,0.97274,1.00378
2002,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.88667,649,709,0.86332,0.91002
2002,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.11333,60,709,0.08998,0.13668
2002,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.71400,730,995,0.68591,0.74210
2002,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.13107,131,995,0.11009,0.15205
2002,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.13472,134,995,0.11349,0.15594
2002,Direct migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.34247,59,157,0.26800,0.41694
2002,Direct migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.23086,35,157,0.16474,0.29699
2002,Direct migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.42062,63,157,0.34315,0.49809
2002,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.24772,92,393,0.20499,0.29046
2002,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.75228,301,393,0.70954,0.79501
2002,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.60089,119,199,0.53267,0.66910
2002,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.39911,80,199,0.33090,0.46733
2002,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.42538,125,319,0.37104,0.47972
2002,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.36923,114,319,0.31619,0.42228
2002,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.19671,80,319,0.15302,0.24040
2002,Indirect migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.68408,47,47,0.54973,0.81842
2003,No migration background,Primary Level,(1a) Inadequately completed,0.70525,58,92,0.61157,0.79892
2003,No migration background,Primary Level,(1b) General Elementary School,0.29475,34,92,0.20108,0.38843
2003,No migration background,Lower Secondary Level,(1b) General Elementary School,0.79907,1390,1889,0.78100,0.81715
2003,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.20093,499,1889,0.18285,0.21900
2003,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.55979,4966,9766,0.54994,0.56964
2003,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.38681,4161,9766,0.37716,0.39647
2003,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05070,639,9766,0.04634,0.05505
2003,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.33507,452,1496,0.31114,0.35899
2003,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.43877,704,1496,0.41361,0.46392
2003,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22015,340,1496,0.19915,0.24115
2003,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.45936,1623,3921,0.44376,0.47496
2003,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.54064,2298,3921,0.52504,0.55624
2003,Direct migration background,Primary Level,(1a) Inadequately completed,0.98885,167,167,0.97288,1.00482
2003,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89868,606,659,0.87562,0.92174
2003,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10132,53,659,0.07826,0.12438
2003,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.71287,698,946,0.68403,0.74172
2003,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.13291,128,946,0.11127,0.15456
2003,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.13444,120,946,0.11269,0.15619
2003,Direct migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.35017,55,114,0.26222,0.43813
2003,Direct migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.43973,59,114,0.34821,0.53125
2003,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.24150,85,370,0.19783,0.28517
2003,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.75850,285,370,0.71483,0.80217
2003,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.59547,112,186,0.52475,0.66620
2003,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.40453,74,186,0.33380,0.47525
2003,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.44711,126,324,0.39288,0.50133
2003,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35334,116,324,0.30121,0.40547
2003,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.19139,82,324,0.14849,0.23430
2003,Indirect migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.72767,47,47,0.59902,0.85631
2004,No migration background,Primary Level,(1a) Inadequately completed,0.67543,52,87,0.57647,0.77439
2004,No migration background,Primary Level,(1b) General Elementary School,0.32457,35,87,0.22561,0.42353
