"pli0091_h","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Monat","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1992","kein Migrationshintergrund","Staedtischer Raum","2398","","",""
"Seltener","1992","kein Migrationshintergrund","Laendlicher Raum","1677","","",""
"Seltener","1992","direkter Migrationshintergrund","Staedtischer Raum","605","0.322873910381182","0.302927937470798","0.342819883291565"
"Seltener","1992","direkter Migrationshintergrund","Laendlicher Raum","122","","",""
"Seltener","1992","indirekter Migrationshintergrund","Staedtischer Raum","90","0.298665864063701","0.250231197553114","0.347100530574289"
"Seltener","1992","indirekter Migrationshintergrund","Laendlicher Raum","23","","",""
"Seltener","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1992","kein Migrationshintergrund","Staedtischer Raum","2277","","",""
"Nie","1992","kein Migrationshintergrund","Laendlicher Raum","1520","","",""
"Nie","1992","direkter Migrationshintergrund","Staedtischer Raum","1155","","",""
"Nie","1992","direkter Migrationshintergrund","Laendlicher Raum","232","","",""
"Nie","1992","indirekter Migrationshintergrund","Staedtischer Raum","45","0.151458122285425","0.113519290361677","0.189396954209173"
"Nie","1992","indirekter Migrationshintergrund","Laendlicher Raum","7","0.170891792135302","0.0764314785727646","0.265352105697839"
"Nie","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1993","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1993","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1993","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1993","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1993","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1993","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1993","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1993","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1993","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1993","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1993","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1993","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1993","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1993","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1993","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1993","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1993","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1993","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1993","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1993","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1993","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1993","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1993","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1993","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1993","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1993","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1993","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1993","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1993","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1993","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1993","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1993","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1994","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1994","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1994","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1994","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1994","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1994","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1994","kein Migrationshintergrund","Staedtischer Raum","490","0.0763633802008237","0.069645116244606","0.0830816441570415"
"Min 1x pro Woche","1994","kein Migrationshintergrund","Laendlicher Raum","334","0.0840598543802539","0.0753735924445812","0.0927461163159265"
"Min 1x pro Woche","1994","direkter Migrationshintergrund","Staedtischer Raum","113","","",""
"Min 1x pro Woche","1994","direkter Migrationshintergrund","Laendlicher Raum","23","","",""
"Min 1x pro Woche","1994","indirekter Migrationshintergrund","Staedtischer Raum","126","","",""
"Min 1x pro Woche","1994","indirekter Migrationshintergrund","Laendlicher Raum","30","0.379321883787466","0.268014537947374","0.490629229627559"
"Min 1x pro Woche","1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1994","kein Migrationshintergrund","Staedtischer Raum","948","0.14992283093334","0.140892015165391","0.158953646701289"
"Min 1x pro Monat","1994","kein Migrationshintergrund","Laendlicher Raum","520","0.123801262047635","0.113491018954074","0.134111505141196"
"Min 1x pro Monat","1994","direkter Migrationshintergrund","Staedtischer Raum","192","","",""
"Min 1x pro Monat","1994","direkter Migrationshintergrund","Laendlicher Raum","35","0.0995475243852197","0.0695239745433351","0.129571074227104"
"Min 1x pro Monat","1994","indirekter Migrationshintergrund","Staedtischer Raum","137","","",""
"Min 1x pro Monat","1994","indirekter Migrationshintergrund","Laendlicher Raum","16","","",""
"Min 1x pro Monat","1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1994","kein Migrationshintergrund","Staedtischer Raum","2439","","",""
"Seltener","1994","kein Migrationshintergrund","Laendlicher Raum","1647","","",""
"Seltener","1994","direkter Migrationshintergrund","Staedtischer Raum","582","0.331002249554321","0.310137479024882","0.351867020083761"
"Seltener","1994","direkter Migrationshintergrund","Laendlicher Raum","115","","",""
"Seltener","1994","indirekter Migrationshintergrund","Staedtischer Raum","109","","",""
"Seltener","1994","indirekter Migrationshintergrund","Laendlicher Raum","21","","",""
"Seltener","1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1994","kein Migrationshintergrund","Staedtischer Raum","2126","","",""
"Nie","1994","kein Migrationshintergrund","Laendlicher Raum","1419","","",""
"Nie","1994","direkter Migrationshintergrund","Staedtischer Raum","1067","","",""
"Nie","1994","direkter Migrationshintergrund","Laendlicher Raum","209","","",""
"Nie","1994","indirekter Migrationshintergrund","Staedtischer Raum","42","0.115357815597277","0.0845858488259515","0.146129782368603"
"Nie","1994","indirekter Migrationshintergrund","Laendlicher Raum","6","0.0740768748007113","0.0139988767739347","0.134154872827488"
"Nie","1994","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1994","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1995","kein Migrationshintergrund","Staedtischer Raum","4","0.00112358607902508","0.000271492979127947","0.00197567917892222"
"Taeglich","1995","kein Migrationshintergrund","Laendlicher Raum","2","","",""
"Taeglich","1995","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1995","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1995","indirekter Migrationshintergrund","Staedtischer Raum","1","","",""
"Taeglich","1995","indirekter Migrationshintergrund","Laendlicher Raum","1","","",""
"Taeglich","1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1995","kein Migrationshintergrund","Staedtischer Raum","372","0.0568852863242995","0.0509939986672114","0.0627765739813876"
"Min 1x pro Woche","1995","kein Migrationshintergrund","Laendlicher Raum","282","","",""
"Min 1x pro Woche","1995","direkter Migrationshintergrund","Staedtischer Raum","96","0.0452814973033576","0.0367786250827642","0.0537843695239509"
"Min 1x pro Woche","1995","direkter Migrationshintergrund","Laendlicher Raum","19","","",""
"Min 1x pro Woche","1995","indirekter Migrationshintergrund","Staedtischer Raum","129","","",""
"Min 1x pro Woche","1995","indirekter Migrationshintergrund","Laendlicher Raum","25","","",""
"Min 1x pro Woche","1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1995","kein Migrationshintergrund","Staedtischer Raum","958","0.145525478492256","0.136556415563089","0.154494541421423"
"Min 1x pro Monat","1995","kein Migrationshintergrund","Laendlicher Raum","527","0.12094362102349","0.110852913731234","0.131034328315746"
"Min 1x pro Monat","1995","direkter Migrationshintergrund","Staedtischer Raum","233","","",""
"Min 1x pro Monat","1995","direkter Migrationshintergrund","Laendlicher Raum","39","0.0915000752666716","0.0654341986287626","0.117565951904581"
"Min 1x pro Monat","1995","indirekter Migrationshintergrund","Staedtischer Raum","135","","",""
"Min 1x pro Monat","1995","indirekter Migrationshintergrund","Laendlicher Raum","25","","",""
"Min 1x pro Monat","1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1995","kein Migrationshintergrund","Staedtischer Raum","2276","","",""
"Seltener","1995","kein Migrationshintergrund","Laendlicher Raum","1588","","",""
"Seltener","1995","direkter Migrationshintergrund","Staedtischer Raum","583","0.268550760158587","0.250425974352835","0.286675545964339"
"Seltener","1995","direkter Migrationshintergrund","Laendlicher Raum","114","","",""
"Seltener","1995","indirekter Migrationshintergrund","Staedtischer Raum","95","0.223529556750344","0.183968012614847","0.263091100885841"
"Seltener","1995","indirekter Migrationshintergrund","Laendlicher Raum","18","","",""
"Seltener","1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1995","kein Migrationshintergrund","Staedtischer Raum","2328","","",""
"Nie","1995","kein Migrationshintergrund","Laendlicher Raum","1612","","",""
"Nie","1995","direkter Migrationshintergrund","Staedtischer Raum","1385","","",""
"Nie","1995","direkter Migrationshintergrund","Laendlicher Raum","298","","",""
"Nie","1995","indirekter Migrationshintergrund","Staedtischer Raum","66","0.174080427681715","0.138073410747754","0.210087444615676"
"Nie","1995","indirekter Migrationshintergrund","Laendlicher Raum","8","0.0727079331057077","0.0147114177815982","0.130704448429817"
"Nie","1995","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1995","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1996","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1996","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1996","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1996","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1996","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1996","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1996","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1996","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1996","kein Migrationshintergrund","Staedtischer Raum","515","0.0846401804508391","0.0775305274775206","0.0917498334241575"
"Min 1x pro Woche","1996","kein Migrationshintergrund","Laendlicher Raum","354","0.0808136212646727","0.0723366205168403","0.0892906220125051"
"Min 1x pro Woche","1996","direkter Migrationshintergrund","Staedtischer Raum","94","0.0483760834477383","0.0392663767846101","0.0574857901108666"
"Min 1x pro Woche","1996","direkter Migrationshintergrund","Laendlicher Raum","31","0.0559327519234861","0.0347951982259012","0.077070305621071"
"Min 1x pro Woche","1996","indirekter Migrationshintergrund","Staedtischer Raum","115","","",""
"Min 1x pro Woche","1996","indirekter Migrationshintergrund","Laendlicher Raum","29","","",""
"Min 1x pro Woche","1996","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1996","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1996","kein Migrationshintergrund","Staedtischer Raum","1189","","",""
"Min 1x pro Monat","1996","kein Migrationshintergrund","Laendlicher Raum","653","0.157813856658233","0.146474856537428","0.169152856779038"
"Min 1x pro Monat","1996","direkter Migrationshintergrund","Staedtischer Raum","255","","",""
"Min 1x pro Monat","1996","direkter Migrationshintergrund","Laendlicher Raum","55","0.142153906693091","0.110031782767237","0.174276030618946"
"Min 1x pro Monat","1996","indirekter Migrationshintergrund","Staedtischer Raum","153","","",""
"Min 1x pro Monat","1996","indirekter Migrationshintergrund","Laendlicher Raum","26","","",""
"Min 1x pro Monat","1996","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1996","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1996","kein Migrationshintergrund","Staedtischer Raum","2387","","",""
"Seltener","1996","kein Migrationshintergrund","Laendlicher Raum","1817","","",""
"Seltener","1996","direkter Migrationshintergrund","Staedtischer Raum","692","0.347990952321176","0.32776694780467","0.368214956837683"
"Seltener","1996","direkter Migrationshintergrund","Laendlicher Raum","148","","",""
"Seltener","1996","indirekter Migrationshintergrund","Staedtischer Raum","131","","",""
"Seltener","1996","indirekter Migrationshintergrund","Laendlicher Raum","23","","",""
"Seltener","1996","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1996","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1996","kein Migrationshintergrund","Staedtischer Raum","1797","","",""
"Nie","1996","kein Migrationshintergrund","Laendlicher Raum","1147","","",""
"Nie","1996","direkter Migrationshintergrund","Staedtischer Raum","1090","","",""
"Nie","1996","direkter Migrationshintergrund","Laendlicher Raum","220","","",""
"Nie","1996","indirekter Migrationshintergrund","Staedtischer Raum","51","0.116917609615278","0.0872295092042338","0.146605710026323"
"Nie","1996","indirekter Migrationshintergrund","Laendlicher Raum","10","","",""
"Nie","1996","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1996","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1997","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1997","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1997","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1997","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1997","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1997","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1997","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1997","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1997","kein Migrationshintergrund","Staedtischer Raum","472","0.0775934848417476","0.0707012885264226","0.0844856811570725"
"Min 1x pro Woche","1997","kein Migrationshintergrund","Laendlicher Raum","353","0.084286549444051","0.0755929851346027","0.0929801137534992"
"Min 1x pro Woche","1997","direkter Migrationshintergrund","Staedtischer Raum","80","0.0298422222125037","0.0224294679746006","0.0372549764504067"
"Min 1x pro Woche","1997","direkter Migrationshintergrund","Laendlicher Raum","30","0.0716143904494573","0.0471862416691863","0.0960425392297284"
"Min 1x pro Woche","1997","indirekter Migrationshintergrund","Staedtischer Raum","114","","",""
"Min 1x pro Woche","1997","indirekter Migrationshintergrund","Laendlicher Raum","26","","",""
"Min 1x pro Woche","1997","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1997","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1997","kein Migrationshintergrund","Staedtischer Raum","1104","","",""
"Min 1x pro Monat","1997","kein Migrationshintergrund","Laendlicher Raum","633","0.145362099308832","0.134332604910651","0.156391593707014"
"Min 1x pro Monat","1997","direkter Migrationshintergrund","Staedtischer Raum","224","","",""
"Min 1x pro Monat","1997","direkter Migrationshintergrund","Laendlicher Raum","48","0.118849256134904","0.0881908518720732","0.149507660397734"
"Min 1x pro Monat","1997","indirekter Migrationshintergrund","Staedtischer Raum","175","","",""
"Min 1x pro Monat","1997","indirekter Migrationshintergrund","Laendlicher Raum","32","0.418196991058097","0.313946694576909","0.522447287539284"
"Min 1x pro Monat","1997","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1997","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1997","kein Migrationshintergrund","Staedtischer Raum","2387","","",""
"Seltener","1997","kein Migrationshintergrund","Laendlicher Raum","1729","","",""
"Seltener","1997","direkter Migrationshintergrund","Staedtischer Raum","642","0.341620221791144","0.320959149192301","0.362281294389986"
"Seltener","1997","direkter Migrationshintergrund","Laendlicher Raum","123","","",""
"Seltener","1997","indirekter Migrationshintergrund","Staedtischer Raum","142","","",""
"Seltener","1997","indirekter Migrationshintergrund","Laendlicher Raum","16","","",""
"Seltener","1997","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1997","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1997","kein Migrationshintergrund","Staedtischer Raum","1825","","",""
"Nie","1997","kein Migrationshintergrund","Laendlicher Raum","1208","","",""
"Nie","1997","direkter Migrationshintergrund","Staedtischer Raum","1078","","",""
"Nie","1997","direkter Migrationshintergrund","Laendlicher Raum","227","","",""
"Nie","1997","indirekter Migrationshintergrund","Staedtischer Raum","48","0.124491131354808","0.0949259997832938","0.154056262926321"
"Nie","1997","indirekter Migrationshintergrund","Laendlicher Raum","12","","",""
"Nie","1997","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1997","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1998","kein Migrationshintergrund","Staedtischer Raum","4","0.000453137458283288","-5.50964233115721e-05","0.000961371339878147"
"Taeglich","1998","kein Migrationshintergrund","Laendlicher Raum","2","","",""
"Taeglich","1998","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1998","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1998","indirekter Migrationshintergrund","Staedtischer Raum","1","","",""
"Taeglich","1998","indirekter Migrationshintergrund","Laendlicher Raum","1","","",""
"Taeglich","1998","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1998","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1998","kein Migrationshintergrund","Staedtischer Raum","365","0.04757098311916","0.0424878155778976","0.0526541506604224"
"Min 1x pro Woche","1998","kein Migrationshintergrund","Laendlicher Raum","258","","",""
"Min 1x pro Woche","1998","direkter Migrationshintergrund","Staedtischer Raum","59","0.0281491035603593","0.0208527373901557","0.0354454697305629"
"Min 1x pro Woche","1998","direkter Migrationshintergrund","Laendlicher Raum","14","","",""
"Min 1x pro Woche","1998","indirekter Migrationshintergrund","Staedtischer Raum","93","0.204268202072118","0.169035346933697","0.239501057210539"
"Min 1x pro Woche","1998","indirekter Migrationshintergrund","Laendlicher Raum","25","","",""
"Min 1x pro Woche","1998","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1998","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1998","kein Migrationshintergrund","Staedtischer Raum","1280","","",""
"Min 1x pro Monat","1998","kein Migrationshintergrund","Laendlicher Raum","685","0.13925767276822","0.129084345053293","0.149431000483146"
"Min 1x pro Monat","1998","direkter Migrationshintergrund","Staedtischer Raum","219","","",""
"Min 1x pro Monat","1998","direkter Migrationshintergrund","Laendlicher Raum","35","0.111101192781919","0.0808297275291049","0.141372658034733"
"Min 1x pro Monat","1998","indirekter Migrationshintergrund","Staedtischer Raum","188","","",""
"Min 1x pro Monat","1998","indirekter Migrationshintergrund","Laendlicher Raum","25","","",""
"Min 1x pro Monat","1998","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1998","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1998","kein Migrationshintergrund","Staedtischer Raum","2736","","",""
"Seltener","1998","kein Migrationshintergrund","Laendlicher Raum","1880","","",""
"Seltener","1998","direkter Migrationshintergrund","Staedtischer Raum","574","0.320280016376789","0.299697216238392","0.340862816515186"
"Seltener","1998","direkter Migrationshintergrund","Laendlicher Raum","117","","",""
"Seltener","1998","indirekter Migrationshintergrund","Staedtischer Raum","150","","",""
"Seltener","1998","indirekter Migrationshintergrund","Laendlicher Raum","31","0.267509786938455","0.177544003202152","0.357475570674759"
"Seltener","1998","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1998","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1998","kein Migrationshintergrund","Staedtischer Raum","2351","","",""
"Nie","1998","kein Migrationshintergrund","Laendlicher Raum","1624","","",""
"Nie","1998","direkter Migrationshintergrund","Staedtischer Raum","1122","","",""
"Nie","1998","direkter Migrationshintergrund","Laendlicher Raum","248","","",""
"Nie","1998","indirekter Migrationshintergrund","Staedtischer Raum","71","0.138546706053915","0.108355666376347","0.168737745731482"
"Nie","1998","indirekter Migrationshintergrund","Laendlicher Raum","11","","",""
"Nie","1998","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1998","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1999","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1999","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1999","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1999","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1999","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1999","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1999","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1999","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1999","kein Migrationshintergrund","Staedtischer Raum","506","0.0695138263626767","0.0633129199948473","0.0757147327305062"
"Min 1x pro Woche","1999","kein Migrationshintergrund","Laendlicher Raum","358","0.0801214520582029","0.072043655387004","0.0881992487294018"
"Min 1x pro Woche","1999","direkter Migrationshintergrund","Staedtischer Raum","55","0.0269999152770714","0.0195738256606554","0.0344260048934874"
"Min 1x pro Woche","1999","direkter Migrationshintergrund","Laendlicher Raum","23","","",""
"Min 1x pro Woche","1999","indirekter Migrationshintergrund","Staedtischer Raum","122","","",""
"Min 1x pro Woche","1999","indirekter Migrationshintergrund","Laendlicher Raum","26","","",""
"Min 1x pro Woche","1999","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1999","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1999","kein Migrationshintergrund","Staedtischer Raum","1290","","",""
"Min 1x pro Monat","1999","kein Migrationshintergrund","Laendlicher Raum","727","0.150416340201988","0.139779715152822","0.161052965251154"
"Min 1x pro Monat","1999","direkter Migrationshintergrund","Staedtischer Raum","210","","",""
"Min 1x pro Monat","1999","direkter Migrationshintergrund","Laendlicher Raum","27","","",""
"Min 1x pro Monat","1999","indirekter Migrationshintergrund","Staedtischer Raum","210","","",""
"Min 1x pro Monat","1999","indirekter Migrationshintergrund","Laendlicher Raum","30","0.302393452312972","0.205881760119691","0.398905144506252"
"Min 1x pro Monat","1999","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1999","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1999","kein Migrationshintergrund","Staedtischer Raum","2839","","",""
"Seltener","1999","kein Migrationshintergrund","Laendlicher Raum","2027","","",""
"Seltener","1999","direkter Migrationshintergrund","Staedtischer Raum","651","0.371430247230494","0.349292270880142","0.393568223580847"
"Seltener","1999","direkter Migrationshintergrund","Laendlicher Raum","119","","",""
"Seltener","1999","indirekter Migrationshintergrund","Staedtischer Raum","134","","",""
"Seltener","1999","indirekter Migrationshintergrund","Laendlicher Raum","26","","",""
"Seltener","1999","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1999","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1999","kein Migrationshintergrund","Staedtischer Raum","1827","","",""
"Nie","1999","kein Migrationshintergrund","Laendlicher Raum","1227","","",""
"Nie","1999","direkter Migrationshintergrund","Staedtischer Raum","914","0.465830517117566","0.442975789440653","0.488685244794479"
"Nie","1999","direkter Migrationshintergrund","Laendlicher Raum","189","","",""
"Nie","1999","indirekter Migrationshintergrund","Staedtischer Raum","50","0.100139258268","0.0742384642569767","0.126040052279023"
"Nie","1999","indirekter Migrationshintergrund","Laendlicher Raum","5","0.0496929231520155","0.00402957848867429","0.0953562678153567"
"Nie","1999","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1999","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","2000","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","2000","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","2000","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","2000","direkter Migrationshintergrund","Laendlicher Raum","","","",""
