"plh0012_h","year","migback","n","percent","lower_confidence","upper_confidence"
"SPD","1992","kein Migrationshintergrund","2036","0.434242026902986","0.420098738712705","0.448385315093267"
"SPD","1992","direkter Migrationshintergrund","449","0.510540023219142","0.474177562073615","0.54690248436467"
"SPD","1992","indirekter Migrationshintergrund","68","0.472865938210277","0.379139006954861","0.566592869465693"
"CDU","1992","kein Migrationshintergrund","1611","0.349980743456792","0.336370863057132","0.363590623856451"
"CDU","1992","direkter Migrationshintergrund","166","0.327313818951301","0.293181310662671","0.361446327239932"
"CDU","1992","indirekter Migrationshintergrund","","","",""
"CSU","1992","kein Migrationshintergrund","295","0.0691451481277992","0.0619059416838221","0.0763843545717762"
"CSU","1992","direkter Migrationshintergrund","","","",""
"CSU","1992","indirekter Migrationshintergrund","","","",""
"FDP","1992","kein Migrationshintergrund","227","0.04942869807372","0.0432435363756109","0.0556138597718291"
"FDP","1992","direkter Migrationshintergrund","","","",""
"FDP","1992","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1992","kein Migrationshintergrund","332","0.0591724799118281","0.0524398612832383","0.065905098540418"
"Buendnis90/Gruene","1992","direkter Migrationshintergrund","54","0.0652046904955661","0.0472458843776658","0.0831634966134664"
"Buendnis90/Gruene","1992","indirekter Migrationshintergrund","","","",""
"Die Linke","1992","kein Migrationshintergrund","116","0.0162894369356335","0.0126773696937591","0.0199015041775078"
"Die Linke","1992","direkter Migrationshintergrund","","","",""
"Die Linke","1992","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1992","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1992","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1992","indirekter Migrationshintergrund","","","",""
"Andere","1992","kein Migrationshintergrund","101","0.0217414665912411","0.0175800579613637","0.0259028752211185"
"Andere","1992","direkter Migrationshintergrund","","","",""
"Andere","1992","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1992","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1992","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1992","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1992","kein Migrationshintergrund","","","",""
"SPD/CDU","1992","direkter Migrationshintergrund","","","",""
"SPD/CDU","1992","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1992","kein Migrationshintergrund","","","",""
"SPD/FDP","1992","direkter Migrationshintergrund","","","",""
"SPD/FDP","1992","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1992","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1992","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1992","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1992","kein Migrationshintergrund","","","",""
"CDU/CSU","1992","direkter Migrationshintergrund","","","",""
"CDU/CSU","1992","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1992","kein Migrationshintergrund","","","",""
"CDU/FDP","1992","direkter Migrationshintergrund","","","",""
"CDU/FDP","1992","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1992","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1992","direkter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1992","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1992","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1992","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1992","indirekter Migrationshintergrund","","","",""
"SPD/Die Linke","1992","kein Migrationshintergrund","","","",""
"SPD/Die Linke","1992","direkter Migrationshintergrund","","","",""
"SPD/Die Linke","1992","indirekter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1992","kein Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1992","direkter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1992","indirekter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1992","kein Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1992","direkter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1992","indirekter Migrationshintergrund","","","",""
"CDU/Die Linke","1992","kein Migrationshintergrund","","","",""
"CDU/Die Linke","1992","direkter Migrationshintergrund","","","",""
"CDU/Die Linke","1992","indirekter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1992","kein Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1992","direkter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1992","indirekter Migrationshintergrund","","","",""
"CSU/FDP","1992","kein Migrationshintergrund","","","",""
"CSU/FDP","1992","direkter Migrationshintergrund","","","",""
"CSU/FDP","1992","indirekter Migrationshintergrund","","","",""
"Gruene/FDP","1992","kein Migrationshintergrund","","","",""
"Gruene/FDP","1992","direkter Migrationshintergrund","","","",""
"Gruene/FDP","1992","indirekter Migrationshintergrund","","","",""
"FDP/Die Linke","1992","kein Migrationshintergrund","","","",""
"FDP/Die Linke","1992","direkter Migrationshintergrund","","","",""
"FDP/Die Linke","1992","indirekter Migrationshintergrund","","","",""
"FDP/NPD","1992","kein Migrationshintergrund","","","",""
"FDP/NPD","1992","direkter Migrationshintergrund","","","",""
"FDP/NPD","1992","indirekter Migrationshintergrund","","","",""
"Piratenpartei","1992","kein Migrationshintergrund","","","",""
"Piratenpartei","1992","direkter Migrationshintergrund","","","",""
"Piratenpartei","1992","indirekter Migrationshintergrund","","","",""
"AfD","1992","kein Migrationshintergrund","","","",""
"AfD","1992","direkter Migrationshintergrund","","","",""
"AfD","1992","indirekter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1992","kein Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1992","direkter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1992","indirekter Migrationshintergrund","","","",""
"SPD/AfD","1992","kein Migrationshintergrund","","","",""
"SPD/AfD","1992","direkter Migrationshintergrund","","","",""
"SPD/AfD","1992","indirekter Migrationshintergrund","","","",""
"SPD","1993","kein Migrationshintergrund","1733","0.417332970019785","0.402313761530585","0.432352178508985"
"SPD","1993","direkter Migrationshintergrund","421","0.483014898744989","0.444948799677066","0.521080997812911"
"SPD","1993","indirekter Migrationshintergrund","70","0.563502855569029","0.468185894970783","0.658819816167275"
"CDU","1993","kein Migrationshintergrund","1307","0.3248514767763","0.310587600619904","0.339115352932697"
"CDU","1993","direkter Migrationshintergrund","128","0.292933528619455","0.258265131736205","0.327601925502704"
"CDU","1993","indirekter Migrationshintergrund","","","",""
"CSU","1993","kein Migrationshintergrund","244","0.0659041960788779","0.0583472257033028","0.073461166454453"
"CSU","1993","direkter Migrationshintergrund","","","",""
"CSU","1993","indirekter Migrationshintergrund","","","",""
"FDP","1993","kein Migrationshintergrund","190","0.0514538179716204","0.0447250815131495","0.0581825544300913"
"FDP","1993","direkter Migrationshintergrund","","","",""
"FDP","1993","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1993","kein Migrationshintergrund","360","0.0781009150615524","0.0699282212425495","0.0862736088805554"
"Buendnis90/Gruene","1993","direkter Migrationshintergrund","59","0.101455440156533","0.0784555069102463","0.124455373402819"
"Buendnis90/Gruene","1993","indirekter Migrationshintergrund","","","",""
"Die Linke","1993","kein Migrationshintergrund","134","0.0213655466856747","0.016961390305528","0.0257697030658213"
"Die Linke","1993","direkter Migrationshintergrund","","","",""
"Die Linke","1993","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1993","kein Migrationshintergrund","133","0.031733610180654","0.0263946996191557","0.0370725207421524"
"NPD/Republikaner/Die Rechte","1993","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1993","indirekter Migrationshintergrund","","","",""
"Andere","1993","kein Migrationshintergrund","40","0.0092574672255348","0.00634056433238643","0.0121743701186832"
"Andere","1993","direkter Migrationshintergrund","","","",""
"Andere","1993","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1993","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1993","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1993","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1993","kein Migrationshintergrund","","","",""
"SPD/CDU","1993","direkter Migrationshintergrund","","","",""
"SPD/CDU","1993","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1993","kein Migrationshintergrund","","","",""
"SPD/FDP","1993","direkter Migrationshintergrund","","","",""
"SPD/FDP","1993","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1993","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1993","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1993","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1993","kein Migrationshintergrund","","","",""
"CDU/CSU","1993","direkter Migrationshintergrund","","","",""
"CDU/CSU","1993","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1993","kein Migrationshintergrund","","","",""
"CDU/FDP","1993","direkter Migrationshintergrund","","","",""
"CDU/FDP","1993","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1993","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1993","direkter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1993","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1993","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1993","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1993","indirekter Migrationshintergrund","","","",""
"SPD/Die Linke","1993","kein Migrationshintergrund","","","",""
"SPD/Die Linke","1993","direkter Migrationshintergrund","","","",""
"SPD/Die Linke","1993","indirekter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1993","kein Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1993","direkter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1993","indirekter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1993","kein Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1993","direkter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1993","indirekter Migrationshintergrund","","","",""
"CDU/Die Linke","1993","kein Migrationshintergrund","","","",""
"CDU/Die Linke","1993","direkter Migrationshintergrund","","","",""
"CDU/Die Linke","1993","indirekter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1993","kein Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1993","direkter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1993","indirekter Migrationshintergrund","","","",""
"CSU/FDP","1993","kein Migrationshintergrund","","","",""
"CSU/FDP","1993","direkter Migrationshintergrund","","","",""
"CSU/FDP","1993","indirekter Migrationshintergrund","","","",""
"Gruene/FDP","1993","kein Migrationshintergrund","","","",""
"Gruene/FDP","1993","direkter Migrationshintergrund","","","",""
"Gruene/FDP","1993","indirekter Migrationshintergrund","","","",""
"FDP/Die Linke","1993","kein Migrationshintergrund","","","",""
"FDP/Die Linke","1993","direkter Migrationshintergrund","","","",""
"FDP/Die Linke","1993","indirekter Migrationshintergrund","","","",""
"FDP/NPD","1993","kein Migrationshintergrund","","","",""
"FDP/NPD","1993","direkter Migrationshintergrund","","","",""
"FDP/NPD","1993","indirekter Migrationshintergrund","","","",""
"Piratenpartei","1993","kein Migrationshintergrund","","","",""
"Piratenpartei","1993","direkter Migrationshintergrund","","","",""
"Piratenpartei","1993","indirekter Migrationshintergrund","","","",""
"AfD","1993","kein Migrationshintergrund","","","",""
"AfD","1993","direkter Migrationshintergrund","","","",""
"AfD","1993","indirekter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1993","kein Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1993","direkter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1993","indirekter Migrationshintergrund","","","",""
"SPD/AfD","1993","kein Migrationshintergrund","","","",""
"SPD/AfD","1993","direkter Migrationshintergrund","","","",""
"SPD/AfD","1993","indirekter Migrationshintergrund","","","",""
"SPD","1994","kein Migrationshintergrund","1895","0.447542671448116","0.432673644479902","0.46241169841633"
"SPD","1994","direkter Migrationshintergrund","430","0.498072962323229","0.460819913411747","0.535326011234711"
"SPD","1994","indirekter Migrationshintergrund","90","0.571338023075736","0.485268325760231","0.657407720391241"
"CDU","1994","kein Migrationshintergrund","1330","0.321009059950861","0.307048379411574","0.334969740490148"
"CDU","1994","direkter Migrationshintergrund","151","0.309334150859931","0.274895750578772","0.343772551141089"
"CDU","1994","indirekter Migrationshintergrund","","","",""
"CSU","1994","kein Migrationshintergrund","243","0.0611561046080804","0.0539908346833423","0.0683213745328185"
"CSU","1994","direkter Migrationshintergrund","","","",""
"CSU","1994","indirekter Migrationshintergrund","","","",""
"FDP","1994","kein Migrationshintergrund","136","0.0367990299340411","0.0311692347463158","0.0424288251217663"
"FDP","1994","direkter Migrationshintergrund","","","",""
"FDP","1994","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1994","kein Migrationshintergrund","350","0.0756054999846692","0.0677001459180377","0.0835108540513008"
"Buendnis90/Gruene","1994","direkter Migrationshintergrund","54","0.0774236277453202","0.0575107986639864","0.0973364568266541"
"Buendnis90/Gruene","1994","indirekter Migrationshintergrund","","","",""
"Die Linke","1994","kein Migrationshintergrund","200","0.0299281636669267","0.0248330023600096","0.0350233249738438"
"Die Linke","1994","direkter Migrationshintergrund","","","",""
"Die Linke","1994","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1994","kein Migrationshintergrund","87","0.016646254913063","0.0128203945660215","0.0204721152601046"
"NPD/Republikaner/Die Rechte","1994","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1994","indirekter Migrationshintergrund","","","",""
"Andere","1994","kein Migrationshintergrund","55","0.0113132154942425","0.0081506585864479","0.0144757724020372"
"Andere","1994","direkter Migrationshintergrund","","","",""
"Andere","1994","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1994","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1994","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1994","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1994","kein Migrationshintergrund","","","",""
"SPD/CDU","1994","direkter Migrationshintergrund","","","",""
"SPD/CDU","1994","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1994","kein Migrationshintergrund","","","",""
"SPD/FDP","1994","direkter Migrationshintergrund","","","",""
"SPD/FDP","1994","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1994","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1994","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1994","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1994","kein Migrationshintergrund","","","",""
"CDU/CSU","1994","direkter Migrationshintergrund","","","",""
"CDU/CSU","1994","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1994","kein Migrationshintergrund","","","",""
"CDU/FDP","1994","direkter Migrationshintergrund","","","",""
"CDU/FDP","1994","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1994","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1994","direkter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1994","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1994","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1994","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1994","indirekter Migrationshintergrund","","","",""
"SPD/Die Linke","1994","kein Migrationshintergrund","","","",""
"SPD/Die Linke","1994","direkter Migrationshintergrund","","","",""
"SPD/Die Linke","1994","indirekter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1994","kein Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1994","direkter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1994","indirekter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1994","kein Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1994","direkter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1994","indirekter Migrationshintergrund","","","",""
"CDU/Die Linke","1994","kein Migrationshintergrund","","","",""
"CDU/Die Linke","1994","direkter Migrationshintergrund","","","",""
"CDU/Die Linke","1994","indirekter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1994","kein Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1994","direkter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1994","indirekter Migrationshintergrund","","","",""
"CSU/FDP","1994","kein Migrationshintergrund","","","",""
"CSU/FDP","1994","direkter Migrationshintergrund","","","",""
"CSU/FDP","1994","indirekter Migrationshintergrund","","","",""
"Gruene/FDP","1994","kein Migrationshintergrund","","","",""
"Gruene/FDP","1994","direkter Migrationshintergrund","","","",""
"Gruene/FDP","1994","indirekter Migrationshintergrund","","","",""
"FDP/Die Linke","1994","kein Migrationshintergrund","","","",""
"FDP/Die Linke","1994","direkter Migrationshintergrund","","","",""
"FDP/Die Linke","1994","indirekter Migrationshintergrund","","","",""
"FDP/NPD","1994","kein Migrationshintergrund","","","",""
"FDP/NPD","1994","direkter Migrationshintergrund","","","",""
"FDP/NPD","1994","indirekter Migrationshintergrund","","","",""
"Piratenpartei","1994","kein Migrationshintergrund","","","",""
"Piratenpartei","1994","direkter Migrationshintergrund","","","",""
"Piratenpartei","1994","indirekter Migrationshintergrund","","","",""
"AfD","1994","kein Migrationshintergrund","","","",""
"AfD","1994","direkter Migrationshintergrund","","","",""
"AfD","1994","indirekter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1994","kein Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1994","direkter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1994","indirekter Migrationshintergrund","","","",""
"SPD/AfD","1994","kein Migrationshintergrund","","","",""
"SPD/AfD","1994","direkter Migrationshintergrund","","","",""
"SPD/AfD","1994","indirekter Migrationshintergrund","","","",""
"SPD","1995","kein Migrationshintergrund","1987","0.426117017515682","0.41216665304412","0.440067381987243"
"SPD","1995","direkter Migrationshintergrund","446","0.401787210821882","0.369775300125233","0.433799121518532"
"SPD","1995","indirekter Migrationshintergrund","71","0.441920122363396","0.354510887458815","0.529329357267977"
"CDU","1995","kein Migrationshintergrund","1619","0.331780112360802","0.318497169175227","0.345063055546377"
"CDU","1995","direkter Migrationshintergrund","282","0.391383750504555","0.359515453020242","0.423252047988868"
"CDU","1995","indirekter Migrationshintergrund","","","",""
"CSU","1995","kein Migrationshintergrund","292","0.0691762118583771","0.0620177194879096","0.0763347042288447"
"CSU","1995","direkter Migrationshintergrund","43","0.0523011796099808","0.0377641187837822","0.0668382404361794"
"CSU","1995","indirekter Migrationshintergrund","","","",""
"FDP","1995","kein Migrationshintergrund","130","0.0309450110714748","0.0260598490323624","0.0358301731105871"
"FDP","1995","direkter Migrationshintergrund","","","",""
"FDP","1995","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1995","kein Migrationshintergrund","465","0.0906460103555487","0.082546658300095","0.0987453624110023"
"Buendnis90/Gruene","1995","direkter Migrationshintergrund","82","0.10594518934158","0.0858492464246951","0.126041132258466"
"Buendnis90/Gruene","1995","indirekter Migrationshintergrund","","","",""
"Die Linke","1995","kein Migrationshintergrund","251","0.0346981639175662","0.0295352574788637","0.0398610703562687"
"Die Linke","1995","direkter Migrationshintergrund","","","",""
"Die Linke","1995","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1995","kein Migrationshintergrund","48","0.0100570334541987","0.00724222092038412","0.0128718459880134"
"NPD/Republikaner/Die Rechte","1995","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1995","indirekter Migrationshintergrund","","","",""
"Andere","1995","kein Migrationshintergrund","35","0.00658043946635095","0.0042995552267987","0.0088613237059032"
"Andere","1995","direkter Migrationshintergrund","","","",""
"Andere","1995","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1995","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1995","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1995","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1995","kein Migrationshintergrund","","","",""
"SPD/CDU","1995","direkter Migrationshintergrund","","","",""
"SPD/CDU","1995","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1995","kein Migrationshintergrund","","","",""
"SPD/FDP","1995","direkter Migrationshintergrund","","","",""
"SPD/FDP","1995","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1995","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1995","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1995","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1995","kein Migrationshintergrund","","","",""
"CDU/CSU","1995","direkter Migrationshintergrund","","","",""
"CDU/CSU","1995","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1995","kein Migrationshintergrund","","","",""
"CDU/FDP","1995","direkter Migrationshintergrund","","","",""
"CDU/FDP","1995","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1995","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1995","direkter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1995","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1995","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1995","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1995","indirekter Migrationshintergrund","","","",""
"SPD/Die Linke","1995","kein Migrationshintergrund","","","",""
"SPD/Die Linke","1995","direkter Migrationshintergrund","","","",""
"SPD/Die Linke","1995","indirekter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1995","kein Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1995","direkter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1995","indirekter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1995","kein Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1995","direkter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1995","indirekter Migrationshintergrund","","","",""
"CDU/Die Linke","1995","kein Migrationshintergrund","","","",""
"CDU/Die Linke","1995","direkter Migrationshintergrund","","","",""
"CDU/Die Linke","1995","indirekter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1995","kein Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1995","direkter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1995","indirekter Migrationshintergrund","","","",""
"CSU/FDP","1995","kein Migrationshintergrund","","","",""
"CSU/FDP","1995","direkter Migrationshintergrund","","","",""
"CSU/FDP","1995","indirekter Migrationshintergrund","","","",""
"Gruene/FDP","1995","kein Migrationshintergrund","","","",""
"Gruene/FDP","1995","direkter Migrationshintergrund","","","",""
"Gruene/FDP","1995","indirekter Migrationshintergrund","","","",""
"FDP/Die Linke","1995","kein Migrationshintergrund","","","",""
"FDP/Die Linke","1995","direkter Migrationshintergrund","","","",""
"FDP/Die Linke","1995","indirekter Migrationshintergrund","","","",""
"FDP/NPD","1995","kein Migrationshintergrund","","","",""
"FDP/NPD","1995","direkter Migrationshintergrund","","","",""
"FDP/NPD","1995","indirekter Migrationshintergrund","","","",""
"Piratenpartei","1995","kein Migrationshintergrund","","","",""
"Piratenpartei","1995","direkter Migrationshintergrund","","","",""
"Piratenpartei","1995","indirekter Migrationshintergrund","","","",""
"AfD","1995","kein Migrationshintergrund","","","",""
"AfD","1995","direkter Migrationshintergrund","","","",""
"AfD","1995","indirekter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1995","kein Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1995","direkter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1995","indirekter Migrationshintergrund","","","",""
"SPD/AfD","1995","kein Migrationshintergrund","","","",""
"SPD/AfD","1995","direkter Migrationshintergrund","","","",""
"SPD/AfD","1995","indirekter Migrationshintergrund","","","",""
"SPD","1996","kein Migrationshintergrund","1687","0.384374004833201","0.370203728382434","0.398544281283968"
"SPD","1996","direkter Migrationshintergrund","382","0.375569547302001","0.341990998400488","0.409148096203513"
"SPD","1996","indirekter Migrationshintergrund","73","0.438964287335428","0.353656974321413","0.524271600349443"
"CDU","1996","kein Migrationshintergrund","1573","0.352462818264092","0.338546259624944","0.366379376903239"
"CDU","1996","direkter Migrationshintergrund","270","0.390683540673137","0.356853017520222","0.424514063826053"
"CDU","1996","indirekter Migrationshintergrund","","","",""
"CSU","1996","kein Migrationshintergrund","311","0.0793664504558843","0.0714922816447034","0.0872406192670651"
"CSU","1996","direkter Migrationshintergrund","39","0.0479025882803457","0.0330946401808277","0.0627105363798637"
"CSU","1996","indirekter Migrationshintergrund","","","",""
"FDP","1996","kein Migrationshintergrund","105","0.0276192475405955","0.0228454176229321","0.0323930774582589"
"FDP","1996","direkter Migrationshintergrund","","","",""
"FDP","1996","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1996","kein Migrationshintergrund","477","0.0956754137174921","0.0871069060954971","0.104243921339487"
"Buendnis90/Gruene","1996","direkter Migrationshintergrund","69","0.117772736133182","0.0954222321145617","0.140123240151803"
"Buendnis90/Gruene","1996","indirekter Migrationshintergrund","30","0.304992161301945","0.225848597027576","0.384135725576313"
"Die Linke","1996","kein Migrationshintergrund","262","0.0361664606196956","0.0307277385530709","0.0416051826863203"
"Die Linke","1996","direkter Migrationshintergrund","","","",""
"Die Linke","1996","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1996","kein Migrationshintergrund","70","0.0151594905092668","0.0116001617919116","0.018718819226622"
"NPD/Republikaner/Die Rechte","1996","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1996","indirekter Migrationshintergrund","","","",""
"Andere","1996","kein Migrationshintergrund","42","0.00917611405977312","0.00639850909854732","0.0119537190209989"
"Andere","1996","direkter Migrationshintergrund","","","",""
"Andere","1996","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1996","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1996","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1996","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1996","kein Migrationshintergrund","","","",""
"SPD/CDU","1996","direkter Migrationshintergrund","","","",""
"SPD/CDU","1996","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1996","kein Migrationshintergrund","","","",""
"SPD/FDP","1996","direkter Migrationshintergrund","","","",""
"SPD/FDP","1996","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1996","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1996","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1996","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1996","kein Migrationshintergrund","","","",""
"CDU/CSU","1996","direkter Migrationshintergrund","","","",""
"CDU/CSU","1996","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1996","kein Migrationshintergrund","","","",""
"CDU/FDP","1996","direkter Migrationshintergrund","","","",""
