year,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Rural regions,Regular Part-Time Employment,0.11856,1434,9856,0.11217,0.12494
2019,Rural regions,Vocational Training,0.02018,309,9856,0.01741,0.02296
2019,Rural regions,"Marginal, Irregular Part-Time Employment",0.04052,522,9856,0.03663,0.04442
2019,Rural regions,Not Employed,0.33555,3808,9856,0.32623,0.34487
2020,Urban regions,Full-Time Employment,0.33250,7889,20245,0.32601,0.33899
2020,Urban regions,Regular Part-Time Employment,0.11794,2965,20245,0.11350,0.12239
2020,Urban regions,Vocational Training,0.02016,665,20245,0.01822,0.02209
2020,Urban regions,"Marginal, Irregular Part-Time Employment",0.04205,1008,20245,0.03928,0.04481
2020,Urban regions,Not Employed,0.33072,7718,20245,0.32424,0.33721
2020,Rural regions,Full-Time Employment,0.33128,3779,9610,0.32187,0.34069
2020,Rural regions,Regular Part-Time Employment,0.11514,1377,9610,0.10876,0.12152
2020,Rural regions,Vocational Training,0.02125,319,9610,0.01837,0.02414
2020,Rural regions,"Marginal, Irregular Part-Time Employment",0.04109,459,9610,0.03712,0.04506
2020,Rural regions,Not Employed,0.33412,3676,9610,0.32468,0.34355
2021,Urban regions,Full-Time Employment,0.33295,5217,13483,0.32499,0.34090
2021,Urban regions,Regular Part-Time Employment,0.11405,2046,13483,0.10869,0.11942
2021,Urban regions,Vocational Training,0.01593,312,13483,0.01381,0.01804
2021,Urban regions,"Marginal, Irregular Part-Time Employment",0.04327,609,13483,0.03984,0.04671
2021,Urban regions,Not Employed,0.32130,5163,13483,0.31341,0.32918
2021,Urban regions,In short-time work (since 2021),0.00515,136,13483,0.00394,0.00636
2021,Rural regions,Full-Time Employment,0.33933,2487,6330,0.32766,0.35099
2021,Rural regions,Regular Part-Time Employment,0.11478,942,6330,0.10693,0.12264
2021,Rural regions,Vocational Training,0.01726,156,6330,0.01405,0.02047
2021,Rural regions,"Marginal, Irregular Part-Time Employment",0.03905,275,6330,0.03428,0.04382
2021,Rural regions,Not Employed,0.31940,2420,6330,0.30791,0.33088
2021,Rural regions,In short-time work (since 2021),0.00727,50,6330,0.00518,0.00936
2022,Urban regions,Full-Time Employment,0.33973,9176,19311,0.33305,0.34641
2022,Urban regions,Regular Part-Time Employment,0.13045,3019,19311,0.12570,0.13520
2022,Urban regions,Vocational Training,0.01462,527,19311,0.01292,0.01631
2022,Urban regions,"Marginal, Irregular Part-Time Employment",0.04249,893,19311,0.03964,0.04533
2022,Urban regions,Not Employed,0.29834,5606,19311,0.29189,0.30479
2022,Urban regions,In short-time work (since 2021),0.00228,90,19311,0.00161,0.00296
2022,Rural regions,Full-Time Employment,0.33992,3852,8833,0.33004,0.34980
2022,Rural regions,Regular Part-Time Employment,0.12325,1451,8833,0.11639,0.13010
2022,Rural regions,Vocational Training,0.01672,244,8833,0.01405,0.01939
2022,Rural regions,"Marginal, Irregular Part-Time Employment",0.03704,421,8833,0.03310,0.04098
2022,Rural regions,Not Employed,0.31749,2865,8833,0.30778,0.32720
