year,sex,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,female,Northern Europe,0.00226,53,16333,0.00153,0.00299
2017,female,Western Europe,0.00947,109,16333,0.00798,0.01095
2017,female,Sub-Saharan Africa,0.00249,127,16333,0.00173,0.00325
2017,female,Latin America and the Caribbean,0.00499,73,16333,0.00391,0.00607
2018,male,Germany,0.71474,10012,14212,0.70732,0.72217
2018,male,Northern Africa,0.00212,62,14212,0.00136,0.00288
2018,male,Southern Asia,0.00879,363,14212,0.00726,0.01033
2018,male,Southern Europe,0.02496,408,14212,0.02240,0.02753
2018,male,Central Asia,0.00890,200,14212,0.00736,0.01045
2018,male,Western Asia,0.02835,2108,14212,0.02562,0.03107
2018,male,Eastern Europe,0.03264,717,14212,0.02972,0.03557
2018,male,Northern Europe,0.00240,42,14212,0.00160,0.00321
2018,male,Western Europe,0.01084,98,14212,0.00913,0.01254
2018,male,Sub-Saharan Africa,0.00405,164,14212,0.00301,0.00509
2018,male,Latin America and the Caribbean,0.00317,38,14212,0.00225,0.00410
2018,female,Germany,0.72076,11513,15598,0.71372,0.72780
2018,female,Northern Africa,0.00199,56,15598,0.00129,0.00269
2018,female,Southern Asia,0.00604,291,15598,0.00483,0.00726
2018,female,South-Eastern Asia,0.00476,44,15598,0.00368,0.00584
2018,female,Southern Europe,0.02433,410,15598,0.02191,0.02675
2018,female,Central Asia,0.01363,297,15598,0.01181,0.01545
2018,female,Western Asia,0.02120,1534,15598,0.01894,0.02346
2018,female,Eastern Europe,0.04178,1085,15598,0.03864,0.04492
2018,female,Northern Europe,0.00267,53,15598,0.00186,0.00349
2018,female,Western Europe,0.01109,106,15598,0.00944,0.01273
2018,female,Sub-Saharan Africa,0.00307,140,15598,0.00220,0.00394
2018,female,Latin America and the Caribbean,0.00463,69,15598,0.00357,0.00570
2019,male,Germany,0.71000,10769,14584,0.70264,0.71737
2019,male,Northern Africa,0.00249,57,14584,0.00168,0.00329
2019,male,Southern Asia,0.00835,311,14584,0.00687,0.00983
2019,male,Southern Europe,0.02487,337,14584,0.02234,0.02740
2019,male,Central Asia,0.00946,171,14584,0.00789,0.01103
2019,male,Western Asia,0.02835,1985,14584,0.02566,0.03105
2019,male,Eastern Europe,0.03246,622,14584,0.02959,0.03534
2019,male,Northern Europe,0.00269,44,14584,0.00185,0.00353
2019,male,Western Europe,0.01074,109,14584,0.00907,0.01241
2019,male,Sub-Saharan Africa,0.00478,140,14584,0.00366,0.00590
2019,male,Latin America and the Caribbean,0.00314,39,14584,0.00223,0.00405
2019,female,Germany,0.71768,11519,15158,0.71052,0.72485
2019,female,Northern Africa,0.00208,47,15158,0.00135,0.00280
2019,female,Southern Asia,0.00534,239,15158,0.00418,0.00650
2019,female,South-Eastern Asia,0.00365,34,15158,0.00269,0.00460
2019,female,Southern Europe,0.02486,337,15158,0.02238,0.02734
2019,female,Central Asia,0.01262,248,15158,0.01084,0.01440
2019,female,Western Asia,0.02177,1424,15158,0.01945,0.02409
2019,female,Eastern Europe,0.04122,963,15158,0.03806,0.04439
2019,female,Northern Europe,0.00249,49,15158,0.00170,0.00329
2019,female,Western Europe,0.01098,111,15158,0.00932,0.01264
2019,female,Sub-Saharan Africa,0.00314,117,15158,0.00225,0.00403
2019,female,Latin America and the Caribbean,0.00576,70,15158,0.00456,0.00697
2020,male,Germany,0.71625,9752,14859,0.70900,0.72350
2020,male,Northern Africa,0.00171,92,14859,0.00104,0.00237
2020,male,Northern America,0.00261,40,14859,0.00179,0.00343
2020,male,Southern Asia,0.00828,483,14859,0.00682,0.00973
2020,male,Southern Europe,0.02417,596,14859,0.02170,0.02664
2020,male,Central Asia,0.00847,156,14859,0.00699,0.00994
2020,male,Western Asia,0.02607,2201,14859,0.02350,0.02863
2020,male,Eastern Europe,0.02740,976,14859,0.02478,0.03003
2020,male,Northern Europe,0.00239,44,14859,0.00160,0.00318
2020,male,Western Europe,0.01011,103,14859,0.00850,0.01172
2020,male,Sub-Saharan Africa,0.00616,314,14859,0.00490,0.00742
2020,male,Latin America and the Caribbean,0.00354,102,14859,0.00258,0.00449
2020,female,Germany,0.72681,10771,15074,0.71969,0.73392
2020,female,Northern Africa,0.00197,58,15074,0.00126,0.00267
2020,female,Northern America,0.00226,36,15074,0.00150,0.00302
2020,female,Eastern Asia,0.00061,33,15074,0.00021,0.00100
2020,female,Southern Asia,0.00558,280,15074,0.00439,0.00677
2020,female,South-Eastern Asia,0.00371,63,15074,0.00274,0.00468
2020,female,Southern Europe,0.02349,438,15074,0.02107,0.02591
2020,female,Central Asia,0.01277,231,15074,0.01098,0.01456
2020,female,Western Asia,0.01945,1358,15074,0.01725,0.02166
2020,female,Eastern Europe,0.03441,1332,15074,0.03150,0.03732
2020,female,Northern Europe,0.00230,47,15074,0.00153,0.00306
2020,female,Western Europe,0.01049,113,15074,0.00886,0.01211
2020,female,Sub-Saharan Africa,0.00325,210,15074,0.00234,0.00416
2020,female,Latin America and the Caribbean,0.00482,104,15074,0.00372,0.00593
2021,male,Germany,0.70747,6824,9596,0.69837,0.71658
2021,male,Northern Africa,0.00233,42,9596,0.00136,0.00329
2021,male,Southern Asia,0.00826,241,9596,0.00645,0.01007
2021,male,Southern Europe,0.02357,252,9596,0.02053,0.02660
2021,male,Central Asia,0.01011,85,9596,0.00811,0.01212
2021,male,Western Asia,0.02746,1402,9596,0.02419,0.03073
2021,male,Eastern Europe,0.02923,464,9596,0.02585,0.03260
2021,male,Western Europe,0.01020,75,9596,0.00819,0.01221
2021,male,Sub-Saharan Africa,0.00617,158,9596,0.00460,0.00773
2021,male,Latin America and the Caribbean,0.00438,53,9596,0.00306,0.00571
2021,female,Germany,0.71622,7600,10139,0.70744,0.72499
2021,female,Southern Asia,0.00540,158,10139,0.00397,0.00683
2021,female,Southern Europe,0.02706,247,10139,0.02390,0.03022
2021,female,Central Asia,0.01271,132,10139,0.01053,0.01489
2021,female,Western Asia,0.01899,1017,10139,0.01633,0.02164
2021,female,Eastern Europe,0.04007,703,10139,0.03626,0.04389
2021,female,Northern Europe,0.00264,36,10139,0.00164,0.00364
2021,female,Western Europe,0.00945,79,10139,0.00757,0.01133
2021,female,Sub-Saharan Africa,0.00276,106,10139,0.00174,0.00379
2021,female,Latin America and the Caribbean,0.00374,61,10139,0.00255,0.00493
