,Unnamed: 0,year,pgisced97,quintil_oecd,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
250,250,2011,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, less frequently",0.21695,39,11895,0.12748,0.33505
251,251,2011,Post-secondary Non-tertiary Level,3rd Quintile,"No, never",0.40155,112,11895,0.31399,0.48372
252,252,2011,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, every 2 weeks",0.18101,39,11895,0.10671,0.25467
253,253,2011,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, less frequently",0.41744,57,11895,0.27894,0.5845
254,254,2011,Post-secondary Non-tertiary Level,4th Quintile,"No, never",0.69674,127,11895,0.55777,0.8504
255,255,2011,Post-secondary Non-tertiary Level,4th Quintile,"Yes, less frequently",0.30326,56,11895,0.19343,0.4229
256,256,2011,Post-secondary Non-tertiary Level,5th Quintile,"No, never",0.58006,113,11895,0.45617,0.73719
257,257,2011,Post-secondary Non-tertiary Level,5th Quintile,"Yes, every week",0.15188,31,11895,0.0916,0.21518
258,258,2011,Post-secondary Non-tertiary Level,5th Quintile,"Yes, less frequently",0.26806,67,11895,0.20211,0.3535
259,259,2011,First Stage of Tertiary Education,2nd Quintile,"No, never",0.41709,53,11895,0.27585,0.56504
260,260,2011,First Stage of Tertiary Education,2nd Quintile,"Yes, every week",0.17475,31,11895,0.11584,0.22609
261,261,2011,First Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.40816,41,11895,0.19258,0.68004
262,262,2011,First Stage of Tertiary Education,3rd Quintile,"No, never",0.38572,75,11895,0.28775,0.51921
263,263,2011,First Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.30528,50,11895,0.21021,0.42104
264,264,2011,First Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.309,46,11895,0.206,0.42332
265,265,2011,First Stage of Tertiary Education,4th Quintile,"No, never",0.38576,97,11895,0.313,0.45971
266,266,2011,First Stage of Tertiary Education,4th Quintile,"Yes, every week",0.12932,34,11895,0.0813,0.18086
267,267,2011,First Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.13288,36,11895,0.08128,0.18588
268,268,2011,First Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.35205,80,11895,0.26548,0.44539
269,269,2011,First Stage of Tertiary Education,5th Quintile,"No, never",0.39106,100,11895,0.31509,0.49749
270,270,2011,First Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.17265,40,11895,0.11548,0.23961
271,271,2011,First Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.12835,33,11895,0.07337,0.1906
272,272,2011,First Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.30793,75,11895,0.2278,0.41976
273,273,2011,Second Stage of Tertiary Education,1st Quintile,"No, never",0.67152,83,11895,0.4774,0.91378
274,274,2011,Second Stage of Tertiary Education,1st Quintile,"Yes, less frequently",0.32848,37,11895,0.19363,0.48065
275,275,2011,Second Stage of Tertiary Education,2nd Quintile,"No, never",0.53373,126,11895,0.39288,0.67031
276,276,2011,Second Stage of Tertiary Education,2nd Quintile,"Yes, every week",0.20497,35,11895,0.13218,0.27601
277,277,2011,Second Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.2613,75,11895,0.1713,0.37935
278,278,2011,Second Stage of Tertiary Education,3rd Quintile,"No, never",0.39107,169,11895,0.30559,0.48196
279,279,2011,Second Stage of Tertiary Education,3rd Quintile,"Yes, every week",0.16696,73,11895,0.12108,0.22063
280,280,2011,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.09578,46,11895,0.06348,0.14785
281,281,2011,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 3-4 weeks",0.08936,41,11895,0.05662,0.12697
282,282,2011,Second Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.25684,139,11895,0.20659,0.3017
283,283,2011,Second Stage of Tertiary Education,4th Quintile,"No, never",0.35721,317,11895,0.30291,0.41786
284,284,2011,Second Stage of Tertiary Education,4th Quintile,"Yes, every week",0.10787,95,11895,0.07483,0.14229
285,285,2011,Second Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.09916,102,11895,0.07317,0.12763
286,286,2011,Second Stage of Tertiary Education,4th Quintile,"Yes, every 3-4 weeks",0.10924,75,11895,0.08297,0.14038
287,287,2011,Second Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.32651,230,11895,0.26888,0.37757
288,288,2011,Second Stage of Tertiary Education,5th Quintile,"No, never",0.31465,574,11895,0.27638,0.35234
289,289,2011,Second Stage of Tertiary Education,5th Quintile,"Yes, every week",0.17234,298,11895,0.14639,0.20146
290,290,2011,Second Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.08969,168,11895,0.07542,0.10224
291,291,2011,Second Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.095,175,11895,0.07747,0.11413
292,292,2011,Second Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.32832,525,11895,0.28805,0.36541
293,293,2013,Lower Secondary Level,1st Quintile,"No, never",0.41245,135,14429,0.33128,0.50848
294,294,2013,Lower Secondary Level,1st Quintile,"Yes, every week",0.25208,74,14429,0.18224,0.34994
295,295,2013,Lower Secondary Level,1st Quintile,"Yes, every 2 weeks",0.22179,81,14429,0.15738,0.30751
296,296,2013,Lower Secondary Level,1st Quintile,"Yes, less frequently",0.11368,50,14429,0.06991,0.16619
297,297,2013,Lower Secondary Level,2nd Quintile,"No, never",0.42352,137,14429,0.32264,0.51667
298,298,2013,Lower Secondary Level,2nd Quintile,"Yes, every week",0.19362,52,14429,0.13602,0.27211
299,299,2013,Lower Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.20239,54,14429,0.14873,0.25837
300,300,2013,Lower Secondary Level,2nd Quintile,"Yes, less frequently",0.18046,55,14429,0.12726,0.25035
301,301,2013,Lower Secondary Level,3rd Quintile,"No, never",0.75626,110,14429,0.63939,0.92484
302,302,2013,Lower Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.24374,35,14429,0.17393,0.31789
303,303,2013,Lower Secondary Level,4th Quintile,"No, never",0.71626,64,14429,0.54087,0.90591
304,304,2013,Lower Secondary Level,4th Quintile,"Yes, less frequently",0.28374,32,14429,0.19291,0.40352
305,305,2013,Upper Secondary Level,1st Quintile,"No, never",0.34611,484,14429,0.30296,0.40019
306,306,2013,Upper Secondary Level,1st Quintile,"Yes, every week",0.18115,221,14429,0.14887,0.21583
307,307,2013,Upper Secondary Level,1st Quintile,"Yes, every 2 weeks",0.20927,278,14429,0.17328,0.24909
308,308,2013,Upper Secondary Level,1st Quintile,"Yes, every 3-4 weeks",0.09171,111,14429,0.07102,0.11954
309,309,2013,Upper Secondary Level,1st Quintile,"Yes, less frequently",0.17176,221,14429,0.1445,0.2127
310,310,2013,Upper Secondary Level,2nd Quintile,"No, never",0.37378,626,14429,0.33285,0.41642
311,311,2013,Upper Secondary Level,2nd Quintile,"Yes, every week",0.13332,232,14429,0.11411,0.15368
312,312,2013,Upper Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.20115,340,14429,0.1745,0.23277
313,313,2013,Upper Secondary Level,2nd Quintile,"Yes, every 3-4 weeks",0.08764,154,14429,0.07353,0.10425
314,314,2013,Upper Secondary Level,2nd Quintile,"Yes, less frequently",0.20412,355,14429,0.17625,0.22993
315,315,2013,Upper Secondary Level,3rd Quintile,"No, never",0.3881,620,14429,0.34794,0.42344
316,316,2013,Upper Secondary Level,3rd Quintile,"Yes, every week",0.12754,180,14429,0.10784,0.15117
317,317,2013,Upper Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.20325,318,14429,0.17826,0.22812
318,318,2013,Upper Secondary Level,3rd Quintile,"Yes, every 3-4 weeks",0.08091,153,14429,0.06907,0.09501
319,319,2013,Upper Secondary Level,3rd Quintile,"Yes, less frequently",0.2002,368,14429,0.17724,0.22085
320,320,2013,Upper Secondary Level,4th Quintile,"No, never",0.36235,601,14429,0.33744,0.39162
321,321,2013,Upper Secondary Level,4th Quintile,"Yes, every week",0.10682,165,14429,0.09206,0.12423
322,322,2013,Upper Secondary Level,4th Quintile,"Yes, every 2 weeks",0.20291,285,14429,0.17978,0.22831
323,323,2013,Upper Secondary Level,4th Quintile,"Yes, every 3-4 weeks",0.09504,138,14429,0.08017,0.10974
324,324,2013,Upper Secondary Level,4th Quintile,"Yes, less frequently",0.23289,347,14429,0.20894,0.2603
325,325,2013,Upper Secondary Level,5th Quintile,"No, never",0.39621,456,14429,0.35843,0.43374
326,326,2013,Upper Secondary Level,5th Quintile,"Yes, every week",0.1187,162,14429,0.10373,0.13811
327,327,2013,Upper Secondary Level,5th Quintile,"Yes, every 2 weeks",0.11593,140,14429,0.09393,0.13613
328,328,2013,Upper Secondary Level,5th Quintile,"Yes, every 3-4 weeks",0.08643,92,14429,0.06671,0.10747
329,329,2013,Upper Secondary Level,5th Quintile,"Yes, less frequently",0.28274,309,14429,0.25196,0.31367
330,330,2013,Post-secondary Non-tertiary Level,1st Quintile,"No, never",0.65385,76,14429,0.45038,0.92849
331,331,2013,Post-secondary Non-tertiary Level,1st Quintile,"Yes, every 2 weeks",0.34615,32,14429,0.19429,0.55273
332,332,2013,Post-secondary Non-tertiary Level,2nd Quintile,"No, never",0.48298,119,14429,0.36732,0.61398
333,333,2013,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, every 2 weeks",0.14647,46,14429,0.09435,0.20445
334,334,2013,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, every 3-4 weeks",0.18304,32,14429,0.108,0.26288
335,335,2013,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, less frequently",0.18751,57,14429,0.13564,0.24631
336,336,2013,Post-secondary Non-tertiary Level,3rd Quintile,"No, never",0.48155,136,14429,0.3745,0.57452
337,337,2013,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, every 2 weeks",0.23469,42,14429,0.14615,0.32607
338,338,2013,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, less frequently",0.28376,68,14429,0.19687,0.38417
339,339,2013,Post-secondary Non-tertiary Level,4th Quintile,"No, never",0.45682,141,14429,0.36646,0.55478
340,340,2013,Post-secondary Non-tertiary Level,4th Quintile,"Yes, every 2 weeks",0.21064,44,14429,0.14028,0.31205
341,341,2013,Post-secondary Non-tertiary Level,4th Quintile,"Yes, less frequently",0.33254,70,14429,0.23607,0.4308
342,342,2013,Post-secondary Non-tertiary Level,5th Quintile,"No, never",0.43705,138,14429,0.37315,0.50567
343,343,2013,Post-secondary Non-tertiary Level,5th Quintile,"Yes, every week",0.13898,33,14429,0.08684,0.19296
344,344,2013,Post-secondary Non-tertiary Level,5th Quintile,"Yes, every 2 weeks",0.13931,38,14429,0.0947,0.18687
345,345,2013,Post-secondary Non-tertiary Level,5th Quintile,"Yes, less frequently",0.28466,78,14429,0.22203,0.37368
346,346,2013,First Stage of Tertiary Education,2nd Quintile,"No, never",0.39806,57,14429,0.27531,0.59771
347,347,2013,First Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.60194,41,14429,0.37166,0.81918
348,348,2013,First Stage of Tertiary Education,3rd Quintile,"No, never",0.3827,99,14429,0.30094,0.45828
349,349,2013,First Stage of Tertiary Education,3rd Quintile,"Yes, every week",0.12403,33,14429,0.09016,0.1665
350,350,2013,First Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.15665,39,14429,0.11642,0.20776
351,351,2013,First Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.33662,67,14429,0.23242,0.45268
352,352,2013,First Stage of Tertiary Education,4th Quintile,"No, never",0.3207,112,14429,0.24601,0.39858
353,353,2013,First Stage of Tertiary Education,4th Quintile,"Yes, every week",0.11317,32,14429,0.07148,0.16
354,354,2013,First Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.10739,37,14429,0.08008,0.13818
355,355,2013,First Stage of Tertiary Education,4th Quintile,"Yes, every 3-4 weeks",0.09683,37,14429,0.06784,0.14235
356,356,2013,First Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.36191,96,14429,0.27644,0.45935
357,357,2013,First Stage of Tertiary Education,5th Quintile,"No, never",0.33937,105,14429,0.26869,0.41145
358,358,2013,First Stage of Tertiary Education,5th Quintile,"Yes, every week",0.13425,33,14429,0.09545,0.17441
359,359,2013,First Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.12446,36,14429,0.08296,0.17367
360,360,2013,First Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.40191,119,14429,0.32747,0.47228
361,361,2013,Second Stage of Tertiary Education,1st Quintile,"No, never",0.36692,87,14429,0.28558,0.44904
362,362,2013,Second Stage of Tertiary Education,1st Quintile,"Yes, every week",0.10116,31,14429,0.06377,0.1403
363,363,2013,Second Stage of Tertiary Education,1st Quintile,"Yes, every 2 weeks",0.25683,33,14429,0.15188,0.40254
364,364,2013,Second Stage of Tertiary Education,1st Quintile,"Yes, less frequently",0.27509,47,14429,0.1725,0.43429
365,365,2013,Second Stage of Tertiary Education,2nd Quintile,"No, never",0.41339,166,14429,0.34735,0.47665
366,366,2013,Second Stage of Tertiary Education,2nd Quintile,"Yes, every week",0.20165,51,14429,0.13936,0.28308
367,367,2013,Second Stage of Tertiary Education,2nd Quintile,"Yes, every 2 weeks",0.11849,47,14429,0.06905,0.18477
368,368,2013,Second Stage of Tertiary Education,2nd Quintile,"Yes, every 3-4 weeks",0.10241,31,14429,0.05964,0.15418
369,369,2013,Second Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.16407,77,14429,0.12061,0.21834
370,370,2013,Second Stage of Tertiary Education,3rd Quintile,"No, never",0.34593,221,14429,0.27906,0.42652
371,371,2013,Second Stage of Tertiary Education,3rd Quintile,"Yes, every week",0.1296,71,14429,0.08829,0.17445
372,372,2013,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.12561,64,14429,0.09331,0.16556
373,373,2013,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 3-4 weeks",0.09065,45,14429,0.05539,0.13919
374,374,2013,Second Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.3082,158,14429,0.24365,0.37769
375,375,2013,Second Stage of Tertiary Education,4th Quintile,"No, never",0.38445,374,14429,0.33712,0.43628
376,376,2013,Second Stage of Tertiary Education,4th Quintile,"Yes, every week",0.11625,140,14429,0.0876,0.13898
377,377,2013,Second Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.07952,96,14429,0.06169,0.10122
378,378,2013,Second Stage of Tertiary Education,4th Quintile,"Yes, every 3-4 weeks",0.09583,86,14429,0.07469,0.11832
379,379,2013,Second Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.32396,305,14429,0.28846,0.37027
380,380,2013,Second Stage of Tertiary Education,5th Quintile,"No, never",0.32872,687,14429,0.30121,0.35506
381,381,2013,Second Stage of Tertiary Education,5th Quintile,"Yes, every week",0.15351,295,14429,0.13168,0.17396
382,382,2013,Second Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.0926,189,14429,0.076,0.10753
383,383,2013,Second Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.09543,195,14429,0.08061,0.11314
384,384,2013,Second Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.32975,605,14429,0.29463,0.36551
385,385,2015,Lower Secondary Level,1st Quintile,"No, never",0.45145,168,14054,0.35761,0.52769
386,386,2015,Lower Secondary Level,1st Quintile,"Yes, every week",0.21604,83,14054,0.15686,0.27943
387,387,2015,Lower Secondary Level,1st Quintile,"Yes, every 2 weeks",0.24107,89,14054,0.17524,0.31527
388,388,2015,Lower Secondary Level,1st Quintile,"Yes, less frequently",0.09145,50,14054,0.06822,0.11854
389,389,2015,Lower Secondary Level,2nd Quintile,"No, never",0.41137,145,14054,0.33749,0.49262
390,390,2015,Lower Secondary Level,2nd Quintile,"Yes, every week",0.1842,57,14054,0.12888,0.24198
391,391,2015,Lower Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.21585,66,14054,0.15108,0.29295
392,392,2015,Lower Secondary Level,2nd Quintile,"Yes, less frequently",0.18857,55,14054,0.12614,0.27936
393,393,2015,Lower Secondary Level,3rd Quintile,"No, never",0.57466,112,14054,0.45522,0.69339
394,394,2015,Lower Secondary Level,3rd Quintile,"Yes, every week",0.21004,40,14054,0.15258,0.27604
395,395,2015,Lower Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.21529,44,14054,0.15874,0.28073
396,396,2015,Lower Secondary Level,4th Quintile,"No, never",1.0,75,14054,0.80039,1.23543
397,397,2015,Upper Secondary Level,1st Quintile,"No, never",0.38617,418,14054,0.33803,0.43245
398,398,2015,Upper Secondary Level,1st Quintile,"Yes, every week",0.17917,196,14054,0.14751,0.22376
399,399,2015,Upper Secondary Level,1st Quintile,"Yes, every 2 weeks",0.19945,229,14054,0.1624,0.22724
400,400,2015,Upper Secondary Level,1st Quintile,"Yes, every 3-4 weeks",0.0648,87,14054,0.05061,0.08298
401,401,2015,Upper Secondary Level,1st Quintile,"Yes, less frequently",0.17041,188,14054,0.14436,0.20521
402,402,2015,Upper Secondary Level,2nd Quintile,"No, never",0.36055,580,14054,0.3242,0.39845
403,403,2015,Upper Secondary Level,2nd Quintile,"Yes, every week",0.13761,221,14054,0.11264,0.16576
404,404,2015,Upper Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.20588,340,14054,0.17819,0.2356
405,405,2015,Upper Secondary Level,2nd Quintile,"Yes, every 3-4 weeks",0.0857,141,14054,0.06673,0.10413
406,406,2015,Upper Secondary Level,2nd Quintile,"Yes, less frequently",0.21027,350,14054,0.18465,0.2389
407,407,2015,Upper Secondary Level,3rd Quintile,"No, never",0.39068,635,14054,0.35061,0.4298
408,408,2015,Upper Secondary Level,3rd Quintile,"Yes, every week",0.1312,211,14054,0.11119,0.14936
409,409,2015,Upper Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.19533,293,14054,0.17035,0.22423
410,410,2015,Upper Secondary Level,3rd Quintile,"Yes, every 3-4 weeks",0.08079,129,14054,0.06581,0.09731
411,411,2015,Upper Secondary Level,3rd Quintile,"Yes, less frequently",0.20201,311,14054,0.17439,0.232
412,412,2015,Upper Secondary Level,4th Quintile,"No, never",0.39356,612,14054,0.36439,0.42912
413,413,2015,Upper Secondary Level,4th Quintile,"Yes, every week",0.09742,177,14054,0.08447,0.11264
414,414,2015,Upper Secondary Level,4th Quintile,"Yes, every 2 weeks",0.17269,250,14054,0.15353,0.19557
415,415,2015,Upper Secondary Level,4th Quintile,"Yes, every 3-4 weeks",0.0856,141,14054,0.07165,0.09751
416,416,2015,Upper Secondary Level,4th Quintile,"Yes, less frequently",0.25074,343,14054,0.2154,0.27824
417,417,2015,Upper Secondary Level,5th Quintile,"No, never",0.42204,443,14054,0.38504,0.45835
418,418,2015,Upper Secondary Level,5th Quintile,"Yes, every week",0.12311,133,14054,0.10538,0.14744
419,419,2015,Upper Secondary Level,5th Quintile,"Yes, every 2 weeks",0.11365,117,14054,0.09657,0.13628
420,420,2015,Upper Secondary Level,5th Quintile,"Yes, every 3-4 weeks",0.07953,78,14054,0.06345,0.0959
421,421,2015,Upper Secondary Level,5th Quintile,"Yes, less frequently",0.26167,274,14054,0.22834,0.29618
422,422,2015,Post-secondary Non-tertiary Level,1st Quintile,"No, never",0.48159,82,14054,0.36813,0.60715
423,423,2015,Post-secondary Non-tertiary Level,1st Quintile,"Yes, every 2 weeks",0.28391,36,14054,0.19391,0.41958
424,424,2015,Post-secondary Non-tertiary Level,1st Quintile,"Yes, less frequently",0.2345,36,14054,0.14738,0.36561
425,425,2015,Post-secondary Non-tertiary Level,2nd Quintile,"No, never",0.49146,131,14054,0.36937,0.61678
426,426,2015,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, every week",0.13982,50,14054,0.09675,0.19696
427,427,2015,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, every 2 weeks",0.15987,56,14054,0.11754,0.2299
428,428,2015,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, less frequently",0.20885,62,14054,0.13617,0.30356
429,429,2015,Post-secondary Non-tertiary Level,3rd Quintile,"No, never",0.39564,156,14054,0.32422,0.49035
430,430,2015,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, every 2 weeks",0.18076,56,14054,0.12658,0.23382
431,431,2015,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, every 3-4 weeks",0.12554,38,14054,0.0827,0.17752
432,432,2015,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, less frequently",0.29807,79,14054,0.21491,0.39025
433,433,2015,Post-secondary Non-tertiary Level,4th Quintile,"No, never",0.40561,147,14054,0.34483,0.47441
434,434,2015,Post-secondary Non-tertiary Level,4th Quintile,"Yes, every 2 weeks",0.20593,47,14054,0.1294,0.29231
435,435,2015,Post-secondary Non-tertiary Level,4th Quintile,"Yes, every 3-4 weeks",0.08472,32,14054,0.05588,0.11843
436,436,2015,Post-secondary Non-tertiary Level,4th Quintile,"Yes, less frequently",0.30374,84,14054,0.24217,0.3875
437,437,2015,Post-secondary Non-tertiary Level,5th Quintile,"No, never",0.59883,133,14054,0.51308,0.72181
438,438,2015,Post-secondary Non-tertiary Level,5th Quintile,"Yes, less frequently",0.40117,72,14054,0.30217,0.51635
439,439,2015,First Stage of Tertiary Education,2nd Quintile,"No, never",0.48731,51,14054,0.3571,0.62838
440,440,2015,First Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.51269,41,14054,0.33287,0.7396
441,441,2015,First Stage of Tertiary Education,3rd Quintile,"No, never",0.53367,80,14054,0.39022,0.685
442,442,2015,First Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.46633,67,14054,0.31594,0.65169
443,443,2015,First Stage of Tertiary Education,4th Quintile,"No, never",0.31122,99,14054,0.24867,0.38806
444,444,2015,First Stage of Tertiary Education,4th Quintile,"Yes, every week",0.12143,38,14054,0.085,0.16465
445,445,2015,First Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.10116,35,14054,0.06911,0.12812
446,446,2015,First Stage of Tertiary Education,4th Quintile,"Yes, every 3-4 weeks",0.15043,32,14054,0.09841,0.19504
447,447,2015,First Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.31575,95,14054,0.24848,0.40114
448,448,2015,First Stage of Tertiary Education,5th Quintile,"No, never",0.34898,108,14054,0.28277,0.40979
449,449,2015,First Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.13391,35,14054,0.09195,0.18964
450,450,2015,First Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.51711,120,14054,0.43354,0.60979
451,451,2015,Second Stage of Tertiary Education,1st Quintile,"No, never",0.33326,92,14054,0.25027,0.44219
452,452,2015,Second Stage of Tertiary Education,1st Quintile,"Yes, every week",0.23068,41,14054,0.15815,0.3195
453,453,2015,Second Stage of Tertiary Education,1st Quintile,"Yes, every 2 weeks",0.27458,51,14054,0.1851,0.3751
454,454,2015,Second Stage of Tertiary Education,1st Quintile,"Yes, less frequently",0.16148,51,14054,0.11185,0.22389
455,455,2015,Second Stage of Tertiary Education,2nd Quintile,"No, never",0.3667,155,14054,0.28729,0.45411
456,456,2015,Second Stage of Tertiary Education,2nd Quintile,"Yes, every week",0.17723,60,14054,0.12982,0.25516
457,457,2015,Second Stage of Tertiary Education,2nd Quintile,"Yes, every 2 weeks",0.10811,46,14054,0.05984,0.15572
458,458,2015,Second Stage of Tertiary Education,2nd Quintile,"Yes, every 3-4 weeks",0.11699,42,14054,0.06301,0.16947
459,459,2015,Second Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.23096,88,14054,0.17184,0.2948
460,460,2015,Second Stage of Tertiary Education,3rd Quintile,"No, never",0.39067,265,14054,0.31636,0.46353
461,461,2015,Second Stage of Tertiary Education,3rd Quintile,"Yes, every week",0.12457,53,14054,0.0794,0.18419
462,462,2015,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.14057,77,14054,0.1004,0.18229
463,463,2015,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 3-4 weeks",0.09372,51,14054,0.0597,0.1337
464,464,2015,Second Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.25045,164,14054,0.19491,0.31164
465,465,2015,Second Stage of Tertiary Education,4th Quintile,"No, never",0.38424,387,14054,0.34164,0.42415
466,466,2015,Second Stage of Tertiary Education,4th Quintile,"Yes, every week",0.14499,130,14054,0.11243,0.18374
467,467,2015,Second Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.12992,98,14054,0.0984,0.16508
468,468,2015,Second Stage of Tertiary Education,4th Quintile,"Yes, every 3-4 weeks",0.08235,76,14054,0.06168,0.10964
469,469,2015,Second Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.25849,280,14054,0.20762,0.30611
470,470,2015,Second Stage of Tertiary Education,5th Quintile,"No, never",0.3501,684,14054,0.31626,0.38223
471,471,2015,Second Stage of Tertiary Education,5th Quintile,"Yes, every week",0.13617,269,14054,0.11329,0.1537
472,472,2015,Second Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.10114,186,14054,0.07853,0.12285
473,473,2015,Second Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.11042,186,14054,0.09173,0.1306
474,474,2015,Second Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.30217,543,14054,0.26748,0.33182
475,475,2017,Primary Level,1st Quintile,"No, never",1.0,38,12814,0.7334,1.2714
476,476,2017,Lower Secondary Level,1st Quintile,"No, never",0.50521,179,12814,0.39933,0.64173
477,477,2017,Lower Secondary Level,1st Quintile,"Yes, every week",0.18323,76,12814,0.1396,0.23272
478,478,2017,Lower Secondary Level,1st Quintile,"Yes, every 2 weeks",0.14582,65,12814,0.09992,0.20154
479,479,2017,Lower Secondary Level,1st Quintile,"Yes, less frequently",0.16574,58,12814,0.10894,0.22473
480,480,2017,Lower Secondary Level,2nd Quintile,"No, never",0.45402,133,12814,0.37272,0.56824
481,481,2017,Lower Secondary Level,2nd Quintile,"Yes, every week",0.14216,42,12814,0.0864,0.19896
482,482,2017,Lower Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.20584,58,12814,0.13858,0.28087
483,483,2017,Lower Secondary Level,2nd Quintile,"Yes, less frequently",0.19798,46,12814,0.14148,0.27925
484,484,2017,Lower Secondary Level,3rd Quintile,"No, never",0.45741,85,12814,0.36538,0.57941
485,485,2017,Lower Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.27813,36,12814,0.15483,0.44592
486,486,2017,Lower Secondary Level,3rd Quintile,"Yes, less frequently",0.26446,39,12814,0.16128,0.40504
487,487,2017,Lower Secondary Level,4th Quintile,"No, never",1.0,59,12814,0.72028,1.28398
488,488,2017,Upper Secondary Level,1st Quintile,"No, never",0.42248,404,12814,0.35983,0.48524
489,489,2017,Upper Secondary Level,1st Quintile,"Yes, every week",0.20947,213,12814,0.17001,0.25288
490,490,2017,Upper Secondary Level,1st Quintile,"Yes, every 2 weeks",0.15127,182,12814,0.12319,0.18251
491,491,2017,Upper Secondary Level,1st Quintile,"Yes, every 3-4 weeks",0.07494,96,12814,0.05183,0.10093
492,492,2017,Upper Secondary Level,1st Quintile,"Yes, less frequently",0.14183,140,12814,0.1085,0.17772
493,493,2017,Upper Secondary Level,2nd Quintile,"No, never",0.39951,613,12814,0.35341,0.44237
494,494,2017,Upper Secondary Level,2nd Quintile,"Yes, every week",0.13225,220,12814,0.11015,0.15785
495,495,2017,Upper Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.18838,300,12814,0.16324,0.21652
