year,quintil_oecd,sex,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,3rd Quintile,female,"Yes, every 3-4 weeks",0.02363,111,1484,0.01590,0.03136
2017,3rd Quintile,female,"Yes, less frequently",0.06685,206,1484,0.05414,0.07956
2017,4th Quintile,male,"No, never",0.22566,572,1490,0.20443,0.24689
2017,4th Quintile,male,"Yes, every week",0.07386,193,1490,0.06057,0.08714
2017,4th Quintile,male,"Yes, every 2 weeks",0.08727,178,1490,0.07293,0.10160
2017,4th Quintile,male,"Yes, every 3-4 weeks",0.06859,160,1490,0.05576,0.08143
2017,4th Quintile,male,"Yes, less frequently",0.16733,387,1490,0.14837,0.18629
2017,4th Quintile,female,"No, never",0.28725,785,1565,0.26482,0.30967
2017,4th Quintile,female,"Yes, every week",0.05844,185,1565,0.04682,0.07007
2017,4th Quintile,female,"Yes, every 2 weeks",0.08246,216,1565,0.06883,0.09609
2017,4th Quintile,female,"Yes, every 3-4 weeks",0.04009,138,1565,0.03036,0.04981
2017,4th Quintile,female,"Yes, less frequently",0.08607,241,1565,0.07217,0.09997
2017,5th Quintile,male,"No, never",0.22443,567,1669,0.20441,0.24446
2017,5th Quintile,male,"Yes, every week",0.10610,253,1669,0.09132,0.12088
2017,5th Quintile,male,"Yes, every 2 weeks",0.06091,171,1669,0.04943,0.07238
2017,5th Quintile,male,"Yes, every 3-4 weeks",0.07947,182,1669,0.06649,0.09245
2017,5th Quintile,male,"Yes, less frequently",0.20419,496,1669,0.18484,0.22353
2017,5th Quintile,female,"No, never",0.28197,781,1611,0.25999,0.30394
2017,5th Quintile,female,"Yes, every week",0.07208,184,1611,0.05944,0.08471
2017,5th Quintile,female,"Yes, every 2 weeks",0.07458,169,1611,0.06174,0.08741
2017,5th Quintile,female,"Yes, every 3-4 weeks",0.04630,128,1611,0.03604,0.05657
2017,5th Quintile,female,"Yes, less frequently",0.13793,349,1611,0.12109,0.15478
2019,1st Quintile,male,"No, never",0.14502,380,892,0.12190,0.16814
2019,1st Quintile,male,"Yes, every week",0.04271,135,892,0.02943,0.05598
2019,1st Quintile,male,"Yes, every 2 weeks",0.05378,143,892,0.03897,0.06859
2019,1st Quintile,male,"Yes, every 3-4 weeks",0.02740,80,892,0.01668,0.03812
2019,1st Quintile,male,"Yes, less frequently",0.05065,154,892,0.03625,0.06505
2019,1st Quintile,female,"No, never",0.13437,551,1101,0.11421,0.15452
2019,1st Quintile,female,"Yes, every week",0.04819,170,1101,0.03554,0.06085
2019,1st Quintile,female,"Yes, every 2 weeks",0.05470,187,1101,0.04126,0.06814
2019,1st Quintile,female,"Yes, every 3-4 weeks",0.02196,83,1101,0.01330,0.03062
2019,1st Quintile,female,"Yes, less frequently",0.03689,110,1101,0.02575,0.04803
2019,2nd Quintile,male,"No, never",0.19278,532,1312,0.17143,0.21414
2019,2nd Quintile,male,"Yes, every week",0.04950,156,1312,0.03776,0.06124
2019,2nd Quintile,male,"Yes, every 2 weeks",0.07868,199,1312,0.06410,0.09325
2019,2nd Quintile,male,"Yes, every 3-4 weeks",0.04033,124,1312,0.02968,0.05098
2019,2nd Quintile,male,"Yes, less frequently",0.11013,301,1312,0.09318,0.12707
2019,2nd Quintile,female,"No, never",0.16180,697,1492,0.14311,0.18050
2019,2nd Quintile,female,"Yes, every week",0.06187,216,1492,0.04964,0.07410
2019,2nd Quintile,female,"Yes, every 2 weeks",0.08969,314,1492,0.07519,0.10419
2019,2nd Quintile,female,"Yes, every 3-4 weeks",0.02912,113,1492,0.02058,0.03765
2019,2nd Quintile,female,"Yes, less frequently",0.04886,152,1492,0.03791,0.05980
2019,3rd Quintile,male,"No, never",0.20359,534,1392,0.18243,0.22475
2019,3rd Quintile,male,"Yes, every week",0.07068,170,1392,0.05722,0.08415
2019,3rd Quintile,male,"Yes, every 2 weeks",0.07728,209,1392,0.06324,0.09131
2019,3rd Quintile,male,"Yes, every 3-4 weeks",0.05839,141,1392,0.04607,0.07072
2019,3rd Quintile,male,"Yes, less frequently",0.14639,338,1392,0.12781,0.16496
2019,3rd Quintile,female,"No, never",0.26518,803,1546,0.24317,0.28720
2019,3rd Quintile,female,"Yes, every week",0.05618,165,1546,0.04470,0.06766
2019,3rd Quintile,female,"Yes, every 2 weeks",0.08337,261,1546,0.06958,0.09715
2019,3rd Quintile,female,"Yes, every 3-4 weeks",0.03205,109,1546,0.02327,0.04084
2019,3rd Quintile,female,"Yes, less frequently",0.07240,208,1546,0.05948,0.08532
2019,4th Quintile,male,"No, never",0.23693,585,1466,0.21516,0.25871
2019,4th Quintile,male,"Yes, every week",0.07447,166,1466,0.06102,0.08791
2019,4th Quintile,male,"Yes, every 2 weeks",0.07847,187,1466,0.06470,0.09224
2019,4th Quintile,male,"Yes, every 3-4 weeks",0.05854,153,1466,0.04652,0.07056
2019,4th Quintile,male,"Yes, less frequently",0.16776,375,1466,0.14862,0.18689
2019,4th Quintile,female,"No, never",0.28029,785,1576,0.25811,0.30248
2019,4th Quintile,female,"Yes, every week",0.05859,143,1576,0.04699,0.07019
2019,4th Quintile,female,"Yes, every 2 weeks",0.08314,248,1576,0.06950,0.09677
2019,4th Quintile,female,"Yes, every 3-4 weeks",0.04402,128,1576,0.03389,0.05415
2019,4th Quintile,female,"Yes, less frequently",0.09884,272,1576,0.08410,0.11358
2019,5th Quintile,male,"No, never",0.24234,637,1810,0.22260,0.26209
2019,5th Quintile,male,"Yes, every week",0.09400,240,1810,0.08056,0.10745
2019,5th Quintile,male,"Yes, every 2 weeks",0.06493,178,1810,0.05358,0.07629
2019,5th Quintile,male,"Yes, every 3-4 weeks",0.07216,180,1810,0.06024,0.08409
2019,5th Quintile,male,"Yes, less frequently",0.22495,575,1810,0.20571,0.24419
2019,5th Quintile,female,"No, never",0.32621,905,1757,0.30429,0.34814
2019,5th Quintile,female,"Yes, every week",0.06272,177,1757,0.05138,0.07406
2019,5th Quintile,female,"Yes, every 2 weeks",0.06423,168,1757,0.05276,0.07569
2019,5th Quintile,female,"Yes, every 3-4 weeks",0.04846,143,1757,0.03841,0.05850
2019,5th Quintile,female,"Yes, less frequently",0.13606,364,1757,0.12003,0.15210
2021,1st Quintile,male,"No, never",0.12619,468,1186,0.10728,0.14510
2021,1st Quintile,male,"Yes, every week",0.04887,202,1186,0.03659,0.06114
2021,1st Quintile,male,"Yes, every 2 weeks",0.06020,205,1186,0.04666,0.07374
2021,1st Quintile,male,"Yes, every 3-4 weeks",0.02834,111,1186,0.01889,0.03779
2021,1st Quintile,male,"Yes, less frequently",0.05569,200,1186,0.04264,0.06875
2021,1st Quintile,female,"No, never",0.13904,419,871,0.11605,0.16203
2021,1st Quintile,female,"Yes, every week",0.04820,143,871,0.03396,0.06243
2021,1st Quintile,female,"Yes, every 2 weeks",0.05720,175,871,0.04177,0.07263
2021,1st Quintile,female,"Yes, every 3-4 weeks",0.01767,63,871,0.00892,0.02642
2021,1st Quintile,female,"Yes, less frequently",0.03148,71,871,0.01988,0.04308
2021,2nd Quintile,male,"No, never",0.15534,378,886,0.13148,0.17921
2021,2nd Quintile,male,"Yes, every week",0.03981,110,886,0.02693,0.05269
2021,2nd Quintile,male,"Yes, every 2 weeks",0.05854,124,886,0.04307,0.07401
2021,2nd Quintile,male,"Yes, every 3-4 weeks",0.04087,76,886,0.02782,0.05391
2021,2nd Quintile,male,"Yes, less frequently",0.10188,198,886,0.08195,0.12181
2021,2nd Quintile,female,"No, never",0.15807,449,969,0.13508,0.18105
2021,2nd Quintile,female,"Yes, every week",0.04374,119,969,0.03085,0.05662
2021,2nd Quintile,female,"Yes, every 2 weeks",0.06945,192,969,0.05343,0.08546
2021,2nd Quintile,female,"Yes, every 3-4 weeks",0.02756,78,969,0.01725,0.03788
2021,2nd Quintile,female,"Yes, less frequently",0.04779,131,969,0.03436,0.06123
2021,3rd Quintile,male,"No, never",0.21459,371,896,0.18769,0.24148
2021,3rd Quintile,male,"Yes, every week",0.04044,96,896,0.02754,0.05335
2021,3rd Quintile,male,"Yes, every 2 weeks",0.05319,130,896,0.03849,0.06789
2021,3rd Quintile,male,"Yes, every 3-4 weeks",0.04340,87,896,0.03005,0.05675
2021,3rd Quintile,male,"Yes, less frequently",0.10249,212,896,0.08262,0.12236
2021,3rd Quintile,female,"No, never",0.20767,512,998,0.18249,0.23284
2021,3rd Quintile,female,"Yes, every week",0.04617,97,998,0.03315,0.05920
2021,3rd Quintile,female,"Yes, every 2 weeks",0.07464,169,998,0.05832,0.09095
2021,3rd Quintile,female,"Yes, every 3-4 weeks",0.02833,66,998,0.01803,0.03863
2021,3rd Quintile,female,"Yes, less frequently",0.05188,154,998,0.03812,0.06565
2021,4th Quintile,male,"No, never",0.20682,401,930,0.18078,0.23287
2021,4th Quintile,male,"Yes, every week",0.05204,100,930,0.03776,0.06632
2021,4th Quintile,male,"Yes, every 2 weeks",0.05054,108,930,0.03646,0.06463
2021,4th Quintile,male,"Yes, every 3-4 weeks",0.04768,81,930,0.03398,0.06138
2021,4th Quintile,male,"Yes, less frequently",0.11748,240,930,0.09677,0.13818
2021,4th Quintile,female,"No, never",0.21614,500,976,0.19030,0.24198
2021,4th Quintile,female,"Yes, every week",0.03450,92,976,0.02304,0.04595
2021,4th Quintile,female,"Yes, every 2 weeks",0.06447,134,976,0.04906,0.07989
2021,4th Quintile,female,"Yes, every 3-4 weeks",0.03038,71,976,0.01961,0.04116
2021,4th Quintile,female,"Yes, less frequently",0.07332,179,976,0.05696,0.08969
2021,5th Quintile,male,"No, never",0.20594,477,1496,0.18544,0.22643
2021,5th Quintile,male,"Yes, every week",0.07780,289,1496,0.06422,0.09138
2021,5th Quintile,male,"Yes, every 2 weeks",0.04963,159,1496,0.03862,0.06064
2021,5th Quintile,male,"Yes, every 3-4 weeks",0.05309,135,1496,0.04173,0.06446
2021,5th Quintile,male,"Yes, less frequently",0.15102,436,1496,0.13287,0.16917
2021,5th Quintile,female,"No, never",0.25931,579,1216,0.23467,0.28396
2021,5th Quintile,female,"Yes, every week",0.05377,156,1216,0.04108,0.06645
2021,5th Quintile,female,"Yes, every 2 weeks",0.04489,121,1216,0.03325,0.05654
2021,5th Quintile,female,"Yes, every 3-4 weeks",0.04040,99,1216,0.02933,0.05148
2021,5th Quintile,female,"Yes, less frequently",0.10350,261,1216,0.08637,0.12062
