year,pgisced97,sampreg,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,First Stage of Tertiary Education,East,"Yes, less frequently",0.18794,56,192,0.13254,0.24335
2017,Second Stage of Tertiary Education,West,"No, never",0.29203,1597,3724,0.27742,0.30663
2017,Second Stage of Tertiary Education,West,"Yes, every week",0.08588,475,3724,0.07688,0.09488
2017,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.07432,380,3724,0.06590,0.08275
2017,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.07260,381,3724,0.06426,0.08093
2017,Second Stage of Tertiary Education,West,"Yes, less frequently",0.18533,891,3724,0.17285,0.19781
2017,Second Stage of Tertiary Education,East,"No, never",0.27764,416,918,0.24866,0.30663
2017,Second Stage of Tertiary Education,East,"Yes, every week",0.07479,106,918,0.05776,0.09182
2017,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.07974,105,918,0.06220,0.09727
2017,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.05805,98,918,0.04292,0.07319
2017,Second Stage of Tertiary Education,East,"Yes, less frequently",0.12174,193,918,0.10057,0.14290
2019,Primary Level,West,"No, never",0.17889,70,70,0.08846,0.26933
2019,Lower Secondary Level,West,"No, never",0.18962,472,1053,0.16594,0.21331
2019,Lower Secondary Level,West,"Yes, every week",0.06489,157,1053,0.05000,0.07977
2019,Lower Secondary Level,West,"Yes, every 2 weeks",0.08741,204,1053,0.07034,0.10448
2019,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.02274,59,1053,0.01373,0.03175
2019,Lower Secondary Level,West,"Yes, less frequently",0.08124,161,1053,0.06473,0.09775
2019,Lower Secondary Level,East,"No, never",0.14146,76,110,0.07603,0.20688
2019,Lower Secondary Level,East,"Yes, every 2 weeks",0.09411,34,110,0.03929,0.14892
2019,Upper Secondary Level,West,"No, never",0.24957,2305,5401,0.23803,0.26111
2019,Upper Secondary Level,West,"Yes, every week",0.07754,790,5401,0.07041,0.08467
2019,Upper Secondary Level,West,"Yes, every 2 weeks",0.08567,837,5401,0.07820,0.09313
2019,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.05505,474,5401,0.04897,0.06114
2019,Upper Secondary Level,West,"Yes, less frequently",0.11338,995,5401,0.10493,0.12184
2019,Upper Secondary Level,East,"No, never",0.21951,643,1544,0.19886,0.24017
2019,Upper Secondary Level,East,"Yes, every week",0.07580,186,1544,0.06259,0.08901
2019,Upper Secondary Level,East,"Yes, every 2 weeks",0.11540,300,1544,0.09946,0.13134
2019,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.04957,139,1544,0.03874,0.06040
2019,Upper Secondary Level,East,"Yes, less frequently",0.09729,276,1544,0.08250,0.11208
2019,Post-secondary Non-tertiary Level,West,"No, never",0.36125,674,1469,0.33667,0.38582
2019,Post-secondary Non-tertiary Level,West,"Yes, every week",0.07300,156,1469,0.05969,0.08631
2019,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.11148,212,1469,0.09538,0.12758
2019,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.07003,150,1469,0.05697,0.08308
2019,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.13844,277,1469,0.12077,0.15611
2019,Post-secondary Non-tertiary Level,East,"No, never",0.35660,111,210,0.29166,0.42154
2019,Post-secondary Non-tertiary Level,East,"Yes, every 2 weeks",0.14897,50,210,0.10070,0.19724
2019,Post-secondary Non-tertiary Level,East,"Yes, less frequently",0.16947,49,210,0.11861,0.22033
2019,First Stage of Tertiary Education,West,"No, never",0.29982,338,917,0.27015,0.32949
2019,First Stage of Tertiary Education,West,"Yes, every week",0.08510,151,917,0.06703,0.10317
2019,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.08596,119,917,0.06781,0.10411
2019,First Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.05631,86,917,0.04138,0.07124
2019,First Stage of Tertiary Education,West,"Yes, less frequently",0.16867,223,917,0.14442,0.19292
2019,First Stage of Tertiary Education,East,"No, never",0.21409,92,266,0.16471,0.26348
2019,First Stage of Tertiary Education,East,"Yes, every week",0.06953,41,266,0.03890,0.10015
2019,First Stage of Tertiary Education,East,"Yes, every 2 weeks",0.07139,42,266,0.04039,0.10239
2019,First Stage of Tertiary Education,East,"Yes, less frequently",0.22452,91,266,0.17428,0.27476
2019,Second Stage of Tertiary Education,West,"No, never",0.29764,1587,4074,0.28360,0.31168
2019,Second Stage of Tertiary Education,West,"Yes, every week",0.08679,635,4074,0.07814,0.09544
2019,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.07282,440,4074,0.06484,0.08080
2019,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.05493,397,4074,0.04793,0.06192
2019,Second Stage of Tertiary Education,West,"Yes, less frequently",0.19258,1015,4074,0.18047,0.20469
2019,Second Stage of Tertiary Education,East,"No, never",0.25497,415,1075,0.22890,0.28104
2019,Second Stage of Tertiary Education,East,"Yes, every week",0.06398,141,1075,0.04934,0.07861
2019,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.07401,143,1075,0.05835,0.08967
2019,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.07035,99,1075,0.05505,0.08564
2019,Second Stage of Tertiary Education,East,"Yes, less frequently",0.16053,277,1075,0.13857,0.18248
2021,Primary Level,West,"No, never",0.15393,132,333,0.11511,0.19275
2021,Primary Level,West,"Yes, every week",0.06473,65,333,0.03826,0.09120
2021,Primary Level,West,"Yes, every 2 weeks",0.09270,56,333,0.06150,0.12389
2021,Primary Level,West,"Yes, every 3-4 weeks",0.01320,31,333,0.00092,0.02548
2021,Primary Level,West,"Yes, less frequently",0.08292,49,333,0.05326,0.11259
2021,Lower Secondary Level,West,"No, never",0.15919,311,671,0.13149,0.18690
2021,Lower Secondary Level,West,"Yes, every week",0.05264,108,671,0.03573,0.06955
2021,Lower Secondary Level,West,"Yes, every 2 weeks",0.06090,98,671,0.04279,0.07900
2021,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.03553,56,671,0.02151,0.04955
2021,Lower Secondary Level,West,"Yes, less frequently",0.06546,98,671,0.04673,0.08418
2021,Lower Secondary Level,East,"No, never",0.14460,47,78,0.06605,0.22316
2021,Lower Secondary Level,East,"Yes, every 2 weeks",0.12459,31,78,0.05082,0.19836
2021,Upper Secondary Level,West,"No, never",0.20201,1302,2920,0.18745,0.21658
2021,Upper Secondary Level,West,"Yes, every week",0.05507,377,2920,0.04679,0.06334
2021,Upper Secondary Level,West,"Yes, every 2 weeks",0.07077,480,2920,0.06147,0.08007
2021,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.03755,225,2920,0.03066,0.04445
2021,Upper Secondary Level,West,"Yes, less frequently",0.08208,536,2920,0.07213,0.09204
2021,Upper Secondary Level,East,"No, never",0.19319,368,821,0.16617,0.22022
2021,Upper Secondary Level,East,"Yes, every week",0.06684,94,821,0.04975,0.08394
2021,Upper Secondary Level,East,"Yes, every 2 weeks",0.09489,154,821,0.07483,0.11495
2021,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.03887,64,821,0.02564,0.05210
2021,Upper Secondary Level,East,"Yes, less frequently",0.07327,141,821,0.05543,0.09111
2021,Post-secondary Non-tertiary Level,West,"No, never",0.30688,454,949,0.27752,0.33624
2021,Post-secondary Non-tertiary Level,West,"Yes, every week",0.03255,86,949,0.02125,0.04384
2021,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.09753,139,949,0.07864,0.11642
2021,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.08065,97,949,0.06332,0.09799
2021,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.11769,173,949,0.09717,0.13820
2021,Post-secondary Non-tertiary Level,East,"No, never",0.44497,88,88,0.34054,0.54940
2021,First Stage of Tertiary Education,West,"No, never",0.24585,177,393,0.20322,0.28848
2021,First Stage of Tertiary Education,West,"Yes, every week",0.04017,50,393,0.02073,0.05960
2021,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.03749,47,393,0.01869,0.05630
2021,First Stage of Tertiary Education,West,"Yes, less frequently",0.12080,119,393,0.08854,0.15306
2021,First Stage of Tertiary Education,East,"No, never",0.20510,57,91,0.12168,0.28852
2021,First Stage of Tertiary Education,East,"Yes, less frequently",0.14810,34,91,0.07472,0.22149
2021,Second Stage of Tertiary Education,West,"No, never",0.26816,1209,2897,0.25202,0.28429
2021,Second Stage of Tertiary Education,West,"Yes, every week",0.07880,441,2897,0.06898,0.08861
2021,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.06439,354,2897,0.05545,0.07333
2021,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.04742,227,2897,0.03968,0.05516
2021,Second Stage of Tertiary Education,West,"Yes, less frequently",0.13573,666,2897,0.12325,0.14820
2021,Second Stage of Tertiary Education,East,"No, never",0.24392,294,656,0.21103,0.27681
2021,Second Stage of Tertiary Education,East,"Yes, every week",0.04805,82,656,0.03167,0.06443
2021,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.04409,65,656,0.02837,0.05982
2021,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.03908,57,656,0.02424,0.05392
2021,Second Stage of Tertiary Education,East,"Yes, less frequently",0.11878,158,656,0.09400,0.14355
