"pld0044","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Selten","2017","17-34","Laendlicher Raum","","","",""
"Selten","2017","35-65","Staedtischer Raum","","","",""
"Selten","2017","35-65","Laendlicher Raum","","","",""
"Selten","2017","66 +","Staedtischer Raum","","","",""
"Selten","2017","66 +","Laendlicher Raum","","","",""
"Nie","2017","17-34","Staedtischer Raum","","","",""
"Nie","2017","17-34","Laendlicher Raum","","","",""
"Nie","2017","35-65","Staedtischer Raum","","","",""
"Nie","2017","35-65","Laendlicher Raum","","","",""
"Nie","2017","66 +","Staedtischer Raum","","","",""
"Nie","2017","66 +","Laendlicher Raum","","","",""
"Sehr oft","2018","17-34","Staedtischer Raum","81","0.0147011794559469","0.0110203490267531","0.0183820098851407"
"Sehr oft","2018","17-34","Laendlicher Raum","","","",""
"Sehr oft","2018","35-65","Staedtischer Raum","68","0.00540874714921672","0.00392064966208087","0.00689684463635257"
"Sehr oft","2018","35-65","Laendlicher Raum","","","",""
"Sehr oft","2018","66 +","Staedtischer Raum","","","",""
"Sehr oft","2018","66 +","Laendlicher Raum","","","",""
"Oft","2018","17-34","Staedtischer Raum","463","0.116945603779773","0.107117461878591","0.126773745680954"
"Oft","2018","17-34","Laendlicher Raum","157","0.0889608011691357","0.0760920311108288","0.101829571227443"
"Oft","2018","35-65","Staedtischer Raum","301","0.0334168889133293","0.0297704970838979","0.0370632807427608"
"Oft","2018","35-65","Laendlicher Raum","90","0.020238758907364","0.0164318500555811","0.0240456677591469"
"Oft","2018","66 +","Staedtischer Raum","41","0.00991279405426298","0.00644325340287987","0.0133823347056461"
"Oft","2018","66 +","Laendlicher Raum","","","",""
"Manchmal","2018","17-34","Staedtischer Raum","1314","0.310924631898721","0.296768432643837","0.325080831153606"
"Manchmal","2018","17-34","Laendlicher Raum","499","0.287860631415062","0.267394168126215","0.308327094703909"
"Manchmal","2018","35-65","Staedtischer Raum","1523","0.16874124342253","0.161142540511478","0.176339946333583"
"Manchmal","2018","35-65","Laendlicher Raum","643","0.13248864468072","0.123323331160864","0.141653958200577"
"Manchmal","2018","66 +","Staedtischer Raum","247","0.0835130432392152","0.0738240754188516","0.0932020110595788"
"Manchmal","2018","66 +","Laendlicher Raum","110","0.0586844326627705","0.0479189626745837","0.0694499026509573"
"Selten","2018","17-34","Staedtischer Raum","1317","0.323869596256909","0.309558066357028","0.33818112615679"
"Selten","2018","17-34","Laendlicher Raum","665","0.334785583502184","0.313453495491012","0.356117671513356"
"Selten","2018","35-65","Staedtischer Raum","3390","0.371436101562019","0.361632684047358","0.381239519076679"
"Selten","2018","35-65","Laendlicher Raum","1784","0.355999945361199","0.343055354433396","0.368944536289001"
"Selten","2018","66 +","Staedtischer Raum","779","0.240822830486129","0.225848148360306","0.255797512611952"
"Selten","2018","66 +","Laendlicher Raum","416","0.221225739651653","0.202213751223917","0.240237728079389"
"Nie","2018","17-34","Staedtischer Raum","932","0.23355898860865","0.22061931266353","0.24649866455377"
"Nie","2018","17-34","Laendlicher Raum","530","0.275799750761844","0.255597701022488","0.296001800501199"
"Nie","2018","35-65","Staedtischer Raum","4050","0.420997018952905","0.410979950625534","0.431014087280275"
"Nie","2018","35-65","Laendlicher Raum","2722","0.489007209686905","0.475493162526453","0.502521256847357"
"Nie","2018","66 +","Staedtischer Raum","2052","0.662720807530837","0.646163211131177","0.679278403930496"
"Nie","2018","66 +","Laendlicher Raum","1288","0.70723579796172","0.686393527732919","0.728078068190521"
