"pld0045","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Oft","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2006","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2006","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2006","Realschule","kein Migrationshintergrund","","","",""
"Selten","2006","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2006","Realschule","kein Migrationshintergrund","","","",""
"Nie","2006","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2007","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2007","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2007","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2007","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2007","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2007","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2007","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2007","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2007","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2007","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2007","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2007","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2007","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2007","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2007","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2007","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2007","Realschule","kein Migrationshintergrund","","","",""
"Oft","2007","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2007","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2007","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2007","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2007","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2007","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2007","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2007","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2007","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2007","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2007","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2007","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2007","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2007","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2007","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2007","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2007","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","Realschule","kein Migrationshintergrund","","","",""
"Selten","2007","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2007","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2007","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2007","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2007","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2007","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2007","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2007","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2007","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2007","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2007","Realschule","kein Migrationshintergrund","","","",""
"Nie","2007","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2007","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2007","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2007","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2007","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2007","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2007","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2008","(noch) kein Abschluss","kein Migrationshintergrund","19","","",""
"Sehr oft","2008","(noch) kein Abschluss","direkter Migrationshintergrund","3","","",""
"Sehr oft","2008","(noch) kein Abschluss","indirekter Migrationshintergrund","4","","",""
"Sehr oft","2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2008","Hauptschule","kein Migrationshintergrund","256","0.0445249415790559","0.0391329071706879","0.049916975987424"
"Sehr oft","2008","Hauptschule","direkter Migrationshintergrund","34","0.0479186747844468","0.0340180644167987","0.0618192851520948"
"Sehr oft","2008","Hauptschule","indirekter Migrationshintergrund","11","","",""
"Sehr oft","2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2008","Realschule","kein Migrationshintergrund","251","0.0491868767104799","0.0430284666174457","0.0553452868035141"
"Sehr oft","2008","Realschule","direkter Migrationshintergrund","8","","",""
"Sehr oft","2008","Realschule","indirekter Migrationshintergrund","13","","",""
"Sehr oft","2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2008","(Fach-)Abitur","kein Migrationshintergrund","114","0.0586351551149946","0.0474604190319677","0.0698098911980216"
"Sehr oft","2008","(Fach-)Abitur","direkter Migrationshintergrund","20","","",""
"Sehr oft","2008","(Fach-)Abitur","indirekter Migrationshintergrund","10","","",""
"Sehr oft","2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2008","AkademikerIn","kein Migrationshintergrund","205","0.0527516310440205","0.0456226989514757","0.0598805631365654"
"Sehr oft","2008","AkademikerIn","direkter Migrationshintergrund","20","","",""
"Sehr oft","2008","AkademikerIn","indirekter Migrationshintergrund","7","","",""
"Sehr oft","2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2008","(noch) kein Abschluss","kein Migrationshintergrund","33","0.0770131622167807","0.0495863703683493","0.104439954065212"
"Oft","2008","(noch) kein Abschluss","direkter Migrationshintergrund","8","","",""
"Oft","2008","(noch) kein Abschluss","indirekter Migrationshintergrund","6","","",""
"Oft","2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2008","Hauptschule","kein Migrationshintergrund","447","0.0792499204958836","0.0721881825304654","0.0863116584613018"
"Oft","2008","Hauptschule","direkter Migrationshintergrund","49","0.0602681854347272","0.044780359091657","0.0757560117777974"
"Oft","2008","Hauptschule","indirekter Migrationshintergrund","22","","",""
"Oft","2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2008","Realschule","kein Migrationshintergrund","414","0.0901488470431101","0.0819931391632327","0.0983045549229875"
"Oft","2008","Realschule","direkter Migrationshintergrund","15","","",""
"Oft","2008","Realschule","indirekter Migrationshintergrund","22","","",""
"Oft","2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2008","(Fach-)Abitur","kein Migrationshintergrund","191","0.102834176550093","0.0883869545582358","0.11728139854195"
"Oft","2008","(Fach-)Abitur","direkter Migrationshintergrund","30","0.0770747020410761","0.0486832604662678","0.105466143615884"
"Oft","2008","(Fach-)Abitur","indirekter Migrationshintergrund","11","","",""
"Oft","2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2008","AkademikerIn","kein Migrationshintergrund","391","0.101212196387251","0.0915934248720434","0.110830967902459"
"Oft","2008","AkademikerIn","direkter Migrationshintergrund","34","0.124462774570779","0.0877746980229361","0.161150851118621"
"Oft","2008","AkademikerIn","indirekter Migrationshintergrund","6","","",""
"Oft","2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2008","(noch) kein Abschluss","kein Migrationshintergrund","30","0.0932543367082421","0.0633405053615082","0.123168168054976"
"Manchmal","2008","(noch) kein Abschluss","direkter Migrationshintergrund","15","","",""
"Manchmal","2008","(noch) kein Abschluss","indirekter Migrationshintergrund","7","","",""
"Manchmal","2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2008","Hauptschule","kein Migrationshintergrund","483","0.086579115450565","0.0792274905654361","0.0939307403356938"
"Manchmal","2008","Hauptschule","direkter Migrationshintergrund","97","0.0856936462470384","0.0674771592733343","0.103910133220743"
"Manchmal","2008","Hauptschule","indirekter Migrationshintergrund","23","","",""
"Manchmal","2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2008","Realschule","kein Migrationshintergrund","521","0.115102858225309","0.106014491376124","0.124191225074493"
"Manchmal","2008","Realschule","direkter Migrationshintergrund","18","","",""
"Manchmal","2008","Realschule","indirekter Migrationshintergrund","17","","",""
"Manchmal","2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2008","(Fach-)Abitur","kein Migrationshintergrund","182","0.10974001726156","0.094873125270107","0.124606909253014"
"Manchmal","2008","(Fach-)Abitur","direkter Migrationshintergrund","30","0.0928088930187392","0.0619207051305903","0.123697080906888"
"Manchmal","2008","(Fach-)Abitur","indirekter Migrationshintergrund","10","","",""
"Manchmal","2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2008","AkademikerIn","kein Migrationshintergrund","460","0.112540366767514","0.102461700478435","0.122619033056593"
"Manchmal","2008","AkademikerIn","direkter Migrationshintergrund","29","","",""
"Manchmal","2008","AkademikerIn","indirekter Migrationshintergrund","15","","",""
"Manchmal","2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2008","(noch) kein Abschluss","kein Migrationshintergrund","77","0.240733170715083","0.196752691216715","0.284713650213451"
"Selten","2008","(noch) kein Abschluss","direkter Migrationshintergrund","17","","",""
"Selten","2008","(noch) kein Abschluss","indirekter Migrationshintergrund","9","","",""
"Selten","2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2008","Hauptschule","kein Migrationshintergrund","897","0.158131115534385","0.148592788804938","0.167669442263831"
"Selten","2008","Hauptschule","direkter Migrationshintergrund","123","0.136032624046579","0.113721849015888","0.15834339907727"
"Selten","2008","Hauptschule","indirekter Migrationshintergrund","30","0.096283623477138","0.0582441593585547","0.134323087595721"
"Selten","2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2008","Realschule","kein Migrationshintergrund","889","0.186729724549117","0.175632341505981","0.197827107592253"
"Selten","2008","Realschule","direkter Migrationshintergrund","35","0.150646035931069","0.0959004157333796","0.205391656128758"
"Selten","2008","Realschule","indirekter Migrationshintergrund","25","","",""
"Selten","2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2008","(Fach-)Abitur","kein Migrationshintergrund","302","0.17540746436113","0.15731811347858","0.193496815243681"
"Selten","2008","(Fach-)Abitur","direkter Migrationshintergrund","50","0.144339930312693","0.106929550246839","0.181750310378546"
"Selten","2008","(Fach-)Abitur","indirekter Migrationshintergrund","20","","",""
"Selten","2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2008","AkademikerIn","kein Migrationshintergrund","732","0.203646467689866","0.190803482115396","0.216489453264337"
"Selten","2008","AkademikerIn","direkter Migrationshintergrund","63","0.225780883927095","0.179314013219555","0.272247754634634"
"Selten","2008","AkademikerIn","indirekter Migrationshintergrund","9","","",""
"Selten","2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2008","(noch) kein Abschluss","kein Migrationshintergrund","204","0.536218991529977","0.484918402159133","0.587519580900822"
"Nie","2008","(noch) kein Abschluss","direkter Migrationshintergrund","72","0.624573674333751","0.536071616336354","0.713075732331149"
"Nie","2008","(noch) kein Abschluss","indirekter Migrationshintergrund","34","0.613983395004013","0.490799545358473","0.737167244649552"
"Nie","2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2008","Hauptschule","kein Migrationshintergrund","3538","0.631514906940111","0.61890409459272","0.644125719287501"
"Nie","2008","Hauptschule","direkter Migrationshintergrund","604","0.670086869487209","0.639487688538586","0.700686050435831"
"Nie","2008","Hauptschule","indirekter Migrationshintergrund","145","0.634137811693775","0.572023355164882","0.696252268222668"
"Nie","2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2008","Realschule","kein Migrationshintergrund","2662","0.558831693471984","0.54469203024949","0.572971356694478"
"Nie","2008","Realschule","direkter Migrationshintergrund","88","0.610735197272462","0.536111766763718","0.685358627781206"
"Nie","2008","Realschule","indirekter Migrationshintergrund","109","0.581968485625942","0.511084869585207","0.652852101666678"
"Nie","2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2008","(Fach-)Abitur","kein Migrationshintergrund","909","0.553383186712222","0.529737073624695","0.577029299799749"
"Nie","2008","(Fach-)Abitur","direkter Migrationshintergrund","209","0.617623300194384","0.565891714823688","0.66935488556508"
"Nie","2008","(Fach-)Abitur","indirekter Migrationshintergrund","73","0.555296529937245","0.467831391599452","0.642761668275038"
"Nie","2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2008","AkademikerIn","kein Migrationshintergrund","1989","0.529849338111348","0.513932041009522","0.545766635213175"
"Nie","2008","AkademikerIn","direkter Migrationshintergrund","165","0.517163512968976","0.461626582105607","0.572700443832346"
"Nie","2008","AkademikerIn","indirekter Migrationshintergrund","48","0.473798985107484","0.367651054486414","0.579946915728553"
"Nie","2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2009","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2009","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2009","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2009","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2009","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2009","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2009","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2009","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2009","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2009","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2009","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2009","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2009","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2009","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2009","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2009","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2009","Realschule","kein Migrationshintergrund","","","",""
"Oft","2009","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2009","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2009","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2009","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2009","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2009","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2009","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2009","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2009","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2009","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2009","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2009","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2009","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2009","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2009","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2009","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2009","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2009","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2009","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2009","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2009","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2009","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2009","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2009","Realschule","kein Migrationshintergrund","","","",""
"Selten","2009","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2009","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2009","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2009","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2009","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2009","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2009","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2009","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
