year,hhtyp,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2016,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
2016,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
2016,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
2016,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
2016,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
2016,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
2016,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
2016,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
2017,Einpersonenhaushalt,Staedtischer Raum,3.2789476931926855,3.2154723744799996,3.3424230119053715,0.0,3.0,5.0,0.0,10.0,3.0,3.0,3.0,1878.0
2017,Einpersonenhaushalt,Laendlicher Raum,3.3820111558991295,3.2895775799983835,3.4744447317998755,1.0,3.0,5.0,0.0,10.0,3.0,2.0,3.0,817.0
2017,Paar ohne Kinder,Staedtischer Raum,3.0801603976811878,3.012867973098794,3.1474528222635816,0.8558563103634309,3.0,5.0,0.0,10.0,3.0,3.0,4.0,1353.0
2017,Paar ohne Kinder,Laendlicher Raum,3.122157411396984,3.0240042842711037,3.2203105385228645,0.0,3.0,5.0,0.0,10.0,3.0,3.0,3.0,660.0
2017,Alleinerziehend,Staedtischer Raum,4.577557302507144,4.468204953513291,4.686909651500998,2.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,751.0
2017,Alleinerziehend,Laendlicher Raum,4.469019585781539,4.318586781780894,4.619452389782184,2.0,5.0,6.0,0.0,10.0,5.0,5.0,6.0,357.0
2017,Paar mit Kindern,Staedtischer Raum,3.620391355707306,3.55434595259209,3.6864367588225218,1.0,4.0,5.0,0.0,10.0,4.0,4.0,5.0,1653.0
2017,Paar mit Kindern,Laendlicher Raum,3.832001008549041,3.7302912378493858,3.9337107792486963,2.0,4.0,6.0,0.0,10.0,4.0,3.0,5.0,647.0
2017,Mehrgenerationenhaushalt,Staedtischer Raum,4.696688805971223,4.142817518435114,5.250560093507332,2.0,5.0,8.0,0.0,10.0,5.0,3.0,8.0,36.0
2017,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
2017,Andere Zusammenstellungen,Staedtischer Raum,4.395849753198221,4.126605536242314,4.665093970154128,1.0,5.0,7.0,0.0,10.0,5.0,5.0,7.0,115.0
2017,Andere Zusammenstellungen,Laendlicher Raum,3.1986983917767806,2.7817826476380043,3.615614135915557,1.0,2.0,5.0,0.0,10.0,2.0,-1.0,3.0,35.0
2018,Einpersonenhaushalt,Staedtischer Raum,3.5225765349520435,3.4656405242738466,3.5795125456302403,0.0,3.0,6.0,0.0,10.0,3.0,2.0,3.0,2271.0
2018,Einpersonenhaushalt,Laendlicher Raum,3.3035626569584435,3.2179433035025613,3.3891820104143258,0.0,3.0,5.0,0.0,10.0,3.0,2.0,3.0,938.0
2018,Paar ohne Kinder,Staedtischer Raum,3.0551021813068373,2.98862433285015,3.1215800297635248,0.0,3.0,5.0,0.0,10.0,3.0,3.0,3.0,1401.0
2018,Paar ohne Kinder,Laendlicher Raum,3.3366783259065533,3.2422040869797333,3.4311525648333734,1.0,3.0,5.0,0.0,10.0,3.0,2.0,3.0,666.0
2018,Alleinerziehend,Staedtischer Raum,4.581473151250262,4.4815984730221645,4.6813478294783595,2.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,804.0
2018,Alleinerziehend,Laendlicher Raum,4.515475351801811,4.361060075901198,4.669890627702424,2.0,5.0,7.0,0.0,10.0,5.0,5.0,6.0,326.0
2018,Paar mit Kindern,Staedtischer Raum,3.916717656656891,3.860899061081908,3.972536252231874,1.0,4.0,6.0,0.0,10.0,4.0,3.0,4.0,2425.0
2018,Paar mit Kindern,Laendlicher Raum,3.697961165978284,3.6104248122372358,3.785497519719332,1.0,4.0,6.0,0.0,10.0,4.0,4.0,5.0,862.0
2018,Mehrgenerationenhaushalt,Staedtischer Raum,5.335597228375261,5.02310744050164,5.648087016248882,3.0,5.0,8.0,0.0,10.0,5.0,2.0,5.0,73.0
2018,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
2018,Andere Zusammenstellungen,Staedtischer Raum,3.8002355167827218,3.6156196376790843,3.984851395886359,1.0,4.0,6.0,0.0,10.0,4.0,3.0,5.0,215.0
2018,Andere Zusammenstellungen,Laendlicher Raum,4.937865821010249,4.659141562218065,5.216590079802432,3.662095519130102,5.0,7.0,0.0,10.0,5.0,3.9749999999999943,6.0,65.0
2019,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
2019,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
2019,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
2019,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
2019,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
2019,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
2019,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
2019,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
2019,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
2019,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
2019,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
2019,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
2020,Einpersonenhaushalt,Staedtischer Raum,3.576616497697535,3.522723834157962,3.6305091612371085,1.0,3.0,5.0,0.0,10.0,3.0,2.0,3.0,2466.0
2020,Einpersonenhaushalt,Laendlicher Raum,3.3167311012221323,3.2269647996666833,3.4064974027775814,0.0,3.0,5.0,0.0,10.0,3.0,3.0,3.0,916.0
2020,Paar ohne Kinder,Staedtischer Raum,3.2274605985890705,3.166922290904831,3.28799890627331,1.0,3.0,5.0,0.0,10.0,3.0,3.0,3.0,1628.0
2020,Paar ohne Kinder,Laendlicher Raum,3.3071005360045387,3.21178731505869,3.4024137569503874,1.0,3.0,5.0,0.0,10.0,3.0,2.0,3.0,677.0
2020,Alleinerziehend,Staedtischer Raum,4.566542654384109,4.45886857897938,4.674216729788838,2.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,675.0
2020,Alleinerziehend,Laendlicher Raum,4.666820913269648,4.49336587126352,4.840275955275776,2.0,5.0,7.0,0.0,10.0,5.0,5.0,6.0,272.0
2020,Paar mit Kindern,Staedtischer Raum,3.612084924539287,3.546845192928474,3.6773246561501005,1.0,4.0,5.0,0.0,10.0,4.0,4.0,5.0,1554.0
2020,Paar mit Kindern,Laendlicher Raum,3.7101116393958073,3.603205615251811,3.817017663539804,1.0,4.0,6.0,0.0,10.0,4.0,3.0,5.0,593.0
2020,Mehrgenerationenhaushalt,Staedtischer Raum,5.0245185580644405,4.70257836199726,5.346458754131621,4.0259877353421745,5.0,5.7036785426225,1.5094515244216864,8.220214753542988,5.0,4.0,6.0,33.0
2020,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
2020,Andere Zusammenstellungen,Staedtischer Raum,3.880926865056347,3.6622007976790645,4.09965293243363,1.0,4.0,7.0,0.0,10.0,4.0,3.0,6.0,149.0
2020,Andere Zusammenstellungen,Laendlicher Raum,3.9492682911228707,3.603046108073782,4.2954904741719595,1.0,5.0,5.104310354764713,0.0,10.0,5.0,5.0,9.0,42.0
2021,Einpersonenhaushalt,Staedtischer Raum,,,,,,,,,,,,
2021,Einpersonenhaushalt,Laendlicher Raum,,,,,,,,,,,,
2021,Paar ohne Kinder,Staedtischer Raum,,,,,,,,,,,,
2021,Paar ohne Kinder,Laendlicher Raum,,,,,,,,,,,,
2021,Alleinerziehend,Staedtischer Raum,,,,,,,,,,,,
2021,Alleinerziehend,Laendlicher Raum,,,,,,,,,,,,
2021,Paar mit Kindern,Staedtischer Raum,,,,,,,,,,,,
2021,Paar mit Kindern,Laendlicher Raum,,,,,,,,,,,,
2021,Mehrgenerationenhaushalt,Staedtischer Raum,,,,,,,,,,,,
2021,Mehrgenerationenhaushalt,Laendlicher Raum,,,,,,,,,,,,
2021,Andere Zusammenstellungen,Staedtischer Raum,,,,,,,,,,,,
2021,Andere Zusammenstellungen,Laendlicher Raum,,,,,,,,,,,,
