year,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,4th Quintile,Not born in Germany,0.08548,619,4710,0.07749,0.09346
2016,5th Quintile,Born in Germany or immigrated <1950,0.82267,4429,4927,0.81201,0.83334
2016,5th Quintile,Not born in Germany,0.07938,498,4927,0.07183,0.08693
2017,1st Quintile,Born in Germany or immigrated <1950,0.57778,3217,6477,0.56575,0.58981
2017,1st Quintile,Not born in Germany,0.22224,3260,6477,0.21211,0.23236
2017,2nd Quintile,Born in Germany or immigrated <1950,0.67377,3732,5030,0.66081,0.68673
2017,2nd Quintile,Not born in Germany,0.16301,1298,5030,0.15280,0.17322
2017,3rd Quintile,Born in Germany or immigrated <1950,0.73737,3778,4528,0.72455,0.75019
2017,3rd Quintile,Not born in Germany,0.11024,750,4528,0.10112,0.11937
2017,4th Quintile,Born in Germany or immigrated <1950,0.79948,3908,4418,0.78768,0.81129
2017,4th Quintile,Not born in Germany,0.08659,510,4418,0.07830,0.09489
2017,5th Quintile,Born in Germany or immigrated <1950,0.82139,4154,4592,0.81031,0.83247
2017,5th Quintile,Not born in Germany,0.07665,438,4592,0.06895,0.08435
2018,1st Quintile,Born in Germany or immigrated <1950,0.58921,3406,7455,0.57805,0.60038
2018,1st Quintile,Not born in Germany,0.21594,4049,7455,0.20660,0.22528
2018,2nd Quintile,Born in Germany or immigrated <1950,0.68042,4166,5455,0.66805,0.69280
2018,2nd Quintile,Not born in Germany,0.15242,1289,5455,0.14288,0.16196
2018,3rd Quintile,Born in Germany or immigrated <1950,0.73347,4058,4895,0.72108,0.74586
2018,3rd Quintile,Not born in Germany,0.11654,837,4895,0.10755,0.12553
2018,4th Quintile,Born in Germany or immigrated <1950,0.78805,4258,4799,0.77649,0.79962
2018,4th Quintile,Not born in Germany,0.08633,541,4799,0.07839,0.09428
2018,5th Quintile,Born in Germany or immigrated <1950,0.82301,4695,5131,0.81256,0.83345
2018,5th Quintile,Not born in Germany,0.08004,436,5131,0.07262,0.08747
2019,1st Quintile,Born in Germany or immigrated <1950,0.57673,3265,7374,0.56545,0.58801
2019,1st Quintile,Not born in Germany,0.22250,4109,7374,0.21301,0.23200
2019,2nd Quintile,Born in Germany or immigrated <1950,0.67826,3904,5055,0.66538,0.69114
2019,2nd Quintile,Not born in Germany,0.15428,1151,5055,0.14432,0.16424
2019,3rd Quintile,Born in Germany or immigrated <1950,0.72495,3860,4537,0.71195,0.73794
2019,3rd Quintile,Not born in Germany,0.12561,677,4537,0.11596,0.13525
2019,4th Quintile,Born in Germany or immigrated <1950,0.77842,3899,4345,0.76607,0.79077
2019,4th Quintile,Not born in Germany,0.08585,446,4345,0.07752,0.09418
2019,5th Quintile,Born in Germany or immigrated <1950,0.81457,4419,4874,0.80365,0.82548
2019,5th Quintile,Not born in Germany,0.08991,455,4874,0.08188,0.09795
2020,1st Quintile,Born in Germany or immigrated <1950,0.59705,3151,6797,0.58539,0.60871
2020,1st Quintile,Not born in Germany,0.21106,3646,6797,0.20135,0.22076
2020,2nd Quintile,Born in Germany or immigrated <1950,0.69278,3887,4964,0.67994,0.70561
2020,2nd Quintile,Not born in Germany,0.13336,1077,4964,0.12390,0.14282
2020,3rd Quintile,Born in Germany or immigrated <1950,0.75138,3742,4322,0.73850,0.76427
2020,3rd Quintile,Not born in Germany,0.09650,580,4322,0.08769,0.10530
2020,4th Quintile,Born in Germany or immigrated <1950,0.78179,4118,4596,0.76985,0.79374
2020,4th Quintile,Not born in Germany,0.07927,478,4596,0.07146,0.08709
2020,5th Quintile,Born in Germany or immigrated <1950,0.81084,5539,6043,0.80096,0.82071
2020,5th Quintile,Not born in Germany,0.08047,504,6043,0.07361,0.08733
2021,1st Quintile,Born in Germany or immigrated <1950,0.59463,2252,4921,0.58091,0.60834
2021,1st Quintile,Not born in Germany,0.21278,2669,4921,0.20135,0.22422
2021,2nd Quintile,Born in Germany or immigrated <1950,0.68725,2678,3640,0.67219,0.70232
2021,2nd Quintile,Not born in Germany,0.13931,962,3640,0.12806,0.15056
2021,3rd Quintile,Born in Germany or immigrated <1950,0.72360,2679,3214,0.70814,0.73906
2021,3rd Quintile,Not born in Germany,0.10604,535,3214,0.09539,0.11669
2021,4th Quintile,Born in Germany or immigrated <1950,0.76875,2841,3245,0.75424,0.78326
2021,4th Quintile,Not born in Germany,0.09507,404,3245,0.08497,0.10516
2021,5th Quintile,Born in Germany or immigrated <1950,0.80122,3895,4337,0.78934,0.81310
2021,5th Quintile,Not born in Germany,0.08702,442,4337,0.07863,0.09541
2022,1st Quintile,Born in Germany or immigrated <1950,0.57317,2006,4389,0.55853,0.58780
2022,1st Quintile,Not born in Germany,0.24362,2383,4389,0.23092,0.25633
2022,2nd Quintile,Born in Germany or immigrated <1950,0.70901,2463,3295,0.69349,0.72452
2022,2nd Quintile,Not born in Germany,0.13882,832,3295,0.12701,0.15063
2022,3rd Quintile,Born in Germany or immigrated <1950,0.74902,2511,3008,0.73352,0.76451
2022,3rd Quintile,Not born in Germany,0.10282,497,3008,0.09197,0.11368
2022,4th Quintile,Born in Germany or immigrated <1950,0.76904,2756,3152,0.75433,0.78376
2022,4th Quintile,Not born in Germany,0.08825,396,3152,0.07835,0.09816
2022,5th Quintile,Born in Germany or immigrated <1950,0.80278,3679,4058,0.79054,0.81503
2022,5th Quintile,Not born in Germany,0.09088,379,4058,0.08203,0.09972
