"ple0040","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","2019","Laendlicher Raum","Westdeutschland","645","0.153669391193359","0.143929112730513","0.163409669656205"
"Ja","2019","Laendlicher Raum","Ostdeutschland","451","0.142676080241166","0.131219509717314","0.154132650765019"
"Nein","2019","Staedtischer Raum","Westdeutschland","12837","0.867415227919396","0.861885298364831","0.872945157473961"
"Nein","2019","Staedtischer Raum","Ostdeutschland","1664","0.853008356702003","0.837090668329199","0.868926045074808"
"Nein","2019","Laendlicher Raum","Westdeutschland","4621","0.846330608806641","0.836590330343795","0.856070887269487"
"Nein","2019","Laendlicher Raum","Ostdeutschland","3129","0.857323919758834","0.845867349234981","0.868780490282686"
"Ja","2020","Staedtischer Raum","Westdeutschland","1627","0.132696762953926","0.127579637467011","0.137813888440842"
"Ja","2020","Staedtischer Raum","Ostdeutschland","231","0.133947121282684","0.119435058240224","0.148459184325144"
"Ja","2020","Laendlicher Raum","Westdeutschland","634","0.15020730826542","0.141027662127141","0.159386954403699"
"Ja","2020","Laendlicher Raum","Ostdeutschland","472","0.157877014498049","0.145976042231492","0.169777986764607"
"Nein","2020","Staedtischer Raum","Westdeutschland","15257","0.867303237046074","0.862186111559158","0.872420362532989"
"Nein","2020","Staedtischer Raum","Ostdeutschland","1885","0.866052878717316","0.851540815674856","0.880564941759776"
"Nein","2020","Laendlicher Raum","Westdeutschland","5185","0.849792691734579","0.840613045596301","0.858972337872858"
"Nein","2020","Laendlicher Raum","Ostdeutschland","3134","0.842122985501951","0.830222013235393","0.854023957768508"
