"corigin","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sudan","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Sudan","1994","Hauptschule","Westdeutschland","","","",""
"Sudan","1994","Hauptschule","Ostdeutschland","","","",""
"Sudan","1994","Realschule","Westdeutschland","","","",""
"Sudan","1994","Realschule","Ostdeutschland","","","",""
"Sudan","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Sudan","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Sudan","1994","AkademikerIn","Westdeutschland","","","",""
"Sudan","1994","AkademikerIn","Ostdeutschland","","","",""
"Kongo","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Kongo","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Kongo","1994","Hauptschule","Westdeutschland","","","",""
"Kongo","1994","Hauptschule","Ostdeutschland","","","",""
"Kongo","1994","Realschule","Westdeutschland","","","",""
"Kongo","1994","Realschule","Ostdeutschland","","","",""
"Kongo","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Kongo","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Kongo","1994","AkademikerIn","Westdeutschland","","","",""
"Kongo","1994","AkademikerIn","Ostdeutschland","","","",""
"Togo","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Togo","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Togo","1994","Hauptschule","Westdeutschland","","","",""
"Togo","1994","Hauptschule","Ostdeutschland","","","",""
"Togo","1994","Realschule","Westdeutschland","","","",""
"Togo","1994","Realschule","Ostdeutschland","","","",""
"Togo","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Togo","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Togo","1994","AkademikerIn","Westdeutschland","","","",""
"Togo","1994","AkademikerIn","Ostdeutschland","","","",""
"Mongolei","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Mongolei","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Mongolei","1994","Hauptschule","Westdeutschland","","","",""
"Mongolei","1994","Hauptschule","Ostdeutschland","","","",""
"Mongolei","1994","Realschule","Westdeutschland","","","",""
"Mongolei","1994","Realschule","Ostdeutschland","","","",""
"Mongolei","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Mongolei","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Mongolei","1994","AkademikerIn","Westdeutschland","","","",""
"Mongolei","1994","AkademikerIn","Ostdeutschland","","","",""
"Litauen","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Litauen","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Litauen","1994","Hauptschule","Westdeutschland","","","",""
"Litauen","1994","Hauptschule","Ostdeutschland","1","","",""
"Litauen","1994","Realschule","Westdeutschland","1","","",""
"Litauen","1994","Realschule","Ostdeutschland","","","",""
"Litauen","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Litauen","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Litauen","1994","AkademikerIn","Westdeutschland","1","","",""
"Litauen","1994","AkademikerIn","Ostdeutschland","","","",""
"Tschad","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Tschad","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Tschad","1994","Hauptschule","Westdeutschland","","","",""
"Tschad","1994","Hauptschule","Ostdeutschland","","","",""
"Tschad","1994","Realschule","Westdeutschland","","","",""
"Tschad","1994","Realschule","Ostdeutschland","","","",""
"Tschad","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Tschad","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Tschad","1994","AkademikerIn","Westdeutschland","","","",""
"Tschad","1994","AkademikerIn","Ostdeutschland","","","",""
"Armenien","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Armenien","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Armenien","1994","Hauptschule","Westdeutschland","","","",""
"Armenien","1994","Hauptschule","Ostdeutschland","","","",""
"Armenien","1994","Realschule","Westdeutschland","","","",""
"Armenien","1994","Realschule","Ostdeutschland","","","",""
"Armenien","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Armenien","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Armenien","1994","AkademikerIn","Westdeutschland","","","",""
"Armenien","1994","AkademikerIn","Ostdeutschland","","","",""
"Liberia","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Liberia","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Liberia","1994","Hauptschule","Westdeutschland","","","",""
"Liberia","1994","Hauptschule","Ostdeutschland","","","",""
"Liberia","1994","Realschule","Westdeutschland","","","",""
"Liberia","1994","Realschule","Ostdeutschland","","","",""
"Liberia","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Liberia","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Liberia","1994","AkademikerIn","Westdeutschland","","","",""
"Liberia","1994","AkademikerIn","Ostdeutschland","","","",""
"Jemen","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Jemen","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Jemen","1994","Hauptschule","Westdeutschland","","","",""
"Jemen","1994","Hauptschule","Ostdeutschland","","","",""
"Jemen","1994","Realschule","Westdeutschland","","","",""
"Jemen","1994","Realschule","Ostdeutschland","","","",""
"Jemen","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Jemen","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Jemen","1994","AkademikerIn","Westdeutschland","","","",""
"Jemen","1994","AkademikerIn","Ostdeutschland","","","",""
"Palaestina","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Palaestina","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Palaestina","1994","Hauptschule","Westdeutschland","","","",""
"Palaestina","1994","Hauptschule","Ostdeutschland","","","",""
"Palaestina","1994","Realschule","Westdeutschland","","","",""
"Palaestina","1994","Realschule","Ostdeutschland","","","",""
"Palaestina","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Palaestina","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Palaestina","1994","AkademikerIn","Westdeutschland","","","",""
"Palaestina","1994","AkademikerIn","Ostdeutschland","","","",""
"Taiwan","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Taiwan","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taiwan","1994","Hauptschule","Westdeutschland","","","",""
"Taiwan","1994","Hauptschule","Ostdeutschland","","","",""
"Taiwan","1994","Realschule","Westdeutschland","","","",""
"Taiwan","1994","Realschule","Ostdeutschland","","","",""
"Taiwan","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Taiwan","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Taiwan","1994","AkademikerIn","Westdeutschland","","","",""
"Taiwan","1994","AkademikerIn","Ostdeutschland","","","",""
"Turkmenistan","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Turkmenistan","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Turkmenistan","1994","Hauptschule","Westdeutschland","","","",""
"Turkmenistan","1994","Hauptschule","Ostdeutschland","","","",""
"Turkmenistan","1994","Realschule","Westdeutschland","","","",""
"Turkmenistan","1994","Realschule","Ostdeutschland","","","",""
"Turkmenistan","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Turkmenistan","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Turkmenistan","1994","AkademikerIn","Westdeutschland","","","",""
"Turkmenistan","1994","AkademikerIn","Ostdeutschland","","","",""
"Afrika","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Afrika","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Afrika","1994","Hauptschule","Westdeutschland","","","",""
"Afrika","1994","Hauptschule","Ostdeutschland","","","",""
"Afrika","1994","Realschule","Westdeutschland","","","",""
"Afrika","1994","Realschule","Ostdeutschland","","","",""
"Afrika","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Afrika","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Afrika","1994","AkademikerIn","Westdeutschland","","","",""
"Afrika","1994","AkademikerIn","Ostdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","Hauptschule","Westdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","Hauptschule","Ostdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","Realschule","Westdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","Realschule","Ostdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","AkademikerIn","Westdeutschland","","","",""
"Sierra Leone(Westafrika)","1994","AkademikerIn","Ostdeutschland","","","",""
"Senegal","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Senegal","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Senegal","1994","Hauptschule","Westdeutschland","","","",""
"Senegal","1994","Hauptschule","Ostdeutschland","","","",""
"Senegal","1994","Realschule","Westdeutschland","","","",""
"Senegal","1994","Realschule","Ostdeutschland","","","",""
"Senegal","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Senegal","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Senegal","1994","AkademikerIn","Westdeutschland","","","",""
"Senegal","1994","AkademikerIn","Ostdeutschland","","","",""
"Malediven","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Malediven","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Malediven","1994","Hauptschule","Westdeutschland","","","",""
"Malediven","1994","Hauptschule","Ostdeutschland","","","",""
"Malediven","1994","Realschule","Westdeutschland","","","",""
"Malediven","1994","Realschule","Ostdeutschland","","","",""
"Malediven","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Malediven","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Malediven","1994","AkademikerIn","Westdeutschland","","","",""
"Malediven","1994","AkademikerIn","Ostdeutschland","","","",""
"Serbien","1994","(noch) kein Abschluss","Westdeutschland","7","","",""
"Serbien","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Serbien","1994","Hauptschule","Westdeutschland","11","","",""
"Serbien","1994","Hauptschule","Ostdeutschland","","","",""
"Serbien","1994","Realschule","Westdeutschland","1","","",""
"Serbien","1994","Realschule","Ostdeutschland","","","",""
"Serbien","1994","(Fach-)Abitur","Westdeutschland","3","","",""
"Serbien","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Serbien","1994","AkademikerIn","Westdeutschland","1","","",""
"Serbien","1994","AkademikerIn","Ostdeutschland","","","",""
"Gambia","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Gambia","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Gambia","1994","Hauptschule","Westdeutschland","","","",""
"Gambia","1994","Hauptschule","Ostdeutschland","","","",""
"Gambia","1994","Realschule","Westdeutschland","","","",""
"Gambia","1994","Realschule","Ostdeutschland","","","",""
"Gambia","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Gambia","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Gambia","1994","AkademikerIn","Westdeutschland","","","",""
"Gambia","1994","AkademikerIn","Ostdeutschland","","","",""
"Honduras","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Honduras","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Honduras","1994","Hauptschule","Westdeutschland","","","",""
"Honduras","1994","Hauptschule","Ostdeutschland","","","",""
"Honduras","1994","Realschule","Westdeutschland","","","",""
"Honduras","1994","Realschule","Ostdeutschland","","","",""
"Honduras","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Honduras","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Honduras","1994","AkademikerIn","Westdeutschland","","","",""
"Honduras","1994","AkademikerIn","Ostdeutschland","","","",""
"Montenegro_(168)","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Montenegro_(168)","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Montenegro_(168)","1994","Hauptschule","Westdeutschland","","","",""
"Montenegro_(168)","1994","Hauptschule","Ostdeutschland","","","",""
"Montenegro_(168)","1994","Realschule","Westdeutschland","","","",""
"Montenegro_(168)","1994","Realschule","Ostdeutschland","","","",""
"Montenegro_(168)","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Montenegro_(168)","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Montenegro_(168)","1994","AkademikerIn","Westdeutschland","","","",""
"Montenegro_(168)","1994","AkademikerIn","Ostdeutschland","","","",""
"Kambodscha","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Kambodscha","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Kambodscha","1994","Hauptschule","Westdeutschland","","","",""
"Kambodscha","1994","Hauptschule","Ostdeutschland","","","",""
"Kambodscha","1994","Realschule","Westdeutschland","","","",""
"Kambodscha","1994","Realschule","Ostdeutschland","","","",""
"Kambodscha","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Kambodscha","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Kambodscha","1994","AkademikerIn","Westdeutschland","","","",""
"Kambodscha","1994","AkademikerIn","Ostdeutschland","","","",""
"Surinam","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Surinam","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Surinam","1994","Hauptschule","Westdeutschland","","","",""
"Surinam","1994","Hauptschule","Ostdeutschland","","","",""
"Surinam","1994","Realschule","Westdeutschland","","","",""
"Surinam","1994","Realschule","Ostdeutschland","","","",""
"Surinam","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Surinam","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Surinam","1994","AkademikerIn","Westdeutschland","","","",""
"Surinam","1994","AkademikerIn","Ostdeutschland","","","",""
"Guyana","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Guyana","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Guyana","1994","Hauptschule","Westdeutschland","","","",""
"Guyana","1994","Hauptschule","Ostdeutschland","","","",""
"Guyana","1994","Realschule","Westdeutschland","","","",""
"Guyana","1994","Realschule","Ostdeutschland","","","",""
"Guyana","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Guyana","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Guyana","1994","AkademikerIn","Westdeutschland","","","",""
"Guyana","1994","AkademikerIn","Ostdeutschland","","","",""
"Simbabwe","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Simbabwe","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Simbabwe","1994","Hauptschule","Westdeutschland","","","",""
"Simbabwe","1994","Hauptschule","Ostdeutschland","","","",""
"Simbabwe","1994","Realschule","Westdeutschland","","","",""
"Simbabwe","1994","Realschule","Ostdeutschland","","","",""
"Simbabwe","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Simbabwe","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Simbabwe","1994","AkademikerIn","Westdeutschland","","","",""
"Simbabwe","1994","AkademikerIn","Ostdeutschland","","","",""
"Madagaskar","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Madagaskar","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Madagaskar","1994","Hauptschule","Westdeutschland","","","",""
"Madagaskar","1994","Hauptschule","Ostdeutschland","","","",""
"Madagaskar","1994","Realschule","Westdeutschland","","","",""
"Madagaskar","1994","Realschule","Ostdeutschland","","","",""
"Madagaskar","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Madagaskar","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Madagaskar","1994","AkademikerIn","Westdeutschland","","","",""
"Madagaskar","1994","AkademikerIn","Ostdeutschland","","","",""
"Lesotho","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Lesotho","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Lesotho","1994","Hauptschule","Westdeutschland","","","",""
"Lesotho","1994","Hauptschule","Ostdeutschland","","","",""
"Lesotho","1994","Realschule","Westdeutschland","","","",""
"Lesotho","1994","Realschule","Ostdeutschland","","","",""
"Lesotho","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Lesotho","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Lesotho","1994","AkademikerIn","Westdeutschland","","","",""
"Lesotho","1994","AkademikerIn","Ostdeutschland","","","",""
"Ruanda","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Ruanda","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ruanda","1994","Hauptschule","Westdeutschland","","","",""
"Ruanda","1994","Hauptschule","Ostdeutschland","","","",""
"Ruanda","1994","Realschule","Westdeutschland","","","",""
"Ruanda","1994","Realschule","Ostdeutschland","","","",""
"Ruanda","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Ruanda","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Ruanda","1994","AkademikerIn","Westdeutschland","","","",""
"Ruanda","1994","AkademikerIn","Ostdeutschland","","","",""
"Myanmar","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Myanmar","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Myanmar","1994","Hauptschule","Westdeutschland","","","",""
"Myanmar","1994","Hauptschule","Ostdeutschland","","","",""
"Myanmar","1994","Realschule","Westdeutschland","","","",""
"Myanmar","1994","Realschule","Ostdeutschland","","","",""
"Myanmar","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Myanmar","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Myanmar","1994","AkademikerIn","Westdeutschland","","","",""
"Myanmar","1994","AkademikerIn","Ostdeutschland","","","",""
"Niger","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Niger","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Niger","1994","Hauptschule","Westdeutschland","","","",""
"Niger","1994","Hauptschule","Ostdeutschland","","","",""
"Niger","1994","Realschule","Westdeutschland","","","",""
"Niger","1994","Realschule","Ostdeutschland","","","",""
"Niger","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Niger","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Niger","1994","AkademikerIn","Westdeutschland","","","",""
"Niger","1994","AkademikerIn","Ostdeutschland","","","",""
"Dschibuti","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Dschibuti","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Dschibuti","1994","Hauptschule","Westdeutschland","","","",""
"Dschibuti","1994","Hauptschule","Ostdeutschland","","","",""
"Dschibuti","1994","Realschule","Westdeutschland","","","",""
"Dschibuti","1994","Realschule","Ostdeutschland","","","",""
"Dschibuti","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Dschibuti","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Dschibuti","1994","AkademikerIn","Westdeutschland","","","",""
"Dschibuti","1994","AkademikerIn","Ostdeutschland","","","",""
"Katar","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Katar","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Katar","1994","Hauptschule","Westdeutschland","","","",""
"Katar","1994","Hauptschule","Ostdeutschland","","","",""
"Katar","1994","Realschule","Westdeutschland","","","",""
"Katar","1994","Realschule","Ostdeutschland","","","",""
"Katar","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Katar","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Katar","1994","AkademikerIn","Westdeutschland","","","",""
"Katar","1994","AkademikerIn","Ostdeutschland","","","",""
"Kosovo","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Kosovo","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Kosovo","1994","Hauptschule","Westdeutschland","","","",""
"Kosovo","1994","Hauptschule","Ostdeutschland","","","",""
"Kosovo","1994","Realschule","Westdeutschland","","","",""
"Kosovo","1994","Realschule","Ostdeutschland","","","",""
"Kosovo","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Kosovo","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Kosovo","1994","AkademikerIn","Westdeutschland","","","",""
"Kosovo","1994","AkademikerIn","Ostdeutschland","","","",""
"Eastern Europe","1994","(noch) kein Abschluss","Westdeutschland","1","","",""
"Eastern Europe","1994","(noch) kein Abschluss","Ostdeutschland","2","","",""
"Eastern Europe","1994","Hauptschule","Westdeutschland","68","0.0199644247776114","0.0160015434684636","0.0239273060867591"
"Eastern Europe","1994","Hauptschule","Ostdeutschland","39","0.0331020013833019","0.0232743137087369","0.0429296890578669"
"Eastern Europe","1994","Realschule","Westdeutschland","22","","",""
"Eastern Europe","1994","Realschule","Ostdeutschland","11","","",""
"Eastern Europe","1994","(Fach-)Abitur","Westdeutschland","2","","",""
"Eastern Europe","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Eastern Europe","1994","AkademikerIn","Westdeutschland","7","","",""
"Eastern Europe","1994","AkademikerIn","Ostdeutschland","13","","",""
"Ethnische Minderheiten","1994","(noch) kein Abschluss","Westdeutschland","","","",""
"Ethnische Minderheiten","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ethnische Minderheiten","1994","Hauptschule","Westdeutschland","","","",""
"Ethnische Minderheiten","1994","Hauptschule","Ostdeutschland","","","",""
"Ethnische Minderheiten","1994","Realschule","Westdeutschland","","","",""
"Ethnische Minderheiten","1994","Realschule","Ostdeutschland","","","",""
"Ethnische Minderheiten","1994","(Fach-)Abitur","Westdeutschland","","","",""
"Ethnische Minderheiten","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Ethnische Minderheiten","1994","AkademikerIn","Westdeutschland","","","",""
"Ethnische Minderheiten","1994","AkademikerIn","Ostdeutschland","","","",""
"Deutschland","1995","(noch) kein Abschluss","Westdeutschland","218","0.505752009531883","0.470206678797159","0.541297340266608"
"Deutschland","1995","(noch) kein Abschluss","Ostdeutschland","108","0.923359932010994","0.874527414045422","0.972192449976566"
"Deutschland","1995","Hauptschule","Westdeutschland","3560","0.858582532628546","0.848791032798271","0.868374032458822"
"Deutschland","1995","Hauptschule","Ostdeutschland","1142","0.936541182402271","0.922844599533665","0.950237765270877"
"Deutschland","1995","Realschule","Westdeutschland","1633","0.936261271528514","0.924854956390048","0.94766758666698"
"Deutschland","1995","Realschule","Ostdeutschland","1323","0.983656502015972","0.976862678284914","0.99045032574703"
"Deutschland","1995","(Fach-)Abitur","Westdeutschland","599","0.768732875573253","0.741155394187034","0.796310356959473"
"Deutschland","1995","(Fach-)Abitur","Ostdeutschland","149","0.964820511875901","0.935532201448016","0.994108822303786"
"Deutschland","1995","AkademikerIn","Westdeutschland","761","0.85439862920981","0.831457321501059","0.877339936918562"
"Deutschland","1995","AkademikerIn","Ostdeutschland","800","0.941873731912638","0.925984307949048","0.957763155876228"
"Türkei","1995","(noch) kein Abschluss","Westdeutschland","183","0.155589043174793","0.129819440062206","0.181358646287381"
"Türkei","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Türkei","1995","Hauptschule","Westdeutschland","357","0.0271372524878734","0.0225714681567973","0.0317030368189495"
"Türkei","1995","Hauptschule","Ostdeutschland","","","",""
"Türkei","1995","Realschule","Westdeutschland","19","","",""
"Türkei","1995","Realschule","Ostdeutschland","","","",""
"Türkei","1995","(Fach-)Abitur","Westdeutschland","80","0.0407335874777649","0.0278048572848802","0.0536623176706495"
"Türkei","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Türkei","1995","AkademikerIn","Westdeutschland","14","","",""
"Türkei","1995","AkademikerIn","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","(noch) kein Abschluss","Westdeutschland","27","","",""
"Ex-Jugoslawien","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","Hauptschule","Westdeutschland","66","0.00685680542134163","0.00453795082571181","0.00917566001697144"
"Ex-Jugoslawien","1995","Hauptschule","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","Realschule","Westdeutschland","3","","",""
"Ex-Jugoslawien","1995","Realschule","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","(Fach-)Abitur","Westdeutschland","9","","",""
"Ex-Jugoslawien","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Ex-Jugoslawien","1995","AkademikerIn","Westdeutschland","3","","",""
"Ex-Jugoslawien","1995","AkademikerIn","Ostdeutschland","","","",""
"Griechenland","1995","(noch) kein Abschluss","Westdeutschland","54","0.0276762765731411","0.0160135372988095","0.0393390158474727"
"Griechenland","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Griechenland","1995","Hauptschule","Westdeutschland","122","0.0062758301194381","0.00405673874753236","0.00849492149134385"
"Griechenland","1995","Hauptschule","Ostdeutschland","","","",""
"Griechenland","1995","Realschule","Westdeutschland","2","","",""
"Griechenland","1995","Realschule","Ostdeutschland","","","",""
"Griechenland","1995","(Fach-)Abitur","Westdeutschland","22","","",""
"Griechenland","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Griechenland","1995","AkademikerIn","Westdeutschland","9","","",""
"Griechenland","1995","AkademikerIn","Ostdeutschland","","","",""
"Italien","1995","(noch) kein Abschluss","Westdeutschland","110","0.0844121330762744","0.0646472728787101","0.104176993273839"
"Italien","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Italien","1995","Hauptschule","Westdeutschland","151","0.00903605758333474","0.00637701624035168","0.0116950989263178"
"Italien","1995","Hauptschule","Ostdeutschland","","","",""
"Italien","1995","Realschule","Westdeutschland","9","","",""
"Italien","1995","Realschule","Ostdeutschland","","","",""
"Italien","1995","(Fach-)Abitur","Westdeutschland","18","","",""
"Italien","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Italien","1995","AkademikerIn","Westdeutschland","7","","",""
"Italien","1995","AkademikerIn","Ostdeutschland","","","",""
"Spanien","1995","(noch) kein Abschluss","Westdeutschland","34","0.0161607211657493","0.00719606283256723","0.0251253794989313"
"Spanien","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Spanien","1995","Hauptschule","Westdeutschland","54","0.00178284310741611","0.00059741356305991","0.0029682726517723"
"Spanien","1995","Hauptschule","Ostdeutschland","","","",""
"Spanien","1995","Realschule","Westdeutschland","4","","",""
"Spanien","1995","Realschule","Ostdeutschland","","","",""
"Spanien","1995","(Fach-)Abitur","Westdeutschland","5","","",""
"Spanien","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Spanien","1995","AkademikerIn","Westdeutschland","2","","",""
"Spanien","1995","AkademikerIn","Ostdeutschland","","","",""
"österreich","1995","(noch) kein Abschluss","Westdeutschland","1","","",""
"österreich","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"österreich","1995","Hauptschule","Westdeutschland","16","","",""
"österreich","1995","Hauptschule","Ostdeutschland","","","",""
"österreich","1995","Realschule","Westdeutschland","2","","",""
"österreich","1995","Realschule","Ostdeutschland","1","","",""
"österreich","1995","(Fach-)Abitur","Westdeutschland","4","","",""
"österreich","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"österreich","1995","AkademikerIn","Westdeutschland","3","","",""
"österreich","1995","AkademikerIn","Ostdeutschland","","","",""
"Frankreich","1995","(noch) kein Abschluss","Westdeutschland","","","",""
"Frankreich","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Frankreich","1995","Hauptschule","Westdeutschland","4","","",""
"Frankreich","1995","Hauptschule","Ostdeutschland","1","","",""
"Frankreich","1995","Realschule","Westdeutschland","","","",""
"Frankreich","1995","Realschule","Ostdeutschland","","","",""
