year,migback,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Direct migration background,Rural regions,Not Disabled (<= 30%),0.91959,1172,1261,0.90457,0.93460
2017,Direct migration background,Rural regions,Disabled (> 30%),0.08041,89,1261,0.06540,0.09543
2017,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.96031,1281,1336,0.94984,0.97078
2017,Indirect migration background,Urban regions,Disabled (> 30%),0.03969,55,1336,0.02922,0.05016
2017,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.92220,267,267,0.89001,0.95439
2018,No migration background,Urban regions,Not Disabled (<= 30%),0.85830,10405,11918,0.85203,0.86456
2018,No migration background,Urban regions,Disabled (> 30%),0.14170,1513,11918,0.13544,0.14797
2018,No migration background,Rural regions,Not Disabled (<= 30%),0.85792,6498,7450,0.84999,0.86585
2018,No migration background,Rural regions,Disabled (> 30%),0.14208,952,7450,0.13415,0.15001
2018,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90323,3168,3431,0.89334,0.91313
2018,Direct migration background,Urban regions,Disabled (> 30%),0.09677,263,3431,0.08687,0.10666
2018,Direct migration background,Rural regions,Not Disabled (<= 30%),0.91598,1096,1181,0.90015,0.93181
2018,Direct migration background,Rural regions,Disabled (> 30%),0.08402,85,1181,0.06819,0.09985
2018,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.93796,1241,1310,0.92490,0.95103
2018,Indirect migration background,Urban regions,Disabled (> 30%),0.06204,69,1310,0.04897,0.07510
2018,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.91412,277,277,0.88107,0.94718
2019,No migration background,No answer / don't know,Not Disabled (<= 30%),0.85695,400,483,0.82570,0.88821
2019,No migration background,No answer / don't know,Disabled (> 30%),0.14305,83,483,0.11179,0.17430
2019,No migration background,Urban regions,Not Disabled (<= 30%),0.85934,10703,12152,0.85316,0.86552
2019,No migration background,Urban regions,Disabled (> 30%),0.14066,1449,12152,0.13448,0.14684
2019,No migration background,Rural regions,Not Disabled (<= 30%),0.85856,6540,7443,0.85064,0.86647
2019,No migration background,Rural regions,Disabled (> 30%),0.14144,903,7443,0.13353,0.14936
2019,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90962,2761,2962,0.89929,0.91995
2019,Direct migration background,Urban regions,Disabled (> 30%),0.09038,201,2962,0.08005,0.10071
2019,Direct migration background,Rural regions,Not Disabled (<= 30%),0.89796,946,1029,0.87946,0.91647
2019,Direct migration background,Rural regions,Disabled (> 30%),0.10204,83,1029,0.08353,0.12054
2019,Indirect migration background,No answer / don't know,Not Disabled (<= 30%),0.90350,34,34,0.80276,1.00425
2019,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.95084,1184,1242,0.93881,0.96287
2019,Indirect migration background,Urban regions,Disabled (> 30%),0.04916,58,1242,0.03713,0.06119
2019,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.92088,275,275,0.88892,0.95284
2020,No migration background,Urban regions,Not Disabled (<= 30%),0.86245,10159,11566,0.85617,0.86872
2020,No migration background,Urban regions,Disabled (> 30%),0.13755,1407,11566,0.13128,0.14383
2020,No migration background,Rural regions,Not Disabled (<= 30%),0.85377,6045,6905,0.84544,0.86211
2020,No migration background,Rural regions,Disabled (> 30%),0.14623,860,6905,0.13789,0.15456
2020,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90539,5980,6233,0.89812,0.91265
2020,Direct migration background,Urban regions,Disabled (> 30%),0.09461,253,6233,0.08735,0.10188
2020,Direct migration background,Rural regions,Not Disabled (<= 30%),0.89891,2015,2122,0.88608,0.91174
2020,Direct migration background,Rural regions,Disabled (> 30%),0.10109,107,2122,0.08826,0.11392
2020,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.94639,1179,1241,0.93386,0.95893
2020,Indirect migration background,Urban regions,Disabled (> 30%),0.05361,62,1241,0.04107,0.06614
2020,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.90365,273,273,0.86859,0.93872
2021,No migration background,Urban regions,Not Disabled (<= 30%),0.86024,7265,8293,0.85278,0.86771
2021,No migration background,Urban regions,Disabled (> 30%),0.13976,1028,8293,0.13229,0.14722
2021,No migration background,Rural regions,Not Disabled (<= 30%),0.85761,4227,4828,0.84775,0.86747
2021,No migration background,Rural regions,Disabled (> 30%),0.14239,601,4828,0.13253,0.15225
2021,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90053,3824,4030,0.89129,0.90977
2021,Direct migration background,Urban regions,Disabled (> 30%),0.09947,206,4030,0.09023,0.10871
2021,Direct migration background,Rural regions,Not Disabled (<= 30%),0.87250,1076,1149,0.85321,0.89180
2021,Direct migration background,Rural regions,Disabled (> 30%),0.12750,73,1149,0.10820,0.14679
2021,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.92311,696,736,0.90385,0.94237
2021,Indirect migration background,Urban regions,Disabled (> 30%),0.07689,40,736,0.05763,0.09615
2021,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.96283,182,182,0.93527,0.99039
2022,No migration background,Urban regions,Not Disabled (<= 30%),0.86609,10040,11295,0.85981,0.87237
2022,No migration background,Urban regions,Disabled (> 30%),0.13391,1255,11295,0.12763,0.14019
2022,No migration background,Rural regions,Not Disabled (<= 30%),0.86071,6196,7009,0.85261,0.86882
2022,No migration background,Rural regions,Disabled (> 30%),0.13929,813,7009,0.13118,0.14739
2022,Direct migration background,Urban regions,Not Disabled (<= 30%),0.92283,6469,6687,0.91643,0.92923
2022,Direct migration background,Urban regions,Disabled (> 30%),0.07717,218,6687,0.07077,0.08357
2022,Direct migration background,Rural regions,Not Disabled (<= 30%),0.88239,1336,1433,0.86571,0.89908
2022,Direct migration background,Rural regions,Disabled (> 30%),0.11761,97,1433,0.10092,0.13429
2022,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.92151,1029,1110,0.90568,0.93734
2022,Indirect migration background,Urban regions,Disabled (> 30%),0.07849,81,1110,0.06266,0.09432
2022,Indirect migration background,Rural regions,Not Disabled (<= 30%),0.86561,309,344,0.82951,0.90170
2022,Indirect migration background,Rural regions,Disabled (> 30%),0.13439,35,344,0.09830,0.17049
