year,quintil_oecd,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,3rd Quintile,Rural regions,Yes,0.17122,336,1405,0.15151,0.19092
2020,3rd Quintile,Rural regions,No,0.60298,1069,1405,0.57738,0.62857
2020,4th Quintile,Urban regions,Yes,0.21041,767,2446,0.19425,0.22656
2020,4th Quintile,Urban regions,No,0.51329,1679,2446,0.49348,0.53311
2020,4th Quintile,Rural regions,Yes,0.23382,410,1329,0.21105,0.25658
2020,4th Quintile,Rural regions,No,0.51719,919,1329,0.49031,0.54407
2020,5th Quintile,Urban regions,Yes,0.23230,1166,2753,0.21652,0.24808
2020,5th Quintile,Urban regions,No,0.37503,1587,2753,0.35694,0.39312
2020,5th Quintile,Rural regions,Yes,0.22781,407,1057,0.20251,0.25310
2020,5th Quintile,Rural regions,No,0.41215,650,1057,0.38246,0.44184
2022,1st Quintile,Urban regions,Yes,0.08207,190,1806,0.06941,0.09473
2022,1st Quintile,Urban regions,No,0.64080,1616,1806,0.61867,0.66293
2022,1st Quintile,Rural regions,Yes,0.07141,88,944,0.05498,0.08785
2022,1st Quintile,Rural regions,No,0.66118,856,944,0.63097,0.69139
2022,2nd Quintile,Urban regions,Yes,0.16561,355,1697,0.14792,0.18330
2022,2nd Quintile,Urban regions,No,0.60995,1342,1697,0.58673,0.63316
2022,2nd Quintile,Rural regions,Yes,0.15092,211,1127,0.13001,0.17183
2022,2nd Quintile,Rural regions,No,0.64920,916,1127,0.62132,0.67707
2022,3rd Quintile,Urban regions,Yes,0.21658,479,1654,0.19672,0.23643
2022,3rd Quintile,Urban regions,No,0.53918,1175,1654,0.51515,0.56321
2022,3rd Quintile,Rural regions,Yes,0.18059,262,957,0.15620,0.20497
2022,3rd Quintile,Rural regions,No,0.57548,695,957,0.54415,0.60682
2022,4th Quintile,Urban regions,Yes,0.25688,590,1663,0.23587,0.27788
2022,4th Quintile,Urban regions,No,0.44253,1073,1663,0.41865,0.46641
2022,4th Quintile,Rural regions,Yes,0.19824,262,828,0.17107,0.22541
2022,4th Quintile,Rural regions,No,0.48908,566,828,0.45501,0.52315
2022,5th Quintile,Urban regions,Yes,0.24453,820,1856,0.22497,0.26409
2022,5th Quintile,Urban regions,No,0.33906,1036,1856,0.31752,0.36061
2022,5th Quintile,Rural regions,Yes,0.27825,285,701,0.24505,0.31145
2022,5th Quintile,Rural regions,No,0.37638,416,701,0.34049,0.41227
