,Unnamed: 0,year,migback,sex,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
334,334,2016,Indirect migration background,male,Permanent job,0.71451,320,13406,0.62058,0.83179
335,335,2016,Indirect migration background,male,Temporary job,0.28549,125,13406,0.22672,0.35353
336,336,2016,Indirect migration background,female,Permanent job,0.69215,326,13406,0.61769,0.81436
337,337,2016,Indirect migration background,female,Temporary job,0.30785,147,13406,0.24741,0.37034
338,338,2017,No migration background,male,Permanent job,0.85277,4467,15325,0.82588,0.88608
339,339,2017,No migration background,male,Temporary job,0.14723,754,15325,0.13674,0.1584
340,340,2017,No migration background,female,Permanent job,0.84255,4962,15325,0.81804,0.8675
341,341,2017,No migration background,female,Temporary job,0.15745,889,15325,0.14621,0.17309
342,342,2017,Direct migration background,male,Permanent job,0.81589,1263,15325,0.74686,0.88934
343,343,2017,Direct migration background,male,Temporary job,0.18411,541,15325,0.15565,0.21649
344,344,2017,Direct migration background,female,Permanent job,0.8081,1119,15325,0.73939,0.86877
345,345,2017,Direct migration background,female,Temporary job,0.1919,331,15325,0.16376,0.22219
346,346,2017,Indirect migration background,male,Permanent job,0.71172,346,15325,0.61702,0.83855
347,347,2017,Indirect migration background,male,Temporary job,0.28828,132,15325,0.23663,0.34016
348,348,2017,Indirect migration background,female,Permanent job,0.70765,360,15325,0.61296,0.80239
349,349,2017,Indirect migration background,female,Temporary job,0.29235,161,15325,0.23657,0.35159
350,350,2018,No migration background,male,Permanent job,0.85649,4263,15070,0.82863,0.88555
351,351,2018,No migration background,male,Temporary job,0.14351,734,15070,0.13241,0.1545
352,352,2018,No migration background,female,Permanent job,0.86158,4838,15070,0.83141,0.89194
353,353,2018,No migration background,female,Temporary job,0.13842,777,15070,0.12734,0.15015
354,354,2018,Direct migration background,male,Permanent job,0.78216,1274,15070,0.72099,0.85311
355,355,2018,Direct migration background,male,Temporary job,0.21784,692,15070,0.17776,0.25946
356,356,2018,Direct migration background,female,Permanent job,0.81422,1108,15070,0.74348,0.8936
357,357,2018,Direct migration background,female,Temporary job,0.18578,368,15070,0.1596,0.20914
358,358,2018,Indirect migration background,male,Permanent job,0.69134,343,15070,0.60725,0.79022
359,359,2018,Indirect migration background,male,Temporary job,0.30866,155,15070,0.25976,0.36813
360,360,2018,Indirect migration background,female,Permanent job,0.71227,364,15070,0.61053,0.83266
361,361,2018,Indirect migration background,female,Temporary job,0.28773,154,15070,0.2274,0.35247
362,362,2019,No migration background,male,Permanent job,0.8677,4144,14573,0.83549,0.902
363,363,2019,No migration background,male,Temporary job,0.1323,658,14573,0.11779,0.14526
364,364,2019,No migration background,female,Permanent job,0.86032,4762,14573,0.82854,0.88903
365,365,2019,No migration background,female,Temporary job,0.13968,769,14573,0.12847,0.15358
366,366,2019,Direct migration background,male,Permanent job,0.77329,1202,14573,0.70933,0.83402
367,367,2019,Direct migration background,male,Temporary job,0.22671,754,14573,0.1845,0.26856
368,368,2019,Direct migration background,female,Permanent job,0.83053,1002,14573,0.75874,0.92991
369,369,2019,Direct migration background,female,Temporary job,0.16947,323,14573,0.13059,0.19937
370,370,2019,Indirect migration background,male,Permanent job,0.71081,333,14573,0.63194,0.79839
371,371,2019,Indirect migration background,male,Temporary job,0.28919,127,14573,0.2296,0.36334
372,372,2019,Indirect migration background,female,Permanent job,0.72862,349,14573,0.63312,0.83794
373,373,2019,Indirect migration background,female,Temporary job,0.27138,150,14573,0.22238,0.32265
374,374,2020,No migration background,male,Permanent job,0.88346,3883,15537,0.85394,0.91415
375,375,2020,No migration background,male,Temporary job,0.11654,570,15537,0.10458,0.12417
376,376,2020,No migration background,female,Permanent job,0.85799,4472,15537,0.83012,0.88766
377,377,2020,No migration background,female,Temporary job,0.14201,712,15537,0.1306,0.15584
378,378,2020,Direct migration background,male,Permanent job,0.78887,1968,15537,0.70613,0.85947
379,379,2020,Direct migration background,male,Temporary job,0.21113,1134,15537,0.16808,0.26045
380,380,2020,Direct migration background,female,Permanent job,0.82445,1339,15537,0.74934,0.91364
381,381,2020,Direct migration background,female,Temporary job,0.17555,511,15537,0.13098,0.21674
382,382,2020,Indirect migration background,male,Permanent job,0.75893,339,15537,0.66554,0.88134
383,383,2020,Indirect migration background,male,Temporary job,0.24107,123,15537,0.18772,0.3012
384,384,2020,Indirect migration background,female,Permanent job,0.72087,351,15537,0.64189,0.84161
385,385,2020,Indirect migration background,female,Temporary job,0.27913,135,15537,0.22399,0.34181
386,386,2021,No migration background,male,Permanent job,0.88336,2780,10200,0.83967,0.91665
387,387,2021,No migration background,male,Temporary job,0.11664,381,10200,0.10294,0.13339
388,388,2021,No migration background,female,Permanent job,0.88085,3289,10200,0.84082,0.91554
389,389,2021,No migration background,female,Temporary job,0.11915,452,10200,0.1067,0.13173
390,390,2021,Direct migration background,male,Permanent job,0.78873,1187,10200,0.69346,0.89952
391,391,2021,Direct migration background,male,Temporary job,0.21127,465,10200,0.16814,0.26557
392,392,2021,Direct migration background,female,Permanent job,0.82121,805,10200,0.72617,0.91322
393,393,2021,Direct migration background,female,Temporary job,0.17879,250,10200,0.13761,0.22164
394,394,2021,Indirect migration background,male,Permanent job,0.83012,207,10200,0.68835,0.96633
395,395,2021,Indirect migration background,male,Temporary job,0.16988,69,10200,0.12062,0.22016
396,396,2021,Indirect migration background,female,Permanent job,0.77084,231,10200,0.65702,0.91478
397,397,2021,Indirect migration background,female,Temporary job,0.22916,84,10200,0.17881,0.29775
