study,dataset,version,variable,type,template_id,label,label_de,concept,description,description_de,minedition
soep-core,p_statistics,v38.1,train,categorical,,"Currently Receiving Education,Training","Derzeit in Aus-/Weiterbildung (inkl. schulische, universitäre Ausbildung)",,,,
soep-core,p_statistics,v38.1,weight,numerical,,Weight in kg,Weight in kg,,,,
soep-core,p_statistics,v38.1,workpl,numerical,,Chance of losing job,"Wahrscheinlichk. Arbeitsplatzverlust (0 =  Mit Sicherheit nicht, 10 = Mit Sicher",,,,
soep-core,p_statistics,v38.1,years_injob,numerical,,Years in current job,Jahre in aktueller Beschäftigung,,,,
soep-core,h_statistics,v38.1,bula_h,group,,Federal State,Bundesland lt. Statistik [harmonisiert],,,,
soep-core,h_statistics,v38.1,childr,numerical,,Number of children in HH,,,"This variable contains identical information as the variable d11107 in the dataset pequiv. Unlike d11107, however, childr contains only one data point per household (not one per person in each household).",,
soep-core,h_statistics,v38.1,hgelectr,numerical,,Costs of Electricity per month (in €),Monatl. Stromkosten (EUR),_hgen_hgelectr,,,
soep-core,h_statistics,v38.1,hgeqpgar,categorical,,Dwelling Has Garden,Ausstattung: Garten,_hgen_hgeqpgar,,,
soep-core,h_statistics,v38.1,hgeqpinsul,categorical,,Dwelling has thermal insulation,Ausstattung: Waermedaemmung,hgeqpinsul,,,
soep-core,h_statistics,v38.1,hgeqpmglass,categorical,,Dwelling has at least double glazing,Ausstattung: Mindestens Doppelverglasung,hgeqpmglass,,,
soep-core,h_statistics,v38.1,hgeqpnrj,categorical,,Dwelling Has Alternative Energy Source,Ausstattung: Andere Alternative Energiequelle,,,,
soep-core,h_statistics,v38.1,hgeqpsol,categorical,,Dwelling Has Solar System,Ausstattung: Solaranlage,_hgen_hgeqpsol,,,
soep-core,h_statistics,v38.1,hgeqpter,categorical,,"Dwelling Has Balcony,Terrace","Ausstattung: Balkon, Terrasse",_hgen_hgeqpter,,,
soep-core,h_statistics,v38.1,hgheat,numerical,,Costs of warm water per month (in €),Monatl. Heiz- und Warmwasserkosten (EUR),_hgen_hgheat,,,
soep-core,h_statistics,v38.1,hgrent,numerical,,Amount Of Rent Minus Heating Costs,Monatl. Bruttokaltmiete (EUR),_hgen_hgrent,,,
soep-core,h_statistics,v38.1,hgreval,categorical,,Rent Of Dwelling Vs Comparable Dwellings,Beurteilung Miethoehe,,,,
soep-core,h_statistics,v38.1,hgroom,categorical,,Number Of Rooms Larger Than 6 Sq M,Zahl der Wohnraeume ueber 6 qm,_hgen_hgroom,,,
soep-core,h_statistics,v38.1,hgseval,categorical,,Adequacy Of Living Space In Housing Unit,Beurteilung der Wohnungsgroesse,,,,
soep-core,h_statistics,v38.1,hgsize,numerical,,Size Of Housing Unit In Sq M,Wohnflaeche in qm,_hgen_hgsize,,,
soep-core,h_statistics,v38.1,hhgr,numerical,,Current Household Size,Aktuelle Haushaltsgroesse,hhgr,,,
soep-core,h_statistics,v38.1,hhrf,,,Weighting factor,Hochrechnungsfaktor,,,,
soep-core,h_statistics,v38.1,hhrf1,,,Weighting factor without new samples (wave 1),Hochrechnungsfaktor ohne neue Stichproben (Welle 1),,,,
soep-core,h_statistics,v38.1,hhtyp,group,,Household Typology,,htyp,,,
soep-core,h_statistics,v38.1,hid,,,Current Wave HH Number,Aktuelle Haushaltsnummer,,,,
soep-core,h_statistics,v38.1,hlc0052,categorical,,"Unemployment Subsidy II, Social Subsidy prev year","ALG2, Sozialgeld im letzten Jahr, bezogen",hlag1,,,
soep-core,h_statistics,v38.1,hlc0061_h,categorical,,"Received basic income support for the elderly, prev. year",Grundsicherung im Alter Vorjahr [harmonisiert],hlgs1,,,
soep-core,h_statistics,v38.1,hlc0080_h,categorical,,"Received housing allowance, prev. year","Wohngeld,Lastenzuschuss Vorjahr [harmonisiert]",hlwg1,,,
soep-core,h_statistics,v38.1,hlc0083_h,categorical,,Receiving housing allowance today,Wohngeld heute [harmonisiert],hdwg1,,,
soep-core,h_statistics,v38.1,hlc0119_h,categorical,,Put aside money for savings at the end of the month,Sparbetrag monatlich [harmonisiert],hspar1,,,
soep-core,h_statistics,v38.1,hlc0178,categorical,,"Inherited large sum of money or other assets, prev. year",Groessere Geldbetraege/Vermoegenswerte - Erbschaft,179,,,
soep-core,h_statistics,v38.1,hlc0180,categorical,,"Been gifted large sum of money or other assets, prev. year",Groessere Geldbetraege/Vermoegenswerte - Geschenk,181,,,
soep-core,h_statistics,v38.1,hlc0182,categorical,,"Won large sum of money or other assets in lottery, prev. year",Groessere Geldbetraege/Vermoegenswerte - Lotteriegewinn,183,,,
soep-core,h_statistics,v38.1,hlf0151,categorical,,Worried About Crime In Neighbourhood,Sicherheit des Wohngebiets,hkrim,,,
soep-core,h_statistics,v38.1,hlf0178_h,categorical,,Internet,Internet [harmonisiert],hh11,,,
soep-core,h_statistics,v38.1,hlf0180,categorical,,Car in HH,Auto im HH,hh03,,,
soep-core,h_statistics,v38.1,hlf0186,categorical,,Reserves for Emergencies,Notfallruecklagen,hh07,,,
soep-core,h_statistics,v38.1,hlf0188,categorical,,Yearly Holiday Trip,Jaehrliche Urlaubsreise,hh08,,,
soep-core,h_statistics,v38.1,hlf0192,categorical,,Fresh fish/meat/oultry every 2 days,Alle 2 Tage: Fisch/Fleisch/Gefluegel,hh10,,,
soep-core,h_statistics,v38.1,hlf0197,numerical,,Number of books in household,Anzahl Buecher im HH,hbuch,,,
soep-core,h_statistics,v38.1,hlf0261,categorical,,Paying someone for household help,"Putz-,Haushaltshilfe beschaeftigt",hputz,,,
soep-core,h_statistics,v38.1,hlf0291,categorical,,Person Requiring Help In Household Present,"Hilfe-,Pflegebeduerft. Person im HH",hpfleg,,,
soep-core,h_statistics,v38.1,hlf0436_h,numerical,,Money spent on groceries per month (in €),Ausg Lebensmittel – Monat (Euro) [harmonisiert],,,,
soep-core,h_statistics,v38.1,hlf0613,categorical,,Monthly household leisure activity,Monatlich Freizeitbeschaeftigung,277,,,
soep-core,h_statistics,v38.1,hlf0631,numerical,,If persons in need of care in HH: number of persons in need of care,Anzahl pflegebeduerftige Personen im HH,290,,,
soep-core,h_statistics,v38.1,hlf0632_v1,numerical,,"Subjective financial burden through housing expenses (amortization, add. costs)",Beurteilung Belastung durch Wohnkosten (Tilgung / Zinsen und Nebenkosten) [2017-,,This question was only answered by households who own the property they live in (rentown == Owner).,,
soep-core,h_statistics,v38.1,hlf0633_v1,numerical,,"Subjective financial burden through housing expenses (rent, additional costs)","Beurteilung Belastung durch Wohnkosten (Miete und Nebenkosten) [2017-2018, 2020]",,This question was only answered by households who live in a property for rent (rentown == Tenant).,,
soep-core,h_statistics,v38.1,pet_bird,categorical,,Vogel im Haushalt,Vogel im HH,,,,
soep-core,h_statistics,v38.1,pet_cat,categorical,,Katze im Haushalt,Katze im HH,,,,
soep-core,h_statistics,v38.1,pet_dog,categorical,,Hund im Haushalt,Hund im HH,,,,
soep-core,h_statistics,v38.1,pet_fish,categorical,,Pets: fish,Fische im HH,,,,
soep-core,h_statistics,v38.1,pet_horse,categorical,,Pferd im Haushalt,Pferd im HH,,,,
soep-core,h_statistics,v38.1,pet_other,categorical,,Sonstige Haustiere,Sonstige Haustiere,,,,
soep-core,h_statistics,v38.1,pet_othrodent,categorical,,Pets: hamster/guinea pig/mouse,Hamster Meerschweinchen Maeuse im HH,,,,
soep-core,h_statistics,v38.1,pet_rabbit,categorical,,Pets: rabbit,Hase im HH,,,,
soep-core,h_statistics,v38.1,petyn,categorical,,Pets in HH,,,,,
soep-core,h_statistics,v38.1,regtyp,group,,Urban/rural regions,Siedlungsstruktureller Regionsgrundtyp des BBSR,,,,
soep-core,h_statistics,v38.1,rentown,categorical,,Tenant or owner of dwelling,,_hgen_hgowner,"The variable hgowner was recoded (2 3 4 = 2)(Main Tenant, Sub-Tenant and Tenant were subsumed under 'Tenant')",,
soep-core,h_statistics,v38.1,sampreg,group,,East-/ West Germany,Aktuelle Stichprobenregion,,,,
soep-core,h_statistics,v38.1,syear,,,Survey Year,Erhebungsjahr,,,,
