"ple0055","year","sampreg","n","percent","lower_confidence","upper_confidence"
"30","1991","Ostdeutschland","","","",""
"31","1991","Westdeutschland","","","",""
"31","1991","Ostdeutschland","","","",""
"32","1991","Westdeutschland","","","",""
"32","1991","Ostdeutschland","","","",""
"35","1991","Westdeutschland","","","",""
"35","1991","Ostdeutschland","","","",""
"36","1991","Westdeutschland","","","",""
"36","1991","Ostdeutschland","","","",""
"40","1991","Westdeutschland","","","",""
"40","1991","Ostdeutschland","","","",""
"42","1991","Westdeutschland","","","",""
"42","1991","Ostdeutschland","","","",""
"45","1991","Westdeutschland","","","",""
"45","1991","Ostdeutschland","","","",""
"48","1991","Westdeutschland","","","",""
"48","1991","Ostdeutschland","","","",""
"50","1991","Westdeutschland","","","",""
"50","1991","Ostdeutschland","","","",""
"51","1991","Westdeutschland","","","",""
"51","1991","Ostdeutschland","","","",""
"64","1991","Westdeutschland","","","",""
"64","1991","Ostdeutschland","","","",""
"65","1991","Westdeutschland","","","",""
"65","1991","Ostdeutschland","","","",""
"90","1991","Westdeutschland","","","",""
"90","1991","Ostdeutschland","","","",""
"98","1991","Westdeutschland","","","",""
"98","1991","Ostdeutschland","","","",""
"100","1991","Westdeutschland","","","",""
"100","1991","Ostdeutschland","","","",""
"0","1992","Westdeutschland","","","",""
"0","1992","Ostdeutschland","","","",""
"1","1992","Westdeutschland","838","0.778040787032803","0.752928978495794","0.803152595569812"
"1","1992","Ostdeutschland","244","0.775230433909713","0.729132976190617","0.821327891628809"
"2","1992","Westdeutschland","143","0.141601636462259","0.120533855334758","0.16266941758976"
"2","1992","Ostdeutschland","53","0.170080051289617","0.128590608224396","0.211569494354837"
"3","1992","Westdeutschland","36","0.0466641783816171","0.0339187338022549","0.0594096229609794"
"3","1992","Ostdeutschland","","","",""
"4","1992","Westdeutschland","","","",""
"4","1992","Ostdeutschland","","","",""
"5","1992","Westdeutschland","","","",""
"5","1992","Ostdeutschland","","","",""
"6","1992","Westdeutschland","","","",""
"6","1992","Ostdeutschland","","","",""
"7","1992","Westdeutschland","","","",""
"7","1992","Ostdeutschland","","","",""
"8","1992","Westdeutschland","","","",""
"8","1992","Ostdeutschland","","","",""
"9","1992","Westdeutschland","","","",""
"9","1992","Ostdeutschland","","","",""
"10","1992","Westdeutschland","","","",""
"10","1992","Ostdeutschland","","","",""
"11","1992","Westdeutschland","","","",""
"11","1992","Ostdeutschland","","","",""
"12","1992","Westdeutschland","","","",""
"12","1992","Ostdeutschland","","","",""
"13","1992","Westdeutschland","","","",""
"13","1992","Ostdeutschland","","","",""
"14","1992","Westdeutschland","","","",""
"14","1992","Ostdeutschland","","","",""
"15","1992","Westdeutschland","","","",""
"15","1992","Ostdeutschland","","","",""
"16","1992","Westdeutschland","","","",""
"16","1992","Ostdeutschland","","","",""
"17","1992","Westdeutschland","","","",""
"17","1992","Ostdeutschland","","","",""
"18","1992","Westdeutschland","","","",""
"18","1992","Ostdeutschland","","","",""
"19","1992","Westdeutschland","","","",""
"19","1992","Ostdeutschland","","","",""
"20","1992","Westdeutschland","","","",""
"20","1992","Ostdeutschland","","","",""
"21","1992","Westdeutschland","","","",""
"21","1992","Ostdeutschland","","","",""
"22","1992","Westdeutschland","","","",""
"22","1992","Ostdeutschland","","","",""
"23","1992","Westdeutschland","","","",""
"23","1992","Ostdeutschland","","","",""
"24","1992","Westdeutschland","","","",""
"24","1992","Ostdeutschland","","","",""
"25","1992","Westdeutschland","","","",""
"25","1992","Ostdeutschland","","","",""
"26","1992","Westdeutschland","","","",""
"26","1992","Ostdeutschland","","","",""
"27","1992","Westdeutschland","","","",""
"27","1992","Ostdeutschland","","","",""
"28","1992","Westdeutschland","","","",""
"28","1992","Ostdeutschland","","","",""
"30","1992","Westdeutschland","","","",""
"30","1992","Ostdeutschland","","","",""
"31","1992","Westdeutschland","","","",""
"31","1992","Ostdeutschland","","","",""
"32","1992","Westdeutschland","","","",""
"32","1992","Ostdeutschland","","","",""
"35","1992","Westdeutschland","","","",""
"35","1992","Ostdeutschland","","","",""
"36","1992","Westdeutschland","","","",""
"36","1992","Ostdeutschland","","","",""
"40","1992","Westdeutschland","","","",""
"40","1992","Ostdeutschland","","","",""
"42","1992","Westdeutschland","","","",""
"42","1992","Ostdeutschland","","","",""
"45","1992","Westdeutschland","","","",""
"45","1992","Ostdeutschland","","","",""
"48","1992","Westdeutschland","","","",""
"48","1992","Ostdeutschland","","","",""
"50","1992","Westdeutschland","","","",""
"50","1992","Ostdeutschland","","","",""
"51","1992","Westdeutschland","","","",""
"51","1992","Ostdeutschland","","","",""
"64","1992","Westdeutschland","","","",""
"64","1992","Ostdeutschland","","","",""
"65","1992","Westdeutschland","","","",""
"65","1992","Ostdeutschland","","","",""
"90","1992","Westdeutschland","","","",""
"90","1992","Ostdeutschland","","","",""
"98","1992","Westdeutschland","","","",""
"98","1992","Ostdeutschland","","","",""
"100","1992","Westdeutschland","","","",""
"100","1992","Ostdeutschland","","","",""
"0","1993","Westdeutschland","","","",""
"0","1993","Ostdeutschland","","","",""
"1","1993","Westdeutschland","","","",""
"1","1993","Ostdeutschland","","","",""
"2","1993","Westdeutschland","","","",""
"2","1993","Ostdeutschland","","","",""
"3","1993","Westdeutschland","","","",""
"3","1993","Ostdeutschland","","","",""
"4","1993","Westdeutschland","","","",""
"4","1993","Ostdeutschland","","","",""
"5","1993","Westdeutschland","","","",""
"5","1993","Ostdeutschland","","","",""
"6","1993","Westdeutschland","","","",""
"6","1993","Ostdeutschland","","","",""
"7","1993","Westdeutschland","","","",""
"7","1993","Ostdeutschland","","","",""
"8","1993","Westdeutschland","","","",""
"8","1993","Ostdeutschland","","","",""
"9","1993","Westdeutschland","","","",""
"9","1993","Ostdeutschland","","","",""
"10","1993","Westdeutschland","","","",""
"10","1993","Ostdeutschland","","","",""
"11","1993","Westdeutschland","","","",""
"11","1993","Ostdeutschland","","","",""
"12","1993","Westdeutschland","","","",""
"12","1993","Ostdeutschland","","","",""
"13","1993","Westdeutschland","","","",""
"13","1993","Ostdeutschland","","","",""
"14","1993","Westdeutschland","","","",""
"14","1993","Ostdeutschland","","","",""
"15","1993","Westdeutschland","","","",""
"15","1993","Ostdeutschland","","","",""
"16","1993","Westdeutschland","","","",""
"16","1993","Ostdeutschland","","","",""
"17","1993","Westdeutschland","","","",""
"17","1993","Ostdeutschland","","","",""
"18","1993","Westdeutschland","","","",""
"18","1993","Ostdeutschland","","","",""
"19","1993","Westdeutschland","","","",""
"19","1993","Ostdeutschland","","","",""
"20","1993","Westdeutschland","","","",""
"20","1993","Ostdeutschland","","","",""
"21","1993","Westdeutschland","","","",""
"21","1993","Ostdeutschland","","","",""
"22","1993","Westdeutschland","","","",""
"22","1993","Ostdeutschland","","","",""
"23","1993","Westdeutschland","","","",""
"23","1993","Ostdeutschland","","","",""
"24","1993","Westdeutschland","","","",""
"24","1993","Ostdeutschland","","","",""
"25","1993","Westdeutschland","","","",""
"25","1993","Ostdeutschland","","","",""
"26","1993","Westdeutschland","","","",""
"26","1993","Ostdeutschland","","","",""
"27","1993","Westdeutschland","","","",""
"27","1993","Ostdeutschland","","","",""
"28","1993","Westdeutschland","","","",""
"28","1993","Ostdeutschland","","","",""
"30","1993","Westdeutschland","","","",""
"30","1993","Ostdeutschland","","","",""
"31","1993","Westdeutschland","","","",""
"31","1993","Ostdeutschland","","","",""
"32","1993","Westdeutschland","","","",""
"32","1993","Ostdeutschland","","","",""
"35","1993","Westdeutschland","","","",""
"35","1993","Ostdeutschland","","","",""
"36","1993","Westdeutschland","","","",""
"36","1993","Ostdeutschland","","","",""
"40","1993","Westdeutschland","","","",""
"40","1993","Ostdeutschland","","","",""
"42","1993","Westdeutschland","","","",""
"42","1993","Ostdeutschland","","","",""
"45","1993","Westdeutschland","","","",""
"45","1993","Ostdeutschland","","","",""
"48","1993","Westdeutschland","","","",""
"48","1993","Ostdeutschland","","","",""
"50","1993","Westdeutschland","","","",""
"50","1993","Ostdeutschland","","","",""
"51","1993","Westdeutschland","","","",""
"51","1993","Ostdeutschland","","","",""
"64","1993","Westdeutschland","","","",""
"64","1993","Ostdeutschland","","","",""
"65","1993","Westdeutschland","","","",""
"65","1993","Ostdeutschland","","","",""
"90","1993","Westdeutschland","","","",""
"90","1993","Ostdeutschland","","","",""
"98","1993","Westdeutschland","","","",""
"98","1993","Ostdeutschland","","","",""
"100","1993","Westdeutschland","","","",""
"100","1993","Ostdeutschland","","","",""
"0","1994","Westdeutschland","","","",""
"0","1994","Ostdeutschland","","","",""
"1","1994","Westdeutschland","838","0.785630532744052","0.760701044269313","0.810560021218791"
"1","1994","Ostdeutschland","276","0.759703970366032","0.715258305205922","0.804149635526142"
"2","1994","Westdeutschland","138","0.138741174606302","0.117742482180514","0.159739867032089"
"2","1994","Ostdeutschland","48","0.168280493320877","0.129363502996745","0.207197483645009"
"3","1994","Westdeutschland","","","",""
"3","1994","Ostdeutschland","","","",""
"4","1994","Westdeutschland","","","",""
"4","1994","Ostdeutschland","","","",""
"5","1994","Westdeutschland","","","",""
"5","1994","Ostdeutschland","","","",""
"6","1994","Westdeutschland","","","",""
"6","1994","Ostdeutschland","","","",""
"7","1994","Westdeutschland","","","",""
"7","1994","Ostdeutschland","","","",""
"8","1994","Westdeutschland","","","",""
"8","1994","Ostdeutschland","","","",""
"9","1994","Westdeutschland","","","",""
"9","1994","Ostdeutschland","","","",""
"10","1994","Westdeutschland","","","",""
"10","1994","Ostdeutschland","","","",""
"11","1994","Westdeutschland","","","",""
"11","1994","Ostdeutschland","","","",""
"12","1994","Westdeutschland","","","",""
"12","1994","Ostdeutschland","","","",""
"13","1994","Westdeutschland","","","",""
"13","1994","Ostdeutschland","","","",""
"14","1994","Westdeutschland","","","",""
"14","1994","Ostdeutschland","","","",""
"15","1994","Westdeutschland","","","",""
"15","1994","Ostdeutschland","","","",""
"16","1994","Westdeutschland","","","",""
"16","1994","Ostdeutschland","","","",""
"17","1994","Westdeutschland","","","",""
"17","1994","Ostdeutschland","","","",""
"18","1994","Westdeutschland","","","",""
"18","1994","Ostdeutschland","","","",""
"19","1994","Westdeutschland","","","",""
"19","1994","Ostdeutschland","","","",""
"20","1994","Westdeutschland","","","",""
"20","1994","Ostdeutschland","","","",""
"21","1994","Westdeutschland","","","",""
"21","1994","Ostdeutschland","","","",""
"22","1994","Westdeutschland","","","",""
"22","1994","Ostdeutschland","","","",""
"23","1994","Westdeutschland","","","",""
"23","1994","Ostdeutschland","","","",""
"24","1994","Westdeutschland","","","",""
"24","1994","Ostdeutschland","","","",""
"25","1994","Westdeutschland","","","",""
"25","1994","Ostdeutschland","","","",""
"26","1994","Westdeutschland","","","",""
"26","1994","Ostdeutschland","","","",""
"27","1994","Westdeutschland","","","",""
"27","1994","Ostdeutschland","","","",""
"28","1994","Westdeutschland","","","",""
"28","1994","Ostdeutschland","","","",""
"30","1994","Westdeutschland","","","",""
"30","1994","Ostdeutschland","","","",""
"31","1994","Westdeutschland","","","",""
"31","1994","Ostdeutschland","","","",""
"32","1994","Westdeutschland","","","",""
"32","1994","Ostdeutschland","","","",""
"35","1994","Westdeutschland","","","",""
"35","1994","Ostdeutschland","","","",""
"36","1994","Westdeutschland","","","",""
"36","1994","Ostdeutschland","","","",""
"40","1994","Westdeutschland","","","",""
"40","1994","Ostdeutschland","","","",""
"42","1994","Westdeutschland","","","",""
"42","1994","Ostdeutschland","","","",""
"45","1994","Westdeutschland","","","",""
"45","1994","Ostdeutschland","","","",""
"48","1994","Westdeutschland","","","",""
"48","1994","Ostdeutschland","","","",""
"50","1994","Westdeutschland","","","",""
"50","1994","Ostdeutschland","","","",""
"51","1994","Westdeutschland","","","",""
"51","1994","Ostdeutschland","","","",""
"64","1994","Westdeutschland","","","",""
"64","1994","Ostdeutschland","","","",""
"65","1994","Westdeutschland","","","",""
"65","1994","Ostdeutschland","","","",""
"90","1994","Westdeutschland","","","",""
"90","1994","Ostdeutschland","","","",""
"98","1994","Westdeutschland","","","",""
"98","1994","Ostdeutschland","","","",""
"100","1994","Westdeutschland","","","",""
"100","1994","Ostdeutschland","","","",""
"0","1995","Westdeutschland","","","",""
"0","1995","Ostdeutschland","","","",""
"1","1995","Westdeutschland","808","0.739276727777696","0.712822281619838","0.765731173935554"
"1","1995","Ostdeutschland","314","0.758811769614953","0.717249814293132","0.800373724936775"
"2","1995","Westdeutschland","164","0.1708037127273","0.148126870164419","0.193480555290182"
"2","1995","Ostdeutschland","52","0.132206413566363","0.0992996351756384","0.165113191957088"
"3","1995","Westdeutschland","38","0.0481216303275807","0.0352252998865584","0.0610179607686031"
"3","1995","Ostdeutschland","","","",""
"4","1995","Westdeutschland","","","",""
"4","1995","Ostdeutschland","","","",""
"5","1995","Westdeutschland","","","",""
"5","1995","Ostdeutschland","","","",""
"6","1995","Westdeutschland","","","",""
"6","1995","Ostdeutschland","","","",""
"7","1995","Westdeutschland","","","",""
"7","1995","Ostdeutschland","","","",""
"8","1995","Westdeutschland","","","",""
"8","1995","Ostdeutschland","","","",""
"9","1995","Westdeutschland","","","",""
"9","1995","Ostdeutschland","","","",""
"10","1995","Westdeutschland","","","",""
"10","1995","Ostdeutschland","","","",""
"11","1995","Westdeutschland","","","",""
"11","1995","Ostdeutschland","","","",""
"12","1995","Westdeutschland","","","",""
"12","1995","Ostdeutschland","","","",""
"13","1995","Westdeutschland","","","",""
"13","1995","Ostdeutschland","","","",""
"14","1995","Westdeutschland","","","",""
"14","1995","Ostdeutschland","","","",""
"15","1995","Westdeutschland","","","",""
"15","1995","Ostdeutschland","","","",""
"16","1995","Westdeutschland","","","",""
"16","1995","Ostdeutschland","","","",""
"17","1995","Westdeutschland","","","",""
"17","1995","Ostdeutschland","","","",""
"18","1995","Westdeutschland","","","",""
"18","1995","Ostdeutschland","","","",""
"19","1995","Westdeutschland","","","",""
"19","1995","Ostdeutschland","","","",""
"20","1995","Westdeutschland","","","",""
"20","1995","Ostdeutschland","","","",""
"21","1995","Westdeutschland","","","",""
"21","1995","Ostdeutschland","","","",""
"22","1995","Westdeutschland","","","",""
"22","1995","Ostdeutschland","","","",""
"23","1995","Westdeutschland","","","",""
"23","1995","Ostdeutschland","","","",""
"24","1995","Westdeutschland","","","",""
"24","1995","Ostdeutschland","","","",""
"25","1995","Westdeutschland","","","",""
"25","1995","Ostdeutschland","","","",""
"26","1995","Westdeutschland","","","",""
"26","1995","Ostdeutschland","","","",""
"27","1995","Westdeutschland","","","",""
"27","1995","Ostdeutschland","","","",""
"28","1995","Westdeutschland","","","",""
"28","1995","Ostdeutschland","","","",""
"30","1995","Westdeutschland","","","",""
"30","1995","Ostdeutschland","","","",""
"31","1995","Westdeutschland","","","",""
"31","1995","Ostdeutschland","","","",""
"32","1995","Westdeutschland","","","",""
"32","1995","Ostdeutschland","","","",""
"35","1995","Westdeutschland","","","",""
"35","1995","Ostdeutschland","","","",""
"36","1995","Westdeutschland","","","",""
"36","1995","Ostdeutschland","","","",""
"40","1995","Westdeutschland","","","",""
"40","1995","Ostdeutschland","","","",""
"42","1995","Westdeutschland","","","",""
"42","1995","Ostdeutschland","","","",""
"45","1995","Westdeutschland","","","",""
"45","1995","Ostdeutschland","","","",""
"48","1995","Westdeutschland","","","",""
"48","1995","Ostdeutschland","","","",""
"50","1995","Westdeutschland","","","",""
"50","1995","Ostdeutschland","","","",""
"51","1995","Westdeutschland","","","",""
"51","1995","Ostdeutschland","","","",""
"64","1995","Westdeutschland","","","",""
"64","1995","Ostdeutschland","","","",""
"65","1995","Westdeutschland","","","",""
"65","1995","Ostdeutschland","","","",""
"90","1995","Westdeutschland","","","",""
"90","1995","Ostdeutschland","","","",""
"98","1995","Westdeutschland","","","",""
"98","1995","Ostdeutschland","","","",""
"100","1995","Westdeutschland","","","",""
"100","1995","Ostdeutschland","","","",""
"0","1996","Westdeutschland","","","",""
"0","1996","Ostdeutschland","","","",""
"1","1996","Westdeutschland","863","0.764753896691281","0.73944580279169","0.790061990590871"
"1","1996","Ostdeutschland","327","0.747296847952033","0.705637558826076","0.788956137077989"
"2","1996","Westdeutschland","142","0.147841173611141","0.126662666518429","0.169019680703853"
"2","1996","Ostdeutschland","57","0.172008143794695","0.135829899469972","0.208186388119418"
"3","1996","Westdeutschland","40","0.0438613227244191","0.0316422380549823","0.0560804073938559"
"3","1996","Ostdeutschland","","","",""
"4","1996","Westdeutschland","","","",""
"4","1996","Ostdeutschland","","","",""
"5","1996","Westdeutschland","","","",""
"5","1996","Ostdeutschland","","","",""
"6","1996","Westdeutschland","","","",""
"6","1996","Ostdeutschland","","","",""
"7","1996","Westdeutschland","","","",""
"7","1996","Ostdeutschland","","","",""
"8","1996","Westdeutschland","","","",""
"8","1996","Ostdeutschland","","","",""
"9","1996","Westdeutschland","","","",""
"9","1996","Ostdeutschland","","","",""
"10","1996","Westdeutschland","","","",""
"10","1996","Ostdeutschland","","","",""
"11","1996","Westdeutschland","","","",""
"11","1996","Ostdeutschland","","","",""
"12","1996","Westdeutschland","","","",""
"12","1996","Ostdeutschland","","","",""
"13","1996","Westdeutschland","","","",""
"13","1996","Ostdeutschland","","","",""
"14","1996","Westdeutschland","","","",""
"14","1996","Ostdeutschland","","","",""
"15","1996","Westdeutschland","","","",""
"15","1996","Ostdeutschland","","","",""
"16","1996","Westdeutschland","","","",""
"16","1996","Ostdeutschland","","","",""
"17","1996","Westdeutschland","","","",""
"17","1996","Ostdeutschland","","","",""
"18","1996","Westdeutschland","","","",""
"18","1996","Ostdeutschland","","","",""
"19","1996","Westdeutschland","","","",""
"19","1996","Ostdeutschland","","","",""
"20","1996","Westdeutschland","","","",""
"20","1996","Ostdeutschland","","","",""
"21","1996","Westdeutschland","","","",""
"21","1996","Ostdeutschland","","","",""
"22","1996","Westdeutschland","","","",""
"22","1996","Ostdeutschland","","","",""
"23","1996","Westdeutschland","","","",""
"23","1996","Ostdeutschland","","","",""
"24","1996","Westdeutschland","","","",""
"24","1996","Ostdeutschland","","","",""
"25","1996","Westdeutschland","","","",""
"25","1996","Ostdeutschland","","","",""
"26","1996","Westdeutschland","","","",""
"26","1996","Ostdeutschland","","","",""
"27","1996","Westdeutschland","","","",""
"27","1996","Ostdeutschland","","","",""
"28","1996","Westdeutschland","","","",""
"28","1996","Ostdeutschland","","","",""
"30","1996","Westdeutschland","","","",""
"30","1996","Ostdeutschland","","","",""
"31","1996","Westdeutschland","","","",""
"31","1996","Ostdeutschland","","","",""
"32","1996","Westdeutschland","","","",""
"32","1996","Ostdeutschland","","","",""
"35","1996","Westdeutschland","","","",""
"35","1996","Ostdeutschland","","","",""
"36","1996","Westdeutschland","","","",""
"36","1996","Ostdeutschland","","","",""
"40","1996","Westdeutschland","","","",""
"40","1996","Ostdeutschland","","","",""
"42","1996","Westdeutschland","","","",""
"42","1996","Ostdeutschland","","","",""
"45","1996","Westdeutschland","","","",""
"45","1996","Ostdeutschland","","","",""
"48","1996","Westdeutschland","","","",""
"48","1996","Ostdeutschland","","","",""
"50","1996","Westdeutschland","","","",""
"50","1996","Ostdeutschland","","","",""
"51","1996","Westdeutschland","","","",""
"51","1996","Ostdeutschland","","","",""
"64","1996","Westdeutschland","","","",""
"64","1996","Ostdeutschland","","","",""
"65","1996","Westdeutschland","","","",""
"65","1996","Ostdeutschland","","","",""
"90","1996","Westdeutschland","","","",""
"90","1996","Ostdeutschland","","","",""
"98","1996","Westdeutschland","","","",""
"98","1996","Ostdeutschland","","","",""
"100","1996","Westdeutschland","","","",""
"100","1996","Ostdeutschland","","","",""
"0","1997","Westdeutschland","","","",""
"0","1997","Ostdeutschland","","","",""
"1","1997","Westdeutschland","855","0.780970228434621","0.75617728710429","0.805763169764953"
"1","1997","Ostdeutschland","296","0.748347590360123","0.705978631038735","0.790716549681511"
"2","1997","Westdeutschland","150","0.141016828198151","0.120153334387237","0.161880322009064"
"2","1997","Ostdeutschland","72","0.159846660396465","0.124067789540455","0.195625531252474"
"3","1997","Westdeutschland","31","0.0370151062539766","0.0256973984884159","0.0483328140195373"
"3","1997","Ostdeutschland","","","",""
"4","1997","Westdeutschland","","","",""
"4","1997","Ostdeutschland","","","",""
"5","1997","Westdeutschland","","","",""
"5","1997","Ostdeutschland","","","",""
"6","1997","Westdeutschland","","","",""
"6","1997","Ostdeutschland","","","",""
"7","1997","Westdeutschland","","","",""
"7","1997","Ostdeutschland","","","",""
"8","1997","Westdeutschland","","","",""
"8","1997","Ostdeutschland","","","",""
"9","1997","Westdeutschland","","","",""
"9","1997","Ostdeutschland","","","",""
"10","1997","Westdeutschland","","","",""
"10","1997","Ostdeutschland","","","",""
"11","1997","Westdeutschland","","","",""
"11","1997","Ostdeutschland","","","",""
"12","1997","Westdeutschland","","","",""
"12","1997","Ostdeutschland","","","",""
"13","1997","Westdeutschland","","","",""
"13","1997","Ostdeutschland","","","",""
"14","1997","Westdeutschland","","","",""
"14","1997","Ostdeutschland","","","",""
"15","1997","Westdeutschland","","","",""
"15","1997","Ostdeutschland","","","",""
"16","1997","Westdeutschland","","","",""
"16","1997","Ostdeutschland","","","",""
"17","1997","Westdeutschland","","","",""
"17","1997","Ostdeutschland","","","",""
"18","1997","Westdeutschland","","","",""
"18","1997","Ostdeutschland","","","",""
"19","1997","Westdeutschland","","","",""
"19","1997","Ostdeutschland","","","",""
"20","1997","Westdeutschland","","","",""
"20","1997","Ostdeutschland","","","",""
"21","1997","Westdeutschland","","","",""
"21","1997","Ostdeutschland","","","",""
"22","1997","Westdeutschland","","","",""
"22","1997","Ostdeutschland","","","",""
"23","1997","Westdeutschland","","","",""
"23","1997","Ostdeutschland","","","",""
"24","1997","Westdeutschland","","","",""
"24","1997","Ostdeutschland","","","",""
"25","1997","Westdeutschland","","","",""
"25","1997","Ostdeutschland","","","",""
"26","1997","Westdeutschland","","","",""
"26","1997","Ostdeutschland","","","",""
"27","1997","Westdeutschland","","","",""
"27","1997","Ostdeutschland","","","",""
"28","1997","Westdeutschland","","","",""
"28","1997","Ostdeutschland","","","",""
"30","1997","Westdeutschland","","","",""
"30","1997","Ostdeutschland","","","",""
"31","1997","Westdeutschland","","","",""
"31","1997","Ostdeutschland","","","",""
"32","1997","Westdeutschland","","","",""
"32","1997","Ostdeutschland","","","",""
"35","1997","Westdeutschland","","","",""
"35","1997","Ostdeutschland","","","",""
"36","1997","Westdeutschland","","","",""
"36","1997","Ostdeutschland","","","",""
"40","1997","Westdeutschland","","","",""
"40","1997","Ostdeutschland","","","",""
"42","1997","Westdeutschland","","","",""
"42","1997","Ostdeutschland","","","",""
"45","1997","Westdeutschland","","","",""
"45","1997","Ostdeutschland","","","",""
"48","1997","Westdeutschland","","","",""
"48","1997","Ostdeutschland","","","",""
"50","1997","Westdeutschland","","","",""
"50","1997","Ostdeutschland","","","",""
"51","1997","Westdeutschland","","","",""
"51","1997","Ostdeutschland","","","",""
"64","1997","Westdeutschland","","","",""
"64","1997","Ostdeutschland","","","",""
"65","1997","Westdeutschland","","","",""
"65","1997","Ostdeutschland","","","",""
"90","1997","Westdeutschland","","","",""
"90","1997","Ostdeutschland","","","",""
"98","1997","Westdeutschland","","","",""
"98","1997","Ostdeutschland","","","",""
"100","1997","Westdeutschland","","","",""
"100","1997","Ostdeutschland","","","",""
"0","1998","Westdeutschland","","","",""
"0","1998","Ostdeutschland","","","",""
"1","1998","Westdeutschland","941","0.768459367981884","0.744493195963112","0.792425540000657"
"1","1998","Ostdeutschland","344","0.73908707749959","0.699001030854237","0.779173124144943"
"2","1998","Westdeutschland","169","0.152236412313628","0.131825084380868","0.172647740246389"
"2","1998","Ostdeutschland","87","0.192368595720076","0.156387754349356","0.228349437090796"
"3","1998","Westdeutschland","37","0.0342127382212347","0.0238849038610328","0.0445405725814366"
"3","1998","Ostdeutschland","","","",""
"4","1998","Westdeutschland","","","",""
"4","1998","Ostdeutschland","","","",""
"5","1998","Westdeutschland","","","",""
"5","1998","Ostdeutschland","","","",""
"6","1998","Westdeutschland","","","",""
"6","1998","Ostdeutschland","","","",""
"7","1998","Westdeutschland","","","",""
"7","1998","Ostdeutschland","","","",""
"8","1998","Westdeutschland","","","",""
"8","1998","Ostdeutschland","","","",""
"9","1998","Westdeutschland","","","",""
"9","1998","Ostdeutschland","","","",""
"10","1998","Westdeutschland","","","",""
"10","1998","Ostdeutschland","","","",""
"11","1998","Westdeutschland","","","",""
"11","1998","Ostdeutschland","","","",""
"12","1998","Westdeutschland","","","",""
"12","1998","Ostdeutschland","","","",""
"13","1998","Westdeutschland","","","",""
"13","1998","Ostdeutschland","","","",""
"14","1998","Westdeutschland","","","",""
"14","1998","Ostdeutschland","","","",""
"15","1998","Westdeutschland","","","",""
"15","1998","Ostdeutschland","","","",""
"16","1998","Westdeutschland","","","",""
"16","1998","Ostdeutschland","","","",""
"17","1998","Westdeutschland","","","",""
"17","1998","Ostdeutschland","","","",""
"18","1998","Westdeutschland","","","",""
"18","1998","Ostdeutschland","","","",""
"19","1998","Westdeutschland","","","",""
"19","1998","Ostdeutschland","","","",""
"20","1998","Westdeutschland","","","",""
"20","1998","Ostdeutschland","","","",""
"21","1998","Westdeutschland","","","",""
"21","1998","Ostdeutschland","","","",""
"22","1998","Westdeutschland","","","",""
"22","1998","Ostdeutschland","","","",""
"23","1998","Westdeutschland","","","",""
"23","1998","Ostdeutschland","","","",""
"24","1998","Westdeutschland","","","",""
"24","1998","Ostdeutschland","","","",""
"25","1998","Westdeutschland","","","",""
"25","1998","Ostdeutschland","","","",""
"26","1998","Westdeutschland","","","",""
"26","1998","Ostdeutschland","","","",""
"27","1998","Westdeutschland","","","",""
"27","1998","Ostdeutschland","","","",""
"28","1998","Westdeutschland","","","",""
"28","1998","Ostdeutschland","","","",""
"30","1998","Westdeutschland","","","",""
"30","1998","Ostdeutschland","","","",""
"31","1998","Westdeutschland","","","",""
"31","1998","Ostdeutschland","","","",""
"32","1998","Westdeutschland","","","",""
"32","1998","Ostdeutschland","","","",""
"35","1998","Westdeutschland","","","",""
"35","1998","Ostdeutschland","","","",""
"36","1998","Westdeutschland","","","",""
"36","1998","Ostdeutschland","","","",""
"40","1998","Westdeutschland","","","",""
"40","1998","Ostdeutschland","","","",""
"42","1998","Westdeutschland","","","",""
"42","1998","Ostdeutschland","","","",""
"45","1998","Westdeutschland","","","",""
"45","1998","Ostdeutschland","","","",""
"48","1998","Westdeutschland","","","",""
"48","1998","Ostdeutschland","","","",""
"50","1998","Westdeutschland","","","",""
"50","1998","Ostdeutschland","","","",""
"51","1998","Westdeutschland","","","",""
"51","1998","Ostdeutschland","","","",""
"64","1998","Westdeutschland","","","",""
"64","1998","Ostdeutschland","","","",""
"65","1998","Westdeutschland","","","",""
"65","1998","Ostdeutschland","","","",""
"90","1998","Westdeutschland","","","",""
"90","1998","Ostdeutschland","","","",""
"98","1998","Westdeutschland","","","",""
"98","1998","Ostdeutschland","","","",""
"100","1998","Westdeutschland","","","",""
"100","1998","Ostdeutschland","","","",""
"0","1999","Westdeutschland","","","",""
"0","1999","Ostdeutschland","","","",""
"1","1999","Westdeutschland","886","0.755244403877859","0.730341188717333","0.780147619038385"
"1","1999","Ostdeutschland","333","0.715215193445992","0.67406196823039","0.756368418661594"
"2","1999","Westdeutschland","169","0.15282092743359","0.131979648182836","0.173662206684344"
"2","1999","Ostdeutschland","87","0.202351864757366","0.165717692276132","0.238986037238601"
"3","1999","Westdeutschland","44","0.0449537520353003","0.0329521140714094","0.0569553899991912"
"3","1999","Ostdeutschland","","","",""
"4","1999","Westdeutschland","","","",""
"4","1999","Ostdeutschland","","","",""
"5","1999","Westdeutschland","","","",""
"5","1999","Ostdeutschland","","","",""
"6","1999","Westdeutschland","","","",""
"6","1999","Ostdeutschland","","","",""
"7","1999","Westdeutschland","","","",""
