"year","migback","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2014","kein Migrationshintergrund","Ostdeutschland","6.82","6.5","5114","5","6","8","9","10","6.77","6.87","0","10","7","7"
"2014","kein Migrationshintergrund","Westdeutschland","7.21","7.5","14990","5","6","8","9","10","7.18","7.24","0","10","8","8"
"2014","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","Ostdeutschland","7.03","7.5","421","4","6","8","9","10","6.86","7.2","0","10","8","8"
"2015","direkter Migrationshintergrund","Westdeutschland","7.4","7.5","5458","5","7","9","9","10","7.35","7.45","0","10","8","8"
"2015","indirekter Migrationshintergrund","Ostdeutschland","7.62","7.5","102","5","7","9","10","10","7.26","7.98","0","10","7","8"
"2015","indirekter Migrationshintergrund","Westdeutschland","7.52","7.5","1579","5","7","9","9","10","7.44","7.6","0","10","8","8"
"2015","kein Migrationshintergrund","Ostdeutschland","6.94","6.5","4870","5","6","8","9","10","6.89","6.99","0","10","7","7"
"2015","kein Migrationshintergrund","Westdeutschland","7.31","7.5","14298","5","7","8","9","10","7.28","7.34","0","10","8","8"
"2015","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2015","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","Ostdeutschland","7.09","7.5","854","3","6","9","9","10","6.94","7.24","0","10","8","8"
"2016","direkter Migrationshintergrund","Westdeutschland","7.36","7.5","6967","5","7","8","9","10","7.32","7.4","0","10","8","8"
"2016","indirekter Migrationshintergrund","Ostdeutschland","7.67","7.5","104","5","7","9","9","10","7.3","8.04","0","10","7","8"
"2016","indirekter Migrationshintergrund","Westdeutschland","7.53","7.5","1450","5","7","9","9","10","7.45","7.61","0","10","8","8"
"2016","kein Migrationshintergrund","Ostdeutschland","6.98","6.5","4536","5","6","8","9","10","6.93","7.03","0","10","7","8"
"2016","kein Migrationshintergrund","Westdeutschland","7.3","7.5","13206","5","7","8","9","10","7.27","7.33","0","10","8","8"
"2016","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","Ostdeutschland","7.42","7.5","939","5","6","9","10","10","7.3","7.54","0","10","8","8"
"2017","direkter Migrationshintergrund","Westdeutschland","7.41","7.5","7659","5","7","9","9","10","7.37","7.45","0","10","8","8"
"2017","indirekter Migrationshintergrund","Ostdeutschland","7.13","7.5","105","5","5","8","9","10","6.76","7.5","0","10","7","8"
"2017","indirekter Migrationshintergrund","Westdeutschland","7.43","7.5","1597","5","7","9","9","10","7.34","7.52","0","10","8","8"
"2017","kein Migrationshintergrund","Ostdeutschland","6.93","6.5","5115","5","6","8","9","10","6.88","6.98","0","10","7","7"
"2017","kein Migrationshintergrund","Westdeutschland","7.31","7.5","15059","5","7","8","9","10","7.28","7.34","0","10","8","8"
"2017","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","Ostdeutschland","7.4","7.5","865","5","7","9","9","10","7.27","7.53","0","10","8","8"
"2018","direkter Migrationshintergrund","Westdeutschland","7.38","7.5","7130","5","7","8","9","10","7.34","7.42","0","10","8","8"
"2018","indirekter Migrationshintergrund","Ostdeutschland","7.03","7.5","121","4","6","9","9","10","6.66","7.4","0","10","7","8"
"2018","indirekter Migrationshintergrund","Westdeutschland","7.41","7.5","1587","5","7","9","9","10","7.32","7.5","0","10","8","8"
"2018","kein Migrationshintergrund","Ostdeutschland","7.11","7.5","5009","5","6","8","9","10","7.06","7.16","0","10","8","8"
"2018","kein Migrationshintergrund","Westdeutschland","7.41","7.5","14453","5","7","8","9","10","7.38","7.44","0","10","8","8"
"2018","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2018","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2019","direkter Migrationshintergrund","Ostdeutschland","7.27","7.5","744","5","6","9","9","10","7.13","7.41","0","10","8","8"
"2019","direkter Migrationshintergrund","Westdeutschland","7.49","7.5","6455","5","7","9","9","10","7.45","7.53","0","10","8","8"
"2019","indirekter Migrationshintergrund","Ostdeutschland","7.46","7.5","155","5","7","9","10","10","7.16","7.76","0","10","8","8"
"2019","indirekter Migrationshintergrund","Westdeutschland","7.54","7.5","1660","5","7","9","9","10","7.46","7.62","0","10","8","8"
"2019","kein Migrationshintergrund","Ostdeutschland","7.16","7.5","5099","5","6","8","9","10","7.11","7.21","0","10","8","8"
"2019","kein Migrationshintergrund","Westdeutschland","7.49","7.5","14919","5","7","9","9","10","7.46","7.52","0","10","8","8"
"2019","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2020","direkter Migrationshintergrund","Ostdeutschland","7.5","7.5","975","5","7","9","9","10","7.4","7.6","0","10","8","8"
"2020","direkter Migrationshintergrund","Westdeutschland","7.53","7.5","8183","5","7","9","9","10","7.49","7.57","0","10","8","8"
"2020","indirekter Migrationshintergrund","Ostdeutschland","7.17","7.5","135","5","6","8","9","10","6.91","7.43","1","10","7","8"
"2020","indirekter Migrationshintergrund","Westdeutschland","7.61","7.5","1542","6","7","9","9","10","7.53","7.69","0","10","8","8"
"2020","kein Migrationshintergrund","Ostdeutschland","7.26","7.5","4728","5","7","8","9","10","7.21","7.31","0","10","8","8"
"2020","kein Migrationshintergrund","Westdeutschland","7.49","7.5","13895","5","7","8","9","10","7.46","7.52","0","10","8","8"
"2020","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2020","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
