"m11104","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","1990","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1990","17-34","kein Migrationshintergrund","340","0.0963740971424144","0.087347727477598","0.105400466807231"
"Mindestens einmal im Monat","1990","17-34","direkter Migrationshintergrund","74","0.0912324907097344","0.0725858108009765","0.109879170618492"
"Mindestens einmal im Monat","1990","17-34","indirekter Migrationshintergrund","39","0.128219612230228","0.0881169469702349","0.168322277490222"
"Mindestens einmal im Monat","1990","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1990","35-65","kein Migrationshintergrund","384","0.0828500699572711","0.0754469613910265","0.0902531785235156"
"Mindestens einmal im Monat","1990","35-65","direkter Migrationshintergrund","74","0.0476413967665442","0.037259287897843","0.0580235056352455"
"Mindestens einmal im Monat","1990","35-65","indirekter Migrationshintergrund","3","","",""
"Mindestens einmal im Monat","1990","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1990","66 +","kein Migrationshintergrund","32","0.0299303675306199","0.0207555458642308","0.039105189197009"
"Mindestens einmal im Monat","1990","66 +","direkter Migrationshintergrund","3","","",""
"Mindestens einmal im Monat","1990","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1990","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1990","17-34","kein Migrationshintergrund","1354","","",""
"Mindestens einmal die Woche","1990","17-34","direkter Migrationshintergrund","250","","",""
"Mindestens einmal die Woche","1990","17-34","indirekter Migrationshintergrund","108","","",""
"Mindestens einmal die Woche","1990","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1990","35-65","kein Migrationshintergrund","1141","","",""
"Mindestens einmal die Woche","1990","35-65","direkter Migrationshintergrund","169","","",""
"Mindestens einmal die Woche","1990","35-65","indirekter Migrationshintergrund","5","0.156568848511566","0.0111837257183211","0.30195397130481"
"Mindestens einmal die Woche","1990","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1990","66 +","kein Migrationshintergrund","125","","",""
"Mindestens einmal die Woche","1990","66 +","direkter Migrationshintergrund","14","","",""
"Mindestens einmal die Woche","1990","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1990","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1991","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1991","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1991","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1991","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1991","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1991","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1991","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1991","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1991","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1991","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1991","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1991","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1991","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1991","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1991","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1991","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1991","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1991","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1991","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1991","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1991","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1991","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1991","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1991","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1992","17-34","kein Migrationshintergrund","1351","","",""
"Fast nie oder nie","1992","17-34","direkter Migrationshintergrund","413","0.454413845345018","0.42041674061363","0.488410950076406"
"Fast nie oder nie","1992","17-34","indirekter Migrationshintergrund","89","0.245457334007999","0.201367602322479","0.289547065693518"
"Fast nie oder nie","1992","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1992","35-65","kein Migrationshintergrund","3071","0.562312945416995","0.548819904992007","0.575805985841983"
"Fast nie oder nie","1992","35-65","direkter Migrationshintergrund","1194","","",""
"Fast nie oder nie","1992","35-65","indirekter Migrationshintergrund","13","","",""
"Fast nie oder nie","1992","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1992","66 +","kein Migrationshintergrund","1097","","",""
"Fast nie oder nie","1992","66 +","direkter Migrationshintergrund","110","","",""
"Fast nie oder nie","1992","66 +","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","1992","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1992","17-34","kein Migrationshintergrund","862","0.228479266886524","0.214998212377327","0.241960321395721"
"Mehrmals im Jahr","1992","17-34","direkter Migrationshintergrund","146","","",""
"Mehrmals im Jahr","1992","17-34","indirekter Migrationshintergrund","78","0.234178474927871","0.190792953688767","0.277563996166975"
"Mehrmals im Jahr","1992","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1992","35-65","kein Migrationshintergrund","895","0.1691792286284","0.158982376464442","0.179376080792359"
"Mehrmals im Jahr","1992","35-65","direkter Migrationshintergrund","157","","",""
"Mehrmals im Jahr","1992","35-65","indirekter Migrationshintergrund","4","0.0935402829354443","-0.0162944764557925","0.203375042326681"
"Mehrmals im Jahr","1992","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1992","66 +","kein Migrationshintergrund","34","0.0258244722180024","0.0170943002368548","0.03455464419915"
"Mehrmals im Jahr","1992","66 +","direkter Migrationshintergrund","6","0.0366808391232255","0.00461328356411884","0.0687483946823321"
"Mehrmals im Jahr","1992","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1992","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1992","17-34","kein Migrationshintergrund","323","0.0923182052750338","0.083023467226188","0.10161294332388"
"Mindestens einmal im Monat","1992","17-34","direkter Migrationshintergrund","55","0.0700540819176206","0.052626784045473","0.0874813797897682"
"Mindestens einmal im Monat","1992","17-34","indirekter Migrationshintergrund","45","0.0950243405827954","0.0649813314515361","0.125067349714055"
"Mindestens einmal im Monat","1992","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1992","35-65","kein Migrationshintergrund","268","","",""
"Mindestens einmal im Monat","1992","35-65","direkter Migrationshintergrund","46","0.0341797014587376","0.0250815951893867","0.0432778077280886"
"Mindestens einmal im Monat","1992","35-65","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal im Monat","1992","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1992","66 +","kein Migrationshintergrund","20","","",""
"Mindestens einmal im Monat","1992","66 +","direkter Migrationshintergrund","3","","",""
"Mindestens einmal im Monat","1992","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1992","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1992","17-34","kein Migrationshintergrund","1190","","",""
"Mindestens einmal die Woche","1992","17-34","direkter Migrationshintergrund","210","","",""
"Mindestens einmal die Woche","1992","17-34","indirekter Migrationshintergrund","154","","",""
"Mindestens einmal die Woche","1992","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1992","35-65","kein Migrationshintergrund","959","0.2070960689368","0.196074710091286","0.218117427782315"
"Mindestens einmal die Woche","1992","35-65","direkter Migrationshintergrund","135","","",""
"Mindestens einmal die Woche","1992","35-65","indirekter Migrationshintergrund","8","0.205564335505523","0.0531346829826036","0.357993988028442"
"Mindestens einmal die Woche","1992","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1992","66 +","kein Migrationshintergrund","117","","",""
"Mindestens einmal die Woche","1992","66 +","direkter Migrationshintergrund","13","","",""
"Mindestens einmal die Woche","1992","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1992","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1993","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1993","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1993","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1993","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1993","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1993","35-65","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1993","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1993","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1993","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1993","66 +","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1993","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1993","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1993","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","17-34","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1993","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","35-65","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1993","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1993","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1993","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1993","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1993","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1993","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1993","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1993","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1993","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1993","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1994","17-34","kein Migrationshintergrund","1221","","",""
"Fast nie oder nie","1994","17-34","direkter Migrationshintergrund","348","0.436604365996901","0.401061858164298","0.472146873829503"
"Fast nie oder nie","1994","17-34","indirekter Migrationshintergrund","112","","",""
"Fast nie oder nie","1994","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1994","35-65","kein Migrationshintergrund","2961","","",""
"Fast nie oder nie","1994","35-65","direkter Migrationshintergrund","1075","","",""
"Fast nie oder nie","1994","35-65","indirekter Migrationshintergrund","11","","",""
"Fast nie oder nie","1994","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1994","66 +","kein Migrationshintergrund","1089","","",""
"Fast nie oder nie","1994","66 +","direkter Migrationshintergrund","144","","",""
"Fast nie oder nie","1994","66 +","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","1994","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1994","17-34","kein Migrationshintergrund","873","0.239695793203674","0.225650882120583","0.253740704286765"
"Mehrmals im Jahr","1994","17-34","direkter Migrationshintergrund","170","","",""
"Mehrmals im Jahr","1994","17-34","indirekter Migrationshintergrund","110","","",""
"Mehrmals im Jahr","1994","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1994","35-65","kein Migrationshintergrund","883","0.182671112007172","0.171997169820135","0.19334505419421"
"Mehrmals im Jahr","1994","35-65","direkter Migrationshintergrund","175","","",""
"Mehrmals im Jahr","1994","35-65","indirekter Migrationshintergrund","8","0.401761593603145","0.216840027250508","0.586683159955783"
"Mehrmals im Jahr","1994","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1994","66 +","kein Migrationshintergrund","49","0.0432931985072439","0.0320958151506244","0.0544905818638634"
"Mehrmals im Jahr","1994","66 +","direkter Migrationshintergrund","6","0.040731211604361","0.010661596539345","0.0708008266693771"
"Mehrmals im Jahr","1994","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1994","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1994","17-34","kein Migrationshintergrund","311","0.0872908492697483","0.0780044863318878","0.0965772122076087"
"Mindestens einmal im Monat","1994","17-34","direkter Migrationshintergrund","63","0.0777798114152444","0.0585865823004558","0.096973040530033"
"Mindestens einmal im Monat","1994","17-34","indirekter Migrationshintergrund","61","0.114953184852257","0.085612936172305","0.14429343353221"
"Mindestens einmal im Monat","1994","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1994","35-65","kein Migrationshintergrund","275","","",""
"Mindestens einmal im Monat","1994","35-65","direkter Migrationshintergrund","42","0.0399236754628225","0.0297155699945832","0.0501317809310618"
"Mindestens einmal im Monat","1994","35-65","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal im Monat","1994","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1994","66 +","kein Migrationshintergrund","18","","",""
"Mindestens einmal im Monat","1994","66 +","direkter Migrationshintergrund","2","","",""
"Mindestens einmal im Monat","1994","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1994","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1994","17-34","kein Migrationshintergrund","1144","","",""
"Mindestens einmal die Woche","1994","17-34","direkter Migrationshintergrund","167","","",""
"Mindestens einmal die Woche","1994","17-34","indirekter Migrationshintergrund","171","","",""
"Mindestens einmal die Woche","1994","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1994","35-65","kein Migrationshintergrund","915","0.20891438031939","0.197684182719036","0.220144577919744"
"Mindestens einmal die Woche","1994","35-65","direkter Migrationshintergrund","121","","",""
"Mindestens einmal die Woche","1994","35-65","indirekter Migrationshintergrund","6","0.146730473411974","0.0132648294805964","0.280196117343351"
"Mindestens einmal die Woche","1994","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1994","66 +","kein Migrationshintergrund","113","","",""
"Mindestens einmal die Woche","1994","66 +","direkter Migrationshintergrund","14","","",""
"Mindestens einmal die Woche","1994","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1994","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1995","17-34","kein Migrationshintergrund","785","0.207427520569943","0.194008126999948","0.220846914139937"
"Fast nie oder nie","1995","17-34","direkter Migrationshintergrund","396","0.354315152256068","0.32342475908235","0.385205545429786"
"Fast nie oder nie","1995","17-34","indirekter Migrationshintergrund","109","","",""
"Fast nie oder nie","1995","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1995","35-65","kein Migrationshintergrund","2192","","",""
"Fast nie oder nie","1995","35-65","direkter Migrationshintergrund","1167","","",""
"Fast nie oder nie","1995","35-65","indirekter Migrationshintergrund","8","0.242564872131215","0.080886144065434","0.404243600196996"
"Fast nie oder nie","1995","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1995","66 +","kein Migrationshintergrund","1006","","",""
"Fast nie oder nie","1995","66 +","direkter Migrationshintergrund","164","","",""
"Fast nie oder nie","1995","66 +","indirekter Migrationshintergrund","4","1","1","1"
"Fast nie oder nie","1995","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1995","17-34","kein Migrationshintergrund","949","0.258735529941377","0.244241310388029","0.273229749494726"
"Mehrmals im Jahr","1995","17-34","direkter Migrationshintergrund","213","","",""
"Mehrmals im Jahr","1995","17-34","indirekter Migrationshintergrund","98","0.217431111848351","0.18017823902219","0.254683984674513"
"Mehrmals im Jahr","1995","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1995","35-65","kein Migrationshintergrund","1328","","",""
"Mehrmals im Jahr","1995","35-65","direkter Migrationshintergrund","219","","",""
"Mehrmals im Jahr","1995","35-65","indirekter Migrationshintergrund","9","0.353175338719924","0.172892379127955","0.533458298311893"
"Mehrmals im Jahr","1995","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1995","66 +","kein Migrationshintergrund","99","0.0825999530788066","0.0675489374574364","0.0976509687001767"
"Mehrmals im Jahr","1995","66 +","direkter Migrationshintergrund","13","","",""
"Mehrmals im Jahr","1995","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1995","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1995","17-34","kein Migrationshintergrund","370","0.104129736293547","0.0940211562795042","0.114238316307589"
"Mindestens einmal im Monat","1995","17-34","direkter Migrationshintergrund","73","0.0804578789656506","0.062891251981065","0.0980245059502361"
"Mindestens einmal im Monat","1995","17-34","indirekter Migrationshintergrund","56","0.104143224592367","0.0765582594762821","0.131728189708451"
"Mindestens einmal im Monat","1995","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1995","35-65","kein Migrationshintergrund","352","0.0770380101070155","0.0697426085193136","0.0843334116947175"
"Mindestens einmal im Monat","1995","35-65","direkter Migrationshintergrund","58","0.0417680681268608","0.032053017621614","0.0514831186321077"
"Mindestens einmal im Monat","1995","35-65","indirekter Migrationshintergrund","4","0.166958666207791","0.0262878628733935","0.307629469542188"
"Mindestens einmal im Monat","1995","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1995","66 +","kein Migrationshintergrund","37","0.0283685265268831","0.0192910381027845","0.0374460149509818"
"Mindestens einmal im Monat","1995","66 +","direkter Migrationshintergrund","5","0.0152224435047598","-0.00145671649862908","0.0319016035081487"
"Mindestens einmal im Monat","1995","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1995","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1995","17-34","kein Migrationshintergrund","1403","","",""
"Mindestens einmal die Woche","1995","17-34","direkter Migrationshintergrund","239","","",""
"Mindestens einmal die Woche","1995","17-34","indirekter Migrationshintergrund","208","","",""
"Mindestens einmal die Woche","1995","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1995","35-65","kein Migrationshintergrund","1260","","",""
"Mindestens einmal die Woche","1995","35-65","direkter Migrationshintergrund","185","","",""
"Mindestens einmal die Woche","1995","35-65","indirekter Migrationshintergrund","6","0.23730112294107","0.076831563937289","0.397770681944851"
"Mindestens einmal die Woche","1995","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1995","66 +","kein Migrationshintergrund","143","","",""
"Mindestens einmal die Woche","1995","66 +","direkter Migrationshintergrund","25","","",""
"Mindestens einmal die Woche","1995","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1995","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1996","17-34","kein Migrationshintergrund","971","0.263829521562127","0.24901813663478","0.278640906489473"
"Fast nie oder nie","1996","17-34","direkter Migrationshintergrund","382","0.419230101388566","0.385721687682637","0.452738515094494"
"Fast nie oder nie","1996","17-34","indirekter Migrationshintergrund","133","","",""
"Fast nie oder nie","1996","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1996","35-65","kein Migrationshintergrund","2604","","",""
"Fast nie oder nie","1996","35-65","direkter Migrationshintergrund","1122","","",""
"Fast nie oder nie","1996","35-65","indirekter Migrationshintergrund","13","","",""
"Fast nie oder nie","1996","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1996","66 +","kein Migrationshintergrund","1041","","",""
"Fast nie oder nie","1996","66 +","direkter Migrationshintergrund","189","","",""
"Fast nie oder nie","1996","66 +","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","1996","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1996","17-34","kein Migrationshintergrund","930","0.266169253248744","0.251315997112589","0.281022509384898"
"Mehrmals im Jahr","1996","17-34","direkter Migrationshintergrund","206","","",""
"Mehrmals im Jahr","1996","17-34","indirekter Migrationshintergrund","135","","",""
"Mehrmals im Jahr","1996","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1996","35-65","kein Migrationshintergrund","1114","","",""
"Mehrmals im Jahr","1996","35-65","direkter Migrationshintergrund","203","","",""
"Mehrmals im Jahr","1996","35-65","indirekter Migrationshintergrund","10","","",""
"Mehrmals im Jahr","1996","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1996","66 +","kein Migrationshintergrund","80","0.0671575167669685","0.0535095389803335","0.0808054945536035"
"Mehrmals im Jahr","1996","66 +","direkter Migrationshintergrund","15","","",""
"Mehrmals im Jahr","1996","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1996","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1996","17-34","kein Migrationshintergrund","336","0.0943234054974454","0.0845004747235516","0.104146336271339"
"Mindestens einmal im Monat","1996","17-34","direkter Migrationshintergrund","78","0.0907891273046741","0.0712783387942897","0.110299915815059"
"Mindestens einmal im Monat","1996","17-34","indirekter Migrationshintergrund","70","0.128936346456928","0.0996782916576617","0.158194401256195"
"Mindestens einmal im Monat","1996","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1996","35-65","kein Migrationshintergrund","325","0.0671514295381614","0.0603018336797074","0.0740010253966154"
"Mindestens einmal im Monat","1996","35-65","direkter Migrationshintergrund","60","0.0613980848207478","0.0493417230944611","0.0734544465470345"
"Mindestens einmal im Monat","1996","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1996","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1996","66 +","kein Migrationshintergrund","40","0.0372115777813412","0.0268905889980596","0.0475325665646227"
"Mindestens einmal im Monat","1996","66 +","direkter Migrationshintergrund","6","0.0297437223808675","0.00759570979931","0.0518917349624251"
"Mindestens einmal im Monat","1996","66 +","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal im Monat","1996","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1996","17-34","kein Migrationshintergrund","1164","","",""
"Mindestens einmal die Woche","1996","17-34","direkter Migrationshintergrund","167","","",""
"Mindestens einmal die Woche","1996","17-34","indirekter Migrationshintergrund","166","","",""
"Mindestens einmal die Woche","1996","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1996","35-65","kein Migrationshintergrund","1086","","",""
"Mindestens einmal die Woche","1996","35-65","direkter Migrationshintergrund","138","","",""
"Mindestens einmal die Woche","1996","35-65","indirekter Migrationshintergrund","8","0.283868640628797","0.125152059799747","0.442585221457848"
"Mindestens einmal die Woche","1996","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
