"hlc0083_h","year","hhtyp","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","1-Pers.- Haushalt","Laendlicher Raum","37","0.034889372937635","0.0228270113930534","0.0469517344822166"
"Ja","2009","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","38","0.00732722909053284","0.00486586204601929","0.00978859613504639"
"Ja","2009","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","24","","",""
"Ja","2009","Alleinerziehende","Staedtischer Raum","86","0.0981576058760907","0.0794436423757288","0.116871569376453"
"Ja","2009","Alleinerziehende","Laendlicher Raum","65","0.100118291216171","0.0764534671580993","0.123783115274242"
"Ja","2009","Paar mit Kind(ern)","Staedtischer Raum","191","","",""
"Ja","2009","Paar mit Kind(ern)","Laendlicher Raum","95","0.0205800918682964","0.0161748499670256","0.0249853337695672"
"Ja","2009","Sonstige","Staedtischer Raum","2","","",""
"Ja","2009","Sonstige","Laendlicher Raum","3","","",""
"Nein","2009","1-Pers.- Haushalt","Staedtischer Raum","1919","","",""
"Nein","2009","1-Pers.- Haushalt","Laendlicher Raum","852","0.965110627062365","0.953048265517784","0.977172988606947"
"Nein","2009","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4574","0.992672770909467","0.990211403864954","0.995134137953981"
"Nein","2009","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2464","","",""
"Nein","2009","Alleinerziehende","Staedtischer Raum","885","0.901842394123909","0.883128430623547","0.920556357624271"
"Nein","2009","Alleinerziehende","Laendlicher Raum","553","0.899881708783829","0.876216884725758","0.923546532841901"
"Nein","2009","Paar mit Kind(ern)","Staedtischer Raum","7047","0.972726983980801","0.9689746553489","0.976479312612702"
"Nein","2009","Paar mit Kind(ern)","Laendlicher Raum","3895","0.979419908131704","0.975014666230433","0.983825150032974"
"Nein","2009","Sonstige","Staedtischer Raum","245","","",""
"Nein","2009","Sonstige","Laendlicher Raum","194","","",""
"Ja","2010","1-Pers.- Haushalt","Staedtischer Raum","49","0.03098229253085","0.0230414996224905","0.0389230854392096"
"Ja","2010","1-Pers.- Haushalt","Laendlicher Raum","31","0.0348807260536109","0.0224284620909058","0.0473329900163161"
"Ja","2010","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","28","","",""
"Ja","2010","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","22","","",""
"Ja","2010","Alleinerziehende","Staedtischer Raum","466","0.132982611437561","0.120840073774423","0.145125149100699"
"Ja","2010","Alleinerziehende","Laendlicher Raum","277","","",""
"Ja","2010","Paar mit Kind(ern)","Staedtischer Raum","686","0.0290057756935076","0.026229210210995","0.0317823411760202"
"Ja","2010","Paar mit Kind(ern)","Laendlicher Raum","421","0.0278150718749449","0.0241442475292203","0.0314858962206694"
"Ja","2010","Sonstige","Staedtischer Raum","6","0.008643746036322","-0.00164432065830317","0.0189318127309472"
"Ja","2010","Sonstige","Laendlicher Raum","4","0.0110099339067184","-0.00164955457501187","0.0236694223884487"
"Nein","2010","1-Pers.- Haushalt","Staedtischer Raum","1780","","",""
"Nein","2010","1-Pers.- Haushalt","Laendlicher Raum","803","0.965119273946389","0.952667009983684","0.977571537909094"
"Nein","2010","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4330","0.994823636490677","0.992693095426538","0.996954177554816"
"Nein","2010","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2246","","",""
"Nein","2010","Alleinerziehende","Staedtischer Raum","2538","","",""
"Nein","2010","Alleinerziehende","Laendlicher Raum","1350","","",""
"Nein","2010","Paar mit Kind(ern)","Staedtischer Raum","13348","","",""
"Nein","2010","Paar mit Kind(ern)","Laendlicher Raum","7288","0.972184928125055","0.968514103779331","0.97585575247078"
"Nein","2010","Sonstige","Staedtischer Raum","305","0.991356253963678","0.981068187269053","1.0016443206583"
"Nein","2010","Sonstige","Laendlicher Raum","257","","",""
"Ja","2011","1-Pers.- Haushalt","Staedtischer Raum","53","0.0262327149044336","0.0198116239445765","0.0326538058642907"
"Ja","2011","1-Pers.- Haushalt","Laendlicher Raum","39","0.030757484804651","0.0206320625945096","0.0408829070147923"
"Ja","2011","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","20","","",""
"Ja","2011","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","30","0.00765358501436812","0.00461501912942362","0.0106921508993126"
"Ja","2011","Alleinerziehende","Staedtischer Raum","574","0.122994460344051","0.112507814821041","0.133481105867061"
"Ja","2011","Alleinerziehende","Laendlicher Raum","388","0.144073052080447","0.128755489627287","0.159390614533607"
"Ja","2011","Paar mit Kind(ern)","Staedtischer Raum","743","0.0283976257619023","0.0257742594933318","0.0310209920304728"
"Ja","2011","Paar mit Kind(ern)","Laendlicher Raum","429","0.0302180647982496","0.0266397823321778","0.0337963472643215"
"Ja","2011","Sonstige","Staedtischer Raum","17","","",""
"Ja","2011","Sonstige","Laendlicher Raum","17","","",""
"Nein","2011","1-Pers.- Haushalt","Staedtischer Raum","2327","","",""
"Nein","2011","1-Pers.- Haushalt","Laendlicher Raum","1078","","",""
"Nein","2011","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5460","0.997165219561791","0.995757548811863","0.99857289031172"
"Nein","2011","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3130","0.992346414985632","0.989307849100687","0.995384980870576"
"Nein","2011","Alleinerziehende","Staedtischer Raum","3194","0.877005539655949","0.866518894132939","0.887492185178959"
"Nein","2011","Alleinerziehende","Laendlicher Raum","1631","","",""
"Nein","2011","Paar mit Kind(ern)","Staedtischer Raum","14658","","",""
"Nein","2011","Paar mit Kind(ern)","Laendlicher Raum","8363","0.96978193520175","0.966203652735678","0.973360217667822"
"Nein","2011","Sonstige","Staedtischer Raum","394","0.977770929169109","0.963517925553091","0.992023932785127"
"Nein","2011","Sonstige","Laendlicher Raum","317","0.978104342213683","0.962409879613813","0.993798804813554"
"Ja","2012","1-Pers.- Haushalt","Staedtischer Raum","46","0.0234956077390091","0.0174793137476709","0.0295119017303472"
"Ja","2012","1-Pers.- Haushalt","Laendlicher Raum","46","0.0325148508938836","0.022496462035113","0.0425332397526543"
"Ja","2012","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","18","","",""
"Ja","2012","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","18","","",""
"Ja","2012","Alleinerziehende","Staedtischer Raum","394","0.0874196258237011","0.0780809081432191","0.096758343504183"
"Ja","2012","Alleinerziehende","Laendlicher Raum","323","0.125470406242431","0.110801802378453","0.140139010106409"
"Ja","2012","Paar mit Kind(ern)","Staedtischer Raum","635","0.025254081365274","0.0226973484589911","0.0278108142715568"
"Ja","2012","Paar mit Kind(ern)","Laendlicher Raum","392","0.0253625554356498","0.0219678465584208","0.0287572643128788"
"Ja","2012","Sonstige","Staedtischer Raum","2","","",""
"Ja","2012","Sonstige","Laendlicher Raum","9","0.025712810648479","0.00917815970269788","0.0422474615942602"
"Nein","2012","1-Pers.- Haushalt","Staedtischer Raum","2389","","",""
"Nein","2012","1-Pers.- Haushalt","Laendlicher Raum","1158","","",""
"Nein","2012","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5478","0.996129823535982","0.994488296332981","0.997771350738983"
"Nein","2012","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3282","0.994439556007972","0.991902470807841","0.996976641208102"
"Nein","2012","Alleinerziehende","Staedtischer Raum","3120","0.912580374176299","0.903241656495817","0.921919091856781"
"Nein","2012","Alleinerziehende","Laendlicher Raum","1636","","",""
"Nein","2012","Paar mit Kind(ern)","Staedtischer Raum","13831","","",""
"Nein","2012","Paar mit Kind(ern)","Laendlicher Raum","7848","0.97463744456435","0.971242735687121","0.978032153441579"
"Nein","2012","Sonstige","Staedtischer Raum","397","0.99544443523548","0.988836872924309","1.00205199754665"
"Nein","2012","Sonstige","Laendlicher Raum","343","0.974287189351521","0.95775253840574","0.990821840297302"
"Ja","2013","1-Pers.- Haushalt","Staedtischer Raum","53","0.0235853664860084","0.0177421384025353","0.0294285945694815"
"Ja","2013","1-Pers.- Haushalt","Laendlicher Raum","37","0.0282936144928116","0.0189121808234965","0.0376750481621267"
"Ja","2013","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","26","","",""
"Ja","2013","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","30","0.00513801594152345","0.00270237516777118","0.00757365671527572"
"Ja","2013","Alleinerziehende","Staedtischer Raum","364","0.0810278533930207","0.0723288293308949","0.0897268774551464"
"Ja","2013","Alleinerziehende","Laendlicher Raum","242","","",""
"Ja","2013","Paar mit Kind(ern)","Staedtischer Raum","766","0.0231453819121638","0.0209137529279662","0.0253770108963614"
"Ja","2013","Paar mit Kind(ern)","Laendlicher Raum","435","0.0293832709515564","0.0258374788413427","0.0329290630617702"
"Ja","2013","Sonstige","Staedtischer Raum","86","0.0451016841218508","0.0333107136026501","0.0568926546410514"
"Ja","2013","Sonstige","Laendlicher Raum","32","0.0505497861537481","0.0331646164973926","0.0679349558101036"
"Nein","2013","1-Pers.- Haushalt","Staedtischer Raum","2538","","",""
"Nein","2013","1-Pers.- Haushalt","Laendlicher Raum","1163","","",""
"Nein","2013","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5828","0.997711346341056","0.996487253873292","0.998935438808821"
"Nein","2013","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3280","0.994861984058477","0.992426343284724","0.997297624832229"
"Nein","2013","Alleinerziehende","Staedtischer Raum","3416","0.918972146606979","0.910273122544854","0.927671170669105"
"Nein","2013","Alleinerziehende","Laendlicher Raum","1700","","",""
"Nein","2013","Paar mit Kind(ern)","Staedtischer Raum","16674","","",""
"Nein","2013","Paar mit Kind(ern)","Laendlicher Raum","8279","0.970616729048444","0.96707093693823","0.974162521158657"
"Nein","2013","Sonstige","Staedtischer Raum","1104","","",""
"Nein","2013","Sonstige","Laendlicher Raum","578","0.949450213846252","0.932065044189896","0.966835383502607"
"Ja","2014","1-Pers.- Haushalt","Staedtischer Raum","42","0.0202705150049","0.0146100270069934","0.0259310030028066"
"Ja","2014","1-Pers.- Haushalt","Laendlicher Raum","28","","",""
"Ja","2014","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","26","","",""
"Ja","2014","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","12","","",""
"Ja","2014","Alleinerziehende","Staedtischer Raum","252","","",""
"Ja","2014","Alleinerziehende","Laendlicher Raum","177","","",""
"Ja","2014","Paar mit Kind(ern)","Staedtischer Raum","465","0.0171187927622667","0.0150502009129288","0.0191873846116046"
"Ja","2014","Paar mit Kind(ern)","Laendlicher Raum","347","0.026464553261301","0.0228907270588282","0.0300383794637738"
"Ja","2014","Sonstige","Staedtischer Raum","37","0.0179681172180512","0.00942161946249611","0.0265146149736064"
"Ja","2014","Sonstige","Laendlicher Raum","20","","",""
"Nein","2014","1-Pers.- Haushalt","Staedtischer Raum","2339","","",""
"Nein","2014","1-Pers.- Haushalt","Laendlicher Raum","1095","","",""
"Nein","2014","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5370","0.996085582124192","0.994419509069954","0.99775165517843"
"Nein","2014","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3156","0.998280654406933","0.996837996295333","0.999723312518533"
"Nein","2014","Alleinerziehende","Staedtischer Raum","2775","","",""
"Nein","2014","Alleinerziehende","Laendlicher Raum","1456","","",""
"Nein","2014","Paar mit Kind(ern)","Staedtischer Raum","14640","","",""
"Nein","2014","Paar mit Kind(ern)","Laendlicher Raum","7402","0.973535446738699","0.969961620536226","0.977109272941172"
"Nein","2014","Sonstige","Staedtischer Raum","891","0.982031882781949","0.973485385026394","0.990578380537504"
"Nein","2014","Sonstige","Laendlicher Raum","463","0.947329852205037","0.92740902329088","0.967250681119194"
"Ja","2015","1-Pers.- Haushalt","Staedtischer Raum","43","0.0208057183338031","0.0147989054072744","0.0268125312603318"
"Ja","2015","1-Pers.- Haushalt","Laendlicher Raum","18","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","22","","",""
"Ja","2015","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","8","0.00123457400569813","-8.26422503887305e-05","0.00255179026178498"
"Ja","2015","Alleinerziehende","Staedtischer Raum","191","","",""
"Ja","2015","Alleinerziehende","Laendlicher Raum","131","","",""
"Ja","2015","Paar mit Kind(ern)","Staedtischer Raum","428","0.0188126820681439","0.0165522785708323","0.0210730855654555"
"Ja","2015","Paar mit Kind(ern)","Laendlicher Raum","301","0.0265641351181227","0.0228056730470246","0.0303225971892209"
"Ja","2015","Sonstige","Staedtischer Raum","41","0.0168105506757681","0.0086224593797292","0.0249986419718069"
"Ja","2015","Sonstige","Laendlicher Raum","32","0.0560129603572062","0.0343041145000186","0.0777218062143938"
"Nein","2015","1-Pers.- Haushalt","Staedtischer Raum","2126","","",""
"Nein","2015","1-Pers.- Haushalt","Laendlicher Raum","1000","","",""
"Nein","2015","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","4768","0.997234555342975","0.995747382385848","0.998721728300103"
"Nein","2015","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2722","","",""
"Nein","2015","Alleinerziehende","Staedtischer Raum","2558","","",""
"Nein","2015","Alleinerziehende","Laendlicher Raum","1289","","",""
"Nein","2015","Paar mit Kind(ern)","Staedtischer Raum","13450","","",""
"Nein","2015","Paar mit Kind(ern)","Laendlicher Raum","6731","0.973435864881877","0.969677402810779","0.977194326952975"
"Nein","2015","Sonstige","Staedtischer Raum","906","0.983189449324232","0.975001358028193","0.991377540620271"
"Nein","2015","Sonstige","Laendlicher Raum","399","0.943987039642794","0.922278193785606","0.965695885499981"
"Ja","2016","1-Pers.- Haushalt","Staedtischer Raum","66","0.0196138159576624","0.0142588735938652","0.0249687583214596"
"Ja","2016","1-Pers.- Haushalt","Laendlicher Raum","34","0.0209512892411162","0.0127656621400045","0.0291369163422279"
"Ja","2016","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","18","","",""
"Ja","2016","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","16","","",""
"Ja","2016","Alleinerziehende","Staedtischer Raum","227","","",""
"Ja","2016","Alleinerziehende","Laendlicher Raum","134","","",""
"Ja","2016","Paar mit Kind(ern)","Staedtischer Raum","772","0.0181354856828046","0.0161326246981712","0.0201383466674381"
"Ja","2016","Paar mit Kind(ern)","Laendlicher Raum","370","0.0155997794981873","0.0129863444428646","0.01821321455351"
"Ja","2016","Sonstige","Staedtischer Raum","88","0.0524510346373874","0.0408598209397705","0.0640422483350043"
"Ja","2016","Sonstige","Laendlicher Raum","24","","",""
"Nein","2016","1-Pers.- Haushalt","Staedtischer Raum","2510","","",""
"Nein","2016","1-Pers.- Haushalt","Laendlicher Raum","1142","","",""
"Nein","2016","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5154","0.998764941306846","0.997807759851254","0.999722122762439"
"Nein","2016","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3036","0.994552168836606","0.991940720546985","0.997163617126226"
"Nein","2016","Alleinerziehende","Staedtischer Raum","2748","","",""
"Nein","2016","Alleinerziehende","Laendlicher Raum","1411","","",""
"Nein","2016","Paar mit Kind(ern)","Staedtischer Raum","16280","","",""
"Nein","2016","Paar mit Kind(ern)","Laendlicher Raum","8267","0.984400220501813","0.98178678544649","0.987013655557135"
"Nein","2016","Sonstige","Staedtischer Raum","1333","","",""
"Nein","2016","Sonstige","Laendlicher Raum","599","0.959306478754984","0.943791706954699","0.974821250555269"
"Ja","2017","1-Pers.- Haushalt","Staedtischer Raum","67","0.0167423814429456","0.0120351735113352","0.0214495893745561"
"Ja","2017","1-Pers.- Haushalt","Laendlicher Raum","47","0.0220864263278288","0.0143409173157216","0.029831935339936"
"Ja","2017","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","38","0.00286801398639314","0.00149741197318329","0.00423861599960299"
"Ja","2017","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","18","","",""
"Ja","2017","Alleinerziehende","Staedtischer Raum","199","","",""
"Ja","2017","Alleinerziehende","Laendlicher Raum","160","","",""
"Ja","2017","Paar mit Kind(ern)","Staedtischer Raum","898","0.0202213322477952","0.0182205350961786","0.0222221293994119"
"Ja","2017","Paar mit Kind(ern)","Laendlicher Raum","523","0.0182072857307439","0.0155405377874539","0.0208740336740338"
"Ja","2017","Sonstige","Staedtischer Raum","130","","",""
"Ja","2017","Sonstige","Laendlicher Raum","49","0.0226533849234796","0.0125850426852137","0.0327217271617455"
"Nein","2017","1-Pers.- Haushalt","Staedtischer Raum","2787","","",""
"Nein","2017","1-Pers.- Haushalt","Laendlicher Raum","1336","","",""
"Nein","2017","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5810","0.997131986013607","0.995761384000397","0.998502588026817"
"Nein","2017","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3442","0.997376213132232","0.995671686379897","0.999080739884566"
"Nein","2017","Alleinerziehende","Staedtischer Raum","2919","","",""
"Nein","2017","Alleinerziehende","Laendlicher Raum","1427","","",""
"Nein","2017","Paar mit Kind(ern)","Staedtischer Raum","18114","","",""
"Nein","2017","Paar mit Kind(ern)","Laendlicher Raum","9133","0.981792714269256","0.979125966325966","0.984459462212546"
"Nein","2017","Sonstige","Staedtischer Raum","1720","","",""
"Nein","2017","Sonstige","Laendlicher Raum","790","0.97734661507652","0.967278272838255","0.987414957314786"
"Ja","2018","1-Pers.- Haushalt","Staedtischer Raum","92","0.0192062469378636","0.0143361558188994","0.0240763380568278"
"Ja","2018","1-Pers.- Haushalt","Laendlicher Raum","54","0.0301013756727986","0.0210469400353267","0.0391558113102706"
"Ja","2018","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","38","0.00322132307769978","0.0017622556678628","0.00468039048753676"
"Ja","2018","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","34","0.0029476500638329","0.00112191634923016","0.00477338377843564"
"Ja","2018","Alleinerziehende","Staedtischer Raum","230","","",""
"Ja","2018","Alleinerziehende","Laendlicher Raum","136","","",""
"Ja","2018","Paar mit Kind(ern)","Staedtischer Raum","1298","","",""
"Ja","2018","Paar mit Kind(ern)","Laendlicher Raum","674","0.019753440388689","0.0168671786252903","0.0226397021520876"
"Ja","2018","Sonstige","Staedtischer Raum","118","","",""
"Ja","2018","Sonstige","Laendlicher Raum","52","0.0128300361713634","0.00380246684477691","0.0218576054979499"
"Nein","2018","1-Pers.- Haushalt","Staedtischer Raum","2959","","",""
"Nein","2018","1-Pers.- Haushalt","Laendlicher Raum","1314","","",""
"Nein","2018","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","5756","0.9967786769223","0.995319609512463","0.998237744332137"
"Nein","2018","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3353","0.997052349936167","0.995226616221564","0.99887808365077"
"Nein","2018","Alleinerziehende","Staedtischer Raum","2938","","",""
"Nein","2018","Alleinerziehende","Laendlicher Raum","1357","","",""
"Nein","2018","Paar mit Kind(ern)","Staedtischer Raum","16908","","",""
"Nein","2018","Paar mit Kind(ern)","Laendlicher Raum","8255","0.980246559611311","0.977360297847912","0.98313282137471"
"Nein","2018","Sonstige","Staedtischer Raum","1489","","",""
"Nein","2018","Sonstige","Laendlicher Raum","545","0.987169963828637","0.97814239450205","0.996197533155223"
"Ja","2019","1-Pers.- Haushalt","Staedtischer Raum","69","0.0190502754970561","0.0141561091701821","0.0239444418239301"
"Ja","2019","1-Pers.- Haushalt","Laendlicher Raum","41","0.0292110278958924","0.0203069169745822","0.0381151388172025"
"Ja","2019","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","18","","",""
"Ja","2019","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","16","","",""
"Ja","2019","Alleinerziehende","Staedtischer Raum","142","","",""
"Ja","2019","Alleinerziehende","Laendlicher Raum","88","0.0539685829271481","0.0421240540158858","0.0658131118384105"
"Ja","2019","Paar mit Kind(ern)","Staedtischer Raum","774","0.0232870714847812","0.0210996789824592","0.0254744639871032"
"Ja","2019","Paar mit Kind(ern)","Laendlicher Raum","378","0.0191454865195958","0.0162914154192764","0.0219995576199151"
"Ja","2019","Sonstige","Staedtischer Raum","78","0.0608603442665353","0.0475697371909477","0.0741509513421228"
"Ja","2019","Sonstige","Laendlicher Raum","48","0.0179945846240431","0.00656910938025199","0.0294200598678341"
"Nein","2019","1-Pers.- Haushalt","Staedtischer Raum","2928","","",""
"Nein","2019","1-Pers.- Haushalt","Laendlicher Raum","1333","","",""
"Nein","2019","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","6346","0.999645240072241","0.999182568053093","1.00010791209139"
"Nein","2019","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3625","0.993718491930804","0.99115222753655","0.996284756325059"
"Nein","2019","Alleinerziehende","Staedtischer Raum","2714","","",""
"Nein","2019","Alleinerziehende","Laendlicher Raum","1310","","",""
"Nein","2019","Paar mit Kind(ern)","Staedtischer Raum","17487","","",""
"Nein","2019","Paar mit Kind(ern)","Laendlicher Raum","8478","0.980854513480404","0.978000442380085","0.983708584580724"
"Nein","2019","Sonstige","Staedtischer Raum","1165","","",""
"Nein","2019","Sonstige","Laendlicher Raum","472","0.982005415375957","0.970579940132166","0.993430890619748"
"Ja","2020","1-Pers.- Haushalt","Staedtischer Raum","89","0.0203771013662813","0.0159234334288025","0.0248307693037602"
"Ja","2020","1-Pers.- Haushalt","Laendlicher Raum","37","0.0226145459480006","0.0150908829652222","0.030138208930779"
"Ja","2020","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","24","","",""
"Ja","2020","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","16","","",""
"Ja","2020","Alleinerziehende","Staedtischer Raum","150","","",""
"Ja","2020","Alleinerziehende","Laendlicher Raum","93","0.0471943087471501","0.0355955219605045","0.0587930955337957"
"Ja","2020","Paar mit Kind(ern)","Staedtischer Raum","886","0.0213269260850357","0.0192471191001665","0.0234067330699048"
"Ja","2020","Paar mit Kind(ern)","Laendlicher Raum","432","0.0153384611331149","0.0127164352168301","0.0179604870493998"
"Ja","2020","Sonstige","Staedtischer Raum","84","0.00467779597648684","0.00136223668406022","0.00799335526891345"
"Ja","2020","Sonstige","Laendlicher Raum","40","0.0146570953336866","0.00560453537905131","0.0237096552883219"
"Nein","2020","1-Pers.- Haushalt","Staedtischer Raum","3777","0.979622898633719","0.97516923069624","0.984076566571197"
"Nein","2020","1-Pers.- Haushalt","Laendlicher Raum","1463","","",""
"Nein","2020","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","6706","0.99924567326994","0.998589744853714","0.999901601686166"
"Nein","2020","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","3485","0.998797975325862","0.997650224659479","0.999945725992244"
"Nein","2020","Alleinerziehende","Staedtischer Raum","2793","","",""
"Nein","2020","Alleinerziehende","Laendlicher Raum","1191","","",""
"Nein","2020","Paar mit Kind(ern)","Staedtischer Raum","17650","","",""
"Nein","2020","Paar mit Kind(ern)","Laendlicher Raum","8007","0.984661538866885","0.9820395129506","0.98728356478317"
"Nein","2020","Sonstige","Staedtischer Raum","1543","","",""
"Nein","2020","Sonstige","Laendlicher Raum","637","0.985342904666313","0.976290344711678","0.994395464620949"
