"pli0096_h","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Woche","1993","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1993","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1993","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1993","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1993","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1993","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1993","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1993","kein Migrationshintergrund","maennlich","","","",""
"Seltener","1993","kein Migrationshintergrund","weiblich","","","",""
"Seltener","1993","direkter Migrationshintergrund","maennlich","","","",""
"Seltener","1993","direkter Migrationshintergrund","weiblich","","","",""
"Seltener","1993","indirekter Migrationshintergrund","maennlich","","","",""
"Seltener","1993","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1993","kein Migrationshintergrund","maennlich","","","",""
"Nie","1993","kein Migrationshintergrund","weiblich","","","",""
"Nie","1993","direkter Migrationshintergrund","maennlich","","","",""
"Nie","1993","direkter Migrationshintergrund","weiblich","","","",""
"Nie","1993","indirekter Migrationshintergrund","maennlich","","","",""
"Nie","1993","indirekter Migrationshintergrund","weiblich","","","",""
"Nie","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1993","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1994","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1994","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1994","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1994","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1994","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1994","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1994","kein Migrationshintergrund","maennlich","430","0.0938294508945303","0.0855117049763666","0.102147196812694"
"Min 1x pro Woche","1994","kein Migrationshintergrund","weiblich","232","","",""
"Min 1x pro Woche","1994","direkter Migrationshintergrund","maennlich","60","0.057903926020444","0.0446560111095961","0.0711518409312919"
"Min 1x pro Woche","1994","direkter Migrationshintergrund","weiblich","25","","",""
"Min 1x pro Woche","1994","indirekter Migrationshintergrund","maennlich","14","","",""
"Min 1x pro Woche","1994","indirekter Migrationshintergrund","weiblich","9","0.024235805802532","0.00473959054309841","0.0437320210619656"
"Min 1x pro Woche","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1994","kein Migrationshintergrund","maennlich","438","0.0934222710285242","0.0851207279858905","0.101723814071158"
"Min 1x pro Monat","1994","kein Migrationshintergrund","weiblich","259","","",""
"Min 1x pro Monat","1994","direkter Migrationshintergrund","maennlich","49","0.0493501921994848","0.0370644716062878","0.0616359127926817"
"Min 1x pro Monat","1994","direkter Migrationshintergrund","weiblich","31","0.0366208508491739","0.0257127519853292","0.0475289497130186"
"Min 1x pro Monat","1994","indirekter Migrationshintergrund","maennlich","6","0.029278774231428","0.00825438816505024","0.0503031602978057"
"Min 1x pro Monat","1994","indirekter Migrationshintergrund","weiblich","12","","",""
"Min 1x pro Monat","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1994","kein Migrationshintergrund","maennlich","622","0.136482012662322","0.126689266570314","0.14627475875433"
"Seltener","1994","kein Migrationshintergrund","weiblich","545","0.101640711100006","0.0934402517825861","0.109841170417426"
"Seltener","1994","direkter Migrationshintergrund","maennlich","111","","",""
"Seltener","1994","direkter Migrationshintergrund","weiblich","87","0.0735492371792164","0.0583896809935011","0.0887087933649317"
"Seltener","1994","indirekter Migrationshintergrund","maennlich","32","0.125799910207784","0.0844432744114626","0.167156546004106"
"Seltener","1994","indirekter Migrationshintergrund","weiblich","23","","",""
"Seltener","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1994","kein Migrationshintergrund","maennlich","3231","0.676266265414624","0.662919257089584","0.689613273739663"
"Nie","1994","kein Migrationshintergrund","weiblich","4180","0.799350099740965","0.788481657780656","0.810218541701275"
"Nie","1994","direkter Migrationshintergrund","maennlich","974","0.803287393626805","0.780739940140942","0.825834847112669"
"Nie","1994","direkter Migrationshintergrund","weiblich","996","0.855660237954491","0.835250853952345","0.876069621956637"
"Nie","1994","indirekter Migrationshintergrund","maennlich","195","","",""
"Nie","1994","indirekter Migrationshintergrund","weiblich","195","","",""
"Nie","1994","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1994","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1995","kein Migrationshintergrund","maennlich","81","0.0192317825841368","0.0153120706157329","0.0231514945525407"
"Taeglich","1995","kein Migrationshintergrund","weiblich","36","0.00793111212875293","0.00552134162579797","0.0103408826317079"
"Taeglich","1995","direkter Migrationshintergrund","maennlich","13","","",""
"Taeglich","1995","direkter Migrationshintergrund","weiblich","5","0.00312098949176196","0.000154344456760357","0.00608763452676357"
"Taeglich","1995","indirekter Migrationshintergrund","maennlich","3","","",""
"Taeglich","1995","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1995","kein Migrationshintergrund","maennlich","415","0.0858587274306359","0.0778629614434677","0.0938544934178042"
"Min 1x pro Woche","1995","kein Migrationshintergrund","weiblich","251","","",""
"Min 1x pro Woche","1995","direkter Migrationshintergrund","maennlich","57","0.052147608067704","0.0404892486658603","0.0638059674695477"
"Min 1x pro Woche","1995","direkter Migrationshintergrund","weiblich","31","0.0352371259638888","0.0254307455448832","0.0450435063828944"
"Min 1x pro Woche","1995","indirekter Migrationshintergrund","maennlich","8","0.0535441927512349","0.025749992737232","0.0813383927652379"
"Min 1x pro Woche","1995","indirekter Migrationshintergrund","weiblich","8","0.057460096271818","0.0286699230576332","0.0862502694860028"
"Min 1x pro Woche","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1995","kein Migrationshintergrund","maennlich","372","0.0748858880086738","0.0673738316455518","0.0823979443717958"
"Min 1x pro Monat","1995","kein Migrationshintergrund","weiblich","249","","",""
"Min 1x pro Monat","1995","direkter Migrationshintergrund","maennlich","53","0.042796177858893","0.0321827764030661","0.0534095793147199"
"Min 1x pro Monat","1995","direkter Migrationshintergrund","weiblich","31","0.0318516596384964","0.0225119109212389","0.0411914083557539"
"Min 1x pro Monat","1995","indirekter Migrationshintergrund","maennlich","6","0.0595752498531482","0.0303510397150847","0.0887994599912116"
"Min 1x pro Monat","1995","indirekter Migrationshintergrund","weiblich","7","0.0390480396819888","0.0150839085820063","0.0630121707819712"
"Min 1x pro Monat","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1995","kein Migrationshintergrund","maennlich","477","0.104019339729539","0.0953063428813101","0.112732336577767"
"Seltener","1995","kein Migrationshintergrund","weiblich","412","0.0798694708718817","0.0725048083936046","0.0872341333501588"
"Seltener","1995","direkter Migrationshintergrund","maennlich","95","0.0721656217176101","0.0585965450370812","0.085734698398139"
"Seltener","1995","direkter Migrationshintergrund","weiblich","67","0.0634578824225471","0.0504919232315658","0.0764238416135285"
"Seltener","1995","indirekter Migrationshintergrund","maennlich","17","","",""
"Seltener","1995","indirekter Migrationshintergrund","weiblich","11","","",""
"Seltener","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1995","kein Migrationshintergrund","maennlich","3371","0.716004262247015","0.703134370092382","0.728874154401648"
"Nie","1995","kein Migrationshintergrund","weiblich","4257","0.812762526800809","0.802164721273553","0.823360332328065"
"Nie","1995","direkter Migrationshintergrund","maennlich","1179","","",""
"Nie","1995","direkter Migrationshintergrund","weiblich","1224","","",""
"Nie","1995","indirekter Migrationshintergrund","maennlich","218","","",""
"Nie","1995","indirekter Migrationshintergrund","weiblich","225","","",""
"Nie","1995","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1995","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1996","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1996","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1996","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1996","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1996","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1996","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1996","kein Migrationshintergrund","maennlich","488","0.104724273831087","0.0959666531540664","0.113481894508108"
"Min 1x pro Woche","1996","kein Migrationshintergrund","weiblich","267","","",""
"Min 1x pro Woche","1996","direkter Migrationshintergrund","maennlich","65","0.0536288609811385","0.0414013144108425","0.0658564075514345"
"Min 1x pro Woche","1996","direkter Migrationshintergrund","weiblich","26","","",""
"Min 1x pro Woche","1996","indirekter Migrationshintergrund","maennlich","14","","",""
"Min 1x pro Woche","1996","indirekter Migrationshintergrund","weiblich","9","0.0618488742494689","0.0333271937093005","0.0903705547896373"
"Min 1x pro Woche","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1996","kein Migrationshintergrund","maennlich","441","0.0935400097473737","0.0852116961058339","0.101868323388914"
"Min 1x pro Monat","1996","kein Migrationshintergrund","weiblich","292","","",""
"Min 1x pro Monat","1996","direkter Migrationshintergrund","maennlich","71","0.0644618897553976","0.0511330743385194","0.0777907051722759"
"Min 1x pro Monat","1996","direkter Migrationshintergrund","weiblich","41","0.0540980844275372","0.0417201334318873","0.0664760354231871"
"Min 1x pro Monat","1996","indirekter Migrationshintergrund","maennlich","9","0.0502866231313406","0.0241226793119915","0.0764505669506897"
"Min 1x pro Monat","1996","indirekter Migrationshintergrund","weiblich","9","0.0208633946550496","0.00394002114085019","0.037786768169249"
"Min 1x pro Monat","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1996","kein Migrationshintergrund","maennlich","748","0.170540802571571","0.159783690043634","0.181297915099509"
"Seltener","1996","kein Migrationshintergrund","weiblich","699","0.130301018231635","0.121115966096067","0.139486070367202"
"Seltener","1996","direkter Migrationshintergrund","maennlich","145","","",""
"Seltener","1996","direkter Migrationshintergrund","weiblich","116","","",""
"Seltener","1996","indirekter Migrationshintergrund","maennlich","36","0.169023488452667","0.124154260332214","0.213892716573121"
"Seltener","1996","indirekter Migrationshintergrund","weiblich","45","0.157341874029619","0.114227639934077","0.200456108125162"
"Seltener","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1996","kein Migrationshintergrund","maennlich","3019","0.631194913849968","0.617395385497592","0.644994442202344"
"Nie","1996","kein Migrationshintergrund","weiblich","3902","0.753946147350734","0.74219423650408","0.765698058197388"
"Nie","1996","direkter Migrationshintergrund","maennlich","1023","","",""
"Nie","1996","direkter Migrationshintergrund","weiblich","1100","","",""
"Nie","1996","indirekter Migrationshintergrund","maennlich","209","","",""
"Nie","1996","indirekter Migrationshintergrund","weiblich","211","","",""
"Nie","1996","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1996","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1997","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1997","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1997","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1997","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1997","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1997","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1997","kein Migrationshintergrund","maennlich","478","0.103799047500758","0.0950251025007409","0.112572992500774"
"Min 1x pro Woche","1997","kein Migrationshintergrund","weiblich","286","","",""
"Min 1x pro Woche","1997","direkter Migrationshintergrund","maennlich","69","0.0658599542558248","0.0520488264127645","0.0796710820988852"
"Min 1x pro Woche","1997","direkter Migrationshintergrund","weiblich","30","0.0308042938853324","0.0210806496578965","0.0405279381127682"
"Min 1x pro Woche","1997","indirekter Migrationshintergrund","maennlich","19","","",""
"Min 1x pro Woche","1997","indirekter Migrationshintergrund","weiblich","12","","",""
"Min 1x pro Woche","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1997","kein Migrationshintergrund","maennlich","431","0.0950018934649789","0.0865668856586734","0.103436901271284"
"Min 1x pro Monat","1997","kein Migrationshintergrund","weiblich","305","0.0635970168461292","0.0568777420064741","0.0703162916857843"
"Min 1x pro Monat","1997","direkter Migrationshintergrund","maennlich","53","0.0484780967981168","0.0365191037479222","0.0604370898483115"
"Min 1x pro Monat","1997","direkter Migrationshintergrund","weiblich","33","0.0551843870237948","0.0423344993100308","0.0680342747375588"
"Min 1x pro Monat","1997","indirekter Migrationshintergrund","maennlich","12","","",""
"Min 1x pro Monat","1997","indirekter Migrationshintergrund","weiblich","8","0.0234985362799036","0.00562747249961126","0.0413696000601959"
"Min 1x pro Monat","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1997","kein Migrationshintergrund","maennlich","649","0.139930766428551","0.129951035420168","0.149910497436933"
"Seltener","1997","kein Migrationshintergrund","weiblich","630","0.125180613651771","0.116068893426876","0.134292333876666"
"Seltener","1997","direkter Migrationshintergrund","maennlich","118","","",""
"Seltener","1997","direkter Migrationshintergrund","weiblich","111","","",""
"Seltener","1997","indirekter Migrationshintergrund","maennlich","44","0.188569783191758","0.143549239951423","0.233590326432094"
"Seltener","1997","indirekter Migrationshintergrund","weiblich","26","","",""
"Seltener","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1997","kein Migrationshintergrund","maennlich","3084","0.661268292605713","0.647653460249705","0.674883124961721"
"Nie","1997","kein Migrationshintergrund","weiblich","3846","0.750934075594535","0.739026298345209","0.762841852843861"
"Nie","1997","direkter Migrationshintergrund","maennlich","999","0.803015920396573","0.780870186383148","0.825161654409998"
"Nie","1997","direkter Migrationshintergrund","weiblich","1039","","",""
"Nie","1997","indirekter Migrationshintergrund","maennlich","215","","",""
"Nie","1997","indirekter Migrationshintergrund","weiblich","230","","",""
"Nie","1997","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1997","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1998","kein Migrationshintergrund","maennlich","74","0.0128900914599232","0.00986408701665053","0.0159160959031959"
"Taeglich","1998","kein Migrationshintergrund","weiblich","26","","",""
"Taeglich","1998","direkter Migrationshintergrund","maennlich","12","","",""
"Taeglich","1998","direkter Migrationshintergrund","weiblich","2","","",""
"Taeglich","1998","indirekter Migrationshintergrund","maennlich","3","","",""
"Taeglich","1998","indirekter Migrationshintergrund","weiblich","1","","",""
"Taeglich","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1998","kein Migrationshintergrund","maennlich","488","0.092033741845069","0.0842790025686728","0.0997884811214653"
"Min 1x pro Woche","1998","kein Migrationshintergrund","weiblich","310","0.0515118619101034","0.0458330671284441","0.0571906566917627"
"Min 1x pro Woche","1998","direkter Migrationshintergrund","maennlich","55","0.0502300487617942","0.0378925858513459","0.0625675116722424"
"Min 1x pro Woche","1998","direkter Migrationshintergrund","weiblich","24","","",""
"Min 1x pro Woche","1998","indirekter Migrationshintergrund","maennlich","12","","",""
"Min 1x pro Woche","1998","indirekter Migrationshintergrund","weiblich","11","","",""
"Min 1x pro Woche","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1998","kein Migrationshintergrund","maennlich","517","0.0993298354924404","0.0913060085606083","0.107353662424273"
"Min 1x pro Monat","1998","kein Migrationshintergrund","weiblich","326","0.0552116364773826","0.049343919250442","0.0610793537043232"
"Min 1x pro Monat","1998","direkter Migrationshintergrund","maennlich","46","0.0340493594631348","0.023805425075478","0.0442932938507916"
"Min 1x pro Monat","1998","direkter Migrationshintergrund","weiblich","35","0.0370350381525733","0.0262047924243063","0.0478652838808402"
"Min 1x pro Monat","1998","indirekter Migrationshintergrund","maennlich","11","","",""
"Min 1x pro Monat","1998","indirekter Migrationshintergrund","weiblich","6","0.0262200062568928","0.00779761553674203","0.0446423969770436"
"Min 1x pro Monat","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1998","kein Migrationshintergrund","maennlich","575","0.115442624736154","0.106870175806837","0.124015073665471"
"Seltener","1998","kein Migrationshintergrund","weiblich","615","0.108569867432029","0.100577325791636","0.116562409072421"
"Seltener","1998","direkter Migrationshintergrund","maennlich","81","0.0748956088107642","0.060027408739154","0.0897638088823743"
"Seltener","1998","direkter Migrationshintergrund","weiblich","67","0.0573236879704617","0.0439923104096041","0.0706550655313194"
"Seltener","1998","indirekter Migrationshintergrund","maennlich","23","","",""
"Seltener","1998","indirekter Migrationshintergrund","weiblich","30","0.107128630860869","0.0714714999542721","0.142785761767466"
"Seltener","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1998","kein Migrationshintergrund","maennlich","3684","0.680303706466413","0.667793080920774","0.692814332012053"
"Nie","1998","kein Migrationshintergrund","weiblich","4543","0.779263222182748","0.76860791344305","0.789918530922446"
"Nie","1998","direkter Migrationshintergrund","maennlich","1010","","",""
"Nie","1998","direkter Migrationshintergrund","weiblich","1040","","",""
"Nie","1998","indirekter Migrationshintergrund","maennlich","259","","",""
"Nie","1998","indirekter Migrationshintergrund","weiblich","241","","",""
"Nie","1998","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1998","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1999","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1999","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1999","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1999","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1999","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1999","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1999","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1999","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1999","kein Migrationshintergrund","maennlich","569","0.11227114937848","0.103662299360239","0.120879999396721"
"Min 1x pro Woche","1999","kein Migrationshintergrund","weiblich","329","0.0584492810402159","0.0523171120196275","0.0645814500608043"
"Min 1x pro Woche","1999","direkter Migrationshintergrund","maennlich","55","0.0560309903781328","0.0424586934421071","0.0696032873141586"
"Min 1x pro Woche","1999","direkter Migrationshintergrund","weiblich","29","","",""
"Min 1x pro Woche","1999","indirekter Migrationshintergrund","maennlich","19","","",""
"Min 1x pro Woche","1999","indirekter Migrationshintergrund","weiblich","16","","",""
"Min 1x pro Woche","1999","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1999","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1999","kein Migrationshintergrund","maennlich","482","0.091909605423161","0.0840316071391786","0.0997876037071433"
"Min 1x pro Monat","1999","kein Migrationshintergrund","weiblich","370","0.0647348006417271","0.0583029053567058","0.0711666959267484"
"Min 1x pro Monat","1999","direkter Migrationshintergrund","maennlich","44","0.047651456231692","0.0350796874639837","0.0602232249994003"
"Min 1x pro Monat","1999","direkter Migrationshintergrund","weiblich","27","","",""
"Min 1x pro Monat","1999","indirekter Migrationshintergrund","maennlich","10","","",""
"Min 1x pro Monat","1999","indirekter Migrationshintergrund","weiblich","11","","",""
"Min 1x pro Monat","1999","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1999","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1999","kein Migrationshintergrund","maennlich","786","0.158982952007763","0.149011725815118","0.168954178200408"
"Seltener","1999","kein Migrationshintergrund","weiblich","756","0.13042882137124","0.121625591877927","0.139232050864553"
"Seltener","1999","direkter Migrationshintergrund","maennlich","120","","",""
"Seltener","1999","direkter Migrationshintergrund","weiblich","100","","",""
"Seltener","1999","indirekter Migrationshintergrund","maennlich","46","0.178762110148004","0.135620236530625","0.221903983765382"
"Seltener","1999","indirekter Migrationshintergrund","weiblich","36","0.100918918893399","0.0667189521875183","0.135118885599281"
"Seltener","1999","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1999","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1999","kein Migrationshintergrund","maennlich","3329","0.636836293190595","0.623722268012546","0.649950318368645"
"Nie","1999","kein Migrationshintergrund","weiblich","4167","0.746387096946817","0.735014218313379","0.757759975580255"
"Nie","1999","direkter Migrationshintergrund","maennlich","884","0.795866973391585","0.772080108072316","0.819653838710854"
"Nie","1999","direkter Migrationshintergrund","weiblich","928","0.827746137181928","0.805267679159399","0.850224595204458"
"Nie","1999","indirekter Migrationshintergrund","maennlich","228","","",""
"Nie","1999","indirekter Migrationshintergrund","weiblich","235","","",""
"Nie","1999","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1999","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","2000","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","2000","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","2000","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","2000","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","2000","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","2000","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","2000","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","2000","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","2000","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","2000","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","2000","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","2000","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","2000","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","2000","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","2000","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","2000","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","2000","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","2000","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","2000","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","2000","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","2000","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","2000","kein Migrationshintergrund","maennlich","","","",""
"Seltener","2000","kein Migrationshintergrund","weiblich","","","",""
"Seltener","2000","direkter Migrationshintergrund","maennlich","","","",""
"Seltener","2000","direkter Migrationshintergrund","weiblich","","","",""
"Seltener","2000","indirekter Migrationshintergrund","maennlich","","","",""
"Seltener","2000","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","2000","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","2000","kein Migrationshintergrund","maennlich","","","",""
"Nie","2000","kein Migrationshintergrund","weiblich","","","",""
"Nie","2000","direkter Migrationshintergrund","maennlich","","","",""
"Nie","2000","direkter Migrationshintergrund","weiblich","","","",""
"Nie","2000","indirekter Migrationshintergrund","maennlich","","","",""
"Nie","2000","indirekter Migrationshintergrund","weiblich","","","",""
"Nie","2000","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","2000","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","2001","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","2001","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","2001","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","2001","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","2001","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","2001","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","2001","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","2001","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","2001","kein Migrationshintergrund","maennlich","1005","","",""
"Min 1x pro Woche","2001","kein Migrationshintergrund","weiblich","582","0.0623799060201795","0.0574909067175437","0.0672689053228153"
"Min 1x pro Woche","2001","direkter Migrationshintergrund","maennlich","67","0.0467858456760261","0.0357942066123786","0.0577774847396736"
"Min 1x pro Woche","2001","direkter Migrationshintergrund","weiblich","40","0.0291015003716912","0.020508713723395","0.0376942870199874"
