year,migback,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Indirect migration background,Urban regions,No,0.34654,925,1338,0.32103,0.37205
2017,Indirect migration background,Rural regions,Yes,0.11888,80,284,0.08117,0.15659
2017,Indirect migration background,Rural regions,No,0.34503,204,284,0.28965,0.40042
2018,No migration background,Urban regions,Yes,0.08360,1209,11944,0.07863,0.08856
2018,No migration background,Urban regions,No,0.78615,10735,11944,0.77880,0.79351
2018,No migration background,Rural regions,Yes,0.05322,567,7466,0.04813,0.05831
2018,No migration background,Rural regions,No,0.80080,6899,7466,0.79174,0.80986
2018,Direct migration background,Urban regions,Yes,0.06423,560,5990,0.05802,0.07044
2018,Direct migration background,Urban regions,No,0.88111,5430,5990,0.87291,0.88931
2018,Direct migration background,Rural regions,Yes,0.05435,200,2191,0.04486,0.06385
2018,Direct migration background,Rural regions,No,0.89175,1991,2191,0.87874,0.90476
2018,Indirect migration background,Urban regions,Yes,0.15539,400,1316,0.13581,0.17497
2018,Indirect migration background,Urban regions,No,0.36797,916,1316,0.34190,0.39403
2018,Indirect migration background,Rural regions,Yes,0.07295,70,299,0.04342,0.10248
2018,Indirect migration background,Rural regions,No,0.41277,229,299,0.35687,0.46867
2019,No migration background,Urban regions,Yes,0.07915,1138,12179,0.07436,0.08395
2019,No migration background,Urban regions,No,0.78484,11041,12179,0.77754,0.79214
2019,No migration background,Rural regions,Yes,0.05161,527,7458,0.04659,0.05664
2019,No migration background,Rural regions,No,0.79824,6931,7458,0.78913,0.80735
2019,Direct migration background,Urban regions,Yes,0.06050,471,5392,0.05414,0.06687
2019,Direct migration background,Urban regions,No,0.89116,4921,5392,0.88285,0.89948
2019,Direct migration background,Rural regions,Yes,0.06326,152,1958,0.05248,0.07405
2019,Direct migration background,Rural regions,No,0.87653,1806,1958,0.86195,0.89110
2019,Indirect migration background,Urban regions,Yes,0.14630,347,1243,0.12664,0.16595
2019,Indirect migration background,Urban regions,No,0.36598,896,1243,0.33919,0.39277
2019,Indirect migration background,Rural regions,Yes,0.09117,74,291,0.05804,0.12430
2019,Indirect migration background,Rural regions,No,0.39103,217,291,0.33486,0.44719
2020,No migration background,Urban regions,Yes,0.08346,1161,11594,0.07842,0.08849
2020,No migration background,Urban regions,No,0.77802,10433,11594,0.77045,0.78558
2020,No migration background,Rural regions,Yes,0.05675,486,6927,0.05130,0.06220
2020,No migration background,Rural regions,No,0.78790,6441,6927,0.77827,0.79752
2020,Direct migration background,Urban regions,Yes,0.05666,705,7117,0.05129,0.06203
2020,Direct migration background,Urban regions,No,0.89402,6412,7117,0.88687,0.90118
2020,Direct migration background,Rural regions,Yes,0.05582,192,2233,0.04629,0.06534
2020,Direct migration background,Rural regions,No,0.88389,2041,2233,0.87060,0.89718
2020,Indirect migration background,Urban regions,Yes,0.14190,347,1239,0.12246,0.16134
2020,Indirect migration background,Urban regions,No,0.36947,892,1239,0.34258,0.39635
2020,Indirect migration background,Rural regions,Yes,0.10222,78,292,0.06742,0.13703
2020,Indirect migration background,Rural regions,No,0.35695,214,292,0.30190,0.41199
2021,No migration background,Urban regions,Yes,0.08909,820,8296,0.08296,0.09522
2021,No migration background,Urban regions,No,0.76900,7476,8296,0.75993,0.77807
2021,No migration background,Rural regions,Yes,0.05537,363,4841,0.04893,0.06181
2021,No migration background,Rural regions,No,0.79353,4478,4841,0.78213,0.80494
2021,Direct migration background,Urban regions,Yes,0.06323,496,4246,0.05591,0.07055
2021,Direct migration background,Urban regions,No,0.87780,3750,4246,0.86795,0.88766
2021,Direct migration background,Rural regions,Yes,0.04629,109,1196,0.03438,0.05820
2021,Direct migration background,Rural regions,No,0.87483,1087,1196,0.85607,0.89359
2021,Indirect migration background,Urban regions,Yes,0.11247,218,737,0.08965,0.13530
2021,Indirect migration background,Urban regions,No,0.36646,519,737,0.33165,0.40127
2021,Indirect migration background,Rural regions,Yes,0.07325,48,192,0.03630,0.11021
2021,Indirect migration background,Rural regions,No,0.35308,144,192,0.28530,0.42086
2022,No migration background,Urban regions,Yes,0.08830,1301,11259,0.08306,0.09354
2022,No migration background,Urban regions,No,0.75163,9958,11259,0.74365,0.75961
2022,No migration background,Rural regions,Yes,0.05873,593,6994,0.05322,0.06424
2022,No migration background,Rural regions,No,0.78406,6401,6994,0.77441,0.79370
2022,Direct migration background,Urban regions,Yes,0.08465,1000,6686,0.07798,0.09133
2022,Direct migration background,Urban regions,No,0.84098,5686,6686,0.83221,0.84975
2022,Direct migration background,Rural regions,Yes,0.07639,188,1434,0.06263,0.09014
2022,Direct migration background,Rural regions,No,0.84463,1246,1434,0.82587,0.86338
2022,Indirect migration background,Urban regions,Yes,0.10734,241,1107,0.08910,0.12559
2022,Indirect migration background,Urban regions,No,0.44357,866,1107,0.41429,0.47285
2022,Indirect migration background,Rural regions,Yes,0.07658,55,344,0.04843,0.10472
2022,Indirect migration background,Rural regions,No,0.42652,289,344,0.37418,0.47886
