year,bula_h,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2022,Baden-Wuerttemberg,Direct migration background,No,0.91815,1116,1116,0.90206,0.93424
2022,Baden-Wuerttemberg,Indirect migration background,No,0.54293,210,210,0.47539,0.61047
2022,Bavaria,No migration background,No,0.82987,2832,2832,0.81603,0.84371
2022,Bavaria,Direct migration background,Yes,0.01212,42,1287,0.00614,0.01810
2022,Bavaria,Direct migration background,No,0.91661,1245,1287,0.90150,0.93172
2022,Bavaria,Indirect migration background,No,0.53491,255,255,0.47357,0.59625
2022,Berlin,No migration background,No,0.84569,762,762,0.82002,0.87136
2022,Berlin,Direct migration background,No,0.90845,663,663,0.88648,0.93042
2022,Berlin,Indirect migration background,No,0.53368,83,83,0.42570,0.64166
2022,Brandenburg,No migration background,No,0.82834,856,856,0.80307,0.85362
2022,Brandenburg,Direct migration background,No,0.87241,117,117,0.81169,0.93312
2022,Brandenburg,Indirect migration background,No,0.54539,33,33,0.37287,0.71792
2022,Mecklenburg-Western Pomerania,No migration background,No,0.84875,471,471,0.81636,0.88114
2022,Mecklenburg-Western Pomerania,Direct migration background,No,0.84704,75,75,0.76502,0.92905
2022,Saxony,No migration background,No,0.83735,1498,1498,0.81865,0.85604
2022,Saxony,Direct migration background,No,0.93125,209,209,0.89687,0.96564
2022,Saxony,Indirect migration background,No,0.57189,39,39,0.41457,0.72922
2022,Saxony-Anhalt,No migration background,No,0.82818,770,770,0.80152,0.85484
2022,Saxony-Anhalt,Direct migration background,No,0.90659,113,113,0.85269,0.96048
2022,Thuringa,No migration background,No,0.82773,683,683,0.79939,0.85607
2022,Thuringa,Direct migration background,No,0.89048,166,166,0.84282,0.93813
