"beruf","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1994","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","77","0.14547769491713","0.113935829123911","0.177019560710348"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1994","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1994","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","416","0.0614036336729951","0.0555398849848919","0.0672673823610983"
"Selbstständige/ManagerInnen","1994","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","182","0.0464565813040656","0.0396088223086453","0.0533043402994859"
"Selbstständige/ManagerInnen","1994","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","86","0.0479610578205955","0.0390922061255946","0.0568299095155965"
"Selbstständige/ManagerInnen","1994","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1994","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1994","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1994","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","456","0.0629063795631849","0.0569760652146965","0.0688366939116733"
"In Ausbildung","1994","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","326","0.0696500291377006","0.0613679679960119","0.0779320902793894"
"In Ausbildung","1994","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","85","0.0391122255538431","0.0310660730868255","0.0471583780208608"
"In Ausbildung","1994","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1994","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","204","0.439409704121072","0.395009488205954","0.48380992003619"
"In Ausbildung","1994","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1994","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1275","0.260806762413061","0.25008225645028","0.271531268375842"
"In Rente oder Pension","1994","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","710","0.276096053880659","0.261550670298299","0.290641437463018"
"In Rente oder Pension","1994","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","270","0.196561977228555","0.180068143735861","0.213055810721249"
"In Rente oder Pension","1994","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","67","0.495970068392699","0.413734477654246","0.578205659131152"
"In Rente oder Pension","1994","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1994","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1994","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","275","0.0421164535827958","0.0372105260101103","0.0470223811554814"
"Arbeitslose","1994","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","499","0.138312398831075","0.127080321478289","0.149544476183861"
"Arbeitslose","1994","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","209","0.0788807699388082","0.0676931126402735","0.0900684272373429"
"Arbeitslose","1994","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1994","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","33","0.0560615936353442","0.0354822262534358","0.0766409610172527"
"Arbeitslose","1994","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1994","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","828","0.115935981456942","0.108116285676482","0.123755677237402"
"Sonstige Nichterwerbspersonen","1994","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","106","0.028685181423498","0.0232543863589509","0.0341159764880452"
"Sonstige Nichterwerbspersonen","1994","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","388","0.149130374505533","0.13434575255346","0.163914996457606"
"Sonstige Nichterwerbspersonen","1994","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1994","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","45","0.0827311533725234","0.058087202538628","0.107375104206419"
"Sonstige Nichterwerbspersonen","1994","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1994","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","374","0.0562724636522695","0.0506437370233848","0.0619011902811543"
"Beamte","1994","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","43","0.0112038706090781","0.00777941115818362","0.0146283300599725"
"Beamte","1994","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1994","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1994","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1994","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1995","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","922","0.126068772628141","0.117990806828591","0.13414673842769"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1995","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","539","0.13489431460496","0.123650591770975","0.146138037438945"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1995","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","891","0.257740507201977","0.241146815239256","0.274334199164699"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1995","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1995","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","117","0.199727852048374","0.164543835226395","0.234911868870352"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1995","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1995","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2002","0.278711753804456","0.267800072114","0.289623435494912"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1995","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1209","0.297708794764712","0.282658910070623","0.3127586794588"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1995","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","461","0.181249214514699","0.166634587517764","0.195863841511634"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1995","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","33","0.235173982391046","0.165662582375622","0.304685382406469"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1995","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","82","0.158406042845495","0.126273549261568","0.190538536429421"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1995","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1995","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","404","0.0594282068549823","0.053674444674403","0.0651819690355617"
"Selbstständige/ManagerInnen","1995","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","190","0.051230826611174","0.0439743685466768","0.0584872846756712"
"Selbstständige/ManagerInnen","1995","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","90","0.0393806957950067","0.0320018038340948","0.0467595877559186"
"Selbstständige/ManagerInnen","1995","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1995","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1995","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1995","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","484","0.0640997756934899","0.0581390017846671","0.0700605496023127"
"In Ausbildung","1995","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","327","0.0699639489339318","0.0615680776047356","0.0783598202631281"
"In Ausbildung","1995","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","156","0.0693797185124074","0.0597397341940767","0.0790197028307382"
"In Ausbildung","1995","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1995","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","191","0.396364779419423","0.35331786102925","0.439411697809597"
"In Ausbildung","1995","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1995","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1244","0.263549660780692","0.252827987154829","0.274271334406555"
"In Rente oder Pension","1995","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","704","0.287519492979006","0.272622491332475","0.302416494625537"
"In Rente oder Pension","1995","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","333","0.185859410795883","0.171101809064108","0.200617012527658"
"In Rente oder Pension","1995","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","72","0.55024782696298","0.468712489028922","0.631783164897037"
"In Rente oder Pension","1995","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1995","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1995","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","264","0.0417614981601451","0.0368931182416391","0.046629878078651"
"Arbeitslose","1995","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","413","0.114761931164051","0.104271153321561","0.125252709006541"
"Arbeitslose","1995","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","274","0.103946774679854","0.0923684368541182","0.11552511250559"
"Arbeitslose","1995","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1995","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","37","0.0571724646889114","0.0367401843311338","0.077604745046689"
"Arbeitslose","1995","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1995","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","807","0.113015757217364","0.10531050124457","0.120721013190157"
"Sonstige Nichterwerbspersonen","1995","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","111","0.0304598058222739","0.0248036000618796","0.0361160115826682"
"Sonstige Nichterwerbspersonen","1995","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","451","0.14448240365567","0.131144248763288","0.157820558548052"
"Sonstige Nichterwerbspersonen","1995","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1995","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","44","0.0929191353807501","0.0673696100850152","0.118468660676485"
"Sonstige Nichterwerbspersonen","1995","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1995","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","359","0.0533645748607305","0.047894698344655","0.058834451376806"
"Beamte","1995","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","53","0.0134608851198909","0.00966797379957871","0.017253796440203"
"Beamte","1995","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1995","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1995","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1995","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1996","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","922","0.127238961134005","0.11907854404917","0.13539937821884"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1996","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","439","0.111070224444787","0.10071051989311","0.121429928996463"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1996","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","793","0.244615524354488","0.227687311032362","0.261543737676614"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1996","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1996","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","105","0.177254605743605","0.144650351007283","0.209858860479927"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1996","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1996","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1969","0.277375436002595","0.266412042986762","0.288338829018428"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1996","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1234","0.30946595060728","0.294224938660486","0.324706962554074"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1996","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","459","0.201038794638599","0.185255855943288","0.216821733333911"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1996","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1996","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","107","0.168922673485498","0.136933171902172","0.200912175068824"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1996","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1996","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","435","0.0656880436093322","0.059621466237721","0.0717546209809434"
"Selbstständige/ManagerInnen","1996","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","188","0.0496554464227809","0.0424933723412987","0.0568175205042631"
"Selbstständige/ManagerInnen","1996","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","80","0.0362677460701191","0.0289052755655123","0.0436302165747259"
"Selbstständige/ManagerInnen","1996","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1996","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1996","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1996","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","446","0.0608019829977188","0.0549501479034972","0.0666538180919405"
"In Ausbildung","1996","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","348","0.0754682044731646","0.0667594157836278","0.0841769931627014"
"In Ausbildung","1996","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","129","0.060691257441537","0.0512885626823935","0.0700939522006805"
"In Ausbildung","1996","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1996","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","192","0.388103222642929","0.346497268041649","0.429709177244209"
"In Ausbildung","1996","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1996","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1252","0.26894949903912","0.258091152865736","0.279807845212504"
"In Rente oder Pension","1996","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","710","0.288115845450767","0.27318435869219","0.303047332209344"
"In Rente oder Pension","1996","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","339","0.195285908324871","0.17967452656697","0.210897290082773"
"In Rente oder Pension","1996","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","73","0.571865061404482","0.490192598589796","0.653537524219168"
"In Rente oder Pension","1996","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1996","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1996","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","261","0.0430786742868426","0.0381067568821939","0.0480505916914913"
"Arbeitslose","1996","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","428","0.115642106697278","0.10509855713069","0.126185656263866"
"Arbeitslose","1996","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","249","0.105034457098676","0.092960374496594","0.117108539700758"
"Arbeitslose","1996","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1996","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","41","0.07054632087671","0.0486841218561328","0.0924085198972872"
"Arbeitslose","1996","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1996","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","776","0.105872676940941","0.0983383189064455","0.113407034975437"
"Sonstige Nichterwerbspersonen","1996","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","130","0.0362079659992314","0.0300489894704843","0.0423669425279786"
"Sonstige Nichterwerbspersonen","1996","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","420","0.148121069987691","0.134132206038335","0.162109933937047"
"Sonstige Nichterwerbspersonen","1996","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1996","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","58","0.110087439283156","0.0833644315920193","0.136810446974294"
"Sonstige Nichterwerbspersonen","1996","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1996","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","345","0.0509947259894454","0.0456076690228266","0.0563817829560642"
"Beamte","1996","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","57","0.014374255904711","0.0104499439455931","0.0182985678638288"
"Beamte","1996","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1996","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1996","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1996","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1997","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","879","0.121404857123875","0.113366868220806","0.129442846026945"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1997","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","428","0.1079491985828","0.0976538778076949","0.118244519357906"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1997","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","726","0.247620732347186","0.230202822743277","0.265038641951095"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1997","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1997","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","120","0.193428542092926","0.160448288127043","0.22640879605881"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1997","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1997","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1905","0.27032372544728","0.259393171629817","0.281254279264743"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1997","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1153","0.290041652546135","0.274986609627981","0.305096695464288"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1997","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","431","0.199769628987535","0.183635097195586","0.215904160779484"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1997","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1997","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","110","0.183169006354965","0.150871842234295","0.215466170475636"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1997","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1997","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","428","0.0635495912518061","0.0575456871787499","0.0695534953248623"
"Selbstständige/ManagerInnen","1997","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","201","0.0565956181460472","0.0489294961542994","0.064261740137795"
"Selbstständige/ManagerInnen","1997","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","72","0.0335250833393838","0.0262612754904195","0.040788891188348"
"Selbstständige/ManagerInnen","1997","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1997","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1997","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1997","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","451","0.0619154543384812","0.0559840778013869","0.0678468308755755"
"In Ausbildung","1997","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","363","0.0777892953887481","0.0689032121746908","0.0866753786028054"
"In Ausbildung","1997","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","113","0.058311191868006","0.0488550542450261","0.0677673294909858"
"In Ausbildung","1997","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1997","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","204","0.389052711749716","0.348344841114219","0.429760582385214"
"In Ausbildung","1997","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1997","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1293","0.278169655719265","0.26714138505994","0.289197926378589"
"In Rente oder Pension","1997","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","711","0.285651528464424","0.270664735300138","0.300638321628709"
"In Rente oder Pension","1997","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","344","0.201889150558864","0.18569074686192","0.218087554255808"
"In Rente oder Pension","1997","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","70","0.583156764499593","0.499048211128291","0.667265317870894"
"In Rente oder Pension","1997","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1997","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1997","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","294","0.0497267624234064","0.0443767558749368","0.0550767689718761"
"Arbeitslose","1997","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","429","0.126391083840613","0.115366755854686","0.13741541182654"
"Arbeitslose","1997","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","262","0.0990185153160059","0.0869653737119707","0.111071656920041"
"Arbeitslose","1997","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1997","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","40","0.051682853823269","0.0331977311802045","0.0701679764663334"
"Arbeitslose","1997","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1997","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","745","0.103588883809325","0.0960891618021644","0.111088605816485"
"Sonstige Nichterwerbspersonen","1997","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","136","0.0383584135318279","0.0319864641947779","0.0447303628688779"
"Sonstige Nichterwerbspersonen","1997","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","401","0.150061095812386","0.135649501385155","0.164472690239617"
"Sonstige Nichterwerbspersonen","1997","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1997","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","51","0.0974737079954947","0.0727082726638788","0.122239143327111"
"Sonstige Nichterwerbspersonen","1997","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1997","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","347","0.0513210698865609","0.0458905369696826","0.0567516028034392"
"Beamte","1997","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","69","0.0172232094994052","0.0129068275724421","0.0215395914263683"
"Beamte","1997","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1997","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1997","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1997","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1998","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1050","0.123501971642422","0.116080551264169","0.130923392020675"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1998","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","491","0.117074018292337","0.106767289381097","0.127380747203578"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1998","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","704","0.25716501165477","0.239314394403175","0.275015628906365"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1998","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1998","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","114","0.157212996112211","0.12756386665435","0.186862125570072"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1998","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1998","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2233","0.269919887810376","0.259906585763739","0.279933189857014"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1998","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1179","0.279505554286832","0.265119589849911","0.293891518723753"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1998","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","397","0.192762514124545","0.176651863724228","0.208873164524863"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1998","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1998","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","118","0.212813757646663","0.179475153924421","0.246152361368906"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1998","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1998","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","524","0.0666373135952743","0.061011846704206","0.0722627804863427"
"Selbstständige/ManagerInnen","1998","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","199","0.0511236259225417","0.0440629856846607","0.0581842661604227"
"Selbstständige/ManagerInnen","1998","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","81","0.0384444139685816","0.0305919682639742","0.046296859673189"
"Selbstständige/ManagerInnen","1998","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1998","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1998","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
